0263 73.16221 +3.01411 0.21563 0.00053 -20.416 -19.742 2
0264 73.33563 +2.97181 0.19973 0.00042 -20.544 -19.854 1
0265 73.50733 +2.92994 0.19481 0.00029 -21.015 -20.377 1
0266 73.48063 +2.93236 0.20125 0.00011 -22.194 -21.510 1
0267 73.33075 +3.12461 0.08588 0.00002 -19.576 -19.050 3
0268 73.30683 +3.07797 0.18798 0.00011 -20.771 -20.317 2
0269 73.20288 +3.22908 0.19302 0.00077 -19.911 -19.551 1
0270 73.29192 +3.09617 0.12089 0.00011 -22.112 -21.389 3
0271 73.20250 +3.21689 0.05251 0.00003 -18.157 -17.749 3
0272 73.36833 +3.09094 0.20247 0.00047 -20.500 -19.827 1
0273 73.43333 +3.02694 0.19497 0.00015 -21.607 -21.045 1
0274 73.40450 +3.05106 0.21027 0.00040 -21.009 -20.300 1
0275 73.54333 +2.93617 0.19496 0.00031 -20.287 -19.597 1
0276 73.39846 +3.12547 0.18968 0.00023 -20.773 -20.288 1
0277 73.39787 +3.08711 0.11879 0.00003 -19.346 -18.791 3
0278 73.26125 +3.29000 0.25391 0.00012 -21.038 -20.411 3
0279 73.31721 +3.17464 0.20969 0.00043 -20.394 -19.737 1
0280 73.29183 +3.23478 0.20105 0.00016 -21.612 -20.975 1
0281 73.42083 +3.09281 0.19774 0.00037 -21.524 -20.836 1
0282 73.42975 +3.16286 0.32686 0.00054 -21.955 -21.417 3
0283 73.51913 +3.07408 0.23071 0.00008 -20.270 -19.888 3
0284 73.45054 +3.14194 0.23104 0.00013 -20.608 -20.107 3
0285 73.52375 +3.04567 0.20204 0.00045 -20.183 -19.550 1
0286 73.41009 +3.23314 0.21184 0.00005 -20.700 -20.317 1
0287 73.46917 +3.16089 0.32604 0.00010 -22.432 -21.979 3
0288 73.53525 +2.98567 0.20071 0.00046 -20.340 -19.634 1
0289 73.40854 +3.29428 0.11666 0.00015 -21.025 -20.340 3
0290 73.53109 +3.34403 0.11618 0.00002 -19.441 -19.051 3
0291 73.53109 +3.30606 0.19958 0.00065 -20.194 -19.490 1
0292 73.54450 +3.19281 0.27312 0.00021 -21.368 -20.737 3
0293 73.54104 +3.04467 0.13204 0.00004 -18.456 -18.102 3
0294 73.56850 +3.03972 0.20046 0.00033 -21.733 -21.007 1
0295 73.56638 +2.97197 0.20198 0.00034 -21.027 -20.334 1
0296 73.52225 +3.20858 0.20236 0.00025 -21.814 -21.121 1
0297 73.51446 +3.19811 0.26001 0.00027 -20.652 -20.183 3
0298 73.58583 +2.94486 0.19462 0.00051 -20.554 -19.842 1
0299 73.58079 +3.21514 0.19398 0.00033 -20.789 -20.143 1
0300 73.60658 +3.09433 0.20410 0.00045 -20.171 -19.488 1
0301 73.58400 +3.07394 0.20030 0.00028 -20.728 -20.002 1
0302 73.60471 +3.11439 0.32688 0.00092 -20.729 -20.326 3
0303 73.59225 +3.16136 0.20801 0.00051 -20.914 -20.259 1
0304 73.57500 +2.96156 0.20376 0.00040 -20.384 -19.635 1
0305 73.60575 +3.32678 0.20093 0.00033 -20.776 -20.078 1
0306 73.59942 +3.18122 0.23083 0.00033 -21.827 -21.126 3
0307 73.69912 +3.21144 0.33560 0.00012 -21.638 -21.292 3
0308 73.66362 +3.31686 0.20359 0.00059 -20.266 -19.574 1
0309 73.75383 +3.36083 0.10165 0.00010 -19.247 -18.638 3
0310 73.67142 +3.31967 0.20049 0.00031 -21.281 -20.538 1
0311 73.69717 +3.24719 0.20182 0.00048 -20.180 -19.462 1
0312 73.61925 +3.07097 0.20158 0.00034 -20.826 -20.148 1
0313 73.72829 +3.35486 0.22113 0.00049 -20.928 -20.257 3
0314 73.59625 +2.96697 0.20045 0.00029 -20.229 -19.560 1
0315 73.64346 +3.07608 0.20411 0.00062 -20.443 -19.736 1
0316 73.77279 +3.25906 0.19939 0.00030 -21.208 -20.529 1
0317 73.69030 +3.06206 0.37936 0.00066 -21.914 -21.386 3
0318 73.64696 +3.01822 0.19729 0.00032 -21.465 -20.771 1
0319 73.70921 +3.09189 0.37970 0.00079 -22.017 -21.542 3
0320 73.67287 +3.04961 0.20035 0.00067 -19.366 -18.747 1
0321 73.82833 +3.24567 0.20074 0.00033 -21.211 -20.504 1
0322 73.84063 +3.30278 0.29602 0.00052 -21.222 -20.620 3
0323 73.73096 +3.13106 0.33350 0.00006 -20.845 -20.486 3
0324 73.77455 +3.19761 0.19915 0.00041 -22.287 -21.637 1
0325 73.91517 +3.15386 0.20287 0.00014 -21.234 -20.740 1
0326 73.62600 +2.97936 0.19895 0.00037 -21.211 -20.502 1
0327 73.73584 +3.08469 0.09915 0.00004 -19.017 -18.447 3
0328 73.76529 +3.05506 0.26570 0.00023 -20.011 -19.535 3
0329 73.77100 +3.11308 0.27018 0.00048 -21.081 -20.627 3
0330 73.86713 +3.15308 0.31493 0.00070 -21.498 -20.969 3
0331 73.70567 +3.03289 0.19862 0.00009 -19.281 -18.996 1
0332 73.97846 +3.14575 0.11663 0.00002 -20.415 -20.007 3
0333 73.80537 +2.99528 0.29546 0.00018 -21.443 -20.931 3
0334 73.89400 +3.04831 0.47988 0.00200 -22.050 -21.574 3
0335 73.84275 +3.04319 0.20235 0.00200 -19.060 -18.678 1
0336 73.95150 +2.96325 0.27212 0.00006 -20.396 -20.060 3
0337 74.00005 +3.04764 0.51059 0.00046 -22.950 -22.408 3
0338 73.95254 +3.02189 0.20156 0.00034 -21.196 -20.528 1
0339 73.64908 +2.92806 0.19563 0.00084 -19.977 -19.322 1
0340 73.86438 +2.98972 0.28024 0.00007 -19.917 -19.518 3
0341 73.95570 +2.98719 0.26718 0.00016 -21.172 -20.504 3
0342 73.73792 +2.95033 0.12653 0.00006 -18.216 -17.789 3
0343 73.91088 +2.98347 0.20298 0.00005 -20.877 -20.403 1
0344 73.72908 +2.90000 0.20739 0.00030 -21.214 -20.574 1
0345 73.92763 +2.91628 0.15330 0.00010 -20.670 -19.984 3
0346 73.55696 +2.93619 0.19849 0.00038 -20.581 -19.842 1
0347 73.80030 +2.91997 0.27143 0.00009 -20.867 -20.494 3
0348 73.82896 +2.90472 0.37680 0.00016 -21.001 -20.467 3
0349 73.93958 +2.87892 0.31603 0.00026 -21.173 -20.665 3
0350 73.79267 +2.90267 0.28005 0.00005 -20.851 -20.393 3
0351 73.79833 +2.80906 0.20627 0.00011 -20.875 -20.218 1
0352 73.57454 +2.92642 0.20250 0.00034 -21.064 -20.355 1
0353 73.71779 +2.86067 0.21322 0.00006 -20.673 -20.486 1
0354 73.59087 +2.91653 0.19633 0.00049 -20.579 -19.884 1
0355 74.01913 +2.74758 0.22450 0.00049 -20.911 -20.282 3
0356 73.95421 +2.77614 0.16539 0.00029 -21.491 -20.743 3
0357 73.70342 +2.87625 0.20635 0.00005 -19.599 -19.093 1
0358 73.81762 +2.83083 0.16507 0.00019 -20.356 -19.670 3
0359 74.01130 +2.78439 0.16693 0.00028 -19.590 -18.889 3
0360 73.87596 +2.65789 0.14795 0.00017 -20.695 -20.040 3
0361 73.96658 +2.68817 0.17633 0.00039 -20.788 -20.119 3
0362 73.69505 +2.81306 0.23686 0.00025 -21.492 -20.783 3
0363 73.78720 +2.78739 0.20573 0.00004 -19.782 -19.559 1
0364 73.70562 +2.81756 0.25906 0.00047 -21.181 -20.525 3
0365 73.84525 +2.74239 0.37704 0.00017 -21.143 -20.726 3
