GALAXY,PGC,DIST,INCL,PA,HAS_BAR,OM_P_ALMA,OM_P_ALMA_ERR_UP,OM_P_ALMA_ERR_DOWN,OM_P_ALMA_QUAL,OM_P_MUSE_MASS,OM_P_MUSE_MASS_ERR_UP,OM_P_MUSE_MASS_ERR_DOWN,OM_P_MUSE_MASS_QUAL,OM_P_MUSE_HA,OM_P_MUSE_HA_ERR_UP,OM_P_MUSE_HA_ERR_DOWN,OM_P_MUSE_HA_QUAL,R_CR_ALMA_1,R_CR_ALMA_1_ERR,R_CR_MUSE_MASS_1,R_CR_MUSE_MASS_1_ERR,R_CR_MUSE_HA_1,R_CR_MUSE_HA_1_ERR,LITERATURE_OM_P,LITERATURE_OM_P_ERR,LITERATURE_OM_P_REF
NGC1300,12412,18.989999771118164,31.799999237060547,278.0,1,24.88579830766181,1.671837643476679,0.2051094735816111,1.0,18.918493051741166,9.36003410272923,8.94054546833621,3.0,25.10078719608848,0.6705135200911906,0.6202335598388591,1.0,6.093534506857395,2.4556034579873085,0.07275862097740174,0.07275862097740174,6.093534506857395,2.4556034579873085,22.927260100604645,,1996A%26A...313..733L
NGC1317,12653,19.110000610351562,23.200000762939453,221.5,1,94.60788047456994,43.746708308785934,14.87005346435486,3.0,,,,,,,,,0.17601316571235656,0.17601316571235656,,,,,,,
NGC1365,13179,19.56999969482422,55.400001525878906,201.10000610351562,1,109.13127264524128,21.97476211164353,36.78137093821237,3.0,38.061665008028385,20.127645114007027,21.19386695394229,3.0,26.814731997328533,5.586622104397739,20.679554777727407,2.0,2.324613070487976,1.6218230724334721,2.811159992218018,1.1352761507034304,,,20.16121362711793,4.2002528389829035,2016ApJ...826....2S
NGC1385,13368,17.219999313354492,44.0,181.3000030517578,0,27.36267826499704,4.112795194969125,7.145106106356201,3.0,25.01043796034698,5.553246662396808,19.287443857296868,3.0,21.858186641045197,10.35027809390912,5.873132618086386,3.0,0.07585902810096741,0.07585902810096741,0.07585902810096741,0.07585902810096741,0.07585902810096741,0.07585902810096741,,,
NGC1433,13586,12.109999656677246,28.600000381469727,199.6999969482422,1,105.55383782281288,4.617606128025366,8.064561787841386,3.0,19.98845091851578,2.447836856623876,1.934184187219013,1.0,41.206558912141936,0.6603231143310376,0.7370660564952252,1.0,0.07208333611488343,0.07208333611488343,6.275,0.375,0.07208333611488343,0.07208333611488343,17.21962462862518,,2008AJ....136..300T
NGC1511,14236,15.279999732971191,72.69999694824219,297.0,0,44.29456074046007,1.5814606622255636,0.9782462830804506,1.0,,,,,,,,,0.31833331435918805,0.31833331435918805,,,,,,,
NGC1512,14391,17.1299991607666,42.5,261.8999938964844,1,27.587327022149083,2.2557077815531748,1.9707884178501966,1.0,22.25473420913624,5.147185236832425,5.50803762294665,1.0,24.993330455307643,2.3101058053787225,2.225801785609096,1.0,5.365870392322541,2.179486548900605,5.365870392322541,2.179486548900605,5.365870392322541,2.179486548900605,31.897419391178907,,2009MNRAS.400.1749K
NGC1546,14723,17.690000534057617,70.30000305175781,147.8000030517578,0,74.46306268189724,1.7783957735579456,2.117851922796905,3.0,,,,,,,,,2.3340973556041718,0.3685416877269745,,,,,,,
NGC1559,14814,19.440000534057617,65.4000015258789,244.5,1,21.16732972839421,3.0563663528047895,1.196455041278875,1.0,,,,,,,,,0.17181819528341294,0.17181819528341294,,,,,,,
NGC1566,14897,17.690000534057617,29.5,214.6999969482422,1,58.467150272700046,7.214412284604379,5.743877776327968,1.0,29.399025857045626,9.119303307092713,7.196180297111187,3.0,64.6546360400756,6.447332506189993,7.116657843763039,1.0,4.029389119148255,2.5060834765434263,6.756597608327865,2.7272084891796107,3.8082641065120697,2.284958463907242,28.89604975283491,,2005astro.ph..9708K
