key,file_name,bytes_size,subcategory,sortingCategory,restricted,visible,updated,version
psi-data/PSI-32/Raw Data/2018_306_181102_V10_0p17Dec_tSlosh11_tSlosh_1_L1.zip,2018_306_181102_V10_0p17Dec_tSlosh11_tSlosh_1_L1.zip,155898229,Legacy/CAL - Consortium for Ultracold Atoms in Space/2018_306_181102_V10_0p17Dec_tSlosh11_tSlosh_1_L1,Raw Data,False,True,"Thu, 19 Sep 2024 10:58:20 GMT",1
psi-data/PSI-32/Raw Data/2018_306_181102_V10_0p22Dec_tSlosh12_tSlosh_1_L1.zip,2018_306_181102_V10_0p22Dec_tSlosh12_tSlosh_1_L1.zip,12239809,Legacy/CAL - Consortium for Ultracold Atoms in Space/2018_306_181102_V10_0p22Dec_tSlosh12_tSlosh_1_L1,Raw Data,False,True,"Thu, 19 Sep 2024 10:58:20 GMT",1
psi-data/PSI-32/Raw Data/2018_307_181102_V10_0p05Dec_tSlosh14_tSlosh_1_L1.zip,2018_307_181102_V10_0p05Dec_tSlosh14_tSlosh_1_L1.zip,133663917,Legacy/CAL - Consortium for Ultracold Atoms in Space/2018_307_181102_V10_0p05Dec_tSlosh14_tSlosh_1_L1,Raw Data,False,True,"Thu, 19 Sep 2024 10:58:20 GMT",1
psi-data/PSI-32/Raw Data/2018_307_tabs_to_pngs.csv,2018_307_tabs_to_pngs.csv,50618,Legacy/CAL - Consortium for Ultracold Atoms in Space/2018_307_181102_V10_0p05Dec_tSlosh14_tSlosh_1_L1,Raw Data,False,True,"Thu, 19 Sep 2024 10:58:20 GMT",1
psi-data/PSI-32/Raw Data/2018_307_181102_V10_0p05Dec_tSlosh15_tSlosh_1_L1.zip,2018_307_181102_V10_0p05Dec_tSlosh15_tSlosh_1_L1.zip,109715811,Legacy/CAL - Consortium for Ultracold Atoms in Space/2018_307_181102_V10_0p05Dec_tSlosh15_tSlosh_1_L1,Raw Data,False,True,"Thu, 19 Sep 2024 10:58:20 GMT",1
psi-data/PSI-32/Raw Data/2018_307_181102_V10_0p22Dec_tSlosh12_tSlosh_1_L1.zip,2018_307_181102_V10_0p22Dec_tSlosh12_tSlosh_1_L1.zip,146566267,Legacy/CAL - Consortium for Ultracold Atoms in Space/2018_307_181102_V10_0p22Dec_tSlosh12_tSlosh_1_L1,Raw Data,False,True,"Thu, 19 Sep 2024 10:58:20 GMT",1
psi-data/PSI-32/Raw Data/2018_307_181102_V10_0p22Dec_tSlosh13_tSlosh_1_L1.zip,2018_307_181102_V10_0p22Dec_tSlosh13_tSlosh_1_L1.zip,158278739,Legacy/CAL - Consortium for Ultracold Atoms in Space/2018_307_181102_V10_0p22Dec_tSlosh13_tSlosh_1_L1,Raw Data,False,True,"Thu, 19 Sep 2024 10:58:20 GMT",1
psi-data/PSI-32/Raw Data/2018_352_181218_V11_3628008958_STA_tSlosh_tSlosh_1_L1.zip,2018_352_181218_V11_3628008958_STA_tSlosh_tSlosh_1_L1.zip,244437509,Legacy/CAL - Consortium for Ultracold Atoms in Space/2018_352_181218_V11_3628008958_STA_tSlosh_tSlosh_1_L1,Raw Data,False,True,"Thu, 19 Sep 2024 10:58:20 GMT",1
psi-data/PSI-32/Raw Data/2018_352_tabs_to_pngs.csv,2018_352_tabs_to_pngs.csv,37627,Legacy/CAL - Consortium for Ultracold Atoms in Space/2018_352_181218_V11_3628008958_STA_tSlosh_tSlosh_1_L1,Raw Data,False,True,"Thu, 19 Sep 2024 10:58:20 GMT",1
psi-data/PSI-32/Raw Data/2018_352_181218_V11_3628008958_STA_tSlosh_tSlosh_2_L1.zip,2018_352_181218_V11_3628008958_STA_tSlosh_tSlosh_2_L1.zip,6182755,Legacy/CAL - Consortium for Ultracold Atoms in Space/2018_352_181218_V11_3628008958_STA_tSlosh_tSlosh_2_L1,Raw Data,False,True,"Thu, 19 Sep 2024 10:58:20 GMT",1
