tree	branch	typename
dijets/DecayTree	CELLjet_Constituents_pT	float[]
dijets/DecayTree	CELLjet_Constituents_ID	float[]
dijets/DecayTree	CELLjet_Constituents_pX	float[]
dijets/DecayTree	CELLjet_Constituents_pY	float[]
dijets/DecayTree	CELLjet_Constituents_pZ	float[]
dijets/DecayTree	CELLjet_Constituents_Eta	float[]
dijets/DecayTree	CELLjet_Constituents_Phi	float[]
dijets/DecayTree	CELLjet_Constituents_Q	float[]
dijets/DecayTree	CELLjet_Constituents_IP	float[]
dijets/DecayTree	CELLjet_Constituents_IPCHI2	float[]
dijets/DecayTree	CELLjet_Constituents_IPraw	float[]
dijets/DecayTree	CELLjet_Constituents_NNe	float[]
dijets/DecayTree	CELLjet_Constituents_NNk	float[]
dijets/DecayTree	CELLjet_Constituents_NNp	float[]
dijets/DecayTree	CELLjet_Constituents_NNpi	float[]
dijets/DecayTree	CELLjet_Constituents_NNmu	float[]
dijets/DecayTree	CELLjet_Constituents_Chi2	float[]
dijets/DecayTree	CELLjet_Constituents_QoverP	float[]
dijets/DecayTree	CELLjet_Constituents_trackX	float[]
dijets/DecayTree	CELLjet_Constituents_trackY	float[]
dijets/DecayTree	CELLjet_Constituents_trackZ	float[]
dijets/DecayTree	CELLjet_Constituents_trackVX	float[]
dijets/DecayTree	CELLjet_Constituents_trackVY	float[]
dijets/DecayTree	CELLjet_Constituents_trackVZ	float[]
dijets/DecayTree	CELLjet_Constituents_CaloNeutralEcal	float[]
dijets/DecayTree	CELLjet_Constituents_CaloNeutralHcal2Ecal	float[]
dijets/DecayTree	CELLjet_Constituents_CaloNeutralE49	float[]
dijets/DecayTree	CELLjet_Constituents_CaloNeutralPrs	float[]
dijets/DecayTree	CELLjet_0_ENDVERTEX_X	double
dijets/DecayTree	CELLjet_0_ENDVERTEX_Y	double
dijets/DecayTree	CELLjet_0_ENDVERTEX_Z	double
dijets/DecayTree	CELLjet_0_ENDVERTEX_XERR	double
dijets/DecayTree	CELLjet_0_ENDVERTEX_YERR	double
dijets/DecayTree	CELLjet_0_ENDVERTEX_ZERR	double
dijets/DecayTree	CELLjet_0_ENDVERTEX_CHI2	double
dijets/DecayTree	CELLjet_0_ENDVERTEX_NDOF	int32_t
dijets/DecayTree	CELLjet_0_ENDVERTEX_COV_	float[3][3]
dijets/DecayTree	CELLjet_0_OWNPV_X	double
dijets/DecayTree	CELLjet_0_OWNPV_Y	double
dijets/DecayTree	CELLjet_0_OWNPV_Z	double
dijets/DecayTree	CELLjet_0_OWNPV_XERR	double
dijets/DecayTree	CELLjet_0_OWNPV_YERR	double
dijets/DecayTree	CELLjet_0_OWNPV_ZERR	double
dijets/DecayTree	CELLjet_0_OWNPV_CHI2	double
dijets/DecayTree	CELLjet_0_OWNPV_NDOF	int32_t
dijets/DecayTree	CELLjet_0_OWNPV_COV_	float[3][3]
dijets/DecayTree	CELLjet_0_IP_OWNPV	double
dijets/DecayTree	CELLjet_0_IPCHI2_OWNPV	double
dijets/DecayTree	CELLjet_0_FD_OWNPV	double
dijets/DecayTree	CELLjet_0_FDCHI2_OWNPV	double
dijets/DecayTree	CELLjet_0_DIRA_OWNPV	double
dijets/DecayTree	CELLjet_0_ORIVX_X	double
dijets/DecayTree	CELLjet_0_ORIVX_Y	double
dijets/DecayTree	CELLjet_0_ORIVX_Z	double
dijets/DecayTree	CELLjet_0_ORIVX_XERR	double
dijets/DecayTree	CELLjet_0_ORIVX_YERR	double
dijets/DecayTree	CELLjet_0_ORIVX_ZERR	double
dijets/DecayTree	CELLjet_0_ORIVX_CHI2	double
dijets/DecayTree	CELLjet_0_ORIVX_NDOF	int32_t
dijets/DecayTree	CELLjet_0_ORIVX_COV_	float[3][3]
dijets/DecayTree	CELLjet_0_FD_ORIVX	double
dijets/DecayTree	CELLjet_0_FDCHI2_ORIVX	double
dijets/DecayTree	CELLjet_0_DIRA_ORIVX	double
dijets/DecayTree	CELLjet_0_P	double
dijets/DecayTree	CELLjet_0_PT	double
dijets/DecayTree	CELLjet_0_PE	double
dijets/DecayTree	CELLjet_0_PX	double
dijets/DecayTree	CELLjet_0_PY	double
dijets/DecayTree	CELLjet_0_PZ	double
dijets/DecayTree	CELLjet_0_MM	double
dijets/DecayTree	CELLjet_0_MMERR	double
dijets/DecayTree	CELLjet_0_M	double
dijets/DecayTree	CELLjet_0_ID	int32_t
dijets/DecayTree	CELLjet_0_BDTTag_Tag	double
dijets/DecayTree	CELLjet_0_BDTTag_NbTag	int32_t
dijets/DecayTree	CELLjet_0_BDTTag_fdrMin	float[]
dijets/DecayTree	CELLjet_0_BDTTag_ptSvrJet	float[]
dijets/DecayTree	CELLjet_0_BDTTag_nTrk	float[]
dijets/DecayTree	CELLjet_0_BDTTag_nTrkJet	float[]
dijets/DecayTree	CELLjet_0_BDTTag_drSvrJet	float[]
