branch	typename	per_constituent
Jet1_L0PhotonDecision_TIS	bool	0
Jet1_L0PhotonDecision_TOS	bool	0
Jet1_L0MuonDecision_Dec	bool	0
Jet1_L0MuonDecision_TIS	bool	0
Jet1_L0MuonDecision_TOS	bool	0
Jet1_L0ElectronDecision_Dec	bool	0
Jet1_L0ElectronDecision_TIS	bool	0
Jet1_L0ElectronDecision_TOS	bool	0
Jet1_L0DiMuonDecision_Dec	bool	0
Jet1_L0DiMuonDecision_TIS	bool	0
Jet1_L0DiMuonDecision_TOS	bool	0
Jet1_L0MuonEWDecision_Dec	bool	0
Jet1_L0MuonEWDecision_TIS	bool	0
Jet1_L0MuonEWDecision_TOS	bool	0
Jet1_Hlt1TrackMVADecision_Dec	bool	0
Jet1_Hlt1TrackMVADecision_TIS	bool	0
Jet1_Hlt1TrackMVADecision_TOS	bool	0
Jet1_Hlt1TwoTrackMVADecision_Dec	bool	0
Jet1_Hlt1TwoTrackMVADecision_TIS	bool	0
Jet1_Hlt1TwoTrackMVADecision_TOS	bool	0
Jet1_Hlt1TrackMuonDecision_Dec	bool	0
Jet1_Hlt1TrackMuonDecision_TIS	bool	0
Jet1_Hlt1TrackMuonDecision_TOS	bool	0
Jet1_Hlt1TrackMVATightDecision_Dec	bool	0
Jet1_Hlt1TrackMVATightDecision_TIS	bool	0
Jet1_Hlt1TrackMVATightDecision_TOS	bool	0
