experiment_index,phi_Rb87_rad,phi_Rb85_rad,dphi_rad
102,-3.085417896890693,2.7364965573116926,-0.46127085297719006
103,-2.873742861616254,-3.053310065147695,-0.17956720353144462
104,-0.9010170313414214,-0.784448761414918,0.11656826992650693
105,2.5724225326428503,1.239231328773986,-1.3331912038688607
106,-0.3487116408567168,-0.7294448874439574,-0.38073324658723706
107,2.6275596255910436,2.1666528853132796,-0.46090674027776046
108,-0.8185051240049681,-1.4085280304385002,-0.5900229064335285
109,-1.7458942380398632,-2.694411934774873,-0.9485176967350064
110,2.8129364222735695,2.4926112141282992,-0.3203252081452739
111,2.0364094433264164,1.6818261638620235,-0.3545832794643893
112,-2.288887026809622,2.7691645724492737,-1.225133707920687
113,1.3316032257180375,1.0501426307667678,-0.2814605949512661
114,-3.1242772002537116,-2.61644264082069,0.5078345594330251
115,-2.495235264988363,-2.3485644097402094,0.14667085524814993
116,1.531489755446099,0.7066829471501315,-0.8248068082959712
117,1.358108761370186,0.10946136759654124,-1.2486473937736484
118,2.0057494685923594,1.96591430118902,-0.0398351674033357
119,2.2857968826235613,2.008999460551056,-0.2767974220725016
120,-1.9674940131155232,3.1148821415415178,-1.2008091525225346
121,0.03672526988727398,-1.1481764307604685,-1.184901700647739
122,2.672631710743051,2.2216620417983073,-0.4509696689447473
123,3.108485731727864,2.7500025442266214,-0.3584831875012462
124,-1.6550108889005308,-1.097923027377032,0.5570878615235024
125,-0.27236732026832655,-1.110922920561901,-0.8385556002935708
126,2.373616533157918,0.2368087413889306,-2.136807791768984
127,-2.783905577395654,2.843149646090712,-0.6561300836932098
128,-2.7198736908775807,2.7830175643851156,-0.7802940519168793
129,2.119950225625974,1.104848891504492,-1.0151013341214785
130,0.6604211184611195,-0.8401930114913618,-1.5006141299524778
131,-1.492028106240138,-2.7851834796949184,-1.293155373454777
132,-2.4148903793115046,-2.6696412939576,-0.2547509146460918
133,0.2162881551051079,-0.0126879016995467,-0.22897605680465105
134,1.143165799620693,0.4467225058946873,-0.6964432937260021
135,0.45450494437266187,-0.08605164175437707,-0.5405565861270354
136,0.06171810701367875,-1.0626049813872065,-1.1243230884008817
137,-1.6462062688261447,-2.3974911118451097,-0.7512848430189614
138,0.6891902557157046,0.0756575495047862,-0.6135327062109148
139,-1.2928524531313137,-1.6302148121739286,-0.33736235904261136
140,-0.287740687866755,-2.781543398766221,-2.4938027108994696
141,-1.139176364953311,-0.7133549000257311,0.42582146492758355
142,-0.7554013635232728,-1.284325621734535,-0.5289242582112585
143,-2.3793772477952224,-2.70815836669043,-0.3287811188952041
144,-2.351716624029965,-2.113421853929605,0.2382947701003566
145,-0.04338220656358871,-0.6947455434487004,-0.6513633368851082
146,-0.2001809927506848,-0.33516474428526166,-0.13498375153457332
147,1.7065793251991188,1.198333652231991,-0.5082456729671314
148,-0.26873422648710843,-0.756222839676564,-0.487488613189452
149,0.7082269956004588,1.1831711446964839,0.47494414909602156
150,2.6318680922211932,1.9521772521496779,-0.6796908400715118
151,2.589735146511156,2.027214940035318,-0.5625202064758348
152,-2.7087333537079736,2.999456290644435,-0.574995662827174
153,1.2091492006504048,0.979352827626375,-0.22979637302402622
154,-2.691301038848163,2.7104122705905134,-0.8814719977408991
155,-0.9382296253903881,-1.442413825861916,-0.5041842004715242
156,1.6435143635835736,1.8958083104156138,0.25229394683204376
157,2.907781602387548,2.3611984678087374,-0.5465831345788068
158,1.2503570166108524,0.3422664020292423,-0.9080906145816066
159,0.21489005223441282,0.6691878309981867,0.4542977787637774
160,-2.6299479758849778,-2.39513675905523,0.23481121682974404
161,-3.026803316674833,-3.069020155360885,-0.042216838686055524
162,0.5476262456033858,0.7089529278899711,0.16132668228658886
163,-0.9751948233300816,-1.1504255898205535,-0.17523076649046843
164,0.7385261985170821,-0.03258060058120904,-0.7711067990982876
165,-1.5026044081966852,-2.7556316058523898,-1.2530271976557081
166,2.8047379818969667,1.7553105284336574,-1.0494274534633057
167,0.6164548644239751,0.408802444338324,-0.20765242008564755
168,-1.9301296078957897,-3.133015291382886,-1.202885683487093
169,-2.65709488566279,3.123453541363215,-0.5026368801535703
170,-1.3752678763629227,-2.1644502920105673,-0.789182415647641
171,0.08578370597763652,-0.13523130173998865,-0.22101500771762161
172,-0.911182864537647,-2.1647016788597107,-1.2535188143220601
173,2.176960673811312,2.5663946423127832,0.38943396850146783
