sample_index,phi_accel_rad
240,-3.183750457643353
241,2.1636747589936367
242,-7.358819358120237
243,2.2711179488639632
244,-6.088488774315433
245,2.9371147090674863
246,7.912154125602088
247,-4.069448544760961
248,-4.720597231212454
249,15.660180366126797
250,-1.7035866740020063
251,-4.221667465629093
252,-2.6329970550067694
253,-1.168548544519469
254,4.717214192675127
255,-4.4501146551755
256,-2.6587707652852193
257,0.21919268564214714
258,-1.484352756421919
259,-4.065216341911319
260,6.13148750771779
261,-12.511074904578836
262,-2.6903609231277352
263,5.012625975864475
264,2.085163958856761
265,-7.139328798890676
266,2.49118586616665
267,-2.259998516776748
268,0.2783847335353173
269,0.4373321525650817
270,-7.579526264988979
271,8.851831304668302
272,-1.1394786407829218
273,-7.199656110733304
274,6.083834111950034
275,5.411184183739444
276,-5.2117191165952175
277,9.671906638551
278,-9.875297319114704
279,-2.615118456402428
280,1.6097270737673712
281,-4.131574862764203
282,-4.219761573259666
283,8.959288429059908
284,-3.694234532349844
285,1.500405184950764
286,3.58105030261931
287,-9.112708823434213
288,-3.756719194407158
289,5.759774319393692
290,6.96577988879361
291,1.5955064890668642
292,-9.936757670263663
293,-5.977169329017341
294,13.793183785521608
295,1.351739540801106
296,-8.60455721954433
297,-4.178874669094917
298,4.137677157642065
299,1.8479215807380729
300,1.400344373756771
301,-10.478866488204487
302,1.4832568298534055
303,0.9967565553485139
304,1.7157847291061565
305,2.220120786902885
306,9.87903380210199
307,-7.478864309593653
308,6.994829745212491
309,-5.550825707774903
310,-11.29242128966156
311,4.602752657683588
312,13.96391698368566
313,-4.398229073591982
314,0.33650939359789006
315,6.956267337079468
316,7.124238920445739
317,8.763378816062229
318,-1.2145108863741123
319,-8.308654248674445
320,6.3154496553820385
321,-1.0313305909030848
322,1.1124292169009364
323,-2.2564973467275506
324,-5.903375898027239
325,4.068901714862422
326,7.613538033217581
327,-2.861531314969672
328,6.0133318711050245
329,11.323529672137537
330,-20.951768727723966
331,3.474738835876443
332,-2.901283673537609
333,-6.2991746982774846
334,-0.7593022102359039
335,2.8124515487650723
336,-3.723234122919106
337,-2.389286608833408
338,-4.839640053958079
339,3.6452472348616065
340,6.108091069212447
341,-10.188369637990006
342,-1.1227390858879627
343,14.685041062392573
344,-8.119590588408606
345,-3.610721318626847
346,3.7882650062026406
347,5.329495643870096
348,-2.489334680207258
349,-5.839116155717317
350,6.989154789434343
351,5.684131225510487
352,-2.504731415869165
353,-1.41039366884166
354,6.170223402297263
355,-6.779712634244392
356,-0.1260990654569879
357,10.306056255119364
358,1.524527384332011
359,-6.193198128722518
360,2.1399103444524075
361,-5.9777105937813015
362,1.4458094551753082
363,-0.46116876141656804
364,2.861436842988337
365,3.2833355753955353
366,1.2741236031003058
367,-1.2189298303522063
368,-0.7756718517764083
369,-13.074203187239034
370,-0.6677231264130636
371,5.27144727465136
372,-0.35306123156431196
373,1.6425846970388012
374,-0.2569278037557656
375,-10.162351376867564
376,5.256523086643676
377,-6.5541463966202755
378,-0.031104066660492622
379,5.733524681367985
380,-7.6235550304988235
381,-0.28221510146051504
382,-0.5163820265895621
383,-4.016368151778407
384,0.5050300974598694
385,1.4107761042767961
386,1.3899500619346796
387,6.709766419427608
388,0.6894634017803857
389,-5.904981372964285
390,2.2829272523017328
391,-2.871571721503544
392,-3.9186113192711254
393,3.9905945176587436
394,-9.575339875697301
395,-0.16406316818838937
396,-0.18056247770226697
397,5.367477579198094
398,-7.433529530885812
399,-6.554520326729253
400,-0.7590624480066571
401,0.552183821044213
402,-4.140902659955251
403,-2.35991307573446
404,0.6765146256445024
405,2.786891169231579
406,-1.0942886132882017
407,-0.9299997025481833
408,1.927798378754327
409,-4.386560903915397
410,10.58670478595393
411,7.536088274080334
412,0.5040746827912886
413,0.6537594666152614
414,7.642241839261913
415,-3.2165211292943496
416,4.249323661800827
417,0.764038832676288
418,-1.0434757732185647
419,-0.7083607047734899
420,-0.36875932898998276
421,-2.0386965272663886
422,0.46736193742540416
423,6.708465827306859
424,2.4289370299619697
425,-9.49135758371937
426,4.919110152557117
427,3.9461561574562545
428,-5.402581586235545
429,6.27718412422439
