sample_index,a_z_m_per_s2
324,0.00004490084175496603
325,0.00019836902053634758
326,-0.00004643080079095381
327,0.0000847703777730718
328,0.00016612455622843497
329,0.0005793277345751461
330,0.00039491591281321523
331,0.000012744090942652794
332,0.000628811268963469
333,8.466446875674211e-6
334,0.0008199276246792787
335,-0.00012104419762570725
336,-0.00035067002003927333
337,-0.0005278116425614095
338,-0.00037466766519210503
339,-0.00046031048793134996
340,-0.000466301310779134
341,-0.0006168111337354467
342,-0.001055742956800278
343,-0.0003346427799736173
344,-0.0008215356032554545
345,-0.0007811964266457794
346,-0.00012529825014458157
347,0.000055784926248149164
348,1.1631025324230788e-6
349,-0.000039075721291749596
350,-0.00030258054522435844
351,0.0002638736307346069
352,-0.0003184601934148436
353,0.00005061198232730055
354,-0.00019553884203895038
355,0.00014428833348641384
356,0.00014172550890340324
357,0.0000523746842120285
358,0.00018136585941229985
359,0.0003017140345042274
360,0.000018868209487821414
361,0.000018873384363092115
362,0.00049057855913005
363,0.00009631373378870514
364,0.00010848990833906794
365,-0.00002246691721885161
366,-0.00017664974288504273
367,-0.0004852902686594957
368,-0.0002715333945421998
369,-0.00014343622053314517
370,-0.0006730860466323212
371,-0.00017319587283971778
372,0.0004664993008446751
373,0.00045106147442086804
374,0.00015502864788887144
375,0.0004667718212486952
376,0.0005790909945003499
377,0.00016375416764384542
378,0.00004831834067919221
379,-0.0000467264863935992
380,0.00015539468642548112
381,0.0004639778591364434
382,-0.000362077968260702
383,0.00007863920423405526
384,0.00013313737662072535
385,-0.00017946645110068158
386,0.00025364672106984506
387,-5.8491068676848855e-6
388,0.0002701500650867391
389,0.000516770236933127
390,-0.0004898388913285104
391,-0.0006296397196981633
392,0.00012277175182417858
393,-0.0008037730767614742
394,-0.00012415590545511175
395,-0.00025746973425672375
396,-0.0002558565631662997
397,-0.00046569439218382963
398,-0.0004089292213093032
399,-0.00075265405054271
400,-0.0003951498798840401
401,-0.00011163570933328299
402,-0.00031326653889042857
403,9.476631444533395e-6
404,-0.00017682219832838674
405,0.00017404897179082131
406,-0.0002737158581978325
407,-0.0002467656882943375
408,-0.0001415035184986839
409,9.507651189138923e-6
410,0.00015625282076914097
411,0.00010287099024133264
412,-0.000035980840394276
413,0.00027628732886232556
414,0.00010371249801114724
415,0.00018286666705219945
416,0.00007455583598549244
417,0.000015512004811036413
418,-0.00001618482647115847
419,0.000046755342138918104
420,-0.00035365248935872366
421,-0.00004401932096407342
422,-0.000196125152677121
423,-0.00011861298449785648
424,-0.0003852218164262691
425,0.00032428735153765113
426,-0.00034756848060608556
427,-0.00011515331285746888
428,0.0002133518547835112
429,-0.00010173197768313479
430,0.00035808118974260303
431,-0.00006209064293926476
432,-0.000028362475728728096
433,0.0004144996913742233
434,-0.00012484314163040063
435,-0.0000468279747425891
436,0.0004663841920376675
437,0.00032911735871037984
438,0.00012061952527555795
439,0.00032807869173321204
440,0.0002624688580833525
441,0.00026574602432598944
442,-9.539809538866963e-6
443,-0.00013642064351120645
444,-0.0001438634775910187
445,-0.000027078311778293653
446,-0.00014737114607302096
447,-0.0001473659804751905
448,0.000190965185015208
449,0.00042315835039818473
450,-0.00003975948432625011
451,0.0003144616808419138
452,-0.0001289711540973135
453,-0.00008398698914392164
454,0.0003895501757020996
455,0.0004167343404407603
456,0.00008964750507207064
457,0.0001130356695960411
458,0.0002790438340126817
459,0.00007150599832200278
460,-0.00007718383747598568
461,0.00016144132661872665
462,0.00047655649060615016
463,-0.0002393293455137052
464,0.00010781181825917079
465,0.00044221298192478843
466,-0.00013956285451684186
467,-0.00013484569106571027
468,0.0002625904722781936
469,-0.00034793836448511993
470,-0.000113970201355641
471,0.00001411596166664105
472,-0.00007861787541826415
473,-0.0004741564126103458
474,0.00013476445009040592
475,-0.0008259503873159986
476,-0.0005412411248295491
477,-0.0002255000624502357
478,-0.000390570900178048
479,0.0003721472619870243
480,-0.0007087305759550087
481,-0.0004645344140041369
482,-0.00020707125216035008
483,-0.00042282809042363775
484,-0.0005639127187939901
485,0.00018337323272860323
486,-0.0002848936058558475
487,-0.0004169334445473322
488,-0.0002460792833458406
489,-0.0003216941222513627
490,0.000260572038736112
491,-0.00018347480038340646
492,-0.000010286639609907874
493,-0.00015666447894338207
494,-0.00024604831838381894
495,-0.00006326815793120805
496,-0.00013977599758553948
497,0.00034950516265319707
498,0.000512185322785012
499,0.00037809048280991497
