row_index,c000,c001,c002,c003,c004,c005,c006,c007,c008,c009,c010,c011,c012,c013,c014,c015,c016,c017,c018,c019,c020,c021,c022,c023,c024,c025,c026,c027,c028,c029,c030,c031,c032,c033,c034,c035,c036,c037,c038,c039,c040,c041,c042,c043,c044,c045,c046,c047,c048,c049,c050,c051
10,-0.6009893152327663,-1.6401092445250924,-2.85494949496632,-4.218514147787005,-5.632632765739288,-6.928773980204596,-7.854729959012218,-8.202168840084141,-7.926877462569678,-7.1646902633971195,-6.189265835481933,-5.266910690164195,-4.526512760167407,-3.963311832650959,-3.4519421275455215,-2.889362040913909,-2.1824554421247058,-1.2939470537473312,-0.24828595989635005,0.86092766706156,1.8786533832633268,2.59962223921508,2.864405700922248,2.648671166003737,2.105242502517399,1.4679324358785948,0.9641638313645444,0.6450092382855246,0.4625760359757578,0.3013253425176572,0.09552623358587198,-0.1321876256216683,-0.32694713462524305,-0.42317143929636813,-0.39972123480367827,-0.28336741045296776,-0.11416466020631333,0.0372240257232761,0.14142867009468318,0.2167764309185145,0.31319555515315756,0.4496007689224655,0.5870379412130546,0.6224694694445247,0.4412711345680691,-0.047978286554467786,-0.8263731437712636,-1.7785309976285362,-2.6930488941383715,-3.369586869250739,-3.666881525637251,-3.598713064715355
11,-1.0189988145130542,-1.9141413394844449,-2.991936021275933,-4.242747291434171,-5.588685701802035,-6.885782313806715,-7.900421789506424,-8.423728542694562,-8.390424108696152,-7.895895666406659,-7.174231570783945,-6.4621694707473125,-5.874917238454714,-5.4053730589633915,-4.93202191868329,-4.365459801031932,-3.6396519075059928,-2.7589698596600556,-1.788882066657095,-0.8501009210361872,-0.09360451423873428,0.3049296274165272,0.23659307538349594,-0.2724517268102886,-1.0295309132171155,-1.7791203244479448,-2.2907145148435006,-2.5304423507853926,-2.5760283138511113,-2.5761956553237155,-2.6279394942566228,-2.724923202481648,-2.815387373795147,-2.82201864295439,-2.698425297563233,-2.449056844546078,-2.1014795554099237,-1.7301038335763792,-1.3767353548102506,-1.0380982965039607,-0.6760011193122182,-0.28419213736123083,0.08559960651683696,0.3241330309033401,0.32086272409267735,-0.002128120877614492,-0.6085701205023781,-1.3679512155083557,-2.0618207339127537,-2.4967119892624794,-2.55041389567549,-2.262877402061349
12,-0.8729134142401449,-1.5684685042618298,-2.4091442565050443,-3.402252795628442,-4.504365638426407,-5.619685527863851,-6.560565806629313,-7.135945548157963,-7.2619131857780985,-6.9836979574837414,-6.478758059746383,-5.939763995857447,-5.461738854309374,-5.036119128477196,-4.553781625528472,-3.947812868159872,-3.190964436537456,-2.3384683130180974,-1.5004431291844185,-0.8178347798241248,-0.4226827181352064,-0.4421840965900401,-0.9221506190054924,-1.785201347228167,-2.809138412583934,-3.7277952119502515,-4.31640658823801,-4.553468482678568,-4.535837655797081,-4.43457259670862,-4.374401139691372,-4.3745134567706145,-4.39967543721707,-4.374726223320977,-4.233380763407752,-3.9546972065248838,-3.546414017594657,-3.0749148363951235,-2.584032231386402,-2.0814167139299116,-1.5406077427288665,-0.9679269956879466,-0.42511497584735025,-0.018773488645706493,0.15685309327238883,0.047931003146032936,-0.29201789938525735,-0.7275202684625697,-1.0546029652687139,-1.1087973399144175,-0.8034827694412172,-0.21071713209690301
13,0.3626324373102534,-0.10551073349699891,-0.641386167293831,-1.2648351095580779,-1.9733068306082941,-2.7318529214346086,-3.4143216825448235,-3.858139040048229,-3.9643616768332777,-3.729141681066153,-3.272319121064754,-2.743891517573161,-2.2219742173049326,-1.7006643105497687,-1.0895073342785508,-0.34806961782828694,0.5057463162937665,1.361823626655223,2.0654157645789155,2.463031346065918,2.454419643645224,1.974740997898948,1.0474958352133399,-0.2025781319982798,-1.5362495523239659,-2.688227621579358,-3.4479025801227863,-3.801791031698258,-3.85431871921071,-3.785650411626193,-3.740497878947963,-3.767674715081057,-3.856802823121086,-3.9455511437424207,-3.952400551869516,-3.8288894295056934,-3.556252884200717,-3.18108841961282,-2.7388386275066523,-2.244285590944969,-1.6835557352139858,-1.0761206061484927,-0.4900844779175486,-0.020787935375665256,0.2650755517278185,0.3464148893077095,0.2928600708706881,0.23480803888705282,0.3421302675996287,0.7305480079525069,1.4381214039714507,2.358395458466731
14,3.056092208234247,2.8539008441563283,2.6904125500761893,2.5375889528078233,2.3580907372715956,2.126754705464407,1.9083501129634897,1.8367420903246625,2.0220552944373367,2.505930210832844,3.2112320112436237,4.0136816824885955,4.838904059370066,5.682584451855291,6.612783313079035,7.645253091095242,8.718845567730682,9.673351287832247,10.31546005508028,10.486894171637232,10.125939496350725,9.232568848285268,7.893446365447517,6.2692423107837385,4.602281037449757,3.147956911378401,2.099237064313229,1.4678891527780706,1.1538167824054426,0.9812363850830934,0.7954717166269347,0.5202873793574554,0.1404743309767582,-0.29856674990332976,-0.7029553620578781,-0.9962751921951281,-1.1299502637643855,-1.1229637711119835,-0.9948084644548771,-0.7631752932614404,-0.424809900646153,-0.009664731012321681,0.4139811934061868,0.7687225208833297,1.021117224301861,1.1853555819002395,1.3435910732958405,1.6125115494973556,2.1140043255139176,2.9017602736936396,3.9582129504085515,5.1444613395541126
15,7.247571753358272,7.404606792667153,7.720650749588117,8.159539497184198,8.650615396869341,9.12256067472481,9.594516553336803,10.181511467878295,11.001003106265443,12.113268419968904,13.457299056268539,14.906955073810309,16.372055635082575,17.829073559454514,19.323115414101494,20.85221775461548,22.322146711501205,23.535897700779856,24.2722692729443,24.374065812947833,23.815685474590282,22.65055092256523,21.009372318286182,19.07114480286498,17.068336462168872,15.241630971636937,13.769234318375993,12.669173884147654,11.85643496030525,11.171726483872817,10.461992095206824,9.63295552570446,8.6519445108039,7.5510534252541675,6.435241236882803,5.406666182799768,4.5426287539193595,3.854535985171708,3.3434795181889854,2.9950634548648054,2.808186566927418,2.7483731419156925,2.7537501703699263,2.766389553154511,2.7827902124877255,2.8465976556515784,3.0459845645696646,3.4771995029761626,4.20834017863109,5.227050641075095,6.461578074302793,7.748799269147838
16,12.653800919586558,13.316753941371871,14.260295187586166,15.434578319235186,16.744212158887194,18.093631822009456,19.482114946353136,21.02169191271298,22.833614906689718,24.974861290964782,27.370543794185437,29.863737491294387,32.329331301202046,34.71714921822468,37.051609633031035,39.32241163745016,41.416765434215904,43.11754668617971,44.18561650546394,44.46442147182029,43.950747153314865,42.72842903023741,40.94572383663433,38.782725274736094,36.45499074972042,34.18962994610342,32.158232829126405,30.392921245161915,28.831298243725314,27.339111325410272,25.7758153805064,24.04338982755803,22.10639949228539,19.99416801875452,17.82375970057433,15.719354102013654,13.782587299894203,12.053794328737013,10.556837879707643,9.289112260048228,8.254873278869923,7.423115702074938,6.743307850865847,6.172994053059597,5.727113185783423,5.466181246404403,5.475420630414476,5.825068713510888,6.530037777687994,7.51629076734244,8.667546497134367,9.8113047867744
17,18.734675242007143,20.069239804827077,21.797108729987883,23.844672767200564,26.099069312789766,28.46333881762314,30.945178128138195,33.671012417698535,36.76489649012933,40.26292602446881,44.05256580114303,47.92484991839444,51.70677259304648,55.31748267981902,58.764030061579774,62.03528976374196,65.01273193554141,67.47216347187327,69.1603989537681,69.91288898603352,69.7263517676364,68.68753121137763,66.93754409531948,64.6471704473289,62.016377532965976,59.264464229964005,56.565721766933166,53.97069309963763,51.44228339088704,48.87485803265986,46.14967185727164,43.18161423458571,39.95105808113681,36.500386829000604,32.96288132662539,29.481066586297516,26.175046299799078,23.109566728186792,20.331225880403963,17.85755586596457,15.707297805912958,13.859245326730331,12.27543984921624,10.921079792293767,9.814329859816553,9.017321721810333,8.60213652130841,8.607520702516524,8.999324858210514,9.652322894850471,10.422450592847355,11.148346498300498
18,24.710278394376815,26.829568877855024,29.436645136164486,32.42413595423261,35.66711585629071,39.085911061709226,42.720513463234965,46.726251628207024,51.23215785142236,56.24502433550845,61.603715425892574,67.04014672234996,72.33096514018382,77.36547860179473,82.13656681628174,86.63523145308011,90.74399334030943,94.23616688896345,96.83974219634001,98.36537361165415,98.78255566202972,98.15560685472474,96.60238606252426,94.28375017893416,91.39297365750201,88.1497842043384,84.73811540192082,81.2268493214433,77.6025831285948,73.78751582862776,69.69126275549411,65.25641450230864,60.49621685036493,55.48251779580983,50.37067203915717,45.318895318378964,40.46066950506986,35.88060075196063,31.647762654743474,27.806743062010128,24.396042555349595,21.405441111445953,18.805129646675255,16.557891741600372,14.670700647750209,13.193955712893683,12.176957710455042,11.62153946055463,11.44908340202494,11.496563262249992,11.612911501032471,11.671566843474096
19,29.603198313879716,32.49782006838842,35.94577209217937,39.80110923685572,43.93179094812558,48.287135468315455,52.953847761847214,58.123737362516295,63.93499702558324,70.36709955105027,77.21554026349827,84.16385195821886,90.94989044409238,97.44108001181337,103.61966835650583,109.47636959508998,114.89331806185362,119.63540388374531,123.39914596764174,125.94837855548735,127.1985638087142,127.1724906234017,125.95885735404613,123.71556954099685,120.64272029502695,116.96990817740675,112.89591206773912,108.50680221571224,103.81024779626455,98.75226356358667,93.27232575310279,87.34707963784649,81.03070865833695,74.43398597010616,67.73763306511387,61.11304604355746,54.70419904469395,48.61372017082158,42.93533088384629,37.74622025440988,33.105761354739684,29.01020289658669,25.427847177214858,22.307408653013965,19.63313628077168,17.434911222197627,15.733647268969605,14.492660709736981,13.595028753021836,12.854494810795927,12.133100917317563,11.35979962565628
