# logmstar_GL_min[m]    logmstar_GL_min[n]    Radius[i](Mpc/h70)    Radius[j](Mpc/h70)    covariance(h70*M_sun/pc^2)^2    correlation    bias(1+K[m,i])(1+K[n,j])
8.500000000000000000e+00 8.500000000000000000e+00 3.539034586317788000e-02 1.408915045649939968e+00 1.547536510034254161e-04 1.093972692775840324e-04 9.708287439144076547e-01
8.500000000000000000e+00 8.500000000000000000e+00 3.539034586317788000e-02 1.915217671509155561e+00 1.140025147112208533e-04 1.077636418695119056e-04 9.708287439144076547e-01
8.500000000000000000e+00 8.500000000000000000e+00 3.539034586317788000e-02 2.603463381689461009e+00 -2.021688337450666044e-04 -2.563970083708098555e-04 9.708287439144076547e-01
8.500000000000000000e+00 8.500000000000000000e+00 4.810809282451224134e-02 3.539034586317788000e-02 3.782193000721636306e-02 1.032858134189191439e-03 9.708287439144076547e-01
8.500000000000000000e+00 8.500000000000000000e+00 4.810809282451224134e-02 4.810809282451224134e-02 2.686498345053709613e+01 1.000000000000000000e+00 9.708287439144076547e-01
8.500000000000000000e+00 8.500000000000000000e+00 4.810809282451224134e-02 6.539604343397804886e-02 2.281826216556993511e-02 1.153246814988011671e-03 9.708287439144076547e-01
8.500000000000000000e+00 8.500000000000000000e+00 4.810809282451224134e-02 8.889652958014769568e-02 1.362312819253246043e-02 9.301116924252689905e-04 9.708287439144076547e-01
8.500000000000000000e+00 8.500000000000000000e+00 4.810809282451224134e-02 1.208420656116956649e-01 9.075183698674245750e-03 8.375695324253777966e-04 9.708287439144076547e-01
8.500000000000000000e+00 8.500000000000000000e+00 4.810809282451224134e-02 1.642674341762205836e-01 -2.723154769386337826e-03 -3.386975878547229075e-04 9.708287439144076547e-01
8.500000000000000000e+00 8.500000000000000000e+00 4.810809282451224134e-02 2.232979864606629561e-01 -1.089254798566315074e-03 -1.827529020682695565e-04 9.708287439144076547e-01
8.500000000000000000e+00 8.500000000000000000e+00 4.810809282451224134e-02 3.035415449656087006e-01 2.031467191876133217e-04 4.594144502690034683e-05 9.708287439144076547e-01
8.500000000000000000e+00 8.500000000000000000e+00 4.810809282451224134e-02 4.126211390461415052e-01 -4.986802681119760234e-04 -1.517241032334474789e-04 9.708287439144076547e-01
8.500000000000000000e+00 8.500000000000000000e+00 4.810809282451224134e-02 5.608991823739490901e-01 -2.367765603882345795e-04 -9.666323484154359718e-05 9.708287439144076547e-01
8.500000000000000000e+00 8.500000000000000000e+00 4.810809282451224134e-02 7.624618881985674168e-01 7.075638081191971311e-04 3.856393481013295119e-04 9.708287439144076547e-01
8.500000000000000000e+00 8.500000000000000000e+00 4.810809282451224134e-02 1.036457440524030327e+00 -3.976013956616989916e-05 -2.889311224026733197e-05 9.708287439144076547e-01
8.500000000000000000e+00 8.500000000000000000e+00 4.810809282451224134e-02 1.408915045649939968e+00 2.620154741599046901e-05 2.524695194864893865e-05 9.708287439144076547e-01
8.500000000000000000e+00 8.500000000000000000e+00 4.810809282451224134e-02 1.915217671509155561e+00 -2.731398949512597692e-05 -3.519325220608351859e-05 9.708287439144076547e-01
8.500000000000000000e+00 8.500000000000000000e+00 4.810809282451224134e-02 2.603463381689461009e+00 1.290492551486439974e-04 2.230851619761586239e-04 9.708287439144076547e-01
8.500000000000000000e+00 8.500000000000000000e+00 6.539604343397804886e-02 3.539034586317788000e-02 1.057997190252010951e-02 3.922904877737606725e-04 9.708287439144076547e-01
