axis_id,axis_definition,gas_object,mass_object,delta_lead_kpc,delta_lead_arcsec,delta_perp_kpc,delta_perp_arcsec,sign,total_sep_kpc
AX_D,NW2_SL -> Main-1_SL   [alternative S2=Main-1/BCG1],XRAY_thiswork_NW_interloper,BCG_NW-BCG1,-310.27,-68.527,41.04,9.064,gas_TRAILS_outward,312.97
AX_E,NW1_SL -> Ebeling10 X-ray centre,XRAY_thiswork_NW_interloper,BCG_NW-BCG1,-312.7,-69.064,12.96,2.862,gas_TRAILS_outward,312.97
AX_F,Medezinski16 NW -> Medezinski16 Core  [WL-only],XRAY_thiswork_NW_interloper,BCG_NW-BCG1,-260.21,-57.471,173.91,38.41,gas_TRAILS_outward,312.98
AX_G,Merten11 NW -> Merten11 Core  [WL-only],XRAY_thiswork_NW_interloper,BCG_NW-BCG1,-299.71,-66.195,90.15,19.911,gas_TRAILS_outward,312.97
AX_H,NW X-ray peak -> main X-ray peak  [gas-only],XRAY_thiswork_NW_interloper,BCG_NW-BCG1,-312.7,-69.064,13.13,2.9,gas_TRAILS_outward,312.98
AX_A,"NW1_SL -> Main-2_SL   [S3 axis ""NW->S2"", S2=Main-2/BCG2 preferred]",XRAY_thiswork_NW_interloper,BCG_NW-BCG2,-132.73,-29.315,-6.41,-1.416,gas_TRAILS_outward,132.88
AX_B,NW2_SL -> Main-2_SL   [S2=Main-2/BCG2],XRAY_thiswork_NW_interloper,BCG_NW-BCG2,-131.76,-29.101,-17.29,-3.819,gas_TRAILS_outward,132.89
AX_C,NW1_SL -> Main-1_SL   [alternative S2=Main-1/BCG1],XRAY_thiswork_NW_interloper,BCG_NW-BCG2,-132.8,-29.331,-4.98,-1.1,gas_TRAILS_outward,132.89
AX_D,NW2_SL -> Main-1_SL   [alternative S2=Main-1/BCG1],XRAY_thiswork_NW_interloper,BCG_NW-BCG2,-132.06,-29.167,-14.8,-3.269,gas_TRAILS_outward,132.89
AX_E,NW1_SL -> Ebeling10 X-ray centre,XRAY_thiswork_NW_interloper,BCG_NW-BCG2,-130.19,-28.754,-26.62,-5.879,gas_TRAILS_outward,132.88
AX_F,Medezinski16 NW -> Medezinski16 Core  [WL-only],XRAY_thiswork_NW_interloper,BCG_NW-BCG2,-125.01,-27.61,45.07,9.954,gas_TRAILS_outward,132.89
AX_G,Merten11 NW -> Merten11 Core  [WL-only],XRAY_thiswork_NW_interloper,BCG_NW-BCG2,-132.73,-29.315,6.52,1.44,gas_TRAILS_outward,132.89
AX_H,NW X-ray peak -> main X-ray peak  [gas-only],XRAY_thiswork_NW_interloper,BCG_NW-BCG2,-130.21,-28.759,-26.55,-5.864,gas_TRAILS_outward,132.89
