project_code,legacy_id,obs_id,sci_prod_locator,pi,coIs,instrument_name,vla_configuration,obs_band,obs_start,obs_stop,proj_start,proj_stop,num_antennas,num_scans,dataproduct_type,data_rights,access_estsize,obs_release_date,cal_status,eb_id,distance_from_query,mjd_start,mjd_stop
AB922,AB922,AB922_1_51375.00723_51375.08825.exp,uid://VLA/execblock/e355c4d8-9699-4e34-b4ed-773a666521cd,I. Browne,,VLA,A,"[""X"",""C"",""L""]",1999-07-16T00:10:24.663Z,1999-07-16T02:07:04.670Z,1999-06-15T03:43:14.669Z,2000-02-14T17:34:41.329Z,0,45,visibility,PUBLIC,42838016,2001-02-13T17:34:41.329Z,Do Not Calibrate,210956,1.060124e-05,51375.00723,51375.088248
AB922,AB922,AB922_1_51378.05978_51378.18397.exp,uid://VLA/execblock/8841b6f6-b9c5-4d20-9f5c-8b6cc0a28149,I. Browne,,VLA,A,"[""X"",""C"",""L""]",1999-07-19T01:26:04.663Z,1999-07-19T04:24:54.662Z,1999-06-15T03:43:14.669Z,2000-02-14T17:34:41.329Z,0,62,visibility,PUBLIC,70180864,2001-02-13T17:34:41.329Z,Do Not Calibrate,204694,1.060124e-05,51378.059776,51378.183966
AB922,AB922,AB922_1_51380.17829_51380.22008.exp,uid://VLA/execblock/7d4023ca-d73d-402f-b8d5-e54fa9349a39,I. Browne,,VLA,A,"[""X"",""C"",""L""]",1999-07-21T04:16:44.670Z,1999-07-21T05:16:54.670Z,1999-06-15T03:43:14.669Z,2000-02-14T17:34:41.329Z,0,29,visibility,PUBLIC,21272576,2001-02-13T17:34:41.329Z,Do Not Calibrate,210637,1.060124e-05,51380.178295,51380.220077
AB922,AB922,AB922_1_51381.96452_51382.04832.exp,uid://VLA/execblock/a78d0027-e89f-46e5-8f7b-e905e1d3fe16,I. Browne,,VLA,A,"[""X"",""C"",""L""]",1999-07-22T23:08:54.666Z,1999-07-23T01:09:34.666Z,1999-06-15T03:43:14.669Z,2000-02-14T17:34:41.329Z,0,45,visibility,PUBLIC,46112768,2001-02-13T17:34:41.329Z,Do Not Calibrate,212899,1.060124e-05,51381.964522,51382.048318
AB922,AB922,AB922_1_51384.12853_51384.16745.exp,uid://VLA/execblock/ec4e3a32-2ed7-42d2-9753-8f0812ea0c34,I. Browne,,VLA,A,"[""X"",""C"",""L""]",1999-07-25T03:05:04.663Z,1999-07-25T04:01:07.999Z,1999-06-15T03:43:14.669Z,2000-02-14T17:34:41.329Z,0,32,visibility,PUBLIC,19861504,2001-02-13T17:34:41.329Z,Do Not Calibrate,211520,1.060124e-05,51384.128526,51384.167454
AB922,AB922,AB922_1_51385.18640_51385.24797.exp,uid://VLA/execblock/94229ed1-e7af-40b2-b87f-fe84b1d5bd53,I. Browne,,VLA,A,"[""X"",""C"",""L""]",1999-07-26T04:28:24.666Z,1999-07-26T05:57:04.668Z,1999-06-15T03:43:14.669Z,2000-02-14T17:34:41.329Z,0,39,visibility,PUBLIC,33067008,2001-02-13T17:34:41.329Z,Do Not Calibrate,213524,1.060124e-05,51385.186397,51385.247971
AB922,AB922,AB922_1_51385.99566_51386.03744.exp,uid://VLA/execblock/ad28c077-1500-4807-89a1-d06a7a204870,I. Browne,,VLA,A,"[""X"",""C"",""L""]",1999-07-26T23:53:44.669Z,1999-07-27T00:53:54.669Z,1999-06-15T03:43:14.669Z,2000-02-14T17:34:41.329Z,0,32,visibility,PUBLIC,20527104,2001-02-13T17:34:41.329Z,Do Not Calibrate,210155,1.060124e-05,51385.995656,51386.037438
AB922,AB922,AB922_1_51389.01012_51389.11232.exp,uid://VLA/execblock/30a037e8-a177-4791-8273-f47a1526db61,I. Browne,,VLA,A,"[""X"",""C"",""L""]",1999-07-30T00:14:34.670Z,1999-07-30T02:41:44.663Z,1999-06-15T03:43:14.669Z,2000-02-14T17:34:41.329Z,0,53,visibility,PUBLIC,57507840,2001-02-13T17:34:41.329Z,Do Not Calibrate,207271,1.060124e-05,51389.010123,51389.112322
AB922,AB922,AB922_1_51393.20596_51393.24681.exp,uid://VLA/execblock/9e09d6db-b191-448d-a211-f59620ecf1b9,I. Browne,,VLA,A,"[""X"",""C"",""L""]",1999-08-03T04:56:34.667Z,1999-08-03T05:55:24.669Z,1999-06-15T03:43:14.669Z,2000-02-14T17:34:41.329Z,0,28,visibility,PUBLIC,21458944,2001-02-13T17:34:41.329Z,Do Not Calibrate,203789,1.060124e-05,51393.205957,51393.246813
AB922,AB922,AB922_1_51393.93142_51394.01556.exp,uid://VLA/execblock/85c11e31-6b34-400d-9fd3-3732dceb5aea,I. Browne,,VLA,A,"[""X"",""C"",""L""]",1999-08-03T22:21:14.670Z,1999-08-04T00:22:24.669Z,1999-06-15T03:43:14.669Z,2000-02-14T17:34:41.329Z,0,45,visibility,PUBLIC,46299136,2001-02-13T17:34:41.329Z,Do Not Calibrate,207711,1.060124e-05,51393.93142,51394.015563
