mjd_minus_50000,S_A_mJy,e_S_A_mJy,S_B_mJy,e_S_B_mJy,S_C_mJy,e_S_C_mJy,S_D_mJy,e_S_D_mJy,nrao_project_code,nrao_obs_id,nrao_sci_prod_locator,nrao_obs_start_utc,nrao_obs_stop_utc,nrao_mjd_minus_50000,nrao_match_offset_days,nrao_vla_configuration,nrao_obs_band,nrao_num_scans,nrao_access_estsize_bytes,nrao_matched
478,32.845,0.295,16.223,0.149,16.945,0.156,5.845,0.064,AF310,AF310_1_50478.48050_50478.52199.exp,uid://VLA/execblock/1fa9f729-1a31-41a3-b4da-8f700eac533c,1997-01-30T11:31:55.001Z,1997-01-30T12:31:39.996Z,478.480498,0.4805,BnA,"[""X""]",17,14696448,1
481,33.523,0.306,16.735,0.155,16.709,0.155,6.015,0.063,AF310,AF310_1_50481.76568_50481.80463.exp,uid://VLA/execblock/9deb8ef1-2169-4636-b4d9-72d1cd8cf5ac,1997-02-02T18:22:35.002Z,1997-02-02T19:18:39.997Z,481.765683,0.76568,BnA,"[""X""]",16,14589952,1
487,33.643,0.306,16.325,0.151,17.410,0.161,5.960,0.062,AF310,AF310_1_50487.70758_50487.74664.exp,uid://VLA/execblock/541a9505-83ae-4ddf-958f-6e4672c0ae3d,1997-02-08T16:58:54.998Z,1997-02-08T17:55:09.998Z,487.707581,0.70758,BnA,"[""X""]",17,14856192,1
492,34.166,0.308,16.528,0.152,16.923,0.155,5.820,0.062,AF310,AF310_1_50492.54797_50492.58756.exp,uid://VLA/execblock/8b15b6b3-af07-45ec-b918-665d99c339e1,1997-02-13T13:09:04.996Z,1997-02-13T14:06:05.002Z,492.547974,0.54797,B,"[""X""]",17,14589952,1
497,33.754,0.304,17.080,0.156,16.961,0.155,5.725,0.060,AF310,AF310_1_50497.63791_50497.67778.exp,uid://VLA/execblock/0496e9f5-d28c-44f1-ac0a-2bcb836e8ae2,1997-02-18T15:18:35Z,1997-02-18T16:16:00.001Z,497.637905,0.6379,B,"[""X""]",17,15362048,1
502,34.051,0.307,16.427,0.150,17.323,0.158,5.879,0.060,AF310,AF310_1_50502.62425_50502.66412.exp,uid://VLA/execblock/26f66a9f-7151-45cb-9bb3-534238c1eb09,1997-02-23T14:58:55.001Z,1997-02-23T15:56:20.002Z,502.624248,0.62425,B,"[""X""]",17,15362048,1
507,34.040,0.308,16.761,0.156,17.495,0.162,5.808,0.067,AF310,AF310_1_50507.61047_50507.65058.exp,uid://VLA/execblock/9a3da76b-7934-4549-b5ac-cba71ff444af,1997-02-28T14:39:04.996Z,1997-02-28T15:36:49.999Z,507.610474,0.61047,B,"[""X""]",17,15468544,1
510,33.924,0.307,16.779,0.154,17.754,0.163,5.779,0.061,AF310,AF310_1_50510.60226_50510.64236.exp,uid://VLA/execblock/93ecb2d7-7437-4c32-ab0b-5ac0edc0e08d,1997-03-03T14:27:14.996Z,1997-03-03T15:24:59.999Z,510.602257,0.60226,B,"[""X""]",17,15468544,1
515,32.624,0.292,17.156,0.156,17.050,0.155,5.804,0.060,AF310,AF310_1_50515.50145_50515.54560.exp,uid://VLA/execblock/fd8569d5-2ab7-4637-9336-93a6e23383d4,1997-03-08T12:02:05.003Z,1997-03-08T13:05:40.004Z,515.501447,0.50145,B,"[""X""]",17,16666624,1
521,33.901,0.307,16.774,0.154,17.356,0.159,5.743,0.060,AF310,AF310_1_50521.58108_50521.63316.exp,uid://VLA/execblock/6aec8f53-53bc-4d5e-ad0f-4543526462a7,1997-03-14T13:56:45Z,1997-03-14T15:11:44.998Z,521.581076,0.58108,B,"[""X""]",21,20393984,1
523,34.102,0.310,16.648,0.157,17.337,0.162,5.792,0.069,AF310,AF310_1_50523.56823_50523.59647.exp,uid://VLA/execblock/1206be3b-9a2b-4b46-b582-089fb8afc58c,1997-03-16T13:38:15.002Z,1997-03-16T14:18:54.999Z,523.568229,0.56823,B,"[""X""]",13,10596352,1
528,34.548,0.314,16.691,0.155,17.386,0.161,5.582,0.061,AF310,AF310_1_50528.55330_50528.59317.exp,uid://VLA/execblock/b5a07d80-8372-4326-8782-605170077f55,1997-03-21T13:16:44.999Z,1997-03-21T14:14:10Z,528.553299,0.5533,B,"[""X""]",17,15521792,1
532,34.210,0.295,16.394,0.145,17.069,0.150,5.777,0.061,AF310,AF310_1_50532.68617_50532.72766.exp,uid://VLA/execblock/f385af54-951f-4300-8211-a99f1d8a896d,1997-03-25T16:28:05.001Z,1997-03-25T17:27:49.996Z,532.686169,0.68617,B,"[""X""]",17,15734784,1
537,33.749,0.307,16.636,0.153,17.181,0.158,5.792,0.058,AF310,AF310_1_50537.56898_50537.63090.exp,uid://VLA/execblock/f5d884be-320f-4762-9ede-600ef0783f13,1997-03-30T13:39:20.001Z,1997-03-30T15:08:30.001Z,537.568981,0.56898,B,"[""X""]",27,24174592,1
539,34.388,0.309,16.958,0.155,16.927,0.155,5.826,0.061,AF310,AF310_1_50539.50110_50539.54236.exp,uid://VLA/execblock/49695e3f-a87f-43f9-8588-8792f2082b3f,1997-04-01T12:01:34.996Z,1997-04-01T13:00:59.999Z,539.501099,0.5011,B,"[""X""]",17,16107520,1
543,34.049,0.306,16.921,0.155,17.185,0.157,5.830,0.062,AF310,AF310_1_50543.51233_50543.55220.exp,uid://VLA/execblock/ad64c0d5-b129-4b9e-ab59-6e180e93f800,1997-04-05T12:17:45Z,1997-04-05T13:15:10.002Z,543.512326,0.51233,B,"[""X""]",17,15521792,1
545,33.959,0.308,17.031,0.156,17.422,0.160,5.903,0.060,AF310,AF310_1_50545.50677_50545.54676.exp,uid://VLA/execblock/382c8f91-55c4-4eba-85f1-d2cf772377c2,1997-04-07T12:09:44.997Z,1997-04-07T13:07:20.003Z,545.506771,0.50677,B,"[""X""]",17,15575040,1
549,34.338,0.311,16.267,0.150,17.507,0.161,5.758,0.061,AF310,AF310_1_50549.49566_50549.53588.exp,uid://VLA/execblock/c8741a55-4e38-4323-ab9d-aaa30397fd09,1997-04-11T11:53:44.998Z,1997-04-11T12:51:39.997Z,549.49566,0.49566,B,"[""X""]",17,15681536,1
553,33.728,0.306,16.519,0.152,17.374,0.160,5.820,0.061,AF310,AF310_1_50553.48478_50553.52488.exp,uid://VLA/execblock/57166b42-36a8-4887-b43f-79f04e49be4f,1997-04-15T11:38:05Z,1997-04-15T12:35:50.003Z,553.48478,0.48478,B,"[""X""]",17,15628288,1
557,33.004,0.295,16.755,0.152,17.459,0.158,5.707,0.060,AF310,AF310_1_50557.34334_50557.38935.exp,uid://VLA/execblock/b293d22f-fc82-45c5-a490-bd7656848fa0,1997-04-19T08:14:24.999Z,1997-04-19T09:20:40.004Z,557.343345,0.34334,B,"[""X""]",17,17068032,1
560,33.241,0.300,16.622,0.152,17.630,0.161,5.833,0.061,AF310,AF310_1_50560.46557_50560.50584.exp,uid://VLA/execblock/b790ee3f-fbfe-47fb-813e-eedbea527f92,1997-04-22T11:10:24.997Z,1997-04-22T12:08:24.999Z,560.465567,0.46557,B,"[""X""]",17,15708160,1
564,33.049,0.300,16.850,0.156,16.666,0.154,5.805,0.062,AF310,AF310_1_50564.45480_50564.49491.exp,uid://VLA/execblock/672445ed-7c92-43fd-9e52-bf1ade9eccec,1997-04-26T10:54:54.996Z,1997-04-26T11:52:39.999Z,564.454803,0.4548,B,"[""X""]",18,14260224,1
571,34.091,0.309,16.535,0.152,17.653,0.162,5.957,0.063,AF310,AF310_1_50571.43594_50571.47581.exp,uid://VLA/execblock/7ae517ff-bb64-4e3f-9f48-b337b2b51f78,1997-05-03T10:27:45Z,1997-05-03T11:25:10.001Z,571.435937,0.43594,B,"[""X""]",17,15521792,1
576,33.332,0.302,16.748,0.154,17.093,0.157,5.847,0.059,AF310,AF310_1_50576.42228_50576.48293.exp,uid://VLA/execblock/7cb97dc5-fff9-4d8a-aa38-2ec7ceeeb4df,1997-05-08T10:08:05Z,1997-05-08T11:35:24.996Z,576.42228,0.42228,B,"[""X""]",27,23588864,1
581,34.055,0.308,15.971,0.147,18.138,0.166,5.768,0.060,AF310,AF310_1_50581.40851_50581.44855.exp,uid://VLA/execblock/9863cde6-d365-4b7c-8be3-2474b2e94526,1997-05-13T09:48:14.996Z,1997-05-13T10:45:54.996Z,581.408507,0.40851,B,"[""X""]",17,15601664,1
585,34.151,0.307,16.127,0.148,17.287,0.158,5.732,0.060,AF310,AF310_1_50585.33455_50585.37529.exp,uid://VLA/execblock/99d9c397-8663-46f5-865c-8acb2071f397,1997-05-17T08:01:44.999Z,1997-05-17T09:00:25.004Z,585.334549,0.33455,B,"[""X""]",17,16187392,1
589,33.723,0.307,15.952,0.148,17.538,0.162,6.051,0.064,AF310,AF310_1_50589.38675_50589.42668.exp,uid://VLA/execblock/1ce042ae-c49d-4eee-bf87-bc7336915931,1997-05-21T09:16:55.001Z,1997-05-21T10:14:24.996Z,589.386748,0.38675,B,"[""X""]",17,16293888,1
591,34.341,0.312,16.068,0.150,17.214,0.160,5.962,0.066,AF310,AF310_1_50591.38142_50591.42124.exp,uid://VLA/execblock/c552dd63-0ac5-4a65-995a-444db896e4c2,1997-05-23T09:09:14.999Z,1997-05-23T10:06:34.997Z,591.381424,0.38142,B,"[""X""]",17,16240640,1
594,33.130,0.302,16.309,0.152,17.018,0.158,5.993,0.065,AF310,AF310_1_50594.45689_50594.49612.exp,uid://VLA/execblock/d6811f27-2670-4aa4-8e5c-8a4ec69e774e,1997-05-26T10:57:55.002Z,1997-05-26T11:54:25.001Z,594.456887,0.45689,B,"[""X""]",17,15415296,1
