mjd_minus_50000,component,S_mJy,e_S_mJy,nrao_project_code,nrao_obs_id,nrao_vla_configuration,nrao_num_scans,nrao_access_estsize_bytes,nrao_matched
432,D,5.663,0.059,AF310,AF310_1_50432.77390_50432.83449.exp,A,25,23615488,1
437,A,34.475,0.308,AF310,AF310_1_50437.79942_50437.81725.exp,A,7,3381248,1
437,B,16.234,0.158,AF310,AF310_1_50437.79942_50437.81725.exp,A,7,3381248,1
437,C,17.368,0.167,AF310,AF310_1_50437.79942_50437.81725.exp,A,7,3381248,1
437,D,5.791,0.088,AF310,AF310_1_50437.79942_50437.81725.exp,A,7,3381248,1
440,A,34.875,0.310,,,,,,0
440,B,16.236,0.147,,,,,,0
440,C,17.532,0.158,,,,,,0
440,D,5.483,0.057,,,,,,0
441,A,34.831,0.315,AF310,AF310_1_50440.77309_50440.83351.exp,A,25,23855104,1
441,B,16.286,0.155,AF310,AF310_1_50440.77309_50440.83351.exp,A,25,23855104,1
441,C,17.203,0.163,AF310,AF310_1_50440.77309_50440.83351.exp,A,25,23855104,1
441,D,5.525,0.074,AF310,AF310_1_50440.77309_50440.83351.exp,A,25,23855104,1
446,A,33.832,0.304,AF310,AF310_1_50446.65087_50446.69248.exp,A,15,14622720,1
446,B,16.358,0.151,AF310,AF310_1_50446.65087_50446.69248.exp,A,15,14622720,1
446,C,17.405,0.160,AF310,AF310_1_50446.65087_50446.69248.exp,A,15,14622720,1
446,D,5.868,0.064,AF310,AF310_1_50446.65087_50446.69248.exp,A,15,14622720,1
451,A,34.444,0.298,AF310,AF310_1_50451.69936_50451.74109.exp,A,15,16134144,1
451,B,16.320,0.146,AF310,AF310_1_50451.69936_50451.74109.exp,A,15,16134144,1
451,C,17.802,0.158,AF310,AF310_1_50451.69936_50451.74109.exp,A,15,16134144,1
451,D,5.765,0.066,AF310,AF310_1_50451.69936_50451.74109.exp,A,15,16134144,1
455,A,33.230,0.301,AF310,AF310_1_50455.77182_50455.83409.exp,A,25,24467456,1
455,B,16.271,0.150,AF310,AF310_1_50455.77182_50455.83409.exp,A,25,24467456,1
455,C,17.042,0.157,AF310,AF310_1_50455.77182_50455.83409.exp,A,25,24467456,1
455,D,5.825,0.062,AF310,AF310_1_50455.77182_50455.83409.exp,A,25,24467456,1
459,A,33.463,0.298,AF310,AF310_1_50459.65712_50459.69850.exp,A,15,15894528,1
459,B,16.667,0.152,AF310,AF310_1_50459.65712_50459.69850.exp,A,15,15894528,1
459,C,16.946,0.154,AF310,AF310_1_50459.65712_50459.69850.exp,A,15,15894528,1
459,D,5.964,0.064,AF310,AF310_1_50459.65712_50459.69850.exp,A,15,15894528,1
464,A,34.451,0.310,,,,,,0
464,B,16.851,0.156,,,,,,0
464,C,17.364,0.160,,,,,,0
464,D,5.979,0.068,,,,,,0
465,A,34.010,0.309,AF310,AF310_1_50464.64334_50464.68484.exp,A->BnA,15,16001024,1
465,B,16.720,0.164,AF310,AF310_1_50464.64334_50464.68484.exp,A->BnA,15,16001024,1
465,C,17.825,0.173,AF310,AF310_1_50464.64334_50464.68484.exp,A->BnA,15,16001024,1
465,D,6.049,0.090,AF310,AF310_1_50464.64334_50464.68484.exp,A->BnA,15,16001024,1
468,A,33.989,0.305,AF310,AF310_1_50468.61163_50468.65313.exp,A->BnA,15,15788032,1
468,B,16.624,0.152,AF310,AF310_1_50468.61163_50468.65313.exp,A->BnA,15,15788032,1
468,C,16.867,0.154,AF310,AF310_1_50468.61163_50468.65313.exp,A->BnA,15,15788032,1
468,D,5.970,0.063,AF310,AF310_1_50468.61163_50468.65313.exp,A->BnA,15,15788032,1
474,A,33.015,0.322,AF310,AF310_1_50474.53293_50474.57442.exp,BnA,15,15575040,1
474,B,16.290,0.172,AF310,AF310_1_50474.53293_50474.57442.exp,BnA,15,15575040,1
474,C,16.755,0.176,AF310,AF310_1_50474.53293_50474.57442.exp,BnA,15,15575040,1
474,D,5.974,0.095,AF310,AF310_1_50474.53293_50474.57442.exp,BnA,15,15575040,1
478,A,32.845,0.295,AF310,AF310_1_50478.48050_50478.52199.exp,BnA,17,14696448,1
478,B,16.223,0.149,AF310,AF310_1_50478.48050_50478.52199.exp,BnA,17,14696448,1
478,C,16.945,0.156,AF310,AF310_1_50478.48050_50478.52199.exp,BnA,17,14696448,1
478,D,5.845,0.064,AF310,AF310_1_50478.48050_50478.52199.exp,BnA,17,14696448,1
481,A,33.523,0.306,AF310,AF310_1_50481.76568_50481.80463.exp,BnA,16,14589952,1
481,B,16.735,0.155,AF310,AF310_1_50481.76568_50481.80463.exp,BnA,16,14589952,1
481,C,16.709,0.155,AF310,AF310_1_50481.76568_50481.80463.exp,BnA,16,14589952,1
481,D,6.015,0.063,AF310,AF310_1_50481.76568_50481.80463.exp,BnA,16,14589952,1
487,A,33.643,0.306,AF310,AF310_1_50487.70758_50487.74664.exp,BnA,17,14856192,1
487,B,16.325,0.151,AF310,AF310_1_50487.70758_50487.74664.exp,BnA,17,14856192,1
487,C,17.410,0.161,AF310,AF310_1_50487.70758_50487.74664.exp,BnA,17,14856192,1
487,D,5.960,0.062,AF310,AF310_1_50487.70758_50487.74664.exp,BnA,17,14856192,1
492,A,34.166,0.308,AF310,AF310_1_50492.54797_50492.58756.exp,B,17,14589952,1
492,B,16.528,0.152,AF310,AF310_1_50492.54797_50492.58756.exp,B,17,14589952,1
492,C,16.923,0.155,AF310,AF310_1_50492.54797_50492.58756.exp,B,17,14589952,1
492,D,5.820,0.062,AF310,AF310_1_50492.54797_50492.58756.exp,B,17,14589952,1
497,A,33.754,0.304,AF310,AF310_1_50497.63791_50497.67778.exp,B,17,15362048,1
