rat_id,n_qualifying_trials,n_trials_low,n_trials_mid,n_trials_high,has_ge200_in_all_terciles,H_allgamma,H_lowgamma,H_midgamma,H_highgamma,H_ctrl_choice_shuffle_s0_allgamma,H_ctrl_trial_mismatch_allgamma
H163,7634,3745,1834,2055,True,2.663491,4.922310,1.373734,0.786870,,
J194,10369,4782,3109,2478,True,2.597257,4.812677,1.353458,1.029310,,
J245,11902,3878,3579,4445,True,2.593558,7.441705,1.518093,1.182417,,
J246,24901,8133,6607,10161,True,2.430561,3.981938,1.664719,0.760060,,
J248,7401,1933,908,4560,True,2.021318,7.669792,2.569810,1.365554,,
J302,6256,1581,1062,3613,True,3.241497,12.680939,3.091898,1.349530,,
J304,8668,2535,921,5212,True,2.164493,8.253396,1.907787,0.833009,5.041448,5.700468
J305,7400,2082,1080,4238,True,2.207746,5.802314,1.642806,0.897729,,
J312,10750,5358,2686,2706,True,3.188204,5.843821,1.662072,1.403751,,
J313,8803,4242,2210,2351,True,2.406786,3.755084,1.416139,1.081991,,
J314,8351,4085,2131,2135,True,2.455532,3.213474,1.620449,1.292436,,
J315,9607,4885,2338,2384,True,3.094536,5.778170,1.334542,1.091513,,
J348,10386,4566,2653,3167,True,2.178356,3.346816,1.439859,1.072971,,4.949155
J349,7484,3370,1729,2385,True,2.128309,3.759534,1.398630,0.718862,,0.400152
K145,73761,18790,18022,36949,True,2.672717,8.842603,2.019063,1.335598,,5.658803
K146,22371,5565,5597,11209,True,2.430335,5.205000,1.531764,1.281496,,3.122734
K147,52063,13292,12668,26103,True,2.695842,8.660769,2.206943,1.348092,,2.217199
K148,15801,4044,3975,7782,True,2.238335,3.993640,1.661043,1.425981,,
K149,30863,7768,7652,15443,True,2.130910,4.881496,1.855809,1.178505,,
K150,33884,8446,8551,16887,True,2.273866,7.549334,1.662359,1.222309,,3.595880
K151,32746,8356,8057,16333,True,2.435864,8.906492,2.147414,1.346740,,0.014012
K152,37192,9442,9331,18419,True,2.617834,9.973026,2.362040,1.409321,,
K153,42587,11120,10555,20912,True,2.360666,5.811069,1.848103,1.266355,,2.846237
K154,55200,14017,13841,27342,True,2.615188,7.059760,2.346749,1.351757,,9.842115
K155,19782,5331,4876,9575,True,2.042235,4.086376,1.671401,1.039926,,5.381975
K156,15572,4168,3959,7445,True,2.524350,8.208761,1.873057,1.109043,,
K157,32455,8259,8059,16137,True,2.804344,10.325757,2.056888,1.383694,,5.341004
K158,19092,4759,4813,9520,True,2.405210,7.609935,2.055768,1.413070,,8.756787
K169,39826,10272,9808,19746,True,2.058988,4.160360,1.873463,1.242299,,
K170,42399,10674,10531,21194,True,2.125243,3.889358,1.813648,1.161021,,0.430007
K172,12650,5402,2727,4521,True,2.680220,5.435289,1.598174,1.188358,,
K177,36625,12953,8591,15081,True,2.315982,4.279999,1.746621,1.386236,,0.905799
K178,11819,3289,2907,5623,True,2.220845,4.665441,1.949201,1.008899,,0.340005
K197,24032,8579,6077,9376,True,2.338451,3.982011,1.750989,1.158271,,3.817148
K198,20712,9340,5003,6369,True,2.607086,4.736339,1.614728,1.077393,,
K199,9750,2521,2441,4788,True,1.963769,4.772340,1.445872,1.391442,,2.490825
K200,10744,2893,2624,5227,True,2.001307,4.393547,2.092536,1.196583,,
K201,7211,1927,1748,3536,True,2.240465,4.885376,1.652032,1.193691,,6.623238
K202,11965,3129,2923,5913,True,1.836167,2.414515,1.586847,1.317280,,
K203,19031,4870,4818,9343,True,1.787624,4.021845,1.701855,1.094504,,0.481983
K204,10072,2618,2545,4909,True,1.996718,5.816592,1.729289,1.296508,,
K207,16762,4156,4259,8347,True,2.056378,4.488310,1.823887,1.161532,,
K208,21179,5414,5206,10559,True,2.256319,4.583733,1.735929,1.422499,,2.703362
K209,7579,1979,1870,3730,True,2.357930,4.638459,1.452003,1.213067,,
K210,21887,6577,5474,9836,True,1.987700,4.272177,1.794437,1.169691,,
K213,95621,32201,23295,40125,True,2.425626,4.739984,1.776079,1.326656,,3.157960
K214,82825,21099,20550,41176,True,2.312622,4.976834,1.829953,1.278418,,0.181581
K215,128269,32219,32054,63996,True,2.094354,4.469265,1.753331,1.274851,,3.238201
K216,108249,28124,27365,52760,True,2.247392,4.773328,1.813198,1.306372,,
K229,99041,46907,24742,27392,True,2.830063,5.322546,1.432556,1.258925,,2.158521
K230,139421,69023,35096,35302,True,2.938604,5.313971,1.562796,1.189402,,
K232,34488,8649,8606,17233,True,1.984899,4.536867,1.682743,1.326467,,1.410742
K233,166810,83042,41429,42339,True,3.054378,5.574970,1.478949,1.162962,,5.059665
K234,91744,46925,22388,22431,True,2.732831,4.812008,1.497952,1.217975,,1.973916
K236,133697,33491,33763,66443,True,2.337591,4.575765,1.823144,1.325705,,4.995917
K237,136048,68767,33420,33861,True,2.931594,5.315749,1.433111,1.201208,,4.813267
K238,162503,77028,38370,47105,True,2.797404,4.962917,1.565821,1.182090,,6.622710
K239,117582,58414,29495,29673,True,2.732107,4.459189,1.524847,1.284955,,11.504134
K240,77729,40230,18850,18649,True,3.001787,5.484995,1.549903,1.222990,0.573251,
K241,73486,36575,18345,18566,True,2.950972,5.044613,1.388129,1.201698,,6.052583
K242,117150,58574,29086,29490,True,2.867327,5.191530,1.492593,1.203617,,4.913579
K243,60380,30252,14938,15190,True,2.866821,5.130774,1.524314,1.201322,,
K245,105471,52167,26181,27123,True,2.841228,4.910281,1.505734,1.254548,,3.626936
K246,84770,42762,21021,20987,True,3.091843,5.514624,1.519033,1.319918,,
K247,104340,52081,25906,26353,True,2.856060,5.415124,1.399258,1.178008,,1.569484
K248,122712,62017,30421,30274,True,2.971554,5.403680,1.430802,1.100501,,3.468000
K249,90799,45272,22655,22872,True,2.852843,4.809113,1.425839,1.114040,,2.453268
K250,101161,50747,25253,25161,True,2.742676,4.480793,1.411322,1.045815,,
K259,31106,9249,7739,14118,True,2.271871,4.667951,1.687121,1.405463,,
K260,17247,8468,4302,4477,True,2.537798,3.722164,1.618313,1.365986,,
K262,11921,5471,2962,3488,True,2.202840,3.338527,1.458925,1.432078,,2.817735
K264,34595,16310,8545,9740,True,2.343171,4.122358,1.555024,1.284848,,2.903847
K265,23824,10841,5937,7046,True,2.297973,4.398130,1.387707,1.254770,,1.334307
K266,51856,15178,12869,23809,True,2.319498,4.441384,1.774618,1.330062,,3.041744
K269,11702,5478,2843,3381,True,2.558330,3.766807,1.358928,1.313751,,0.187329
K270,45599,18508,11399,15692,True,2.820771,4.979285,1.794491,1.348010,,2.543986
K273,7249,2564,1804,2881,True,2.371724,4.950366,1.576803,1.175804,,
K274,13469,6274,3365,3830,True,2.510699,3.948596,1.558145,1.000132,,0.514334
K275,49261,18586,12303,18372,True,2.415909,4.183666,1.760388,1.286619,0.805749,1.911062
K276,20777,7976,5167,7634,True,2.884193,4.877437,1.635979,1.537778,,
K277,16718,8089,4151,4478,True,3.194293,6.339210,1.594194,1.103103,,
K280,16398,7908,4145,4345,True,2.684672,4.274537,1.598631,1.030008,,
