survey,dataset,SNID,join_key,JLA_x1,JLA_c,JLA_logMst,JLA_tmax,PplusCID,Pplus_x1,Pplus_c,Pplus_HOST_LOGMASS,Pplus_PKMJD
PS1MD,PS1MD_Jones18,PSc080735,80735,,,,,,,,,
PS1MD,PS1MD_Jones18,PSc080771,80771,,,,,,,,,
PS1MD,PS1MD_Jones18,PSc080772,80772,,,,,,,,,
PS1MD,PS1MD_Jones18,PSc090037,90037,,,,,,,,,
PS1MD,PS1MD_Jones18,PSc090072,90072,,,,,,,,,
PS1MD,PS1MD_Jones18,PSc090097,90097,,,,,,,,,
PS1MD,PS1MD_Jones18,PSc090107,90107,,,,,,,,,
PS1MD,PS1MD_Jones18,PSc090128,90128,,,,,,,,,
PS1MD,PS1MD_Jones18,PSc090130,90130,,,,,,,,,
PS1MD,PS1MD_Jones18,PSc090147,90147,,,,,,,,,
PS1MD,PS1MD_Jones18,PSc090179,90179,,,,,,,,,
PS1MD,PS1MD_Jones18,PSc090191,90191,,,,,,,,,
PS1MD,PS1MD_Jones18,PSc090196,90196,,,,,,,,,
PS1MD,PS1MD_Jones18,PSc090201,90201,,,,,090201,0.031072,-0.090519,8.684,55483.5
PS1MD,PS1MD_Jones18,PSc090227,90227,,,,,,,,,
PS1MD,PS1MD_Jones18,PSc090256,90256,,,,,,,,,
PS1MD,PS1MD_Jones18,PSc090275,90275,,,,,090275,-1.10837,-0.037598,10.184,55494.4
PS1MD,PS1MD_Jones18,PSc090638,90638,,,,,,,,,
PS1MD,PS1MD_Jones18,PSc090746,90746,,,,,,,,,
PS1MD,PS1MD_Jones18,PSc090966,90966,,,,,,,,,
PS1MD,PS1MD_Jones18,PSc091437,91437,,,,,,,,,
PS1MD,PS1MD_Jones18,PSc091739,91739,,,,,,,,,
PS1MD,PS1MD_Jones18,PSc091748,91748,,,,,,,,,
PS1MD,PS1MD_Jones18,PSc091755,91755,,,,,,,,,
PS1MD,PS1MD_Jones18,PSc091869,91869,,,,,091869,1.3387,-0.008426,10.347,55495.6
PS1MD,PS1MD_Jones18,PSc100014,100014,,,,,,,,,
PS1MD,PS1MD_Jones18,PSc100083,100083,,,,,,,,,
PS1MD,PS1MD_Jones18,PSc100090,100090,,,,,100090,-1.0254,0.038294,9.978,55506.3
PS1MD,PS1MD_Jones18,PSc100101,100101,,,,,100101,-0.773417,-0.071454,11.5,55517.4
PS1MD,PS1MD_Jones18,PSc100102,100102,,,,,,,,,
PS1MD,PS1MD_Jones18,PSc100116,100116,,,,,,,,,
PS1MD,PS1MD_Jones18,PSc100121,100121,,,,,,,,,
PS1MD,PS1MD_Jones18,PSc100142,100142,,,,,,,,,
PS1MD,PS1MD_Jones18,PSc100163,100163,,,,,100163,0.29458,-0.075806,10.434,55522.8
PS1MD,PS1MD_Jones18,PSc100164,100164,,,,,,,,,
PS1MD,PS1MD_Jones18,PSc100206,100206,,,,,100206,0.25057,-0.075171,11.5,55517.9
PS1MD,PS1MD_Jones18,PSc100213,100213,,,,,100213,0.84021,0.015308,9.414,55521.4
PS1MD,PS1MD_Jones18,PSc100358,100358,,,,,100358,-0.430147,-0.057445,9.553,55518.5
PS1MD,PS1MD_Jones18,PSc100382,100382,,,,,,,,,
PS1MD,PS1MD_Jones18,PSc100405,100405,,,,,100405,-0.941741,0.044595,10.3204,55534.2
PS1MD,PS1MD_Jones18,PSc100417,100417,,,,,,,,,
PS1MD,PS1MD_Jones18,PSc110014,110014,,,,,,,,,
PS1MD,PS1MD_Jones18,PSc110022,110022,,,,,,,,,
PS1MD,PS1MD_Jones18,PSc110033,110033,,,,,110033,1.3148,-0.03324,10.063,55543.8
PS1MD,PS1MD_Jones18,PSc110038,110038,,,,,,,,,
PS1MD,PS1MD_Jones18,PSc110422,110422,,,,,,,,,
PS1MD,PS1MD_Jones18,PSc110425,110425,,,,,110425,-0.198455,0.007796,9.563,55555.1
PS1MD,PS1MD_Jones18,PSc110426,110426,,,,,110426,0.55454,0.093641,11.017,55548.0
PS1MD,PS1MD_Jones18,PSc110429,110429,,,,,,,,,
PS1MD,PS1MD_Jones18,PSc110430,110430,,,,,110430,-0.895791,0.011272,9.14,55554.0
PS1MD,PS1MD_Jones18,PSc110431,110431,,,,,,,,,
PS1MD,PS1MD_Jones18,PSc110460,110460,,,,,110460,-0.122892,0.018744,9.5517,55560.8
