#REFERENCE 3 104.6587124 -55.9571457
   #ID       X         Y         R       EPS       TAU       AMP       E_AMP      DMAG  TIME[days]  DTIME    PARITY
  N1.3    10.150    14.156    17.419     0.283     0.295     6.552     0.090      2.04  -394121.0       0.0    +-
  N1.3    -2.081    21.187    21.289     0.116     0.116     6.159     0.044      1.97  -394636.7    -515.8    ++
  N1.3    32.056    -1.981    32.118     0.000     0.000     5.247     0.038      1.80  -396555.2   -2434.2    ++
  N1.2    11.744    13.518    17.907     0.307     0.322     6.577     0.078      2.05  -394515.7    -394.7    +-
  N1.2    30.930    -1.054    30.948     0.098     0.098     5.547     0.041      1.86  -396305.0   -2184.0    ++
  N1.2    -3.236    22.164    22.399     0.000     0.000     5.351     0.036      1.82  -395416.0   -1295.1    ++
  N1.1    -3.229    21.568    21.808     0.273     0.284     5.462     0.037      1.84  -395333.0   -1212.0    ++
  N1.1    30.952    -1.639    30.995     0.226     0.232     5.466     0.040      1.84  -396443.2   -2322.2    ++
  N1.1    11.256    13.203    17.350     0.000     0.000     6.904     0.087      2.10  -394507.8    -386.8    +-
K14b.2   186.313    68.504   198.508     1.000    35.404     3.327     0.093      1.31  -519519.9       0.0    ++
K14b.1   186.304    68.498   198.497     0.995    10.402     3.328     0.094      1.31  -519503.5      16.4    ++
K14a.3   186.458    68.260   198.560     0.000     0.000     3.379     0.096      1.32  -519529.5       0.0    ++
K14a.2   186.396    68.421   198.557     0.983     5.278     3.345     0.094      1.31  -519566.3     -36.8    ++
K14a.1   186.393    68.375   198.538     0.970     4.009     3.354     0.095      1.31  -519528.6       0.9    ++
 N2b.3     2.930     2.858     4.093     0.700     0.981     6.121     0.248      1.97  -397536.2       0.0    +-
 N2b.3    24.915   -12.555    27.900     0.422     0.466     5.506     0.054      1.85  -399669.1   -2132.9    ++
 N2b.3   -10.831    10.887    15.357     0.213     0.218     5.025     0.044      1.75  -398918.3   -1382.1    ++
 N2b.3    -0.281    -3.349     3.361     0.000     0.000     3.737     0.123      1.43  -397574.6     -38.4    +-
 N2b.2     1.767     1.538     2.343     0.920     2.349     4.902     0.196      1.73  -397698.1    -161.9    +-
 N2b.2   -11.071    10.399    15.189     0.529     0.623     5.039     0.045      1.76  -399092.7   -1556.5    ++
 N2b.2    -0.310    -3.827     3.839     0.339     0.360     4.524     0.136      1.64  -397795.3    -259.2    +-
 N2b.2    24.614   -12.920    27.799     0.000     0.000     5.522     0.055      1.86  -399832.2   -2296.0    ++
 N2b.1     2.593     1.919     3.226     0.900     2.068    11.844     0.968      2.68  -397806.5    -270.3    +-
 N2b.1    24.104   -12.276    27.050     0.535     0.633     5.721     0.057      1.89  -399605.0   -2068.8    ++
 N2b.1     0.273    -3.458     3.469     0.170     0.172     4.195     0.133      1.56  -397855.9    -319.7    +-
 N2b.1   -11.390    11.151    15.940     0.000     0.000     4.831     0.041      1.71  -399403.3   -1867.1    ++
 N2a.3    25.104   -11.946    27.801     0.562     0.679     5.547     0.054      1.86  -399438.7       0.0    ++
 N2a.3     3.697     3.206     4.893     0.454     0.510     4.397     0.124      1.61  -397395.1    2043.6    +-
 N2a.3   -10.648    11.652    15.784     0.205     0.210     4.949     0.042      1.74  -398833.1     605.6    ++
 N2a.2     3.265     2.873     4.349     0.705     0.994     5.369     0.184      1.82  -397538.3    1900.4    +-
 N2a.2   -10.885    11.278    15.674     0.498     0.575     4.945     0.042      1.74  -398985.2     453.6    ++
 N2a.2    24.812   -12.229    27.662     0.000     0.000     5.570     0.055      1.86  -399556.3    -117.5    ++
 N2a.1     3.814     2.564     4.596     0.582     0.716     5.818     0.175      1.91  -397646.0    1792.7    +-
 N2a.1    24.286   -11.533    26.885     0.504     0.584     5.785     0.057      1.91  -399316.4     122.3    ++
 N2a.1   -11.207    12.066    16.468     0.000     0.000     4.745     0.039      1.69  -399334.3     104.4    ++
 K9b.2    43.807     7.574    44.457     0.994     8.967     5.226     0.050      1.80  -395778.6       0.0    ++
 K9b.2    19.630    34.989    40.119     0.400     0.436   191.481   356.861      5.71  -392213.1    3565.5    ++
 K9b.2    20.321    34.803    40.301     0.000     0.000   118.250    11.023      5.18  -392198.0    3580.6    +-
 K9b.1    43.790     7.708    44.463     0.982     5.201     5.247     0.051      1.80  -395759.3      19.3    ++
 K9b.1    20.756    34.830    40.546     0.324     0.342    46.829     2.443      4.18  -392235.9    3542.7    +-
 K9b.1    19.122    35.271    40.120     0.000     0.000    69.736     3.996      4.61  -392256.0    3522.7    ++
 K9a.2    43.752     7.428    44.378     0.960     3.412     5.216     0.050      1.79  -395788.3       0.0    ++
 K9a.2    19.039    34.958    39.807     0.469     0.531    74.478     4.084      4.68  -392187.9    3600.5    ++
 K9a.2    20.724    34.507    40.252     0.000     0.000    49.061     2.607      4.23  -392170.9    3617.4    +-
 K9a.1    43.725     7.632    44.387     0.961     3.472     5.247     0.051      1.80  -395758.5      29.9    ++
 K9a.1    21.056    34.643    40.541     0.376     0.406    29.352     1.201      3.67  -392241.4    3546.9    +-
 K9a.1    18.575    35.303    39.891     0.000     0.000    47.121     1.663      4.18  -392247.1    3541.2    ++
 N3b.3   183.916    70.621   197.008     0.483     0.551     3.252     0.091      1.28  -515663.8       0.0    ++
 N3b.2   183.649    71.122   196.940     0.000     0.000     3.184     0.086      1.26  -515713.2     -49.4    ++
 N3b.1   184.003    70.430   197.021     0.605     0.760     3.281     0.092      1.29  -515629.0      34.8    ++
 N3b.1   188.081    38.479   191.977     0.000     0.000     6.770     0.284      2.08  -513274.9    2388.8    ++
 N3a.3   183.870    70.405   196.888     0.451     0.505     3.290     0.093      1.29  -515445.7       0.0    ++
 N3a.3   187.882    38.366   191.759     0.193     0.197     6.626     0.276      2.05  -513119.0    2326.8    ++
 N3a.2   183.661    70.899   196.870     0.000     0.000     3.218     0.088      1.27  -515557.2    -111.4    ++
 N3a.1   183.979    70.247   196.934     0.577     0.707     3.312     0.094      1.30  -515465.3     -19.6    ++
 N3a.1   187.972    38.180   191.810     0.000     0.000     6.407     0.266      2.02  -513237.2    2208.5    ++
 N12.2    35.293    -9.956    36.670     0.268     0.278     4.958     0.046      1.74  -398649.6       0.0    ++
 N12.2     4.931    11.992    12.966     0.086     0.086     7.807     0.122      2.23  -393419.7    5229.9    +-
 N12.2    -2.647    16.163    16.378     0.000     0.000     8.988     0.093      2.38  -393566.7    5082.9    ++
 N12.1    35.695   -10.009    37.072     0.361     0.387     4.942     0.046      1.73  -398685.2     -35.5    ++
 N12.1    -2.006    16.020    16.145     0.074     0.074    10.228     0.116      2.52  -393329.8    5319.9    ++
 N12.1     4.528    12.459    13.256     0.000     0.000     9.055     0.147      2.39  -393235.7    5414.0    +-
  N4.3   195.852    62.888   205.701     0.952     3.104     5.991     0.226      1.94  -524708.2       0.0    ++
  N4.3   198.258    51.684   204.884     0.718     1.032     4.418     0.198      1.61  -524460.9     247.3    +-
  N4.3   197.836    36.806   201.230     0.000     0.000     5.718     0.243      1.89  -525038.5    -330.3    ++
  N4.2   195.618    63.329   205.613     0.787     1.276     5.505     0.200      1.85  -524710.1      -1.9    ++
  N4.2   197.867    37.216   201.336     0.760     1.170     6.097     0.265      1.96  -524915.7    -207.5    ++
  N4.2   198.247    51.298   204.777     0.000     0.000     4.309     0.195      1.59  -524406.9     301.3    +-
  N4.1   196.966    36.009   200.231     0.918     2.315     4.585     0.174      1.65  -524058.0     650.2    ++
  N4.1   197.595    51.995   204.322     0.811     1.385     4.494     0.197      1.63  -523381.4    1326.8    +-
  N4.1   194.980    63.018   204.910     0.000     0.000     5.858     0.222      1.92  -523605.2    1103.1    ++
 K11.3   189.598    68.461   201.579     0.000     0.000     4.244     0.143      1.57  -521247.7       0.0    ++
 K11.2   190.216    68.376   202.132     0.856     1.658     5.021     0.178      1.75  -522033.9    -786.2    ++
 K11.1   190.342    67.690   202.020     0.943     2.821     5.600     0.208      1.87  -521670.7    -423.1    ++
  K5.3    12.870    26.213    29.202     0.767     1.197    11.209     0.168      2.62  -391671.4       0.0    +-
  K5.3    42.181     2.363    42.247     0.757     1.157     4.996     0.041      1.75  -396315.9   -4644.6    ++
  K5.3     6.518    30.376    31.067     0.000     0.000    13.556     0.192      2.83  -391737.9     -66.6    ++
  K5.2     5.999    30.992    31.567     0.660     0.879    11.664     0.142      2.67  -392022.7    -351.4    ++
  K5.2    41.917     3.012    42.025     0.200     0.205     5.090     0.042      1.77  -396159.1   -4487.7    ++
  K5.2    13.736    25.821    29.247     0.000     0.000     7.733     0.128      2.22  -391872.5    -201.2    +-
  K5.1     6.237    31.172    31.790     0.785     1.267    12.304     0.163      2.73  -392024.4    -353.0    ++
  K5.1    13.925    25.951    29.452     0.183     0.186     7.450     0.125      2.18  -391871.2    -199.8    +-
  K5.1    41.996     3.200    42.117     0.000     0.000     5.097     0.043      1.77  -396136.3   -4464.9    ++
 K2c.3    13.008     2.491    13.245     0.786     1.271    11.899     0.329      2.69  -396747.3       0.0    +-
 K2c.3    24.097    -4.587    24.530     0.644     0.841     8.470     0.089      2.32  -397083.1    -335.7    ++
 K2c.3   -12.558    21.041    24.503     0.000     0.000     4.044     0.029      1.52  -400958.2   -4210.9    ++
 K2c.2   -12.579    20.827    24.331     0.631     0.813     4.054     0.029      1.52  -400921.2   -4173.9    ++
 K2c.2    12.745     2.425    12.973     0.327     0.346    12.222     0.348      2.72  -396776.2     -28.9    +-
 K2c.2    24.146    -4.838    24.626     0.000     0.000     8.330     0.087      2.30  -397139.2    -391.9    ++
 K2c.1   -11.964    21.970    25.017     0.718     1.032     4.057     0.028      1.52  -400614.5   -3867.2    ++
 K2c.1    24.828    -3.758    25.111     0.205     0.210     8.313     0.086      2.30  -396847.4    -100.1    ++
 K2c.1    13.240     3.656    13.736     0.000     0.000     9.501     0.239      2.44  -396459.9     287.4    +-
 K2b.3    14.800     0.885    14.827     0.798     1.326     8.733     0.204      2.35  -396967.9       0.0    +-
 K2b.3    22.248    -3.917    22.590     0.777     1.236    10.847     0.125      2.59  -397100.5    -132.6    ++
 K2b.3   -13.449    21.087    25.011     0.000     0.000     3.947     0.028      1.49  -401826.5   -4858.6    ++
 K2b.2   -13.659    20.946    25.005     0.802     1.341     3.934     0.028      1.49  -402000.2   -5032.3    ++
 K2b.2    14.941     0.526    14.950     0.219     0.224     8.733     0.210      2.35  -397041.4     -73.6    +-
 K2b.2    21.853    -3.927    22.203     0.000     0.000    11.547     0.135      2.66  -397147.1    -179.2    ++
 K2b.1   -12.967    21.520    25.125     0.828     1.474     3.973     0.028      1.50  -401465.9   -4498.0    ++
 K2b.1    23.058    -3.713    23.355     0.296     0.310     9.883     0.110      2.49  -396981.7     -13.8    ++
 K2b.1    14.540     1.752    14.645     0.000     0.000    11.040     0.239      2.61  -396791.4     176.5    +-
 K2a.3    13.609     2.307    13.803     0.811     1.386    11.868     0.306      2.69  -396746.2       0.0    +-
 K2a.3    23.769    -4.197    24.137     0.677     0.920     8.900     0.095      2.37  -397028.1    -281.9    ++
 K2a.3   -12.673    21.300    24.785     0.000     0.000     4.016     0.028      1.51  -401128.2   -4382.0    ++
 K2a.2   -12.754    21.077    24.635     0.669     0.901     4.020     0.029      1.51  -401145.8   -4399.6    ++
 K2a.2    13.459     2.132    13.627     0.367     0.394    12.027     0.315      2.70  -396797.6     -51.4    +-
 K2a.2    23.715    -4.431    24.125     0.000     0.000     8.829     0.094      2.36  -397085.4    -339.2    ++
 K2a.1   -12.130    22.124    25.231     0.769     1.204     4.028     0.028      1.51  -400808.2   -4062.0    ++
 K2a.1    24.448    -3.479    24.695     0.264     0.274     8.698     0.092      2.35  -396813.6     -67.4    ++
 K2a.1    13.712     3.390    14.124     0.000     0.000    10.713     0.273      2.57  -396490.0     256.2    +-
 K4d.3    -0.543    24.111    24.117     0.243     0.250     7.696     0.066      2.22  -392782.8       0.0    ++
 K4d.3     9.377    18.120    20.402     0.242     0.249    10.350     0.208      2.54  -392509.3     273.4    +-
 K4d.3    38.636    -3.048    38.756     0.000     0.000     5.423     0.048      1.84  -397068.7   -4285.9    ++
 K4d.2    -1.022    24.429    24.450     0.292     0.305     7.137     0.059      2.13  -393067.4    -284.7    ++
 K4d.2    38.173    -2.791    38.275     0.135     0.136     5.411     0.047      1.83  -396954.2   -4171.4    ++
 K4d.2    10.006    17.700    20.333     0.000     0.000     8.197     0.141      2.28  -392695.7      87.1    +-
 K4d.1    10.113    17.665    20.355     0.275     0.286     7.957     0.135      2.25  -392720.8      62.0    +-
 K4d.1    38.116    -2.727    38.214     0.202     0.206     5.406     0.047      1.83  -396932.0   -4149.2    ++
 K4d.1    -1.079    24.508    24.532     0.000     0.000     7.064     0.058      2.12  -393110.3    -327.6    ++
 K4c.3     8.160    18.818    20.511     0.488     0.559    16.006     0.419      3.01  -392227.7       0.0    +-
 K4c.3     0.167    23.617    23.617     0.267     0.277     8.851     0.084      2.37  -392382.2    -154.5    ++
 K4c.3    39.299    -3.423    39.448     0.000     0.000     5.454     0.050      1.84  -397225.6   -4997.9    ++
 K4c.2    -0.067    23.993    23.993     0.552     0.663     8.286     0.075      2.30  -392535.2    -307.5    ++
 K4c.2    39.083    -3.151    39.209     0.375     0.404     5.402     0.048      1.83  -397135.3   -4907.6    ++
 K4c.2     8.819    18.647    20.627     0.000     0.000    13.445     0.325      2.82  -392325.4     -97.6    +-
 K4c.1     9.016    18.506    20.585     0.509     0.592    12.402     0.283      2.73  -392373.1    -145.4    +-
 K4c.1    38.962    -3.102    39.086     0.250     0.258     5.404     0.048      1.83  -397111.8   -4884.1    ++
 K4c.1    -0.196    24.054    24.055     0.000     0.000     8.097     0.072      2.27  -392605.2    -377.5    ++
 K4b.3     4.894    20.088    20.676     0.813     1.398    18.877     0.628      3.19  -391777.0       0.0    +-
 K4b.3     1.470    22.558    22.606     0.368     0.395    14.051     0.235      2.87  -391790.6     -13.6    ++
 K4b.3    40.306    -4.075    40.512     0.000     0.000     5.455     0.051      1.84  -397469.8   -5692.8    ++
 K4b.2     1.829    22.584    22.658     0.847     1.596    16.481     0.358      3.04  -391665.2     111.8    ++
 K4b.2    40.554    -4.020    40.753     0.810     1.384     5.339     0.049      1.82  -397490.8   -5713.8    ++
 K4b.2     4.313    20.566    21.013     0.000     0.000    17.472     0.749      3.11  -391662.6     114.5    +-
 K4b.1     4.541    20.509    21.005     0.844     1.577    16.648     0.659      3.05  -391693.7      83.3    +-
 K4b.1    40.499    -3.934    40.690     0.388     0.421     5.335     0.049      1.82  -397451.8   -5674.8    ++
 K4b.1     1.714    22.769    22.834     0.000     0.000    14.925     0.280      2.93  -391699.9      77.1    ++
 K4a.3     6.936    19.325    20.531     0.711     1.010    22.155     0.541      3.36  -392052.9       0.0    +-
 K4a.3     0.654    23.188    23.197     0.258     0.268    10.117     0.109      2.51  -392128.8     -75.9    ++
 K4a.3    39.720    -3.718    39.894     0.000     0.000     5.485     0.051      1.85  -397335.9   -5283.0    ++
 K4a.2     0.607    23.340    23.348     0.798     1.326     9.859     0.104      2.48  -392159.8    -106.9    ++
 K4a.2    39.684    -3.619    39.849     0.696     0.969     5.454     0.050      1.84  -397307.4   -5254.6    ++
 K4a.2     7.148    19.335    20.614     0.000     0.000    22.155     0.588      3.36  -392074.7     -21.9    +-
 K4a.1     7.368    19.404    20.756     0.795     1.311    22.580     0.660      3.38  -392088.5     -35.7    +-
 K4a.1    39.672    -3.483    39.825     0.249     0.258     5.408     0.049      1.83  -397271.4   -5218.5    ++
 K4a.1     0.592    23.547    23.554     0.000     0.000     9.627     0.099      2.46  -392183.8    -130.9    ++
K10b.3   193.162    63.378   203.294     0.843     1.566     5.680     0.223      1.89  -520642.8       0.0    ++
K10b.3   196.308    52.966   203.327     0.731     1.070     4.885     0.188      1.72  -520444.0     198.8    +-
K10b.3   195.189    33.936   198.117     0.000     0.000     3.696     0.123      1.42  -521545.4    -902.6    ++
K10b.2   193.255    63.309   203.361     0.776     1.229     5.732     0.226      1.90  -520705.5     -62.8    ++
K10b.2   195.247    33.926   198.172     0.735     1.084     3.690     0.123      1.42  -521623.9    -981.2    ++
K10b.2   196.349    53.022   203.382     0.000     0.000     4.935     0.190      1.73  -520515.6     127.1    +-
K10b.1   194.800    33.214   197.611     0.840     1.548     3.504     0.112      1.36  -521337.3    -694.5    ++
K10b.1   195.915    54.078   203.242     0.795     1.312     6.303     0.223      2.00  -519972.1     670.6    +-
K10b.1   193.122    62.595   203.013     0.000     0.000     6.388     0.269      2.01  -520070.3     572.5    ++
K10a.3   193.030    63.933   203.342     0.842     1.560     5.307     0.201      1.81  -520873.3       0.0    ++
K10a.3   196.447    52.295   203.288     0.686     0.942     4.398     0.175      1.61  -520585.8     287.4    +-
K10a.3   195.325    34.411   198.333     0.000     0.000     3.856     0.132      1.47  -521529.0    -655.7    ++
K10a.2   193.159    63.942   203.468     0.756     1.155     5.290     0.200      1.81  -521034.3    -161.0    ++
K10a.2   195.457    34.503   198.479     0.682     0.933     3.886     0.134      1.47  -521662.7    -789.4    ++
K10a.2   196.549    52.237   203.372     0.000     0.000     4.362     0.175      1.60  -520745.0     128.3    +-
K10a.1   194.891    33.759   197.793     0.835     1.519     3.654     0.121      1.41  -521235.5    -362.2    ++
K10a.1   196.077    53.079   203.134     0.765     1.189     5.005     0.189      1.75  -520082.4     790.8    +-
K10a.1   192.853    63.381   203.001     0.000     0.000     5.697     0.225      1.89  -520278.4     594.9    ++
 K1e.3    51.457    56.290    76.265     0.000     0.000    17.159     1.033      3.09  -403119.1       0.0    ++
 K1e.2    51.425    56.214    76.187     0.998    14.177    17.241     1.040      3.09  -403070.9      48.2    ++
 K1e.2    56.522    50.470    75.776     0.966     3.722    64.581     2.875      4.53  -403041.9      77.2    ++
 K1e.1    51.490    56.215    76.233     1.000   287.782    17.356     1.048      3.10  -403094.8      24.4    ++
 K1e.1    56.310    51.012    75.981     0.999    22.887  41769.054  3113106.300     11.55  -403071.2      47.9    +-
 K1e.1    56.321    50.964    75.956     0.052     0.052   960.559  8262.057      7.46  -403064.4      54.7    ++
 K1d.3    56.359    51.349    76.244     1.000  1416.153  8645.265  124557.705      9.84  -403180.7       0.0    +-
 K1d.3    56.434    51.215    76.209     1.000    69.282   230.549    32.882      5.91  -403187.7      -7.0    ++
 K1d.3    52.086    55.998    76.477     0.000     0.000    19.375     1.203      3.22  -403202.8     -22.1    ++
 K1d.2    52.137    55.880    76.426     0.989     6.838    19.951     1.249      3.25  -403163.3      17.4    ++
 K1d.2    56.829    50.334    75.915     0.981     5.013    35.117     0.825      3.86  -403148.2      32.5    ++
 K1d.2    55.772    52.220    76.403     0.000     0.000    39.778     2.278      4.00  -403144.0      36.7    +-
 K1d.1    52.366    55.786    76.513     0.997    12.677    21.290     1.358      3.32  -403200.7     -20.0    ++
 K1d.1    55.746    52.385    76.498     0.985     5.660    41.055     2.256      4.03  -403183.9      -3.2    +-
 K1d.1    56.866    50.438    76.011     0.000     0.000    35.185     0.827      3.87  -403188.3      -7.6    ++
 K1c.3    57.094    49.662    75.670     0.994     9.169    21.261     0.479      3.32  -403113.9       0.0    ++
 K1c.3    55.270    52.842    76.466     0.958     3.323    26.871     1.147      3.57  -403110.3       3.6    +-
 K1c.3    52.378    55.606    76.390     0.000     0.000    22.265     1.441      3.37  -403115.7      -1.8    ++
 K1c.2    57.206    49.217    75.464     0.986     6.008    17.298     0.415      3.09  -403065.3      48.7    ++
 K1c.2    52.486    55.409    76.321     0.922     2.387    24.127     1.601      3.46  -403062.6      51.4    ++
 K1c.2    54.956    53.117    76.430     0.000     0.000    24.458     0.966      3.47  -403056.1      57.9    +-
 K1c.1    52.894    55.239    76.480     0.996    11.015    29.753     2.130      3.68  -403133.3     -19.3    ++
 K1c.1    54.887    53.380    76.564     0.993     8.222    30.760     1.166      3.72  -403129.4     -15.4    +-
 K1c.1    57.255    49.462    75.661     0.000     0.000    18.241     0.433      3.15  -403137.4     -23.5    ++
 K1b.3    57.352    49.396    75.691     0.999    18.440    17.108     0.417      3.08  -403162.7       0.0    ++
 K1b.3    53.416    54.860    76.570     0.000     0.000    53.117     5.226      4.31  -403151.8      11.0    ++
 K1b.2    57.350    49.386    75.683     0.998    15.005    17.078     0.417      3.08  -403159.8       2.9    ++
 K1b.2    53.389    54.877    76.563     0.921     2.363    51.040     4.882      4.27  -403149.1      13.6    ++
 K1b.1    57.523    49.343    75.787     0.000     0.000    15.734     0.398      2.99  -403221.2     -58.5    ++
 N5b.3    34.664    13.286    37.123     0.954     3.172    17.779     0.498      3.12  -394626.7       0.0    ++
 N5b.3    23.337    24.538    33.864     0.369     0.396     5.125     0.194      1.77  -394217.8     408.9    +-
 N5b.3    -1.251    38.703    38.723     0.000     0.000     4.769     0.038      1.70  -397356.8   -2730.1    ++
 N5b.1    -0.595    39.067    39.072     0.975     4.350     4.917     0.040      1.73  -397085.6   -2458.8    ++
 N5b.1    23.252    25.226    34.308     0.955     3.231     4.822     0.229      1.71  -394156.4     470.3    +-
 N5b.1    35.518    13.012    37.827     0.000     0.000    21.756     0.862      3.34  -394635.9      -9.2    ++
 N5a.3    36.630    11.255    38.320     0.884     1.888    11.158     0.207      2.62  -394720.4       0.0    ++
 N5a.3    22.636    25.032    33.749     0.264     0.273     4.647     0.231      1.67  -394042.8     677.6    +-
 N5a.3    -0.573    38.411    38.415     0.000     0.000     4.961     0.041      1.74  -396755.0   -2034.6    ++
 N5a.1    -0.105    38.769    38.769     0.867     1.743     5.081     0.043      1.76  -396602.9   -1882.5    ++
 N5a.1    22.703    25.538    34.171     0.800     1.333     4.337     0.234      1.59  -394005.2     715.2    +-
 N5a.1    37.114    11.381    38.820     0.000     0.000    10.669     0.192      2.57  -394731.2     -10.8    ++
 K3b.3    36.679    25.739    44.809     0.992     7.898    34.088     1.275      3.83  -394986.2       0.0    ++
 K3b.3    34.675    28.377    44.807     0.981     5.068    20.271     0.687      3.27  -394983.0       3.2    +-
 K3b.3     8.124    46.421    47.126     0.000     0.000     7.432     0.116      2.18  -397180.9   -2194.7    ++
 K3b.2     7.472    46.189    46.789     0.992     7.929     7.287     0.112      2.16  -397213.4   -2227.1    ++
 K3b.2    34.405    28.146    44.452     0.472     0.536    21.173     0.694      3.31  -394945.8      40.5    +-
 K3b.2    36.461    25.356    44.411     0.000     0.000    33.498     1.255      3.81  -394945.5      40.7    ++
