SWIFTJ0242.6+0000   b NGC1068                    40.6696   -0.0133  0.0038                 12.7
SWIFTJ0243.9+5324     LEDA2442097                41.0125   53.4745  0.0364                160.2
SWIFTJ0244.7-2433     ESO479-31                  41.1989  -24.5139  0.0235                102.5
SWIFTJ0244.8+6227     Q0241+622                  41.2404   62.4685  0.0495                220.0
SWIFTJ0245.2+1047     4C+10.08                   41.3061   10.7897  0.0700                315.7 BZQ
SWIFTJ0249.1+2627     LEDA89928                  42.2472   26.5109  0.0579                258.9
SWIFTJ0250.4+4648     2MASXJ02502722+4647295     42.6133   46.7915  0.0214                 93.2
SWIFTJ0250.7+4142     NGC1106                    42.6688   41.6715  0.0145                 62.8
SWIFTJ0251.3+5441     LEDA166445                 42.6775   54.7049  0.0152                 65.9
SWIFTJ0251.6-1639     NGC1125                    42.9180  -16.6510  0.0110                 47.5
SWIFTJ0252.1-6758   a 2MASXJ02513173-6803059     42.8826  -68.0515  0.367   0.154 0.475
SWIFTJ0252.3+4312     LEDA90641                  43.1418   43.1674  0.0518                230.6
SWIFTJ0252.7-0822     MCG-2-8-14                 43.0975   -8.5104  0.0168                 72.9
SWIFTJ0255.2-0011     NGC1142                    43.8008   -0.1836  0.0289                126.5
SWIFTJ0256.4-3212     ESO417-6                   44.0898  -32.1856  0.0163                 70.7
SWIFTJ0259.9+4419   a 2MASXJ02593756+4417180     44.9065   44.2884  0.002   0.002 0.005
SWIFTJ0300.0-1048     MCG-2-8-38                 45.0180  -10.8246  0.0326                143.1
SWIFTJ0304.1-0108     NGC1194                    45.9546   -1.1037  0.0136                 58.9
SWIFTJ0308.2-2258     NGC1229                    47.0449  -22.9608  0.0360                158.4
SWIFTJ0308.5-7251     ESO31-8                    46.8972  -72.8340  0.0276                120.7
SWIFTJ0311.1+3241     2MASXJ03104435+3239296     47.6850   32.6580  0.1270                595.1
SWIFTJ0311.5-2045     HE0309-2057                47.8284  -20.7717  0.0670                301.5
SWIFTJ0311.8-7653     [HB89] 0312-770            47.9802  -76.8641  0.2230               1107.3 BZQ
SWIFTJ0311.9+5032     2MASXJ03120291+5029147     48.0123   50.4874  0.0624                279.9
SWIFTJ0312.9+4121     QSOB0309+411               48.2580   41.3330  0.1360                640.9 BZU
SWIFTJ0317.2+0116     UGC2638                    49.2592    1.2550  0.0238                103.8
SWIFTJ0318.7+6828     2MASXJ03181899+6829322     49.5791   68.4921  0.0901                412.0
SWIFTJ0319.7+4132     NGC1275                    49.9507   41.5117  0.0176                 76.4 BZU
SWIFTJ0324.8+3410     1H0323+342                 51.1715   34.1794  0.0610                273.3 BZU
SWIFTJ0324.9+4044     LEDA97012                  51.3051   40.6985  0.0477                211.7
SWIFTJ0325.0-4154     LEDA12773                  51.2595  -41.9048  0.0580                259.3
SWIFTJ0326.0-5633     2MASXJ03252346-5635443     51.3480  -56.5957  0.0602                269.6
SWIFTJ0328.4-2846     LEDA738553                 52.1522  -28.6989  0.1080                499.8
SWIFTJ0331.3+0538     HS0328+0528                52.7174    5.6404  0.0460                203.9
SWIFTJ0331.4-0510     MCG-1-9-45                 52.8459   -5.1418  0.0128                 55.4
SWIFTJ0333.3+3720     2MASXJ03331873+3718107     53.3282   37.3030  0.0558                249.1
SWIFTJ0333.6-3607   b NGC1365                    53.4016  -36.1404  0.0055                 18.2
SWIFTJ0334.4-1515     LEDA2816367                53.6022  -15.2277  0.0349                153.5
SWIFTJ0335.4+1907     2MASXJ03352254+1907282     53.8438   19.1244  0.1890                920.2
SWIFTJ0336.6+3217     4C+32.14                   54.1255   32.3082  1.2580               8777.4 BZQ
SWIFTJ0342.0-2115     ESO548-81                  55.5155  -21.2444  0.0145                 62.8
SWIFTJ0345.2-3935     Tol0343-397                56.3022  -39.5748  0.0431                190.7
SWIFTJ0347.0-3027     HE0345-3033                56.7729  -30.3972  0.0950                435.8
SWIFTJ0349.2-1159     QSOB0347-121               57.3467  -11.9908  0.0321                871.7 BZB
SWIFTJ0350.1-5019     ESO201-4                   57.5956  -50.3026  0.0359                158.0
SWIFTJ0351.7-4030     Fairall1116                57.9237  -40.4665  0.0586                262.1
