2453135.717   7.04  3.016 0.007   3.544 0.009  4.136 0.031  5.046 0.062 MDM     8K
2453136.659   1.65  3.077 0.013   3.625 0.019  4.193 0.040  5.351 0.109 FLWO    4Shooter
2453137.719   1.15  3.045 0.013   3.627 0.021  4.187 0.036  5.213 0.089 FLWO    4Shooter
2453140.640   1.58  3.084 0.013   3.636 0.019  4.238 0.041  5.289 0.102 FLWO    4Shooter
2453143.790   0.63  3.162 0.029   3.712 0.047  4.182 0.072  5.129 0.164 FLWO    4Shooter
2453144.677   1.61  3.089 0.012   3.659 0.019  4.208 0.039  5.258 0.097 FLWO    4Shooter
2453145.711   1.55  3.087 0.014   3.663 0.023  4.110 0.042  5.301 0.119 FLWO    4Shooter
2453146.745   0.84  3.093 0.013   3.636 0.020  4.199 0.033  5.176 0.077 FLWO    4Shooter
2453147.648   1.42  3.098 0.015   3.648 0.023  4.150 0.041  5.223 0.107 FLWO    4Shooter
2453148.653   1.34  3.078 0.015   3.684 0.025  4.189 0.046  5.147 0.106 FLWO    4Shooter
2453149.733   1.37  3.094 0.013   3.631 0.020  4.120 0.035  5.342 0.104 FLWO    4Shooter
2453153.660   1.40  3.060 0.061   3.631 0.061  4.157 0.072  5.165 0.074 WIYN    WTTM
2453153.692   0.86  3.120 0.019   3.661 0.030  4.145 0.047  5.171 0.116 FLWO    4Shooter
2453154.272   0.33  3.071 0.059   3.578 0.093  4.097 0.148  4.771 0.263 Wise    Tektronix
2453154.673   0.66  3.125 0.023   3.695 0.037  4.103 0.054  5.044 0.123 FLWO    4Shooter
2453155.673   0.62  3.106 0.024   3.613 0.037  4.083 0.057  5.303 0.164 FLWO    4Shooter
2453156.646   0.72  3.113 0.020   3.625 0.031  4.115 0.049  5.232 0.130 FLWO    4Shooter
2453157.670   0.67  3.100 0.021   3.688 0.034  4.119 0.051  5.146 0.126 FLWO    4Shooter
2453158.660   1.04  3.105 0.017   3.628 0.026  4.081 0.040  5.126 0.100 FLWO    4Shooter
2453159.643   0.57  3.145 0.029   3.679 0.046  4.026 0.063  5.266 0.186 FLWO    4Shooter
2453161.736   2.88  3.116 0.016   3.658 0.024  4.065 0.056  5.202 0.148 MDM     Templeton
2453162.658   2.80  3.150 0.008   3.653 0.010  4.086 0.023  5.086 0.051 MDM     Templeton
2453163.650   4.10  3.159 0.010   3.653 0.013  4.107 0.038  5.119 0.090 MDM     Templeton
2453164.651  28.62  3.168 0.010   3.646 0.014  4.087 0.104  5.054 0.237 MDM     Templeton
2453165.656  11.23  3.171 0.008   3.623 0.011  4.062 0.050  5.044 0.110 MDM     Templeton
