image,mjd,jd_minus_2450000,mag,magerr,band,telescope,in_paper_fit
B,54940.14700,4940.647,20.023,0.018,SDSS r,FLWO 1.2m Keplercam,1
C,54940.14700,4940.647,20.375,0.023,SDSS r,FLWO 1.2m Keplercam,1
D,54940.14700,4940.647,19.998,0.048,SDSS r,FLWO 1.2m Keplercam,1
A,54942.25200,4942.752,19.773,0.016,SDSS r,FLWO 1.2m Keplercam,1
B,54942.25200,4942.752,19.997,0.019,SDSS r,FLWO 1.2m Keplercam,1
C,54942.25200,4942.752,20.403,0.024,SDSS r,FLWO 1.2m Keplercam,1
D,54942.25200,4942.752,20.107,0.051,SDSS r,FLWO 1.2m Keplercam,1
A,54943.13400,4943.634,19.645,0.016,SDSS r,FLWO 1.2m Keplercam,1
B,54943.13400,4943.634,20.026,0.018,SDSS r,FLWO 1.2m Keplercam,1
C,54943.13400,4943.634,20.372,0.023,SDSS r,FLWO 1.2m Keplercam,1
D,54943.13400,4943.634,20.094,0.050,SDSS r,FLWO 1.2m Keplercam,1
A,54944.16800,4944.668,19.611,0.014,SDSS r,FLWO 1.2m Keplercam,1
B,54944.16800,4944.668,19.962,0.016,SDSS r,FLWO 1.2m Keplercam,1
C,54944.16800,4944.668,20.442,0.020,SDSS r,FLWO 1.2m Keplercam,1
D,54944.16800,4944.668,19.950,0.044,SDSS r,FLWO 1.2m Keplercam,1
A,54945.18300,4945.683,19.602,0.017,SDSS r,FLWO 1.2m Keplercam,1
B,54945.18300,4945.683,19.962,0.020,SDSS r,FLWO 1.2m Keplercam,1
C,54945.18300,4945.683,20.380,0.025,SDSS r,FLWO 1.2m Keplercam,1
D,54945.18300,4945.683,20.014,0.054,SDSS r,FLWO 1.2m Keplercam,1
A,54946.20600,4946.706,19.754,0.017,SDSS r,FLWO 1.2m Keplercam,1
B,54946.20600,4946.706,20.169,0.020,SDSS r,FLWO 1.2m Keplercam,1
C,54946.20600,4946.706,20.326,0.026,SDSS r,FLWO 1.2m Keplercam,1
D,54946.20600,4946.706,20.128,0.055,SDSS r,FLWO 1.2m Keplercam,1
A,54947.18200,4947.682,19.724,0.015,SDSS r,FLWO 1.2m Keplercam,1
B,54947.18200,4947.682,19.997,0.017,SDSS r,FLWO 1.2m Keplercam,1
C,54947.18200,4947.682,20.402,0.022,SDSS r,FLWO 1.2m Keplercam,1
D,54947.18200,4947.682,20.058,0.047,SDSS r,FLWO 1.2m Keplercam,1
A,54948.16400,4948.664,19.735,0.016,SDSS r,FLWO 1.2m Keplercam,1
B,54948.16400,4948.664,20.052,0.019,SDSS r,FLWO 1.2m Keplercam,1
C,54948.16400,4948.664,20.383,0.023,SDSS r,FLWO 1.2m Keplercam,1
D,54948.16400,4948.664,20.023,0.050,SDSS r,FLWO 1.2m Keplercam,1
A,54951.14700,4951.647,19.716,0.018,SDSS r,FLWO 1.2m Keplercam,1
B,54951.14700,4951.647,19.984,0.021,SDSS r,FLWO 1.2m Keplercam,1
C,54951.14700,4951.647,20.436,0.027,SDSS r,FLWO 1.2m Keplercam,1
D,54951.14700,4951.647,20.091,0.057,SDSS r,FLWO 1.2m Keplercam,1
A,54968.15200,4968.652,19.720,0.016,SDSS r,FLWO 1.2m Keplercam,1
B,54968.15200,4968.652,20.009,0.019,SDSS r,FLWO 1.2m Keplercam,1
C,54968.15200,4968.652,20.330,0.024,SDSS r,FLWO 1.2m Keplercam,1
D,54968.15200,4968.652,20.064,0.050,SDSS r,FLWO 1.2m Keplercam,1
A,54974.19000,4974.690,19.699,0.017,SDSS r,FLWO 1.2m Keplercam,1
B,54974.19000,4974.690,20.066,0.020,SDSS r,FLWO 1.2m Keplercam,1
C,54974.19000,4974.690,20.377,0.026,SDSS r,FLWO 1.2m Keplercam,1
D,54974.19000,4974.690,20.077,0.055,SDSS r,FLWO 1.2m Keplercam,1
A,54976.17100,4976.671,19.811,0.016,SDSS r,FLWO 1.2m Keplercam,1
B,54976.17100,4976.671,20.037,0.019,SDSS r,FLWO 1.2m Keplercam,1
C,54976.17100,4976.671,20.317,0.024,SDSS r,FLWO 1.2m Keplercam,1
D,54976.17100,4976.671,19.989,0.052,SDSS r,FLWO 1.2m Keplercam,1
A,54977.15400,4977.654,19.672,0.016,SDSS r,FLWO 1.2m Keplercam,1
B,54977.15400,4977.654,19.993,0.019,SDSS r,FLWO 1.2m Keplercam,1
C,54977.15400,4977.654,20.204,0.025,SDSS r,FLWO 1.2m Keplercam,1
D,54977.15400,4977.654,20.062,0.052,SDSS r,FLWO 1.2m Keplercam,1
A,54979.15200,4979.652,19.703,0.022,SDSS r,FLWO 1.2m Keplercam,1
B,54979.15200,4979.652,20.041,0.026,SDSS r,FLWO 1.2m Keplercam,1
C,54979.15200,4979.652,20.386,0.034,SDSS r,FLWO 1.2m Keplercam,1
D,54979.15200,4979.652,19.992,0.071,SDSS r,FLWO 1.2m Keplercam,1
A,54981.16300,4981.663,19.773,0.024,SDSS r,FLWO 1.2m Keplercam,1
B,54981.16300,4981.663,20.113,0.028,SDSS r,FLWO 1.2m Keplercam,1
C,54981.16300,4981.663,20.436,0.036,SDSS r,FLWO 1.2m Keplercam,1
D,54981.16300,4981.663,19.961,0.076,SDSS r,FLWO 1.2m Keplercam,1
A,54982.20800,4982.708,19.729,0.026,SDSS r,FLWO 1.2m Keplercam,1
B,54982.20800,4982.708,20.346,0.031,SDSS r,FLWO 1.2m Keplercam,1
C,54982.20800,4982.708,20.332,0.039,SDSS r,FLWO 1.2m Keplercam,1
D,54982.20800,4982.708,19.906,0.083,SDSS r,FLWO 1.2m Keplercam,1
A,54995.17700,4995.677,19.650,0.018,SDSS r,FLWO 1.2m Keplercam,1
B,54995.17700,4995.677,19.853,0.022,SDSS r,FLWO 1.2m Keplercam,1
C,54995.17700,4995.677,20.210,0.028,SDSS r,FLWO 1.2m Keplercam,1
D,54995.17700,4995.677,20.195,0.059,SDSS r,FLWO 1.2m Keplercam,1
A,54999.16800,4999.668,19.856,0.018,SDSS r,FLWO 1.2m Keplercam,1
B,54999.16800,4999.668,20.252,0.022,SDSS r,FLWO 1.2m Keplercam,1
C,54999.16800,4999.668,20.170,0.028,SDSS r,FLWO 1.2m Keplercam,1
D,54999.16800,4999.668,20.130,0.059,SDSS r,FLWO 1.2m Keplercam,1
A,55006.17300,5006.673,19.903,0.024,SDSS r,FLWO 1.2m Keplercam,1
B,55006.17300,5006.673,20.228,0.028,SDSS r,FLWO 1.2m Keplercam,1
C,55006.17300,5006.673,20.476,0.036,SDSS r,FLWO 1.2m Keplercam,1
D,55006.17300,5006.673,20.197,0.076,SDSS r,FLWO 1.2m Keplercam,1
A,55134.49900,5134.999,20.183,0.020,SDSS r,FLWO 1.2m Keplercam,1
B,55134.49900,5134.999,20.334,0.024,SDSS r,FLWO 1.2m Keplercam,1
C,55134.49900,5134.999,19.692,0.031,SDSS r,FLWO 1.2m Keplercam,1
D,55134.49900,5134.999,20.108,0.064,SDSS r,FLWO 1.2m Keplercam,1
A,55135.49200,5135.992,19.974,0.021,SDSS r,FLWO 1.2m Keplercam,1
B,55135.49200,5135.992,20.371,0.024,SDSS r,FLWO 1.2m Keplercam,1
C,55135.49200,5135.992,19.692,0.031,SDSS r,FLWO 1.2m Keplercam,1
D,55135.49200,5135.992,20.053,0.066,SDSS r,FLWO 1.2m Keplercam,1
A,55144.50600,5145.006,19.889,0.031,SDSS r,FLWO 1.2m Keplercam,1
B,55144.50600,5145.006,20.405,0.036,SDSS r,FLWO 1.2m Keplercam,1
C,55144.50600,5145.006,19.792,0.046,SDSS r,FLWO 1.2m Keplercam,1
D,55144.50600,5145.006,19.992,0.098,SDSS r,FLWO 1.2m Keplercam,1
A,55146.52300,5147.023,19.986,0.022,SDSS r,FLWO 1.2m Keplercam,1
B,55146.52300,5147.023,20.437,0.026,SDSS r,FLWO 1.2m Keplercam,1
C,55146.52300,5147.023,19.598,0.033,SDSS r,FLWO 1.2m Keplercam,1
D,55146.52300,5147.023,20.001,0.070,SDSS r,FLWO 1.2m Keplercam,1
A,55150.53300,5151.033,19.834,0.025,SDSS r,FLWO 1.2m Keplercam,1
B,55150.53300,5151.033,20.526,0.030,SDSS r,FLWO 1.2m Keplercam,1
C,55150.53300,5151.033,19.708,0.039,SDSS r,FLWO 1.2m Keplercam,1
D,55150.53300,5151.033,20.117,0.082,SDSS r,FLWO 1.2m Keplercam,1
A,55156.50700,5157.007,20.099,0.018,SDSS r,FLWO 1.2m Keplercam,1
B,55156.50700,5157.007,20.647,0.021,SDSS r,FLWO 1.2m Keplercam,1
C,55156.50700,5157.007,19.748,0.028,SDSS r,FLWO 1.2m Keplercam,1
D,55156.50700,5157.007,20.187,0.058,SDSS r,FLWO 1.2m Keplercam,1
A,55157.47500,5157.975,20.052,0.017,SDSS r,FLWO 1.2m Keplercam,1
B,55157.47500,5157.975,20.431,0.020,SDSS r,FLWO 1.2m Keplercam,1
C,55157.47500,5157.975,19.691,0.026,SDSS r,FLWO 1.2m Keplercam,1
D,55157.47500,5157.975,20.274,0.054,SDSS r,FLWO 1.2m Keplercam,1
A,55158.52100,5159.021,20.061,0.017,SDSS r,FLWO 1.2m Keplercam,1
B,55158.52100,5159.021,20.574,0.020,SDSS r,FLWO 1.2m Keplercam,1
C,55158.52100,5159.021,19.628,0.026,SDSS r,FLWO 1.2m Keplercam,1
D,55158.52100,5159.021,20.295,0.054,SDSS r,FLWO 1.2m Keplercam,1
A,55160.43600,5160.936,19.985,0.019,SDSS r,FLWO 1.2m Keplercam,1
B,55160.43600,5160.936,20.419,0.023,SDSS r,FLWO 1.2m Keplercam,1
C,55160.43600,5160.936,19.693,0.029,SDSS r,FLWO 1.2m Keplercam,1
D,55160.43600,5160.936,20.248,0.061,SDSS r,FLWO 1.2m Keplercam,1
A,55176.50400,5177.004,20.050,0.018,SDSS r,FLWO 1.2m Keplercam,1
B,55176.50400,5177.004,20.632,0.021,SDSS r,FLWO 1.2m Keplercam,1
C,55176.50400,5177.004,19.589,0.027,SDSS r,FLWO 1.2m Keplercam,1
D,55176.50400,5177.004,20.125,0.056,SDSS r,FLWO 1.2m Keplercam,1
A,55185.50800,5186.008,19.958,0.017,SDSS r,FLWO 1.2m Keplercam,1
B,55185.50800,5186.008,20.748,0.020,SDSS r,FLWO 1.2m Keplercam,1
C,55185.50800,5186.008,19.525,0.026,SDSS r,FLWO 1.2m Keplercam,1
D,55185.50800,5186.008,20.183,0.054,SDSS r,FLWO 1.2m Keplercam,1
A,55191.51500,5192.015,20.050,0.018,SDSS r,FLWO 1.2m Keplercam,1
B,55191.51500,5192.015,20.751,0.021,SDSS r,FLWO 1.2m Keplercam,1
C,55191.51500,5192.015,19.481,0.027,SDSS r,FLWO 1.2m Keplercam,1
D,55191.51500,5192.015,20.125,0.056,SDSS r,FLWO 1.2m Keplercam,1
A,55202.42000,5202.920,20.231,0.023,SDSS r,FLWO 1.2m Keplercam,1
B,55202.42000,5202.920,20.600,0.027,SDSS r,FLWO 1.2m Keplercam,1
C,55202.42000,5202.920,19.594,0.035,SDSS r,FLWO 1.2m Keplercam,1
D,55202.42000,5202.920,20.189,0.073,SDSS r,FLWO 1.2m Keplercam,1
A,55207.49800,5207.998,20.220,0.018,SDSS r,FLWO 1.2m Keplercam,1
B,55207.49800,5207.998,20.615,0.021,SDSS r,FLWO 1.2m Keplercam,1
C,55207.49800,5207.998,19.628,0.027,SDSS r,FLWO 1.2m Keplercam,1
D,55207.49800,5207.998,20.377,0.058,SDSS r,FLWO 1.2m Keplercam,1
A,55213.51900,5214.019,20.269,0.018,SDSS r,FLWO 1.2m Keplercam,1
B,55213.51900,5214.019,20.782,0.022,SDSS r,FLWO 1.2m Keplercam,1
C,55213.51900,5214.019,19.565,0.028,SDSS r,FLWO 1.2m Keplercam,1
D,55213.51900,5214.019,20.328,0.059,SDSS r,FLWO 1.2m Keplercam,1
A,55242.35700,5242.857,20.247,0.015,SDSS r,FLWO 1.2m Keplercam,1
B,55242.35700,5242.857,20.434,0.018,SDSS r,FLWO 1.2m Keplercam,1
C,55242.35700,5242.857,19.551,0.023,SDSS r,FLWO 1.2m Keplercam,1
D,55242.35700,5242.857,20.496,0.048,SDSS r,FLWO 1.2m Keplercam,1
A,55243.54500,5244.045,20.184,0.028,SDSS r,FLWO 1.2m Keplercam,1
B,55243.54500,5244.045,20.150,0.033,SDSS r,FLWO 1.2m Keplercam,1
C,55243.54500,5244.045,19.454,0.043,SDSS r,FLWO 1.2m Keplercam,1
D,55243.54500,5244.045,20.523,0.090,SDSS r,FLWO 1.2m Keplercam,1
A,55244.31100,5244.811,20.139,0.015,SDSS r,FLWO 1.2m Keplercam,1
B,55244.31100,5244.811,20.344,0.017,SDSS r,FLWO 1.2m Keplercam,1
C,55244.31100,5244.811,19.517,0.022,SDSS r,FLWO 1.2m Keplercam,1
D,55244.31100,5244.811,20.582,0.047,SDSS r,FLWO 1.2m Keplercam,1
A,55245.40800,5245.908,20.206,0.017,SDSS r,FLWO 1.2m Keplercam,1
B,55245.40800,5245.908,20.281,0.020,SDSS r,FLWO 1.2m Keplercam,1
C,55245.40800,5245.908,19.619,0.026,SDSS r,FLWO 1.2m Keplercam,1
D,55245.40800,5245.908,20.501,0.054,SDSS r,FLWO 1.2m Keplercam,1
A,55246.42700,5246.927,20.210,0.018,SDSS r,FLWO 1.2m Keplercam,1
B,55246.42700,5246.927,20.186,0.021,SDSS r,FLWO 1.2m Keplercam,1
C,55246.42700,5246.927,19.608,0.027,SDSS r,FLWO 1.2m Keplercam,1
D,55246.42700,5246.927,20.533,0.057,SDSS r,FLWO 1.2m Keplercam,1
A,55259.36600,5259.866,20.189,0.025,SDSS r,FLWO 1.2m Keplercam,1
B,55259.36600,5259.866,20.213,0.030,SDSS r,FLWO 1.2m Keplercam,1
C,55259.36600,5259.866,19.646,0.038,SDSS r,FLWO 1.2m Keplercam,1
D,55259.36600,5259.866,20.413,0.081,SDSS r,FLWO 1.2m Keplercam,1
A,55267.29700,5267.797,20.090,0.018,SDSS r,FLWO 1.2m Keplercam,1
B,55267.29700,5267.797,20.278,0.021,SDSS r,FLWO 1.2m Keplercam,1
C,55267.29700,5267.797,19.562,0.027,SDSS r,FLWO 1.2m Keplercam,1
D,55267.29700,5267.797,20.344,0.056,SDSS r,FLWO 1.2m Keplercam,1
A,55268.29200,5268.792,20.008,0.018,SDSS r,FLWO 1.2m Keplercam,1
B,55268.29200,5268.792,20.241,0.021,SDSS r,FLWO 1.2m Keplercam,1
C,55268.29200,5268.792,19.551,0.027,SDSS r,FLWO 1.2m Keplercam,1
D,55268.29200,5268.792,20.409,0.057,SDSS r,FLWO 1.2m Keplercam,1
A,55269.36500,5269.865,20.112,0.017,SDSS r,FLWO 1.2m Keplercam,1
B,55269.36500,5269.865,20.185,0.020,SDSS r,FLWO 1.2m Keplercam,1
C,55269.36500,5269.865,19.666,0.026,SDSS r,FLWO 1.2m Keplercam,1
D,55269.36500,5269.865,20.285,0.055,SDSS r,FLWO 1.2m Keplercam,1
A,55275.35000,5275.850,20.004,0.017,SDSS r,FLWO 1.2m Keplercam,1
B,55275.35000,5275.850,20.145,0.020,SDSS r,FLWO 1.2m Keplercam,1
C,55275.35000,5275.850,19.595,0.026,SDSS r,FLWO 1.2m Keplercam,1
D,55275.35000,5275.850,20.305,0.054,SDSS r,FLWO 1.2m Keplercam,1
A,55289.23300,5289.733,19.888,0.017,SDSS r,FLWO 1.2m Keplercam,1
B,55289.23300,5289.733,19.953,0.020,SDSS r,FLWO 1.2m Keplercam,1
C,55289.23300,5289.733,19.628,0.025,SDSS r,FLWO 1.2m Keplercam,1
D,55289.23300,5289.733,20.525,0.053,SDSS r,FLWO 1.2m Keplercam,1
A,55290.27000,5290.770,19.750,0.015,SDSS r,FLWO 1.2m Keplercam,1
B,55290.27000,5290.770,19.966,0.017,SDSS r,FLWO 1.2m Keplercam,1
C,55290.27000,5290.770,19.643,0.022,SDSS r,FLWO 1.2m Keplercam,1
D,55290.27000,5290.770,20.422,0.047,SDSS r,FLWO 1.2m Keplercam,1
A,55292.30600,5292.806,19.953,0.016,SDSS r,FLWO 1.2m Keplercam,1
B,55292.30600,5292.806,20.130,0.019,SDSS r,FLWO 1.2m Keplercam,1
C,55292.30600,5292.806,19.603,0.024,SDSS r,FLWO 1.2m Keplercam,1
D,55292.30600,5292.806,20.501,0.051,SDSS r,FLWO 1.2m Keplercam,1
A,55295.19100,5295.691,19.812,0.016,SDSS r,FLWO 1.2m Keplercam,1
B,55295.19100,5295.691,20.034,0.019,SDSS r,FLWO 1.2m Keplercam,1
C,55295.19100,5295.691,19.615,0.025,SDSS r,FLWO 1.2m Keplercam,1
D,55295.19100,5295.691,20.298,0.052,SDSS r,FLWO 1.2m Keplercam,1
A,55296.28400,5296.784,19.872,0.016,SDSS r,FLWO 1.2m Keplercam,1
B,55296.28400,5296.784,20.053,0.019,SDSS r,FLWO 1.2m Keplercam,1
C,55296.28400,5296.784,19.603,0.024,SDSS r,FLWO 1.2m Keplercam,1
D,55296.28400,5296.784,20.368,0.050,SDSS r,FLWO 1.2m Keplercam,1
A,55300.27900,5300.779,20.008,0.016,SDSS r,FLWO 1.2m Keplercam,1
B,55300.27900,5300.779,19.998,0.019,SDSS r,FLWO 1.2m Keplercam,1
C,55300.27900,5300.779,19.686,0.024,SDSS r,FLWO 1.2m Keplercam,1
D,55300.27900,5300.779,20.493,0.050,SDSS r,FLWO 1.2m Keplercam,1
A,55302.13200,5302.632,19.909,0.020,SDSS r,FLWO 1.2m Keplercam,1
B,55302.13200,5302.632,20.079,0.024,SDSS r,FLWO 1.2m Keplercam,1
C,55302.13200,5302.632,19.629,0.031,SDSS r,FLWO 1.2m Keplercam,1
D,55302.13200,5302.632,20.524,0.065,SDSS r,FLWO 1.2m Keplercam,1
A,55320.27900,5320.779,19.725,0.017,SDSS r,FLWO 1.2m Keplercam,1
B,55320.27900,5320.779,19.925,0.020,SDSS r,FLWO 1.2m Keplercam,1
C,55320.27900,5320.779,19.637,0.026,SDSS r,FLWO 1.2m Keplercam,1
D,55320.27900,5320.779,20.297,0.054,SDSS r,FLWO 1.2m Keplercam,1
A,55327.29800,5327.798,19.796,0.020,SDSS r,FLWO 1.2m Keplercam,1
B,55327.29800,5327.798,20.023,0.024,SDSS r,FLWO 1.2m Keplercam,1
C,55327.29800,5327.798,19.691,0.030,SDSS r,FLWO 1.2m Keplercam,1
D,55327.29800,5327.798,20.254,0.064,SDSS r,FLWO 1.2m Keplercam,1
A,55335.17600,5335.676,19.705,0.020,SDSS r,FLWO 1.2m Keplercam,1
B,55335.17600,5335.676,19.952,0.024,SDSS r,FLWO 1.2m Keplercam,1
C,55335.17600,5335.676,19.619,0.031,SDSS r,FLWO 1.2m Keplercam,1
D,55335.17600,5335.676,20.584,0.064,SDSS r,FLWO 1.2m Keplercam,1
A,55338.16500,5338.665,19.728,0.027,SDSS r,FLWO 1.2m Keplercam,1
B,55338.16500,5338.665,19.940,0.032,SDSS r,FLWO 1.2m Keplercam,1
C,55338.16500,5338.665,19.755,0.041,SDSS r,FLWO 1.2m Keplercam,1
D,55338.16500,5338.665,20.360,0.086,SDSS r,FLWO 1.2m Keplercam,1
A,55363.16100,5363.661,19.746,0.025,SDSS r,FLWO 1.2m Keplercam,1
B,55363.16100,5363.661,19.939,0.029,SDSS r,FLWO 1.2m Keplercam,1
C,55363.16100,5363.661,19.514,0.037,SDSS r,FLWO 1.2m Keplercam,1
D,55363.16100,5363.661,20.248,0.078,SDSS r,FLWO 1.2m Keplercam,1
A,55493.51300,5494.013,20.035,0.041,SDSS r,FLWO 1.2m Keplercam,1
B,55493.51300,5494.013,20.300,0.049,SDSS r,FLWO 1.2m Keplercam,1
C,55493.51300,5494.013,19.513,0.063,SDSS r,FLWO 1.2m Keplercam,1
D,55493.51300,5494.013,20.291,0.133,SDSS r,FLWO 1.2m Keplercam,1
A,55508.49400,5508.994,19.817,0.017,SDSS r,FLWO 1.2m Keplercam,1
B,55508.49400,5508.994,20.133,0.021,SDSS r,FLWO 1.2m Keplercam,1
C,55508.49400,5508.994,19.394,0.027,SDSS r,FLWO 1.2m Keplercam,1
D,55508.49400,5508.994,20.515,0.056,SDSS r,FLWO 1.2m Keplercam,1
A,55510.50300,5511.003,19.963,0.018,SDSS r,FLWO 1.2m Keplercam,1
B,55510.50300,5511.003,20.130,0.021,SDSS r,FLWO 1.2m Keplercam,1
C,55510.50300,5511.003,19.493,0.028,SDSS r,FLWO 1.2m Keplercam,1
D,55510.50300,5511.003,20.390,0.058,SDSS r,FLWO 1.2m Keplercam,1
A,55515.51500,5516.015,19.903,0.018,SDSS r,FLWO 1.2m Keplercam,1
B,55515.51500,5516.015,20.172,0.021,SDSS r,FLWO 1.2m Keplercam,1
C,55515.51500,5516.015,19.419,0.027,SDSS r,FLWO 1.2m Keplercam,1
D,55515.51500,5516.015,20.444,0.056,SDSS r,FLWO 1.2m Keplercam,1
A,55533.51300,5534.013,19.817,0.020,SDSS r,FLWO 1.2m Keplercam,1
B,55533.51300,5534.013,20.360,0.024,SDSS r,FLWO 1.2m Keplercam,1
C,55533.51300,5534.013,19.616,0.030,SDSS r,FLWO 1.2m Keplercam,1
D,55533.51300,5534.013,20.458,0.064,SDSS r,FLWO 1.2m Keplercam,1
A,55535.54200,5536.042,19.879,0.015,SDSS r,FLWO 1.2m Keplercam,1
B,55535.54200,5536.042,20.355,0.018,SDSS r,FLWO 1.2m Keplercam,1
C,55535.54200,5536.042,19.511,0.023,SDSS r,FLWO 1.2m Keplercam,1
D,55535.54200,5536.042,20.345,0.048,SDSS r,FLWO 1.2m Keplercam,1
A,55536.42800,5536.928,19.810,0.015,SDSS r,FLWO 1.2m Keplercam,1
B,55536.42800,5536.928,20.405,0.018,SDSS r,FLWO 1.2m Keplercam,1
C,55536.42800,5536.928,19.402,0.023,SDSS r,FLWO 1.2m Keplercam,1
D,55536.42800,5536.928,20.283,0.048,SDSS r,FLWO 1.2m Keplercam,1
A,55546.47900,5546.979,20.007,0.016,SDSS r,FLWO 1.2m Keplercam,1
B,55546.47900,5546.979,20.364,0.019,SDSS r,FLWO 1.2m Keplercam,1
C,55546.47900,5546.979,19.436,0.025,SDSS r,FLWO 1.2m Keplercam,1
D,55546.47900,5546.979,20.464,0.052,SDSS r,FLWO 1.2m Keplercam,1
A,55568.53300,5569.033,19.960,0.015,SDSS r,FLWO 1.2m Keplercam,1
B,55568.53300,5569.033,20.634,0.017,SDSS r,FLWO 1.2m Keplercam,1
C,55568.53300,5569.033,19.492,0.022,SDSS r,FLWO 1.2m Keplercam,1
D,55568.53300,5569.033,20.603,0.046,SDSS r,FLWO 1.2m Keplercam,1
A,55569.51900,5570.019,19.929,0.016,SDSS r,FLWO 1.2m Keplercam,1
B,55569.51900,5570.019,20.648,0.018,SDSS r,FLWO 1.2m Keplercam,1
C,55569.51900,5570.019,19.539,0.024,SDSS r,FLWO 1.2m Keplercam,1
D,55569.51900,5570.019,20.579,0.049,SDSS r,FLWO 1.2m Keplercam,1
A,55570.53900,5571.039,20.143,0.015,SDSS r,FLWO 1.2m Keplercam,1
B,55570.53900,5571.039,20.644,0.018,SDSS r,FLWO 1.2m Keplercam,1
C,55570.53900,5571.039,19.490,0.024,SDSS r,FLWO 1.2m Keplercam,1
D,55570.53900,5571.039,20.521,0.049,SDSS r,FLWO 1.2m Keplercam,1
A,55577.53700,5578.037,20.080,0.017,SDSS r,FLWO 1.2m Keplercam,1
B,55577.53700,5578.037,20.456,0.020,SDSS r,FLWO 1.2m Keplercam,1
C,55577.53700,5578.037,19.505,0.026,SDSS r,FLWO 1.2m Keplercam,1
D,55577.53700,5578.037,20.632,0.054,SDSS r,FLWO 1.2m Keplercam,1
A,55589.40500,5589.905,20.033,0.014,SDSS r,FLWO 1.2m Keplercam,1
B,55589.40500,5589.905,20.695,0.016,SDSS r,FLWO 1.2m Keplercam,1
C,55589.40500,5589.905,19.523,0.021,SDSS r,FLWO 1.2m Keplercam,1
D,55589.40500,5589.905,20.448,0.044,SDSS r,FLWO 1.2m Keplercam,1
A,55590.53400,5591.034,20.061,0.019,SDSS r,FLWO 1.2m Keplercam,1
B,55590.53400,5591.034,20.731,0.023,SDSS r,FLWO 1.2m Keplercam,1
C,55590.53400,5591.034,19.465,0.029,SDSS r,FLWO 1.2m Keplercam,1
D,55590.53400,5591.034,20.559,0.061,SDSS r,FLWO 1.2m Keplercam,1
A,55591.29600,5591.796,20.097,0.013,SDSS r,FLWO 1.2m Keplercam,1
B,55591.29600,5591.796,20.912,0.015,SDSS r,FLWO 1.2m Keplercam,1
C,55591.29600,5591.796,19.546,0.020,SDSS r,FLWO 1.2m Keplercam,1
D,55591.29600,5591.796,20.367,0.042,SDSS r,FLWO 1.2m Keplercam,1
A,55593.54500,5594.045,20.100,0.016,SDSS r,FLWO 1.2m Keplercam,1
B,55593.54500,5594.045,20.705,0.019,SDSS r,FLWO 1.2m Keplercam,1
C,55593.54500,5594.045,19.491,0.025,SDSS r,FLWO 1.2m Keplercam,1
D,55593.54500,5594.045,20.337,0.052,SDSS r,FLWO 1.2m Keplercam,1
A,55597.34200,5597.842,20.120,0.015,SDSS r,FLWO 1.2m Keplercam,1
B,55597.34200,5597.842,21.029,0.018,SDSS r,FLWO 1.2m Keplercam,1
C,55597.34200,5597.842,19.489,0.023,SDSS r,FLWO 1.2m Keplercam,1
D,55597.34200,5597.842,20.401,0.048,SDSS r,FLWO 1.2m Keplercam,1
A,55600.39300,5600.893,20.192,0.015,SDSS r,FLWO 1.2m Keplercam,1
B,55600.39300,5600.893,20.815,0.018,SDSS r,FLWO 1.2m Keplercam,1
C,55600.39300,5600.893,19.592,0.023,SDSS r,FLWO 1.2m Keplercam,1
D,55600.39300,5600.893,20.413,0.048,SDSS r,FLWO 1.2m Keplercam,1
A,55605.47200,5605.972,20.281,0.018,SDSS r,FLWO 1.2m Keplercam,1
B,55605.47200,5605.972,20.940,0.021,SDSS r,FLWO 1.2m Keplercam,1
C,55605.47200,5605.972,19.512,0.027,SDSS r,FLWO 1.2m Keplercam,1
D,55605.47200,5605.972,20.277,0.058,SDSS r,FLWO 1.2m Keplercam,1
A,55607.50200,5608.002,19.864,0.022,SDSS r,FLWO 1.2m Keplercam,1
B,55607.50200,5608.002,20.662,0.026,SDSS r,FLWO 1.2m Keplercam,1
C,55607.50200,5608.002,19.596,0.033,SDSS r,FLWO 1.2m Keplercam,1
D,55607.50200,5608.002,20.352,0.069,SDSS r,FLWO 1.2m Keplercam,1
A,55623.14300,5623.643,20.270,0.017,SDSS r,FLWO 1.2m Keplercam,1
B,55623.14300,5623.643,20.609,0.020,SDSS r,FLWO 1.2m Keplercam,1
C,55623.14300,5623.643,19.583,0.025,SDSS r,FLWO 1.2m Keplercam,1
D,55623.14300,5623.643,20.294,0.053,SDSS r,FLWO 1.2m Keplercam,1
A,55645.32100,5645.821,20.260,0.016,SDSS r,FLWO 1.2m Keplercam,1
B,55645.32100,5645.821,20.801,0.019,SDSS r,FLWO 1.2m Keplercam,1
C,55645.32100,5645.821,19.609,0.024,SDSS r,FLWO 1.2m Keplercam,1
D,55645.32100,5645.821,20.312,0.051,SDSS r,FLWO 1.2m Keplercam,1
A,55646.40300,5646.903,20.228,0.021,SDSS r,FLWO 1.2m Keplercam,1
B,55646.40300,5646.903,20.607,0.025,SDSS r,FLWO 1.2m Keplercam,1
C,55646.40300,5646.903,19.600,0.032,SDSS r,FLWO 1.2m Keplercam,1
D,55646.40300,5646.903,20.119,0.067,SDSS r,FLWO 1.2m Keplercam,1
A,55659.31600,5659.816,20.313,0.016,SDSS r,FLWO 1.2m Keplercam,1
B,55659.31600,5659.816,20.760,0.019,SDSS r,FLWO 1.2m Keplercam,1
