image,mjd,jd_minus_2450000,mag,magerr,band,telescope,in_paper_fit
B,53119.23100,3119.731,19.439,0.020,SDSS r,FLWO 1.2m Keplercam,1
C,53119.23100,3119.731,20.136,0.038,SDSS r,FLWO 1.2m Keplercam,1
D,53119.23100,3119.731,21.174,0.105,SDSS r,FLWO 1.2m Keplercam,0
A,53120.23000,3120.730,19.028,0.015,SDSS r,FLWO 1.2m Keplercam,1
B,53120.23000,3120.730,19.449,0.022,SDSS r,FLWO 1.2m Keplercam,1
C,53120.23000,3120.730,20.106,0.041,SDSS r,FLWO 1.2m Keplercam,1
D,53120.23000,3120.730,20.887,0.089,SDSS r,FLWO 1.2m Keplercam,0
A,53122.28600,3122.786,19.022,0.028,SDSS r,FLWO 1.2m Keplercam,1
B,53122.28600,3122.786,19.471,0.043,SDSS r,FLWO 1.2m Keplercam,1
C,53122.28600,3122.786,20.066,0.078,SDSS r,FLWO 1.2m Keplercam,1
D,53122.28600,3122.786,21.456,0.282,SDSS r,FLWO 1.2m Keplercam,0
A,53124.21800,3124.718,19.009,0.027,SDSS r,FLWO 1.2m Keplercam,1
B,53124.21800,3124.718,19.502,0.044,SDSS r,FLWO 1.2m Keplercam,1
C,53124.21800,3124.718,20.084,0.078,SDSS r,FLWO 1.2m Keplercam,1
D,53124.21800,3124.718,20.894,0.173,SDSS r,FLWO 1.2m Keplercam,0
A,53125.23700,3125.737,19.003,0.034,SDSS r,FLWO 1.2m Keplercam,1
B,53125.23700,3125.737,19.411,0.051,SDSS r,FLWO 1.2m Keplercam,1
C,53125.23700,3125.737,20.148,0.103,SDSS r,FLWO 1.2m Keplercam,1
D,53125.23700,3125.737,20.951,0.226,SDSS r,FLWO 1.2m Keplercam,0
A,53126.21700,3126.717,19.043,0.027,SDSS r,FLWO 1.2m Keplercam,1
B,53126.21700,3126.717,19.422,0.039,SDSS r,FLWO 1.2m Keplercam,1
C,53126.21700,3126.717,20.037,0.071,SDSS r,FLWO 1.2m Keplercam,1
D,53126.21700,3126.717,20.859,0.159,SDSS r,FLWO 1.2m Keplercam,0
A,53129.31200,3129.812,19.046,0.035,SDSS r,FLWO 1.2m Keplercam,1
B,53129.31200,3129.812,19.427,0.051,SDSS r,FLWO 1.2m Keplercam,1
C,53129.31200,3129.812,20.188,0.107,SDSS r,FLWO 1.2m Keplercam,1
D,53129.31200,3129.812,20.725,0.187,SDSS r,FLWO 1.2m Keplercam,0
A,53132.24900,3132.749,19.032,0.008,SDSS r,FLWO 1.2m Keplercam,1
B,53132.24900,3132.749,19.484,0.012,SDSS r,FLWO 1.2m Keplercam,1
