3399.018 19.267 0.067 19.640 0.096 20.057 0.148 20.045 0.161
3399.714 19.268 0.049 19.559 0.064 20.227 0.123 20.254 0.138
3402.990 19.323 0.041 19.551 0.052 20.131 0.091 20.127 0.100
3410.806 19.256 0.023 19.552 0.029 20.214 0.053 20.214 0.059
3430.930 19.319 0.043 19.499 0.051 20.036 0.087 20.249 0.116
3431.738 19.288 0.028 19.571 0.036 20.103 0.060 20.188 0.071
3432.721 19.311 0.028 19.527 0.035 20.084 0.058 20.119 0.065
3433.740 19.290 0.025 19.553 0.031 20.116 0.051 20.106 0.056
3439.643 19.303 0.013 19.531 0.014 20.072 0.018 20.110 0.020
3439.719 19.265 0.025 19.538 0.032 20.042 0.050 20.199 0.063
3441.615 19.306 0.014 19.527 0.015 20.075 0.020 20.102 0.022
3441.797 19.279 0.030 19.562 0.038 20.051 0.060 20.170 0.074
3442.734 19.300 0.026 19.552 0.032 20.033 0.049 20.135 0.059
3443.748 19.272 0.029 19.569 0.038 20.097 0.067 20.214 0.082
3462.836 19.243 0.037 19.627 0.052 20.106 0.084 20.269 0.107
3462.859 19.302 0.013 19.557 0.015 20.055 0.020 20.100 0.022
3463.722 19.310 0.031 19.541 0.038 20.041 0.062 20.186 0.077
3464.719 19.308 0.023 19.572 0.029 20.003 0.042 20.162 0.053
3469.756 19.322 0.055 19.654 0.074 20.155 0.121 20.090 0.126
3470.713 19.290 0.026 19.595 0.033 20.087 0.053 20.159 0.062
3471.763 19.312 0.029 19.651 0.039 20.009 0.056 20.218 0.074
3472.766 19.323 0.025 19.597 0.031 20.112 0.049 20.173 0.057
3473.744 19.319 0.020 19.582 0.024 20.070 0.043 20.164 0.051
3474.743 19.324 0.022 19.607 0.028 20.044 0.042 20.169 0.051
3476.739 19.311 0.043 19.581 0.056 20.163 0.099 20.169 0.110
3477.735 19.327 0.045 19.554 0.056 20.121 0.097 20.142 0.109
3478.690 19.297 0.051 19.656 0.071 20.089 0.111 20.306 0.147
3485.738 19.318 0.054 19.660 0.074 20.101 0.117 20.159 0.135
3486.707 19.365 0.052 19.597 0.066 19.919 0.093 20.138 0.124
3487.675 19.323 0.025 19.599 0.032 20.111 0.053 20.167 0.061
3492.710 19.351 0.038 19.613 0.049 20.055 0.076 20.255 0.099
3494.722 19.338 0.025 19.659 0.033 20.082 0.049 20.235 0.062
3495.722 19.275 0.059 19.585 0.080 20.254 0.152 20.061 0.142
3496.694 19.341 0.028 19.592 0.035 20.166 0.059 20.231 0.069
3497.720 19.365 0.031 19.615 0.039 20.145 0.064 20.149 0.071
3498.691 19.348 0.026 19.620 0.033 20.198 0.057 20.236 0.064
3499.695 19.328 0.025 19.630 0.032 20.137 0.052 20.106 0.055
3501.708 19.369 0.044 19.558 0.053 20.081 0.088 20.225 0.109
3501.817 19.384 0.020 19.623 0.024 20.154 0.039 20.184 0.044
3502.701 19.337 0.033 19.634 0.043 20.165 0.072 20.119 0.076
3503.666 19.370 0.028 19.622 0.035 20.051 0.054 20.267 0.071
3504.687 19.441 0.068 19.590 0.073 20.275 0.110 20.165 0.110
3509.698 19.385 0.054 19.608 0.068 20.015 0.104 20.002 0.113
3510.674 19.398 0.052 19.603 0.064 20.324 0.129 20.130 0.120
3516.680 19.397 0.031 19.668 0.040 20.128 0.063 20.097 0.067
3520.686 19.488 0.035 19.666 0.042 20.176 0.069 20.091 0.071
3521.691 19.441 0.034 19.713 0.044 20.205 0.071 20.062 0.069
