source,catalogue,ra_deg,dec_deg,smearing_decbin_index,decbin_min_deg,decbin_max_deg,edge_warning
CTA 102,2510.13403 gamma-ray emitters,338.15,11.7300,22,11.536959,17.457603,WITHIN_0.25deg_OF_BIN_EDGE
PKS 0336-01,2510.13403 gamma-ray emitters,54.88,-1.7800,18,-2.865984,-1.432544,
PKS 0736+01,2510.13403 gamma-ray emitters,114.82,1.6200,20,0.000000,5.739170,
PKS 0440-00,2510.13403 gamma-ray emitters,70.66,-0.3000,19,-1.432544,0.000000,
1H 1720+117,2510.13403 gamma-ray emitters,261.27,11.8700,22,11.536959,17.457603,
4C +01.28,2510.13403 gamma-ray emitters,164.62,1.5600,20,0.000000,5.739170,
M 87,2510.13403 gamma-ray emitters,187.71,12.3900,22,11.536959,17.457603,
4C +01.02,2510.13403 gamma-ray emitters,17.17,1.5800,20,0.000000,5.739170,
OG 050,2510.13403 gamma-ray emitters,83.17,7.5500,21,5.739170,11.536959,
TXS 0141+268,2510.13403 gamma-ray emitters,26.15,27.0900,24,23.578178,30.000000,
RGB J2243+203,2510.13403 gamma-ray emitters,340.99,20.3600,23,17.457603,23.578178,
PKS 0829+046,2510.13403 gamma-ray emitters,127.97,4.4900,20,0.000000,5.739170,
MITG J123931+0443,2510.13403 gamma-ray emitters,189.89,4.7300,20,0.000000,5.739170,
PG 1553+113,2510.13403 gamma-ray emitters,238.93,11.1900,21,5.739170,11.536959,
PKS 2032+107,2510.13403 gamma-ray emitters,308.85,10.9400,21,5.739170,11.536959,
4C +21.35,2510.13403 gamma-ray emitters,186.23,21.3800,23,17.457603,23.578178,
PG 1218+304,2510.13403 gamma-ray emitters,185.34,30.1700,25,30.000000,36.869898,WITHIN_0.25deg_OF_BIN_EDGE
RX J1754.1+3212,2510.13403 gamma-ray emitters,268.55,32.2000,25,30.000000,36.869898,
Arp 220,2510.13403 gamma-ray emitters,233.70,23.5300,23,17.457603,23.578178,WITHIN_0.25deg_OF_BIN_EDGE
MITG J021114+1051,2510.13403 gamma-ray emitters,32.81,10.8600,21,5.739170,11.536959,
87GB 194024.3+102612,2510.13403 gamma-ray emitters,295.70,10.5600,21,5.739170,11.536959,
PKS 0502+049,2510.13403 gamma-ray emitters,76.34,5.0000,20,0.000000,5.739170,
1ES 0033+595,2510.13403 gamma-ray emitters,8.98,59.8300,28,53.130102,64.158067,
NGC 3424,2510.13403 gamma-ray emitters,162.91,32.8900,25,30.000000,36.869898,
GB6 J1037+5711,2510.13403 gamma-ray emitters,159.43,57.1900,28,53.130102,64.158067,
ON 246,2510.13403 gamma-ray emitters,187.56,25.3000,24,23.578178,30.000000,
PKS 1502+036,2510.13403 gamma-ray emitters,226.27,3.4500,20,0.000000,5.739170,
PKS 0507+17,2510.13403 gamma-ray emitters,77.52,18.0100,23,17.457603,23.578178,
B2 1520+31,2510.13403 gamma-ray emitters,230.55,31.7400,25,30.000000,36.869898,
PG 1246+586,2510.13403 gamma-ray emitters,192.08,58.3400,28,53.130102,64.158067,
1ES 0806+524,2510.13403 gamma-ray emitters,122.46,52.3100,27,44.427004,53.130102,
PKS 0019+058,2510.13403 gamma-ray emitters,5.64,6.1300,21,5.739170,11.536959,
TXS 2241+406,2510.13403 gamma-ray emitters,341.06,40.9600,26,36.869898,44.427004,
TXS 1452+516,2510.13403 gamma-ray emitters,223.62,51.4100,27,44.427004,53.130102,
1H 1013+498,2510.13403 gamma-ray emitters,153.77,49.4300,27,44.427004,53.130102,
B3 0133+388,2510.13403 gamma-ray emitters,24.14,39.1000,26,36.869898,44.427004,
S4 0814+42,2510.13403 gamma-ray emitters,124.56,42.3800,26,36.869898,44.427004,
S4 0917+44,2510.13403 gamma-ray emitters,140.23,44.7000,27,44.427004,53.130102,
3C 66A,2510.13403 gamma-ray emitters,35.67,43.0400,26,36.869898,44.427004,
S4 1749+70,2510.13403 gamma-ray emitters,267.16,70.1000,29,64.158067,90.000000,
S5 0716+71,2510.13403 gamma-ray emitters,110.49,71.3400,29,64.158067,90.000000,
Centaurus A,2602.10208 southern Seyferts (ESTES),201.4,-43.0000,4,-44.427004,-38.682187,
Circinus Galaxy,2602.10208 southern Seyferts (ESTES),213.3,-65.3000,1,-67.668355,-58.211669,
NGC 7582,2602.10208 southern Seyferts (ESTES),349.6,-42.4000,4,-44.427004,-38.682187,
ESO 138-1,2602.10208 southern Seyferts (ESTES),252.8,-59.2000,1,-67.668355,-58.211669,
NGC 4945,2602.10208 southern Seyferts (ESTES),196.4,-49.5000,3,-50.805033,-44.427004,
NGC 424,2602.10208 southern Seyferts (ESTES),17.9,-38.1000,5,-38.682187,-33.367013,
NGC 4593,2602.10208 southern Seyferts (ESTES),189.9,-5.3000,16,-5.739170,-4.301222,
MCG-5-23-16,2602.10208 southern Seyferts (ESTES),146.9,-30.9000,6,-33.367013,-28.359350,
NGC 3783,2602.10208 southern Seyferts (ESTES),174.8,-37.7000,5,-38.682187,-33.367013,
IC4329A,2602.10208 southern Seyferts (ESTES),207.3,-30.3000,6,-33.367013,-28.359350,
NGC 4507,2602.10208 southern Seyferts (ESTES),188.9,-39.9000,4,-44.427004,-38.682187,
NGC 5728,2602.10208 southern Seyferts (ESTES),220.6,-17.3000,9,-18.965575,-14.477512,
NGC 5643,2602.10208 southern Seyferts (ESTES),218.2,-44.2000,4,-44.427004,-38.682187,WITHIN_0.25deg_OF_BIN_EDGE
NGC 3081,2602.10208 southern Seyferts (ESTES),149.9,-22.8000,8,-23.578178,-18.965575,
