#  log10(E_nu/GeV)_min  log10(E_nu/GeV)_max  Dec_nu_min[deg]  Dec_nu_max[deg]   A_Eff[cm^2]
"             5.00          5.20        -57.14        -53.13      14352.92"
"             5.20          5.40        -57.14        -53.13      49778.68"
"             5.40          5.60        -57.14        -53.13     148276.09"
"             5.60          5.80        -57.14        -53.13     316617.96"
"             5.80          6.00        -57.14        -53.13     625148.87"
"             6.00          6.20        -57.14        -53.13    1035630.94"
"             6.20          6.40        -57.14        -53.13    1574948.25"
"             6.40          6.60        -57.14        -53.13    2381163.95"
"             6.60          6.80        -57.14        -53.13    3159902.30"
"             6.80          7.00        -57.14        -53.13    3933564.24"
"             7.00          7.20        -57.14        -53.13    5839751.71"
"             7.20          7.40        -57.14        -53.13    7100246.69"
"             7.40          7.60        -57.14        -53.13    9609144.61"
"             7.60          7.80        -57.14        -53.13   12243945.50"
"             7.80          8.00        -57.14        -53.13   16345247.37"
"             8.00          8.20        -57.14        -53.13   18537316.01"
"             8.20          8.40        -57.14        -53.13   24435087.16"
"             8.40          8.60        -57.14        -53.13   29972851.18"
"             8.60          8.80        -57.14        -53.13   15309087.10"
"             8.80          9.00        -57.14        -53.13          0.00"
"             9.00          9.20        -57.14        -53.13          0.00"
"             9.20          9.40        -57.14        -53.13          0.00"
"             9.40          9.60        -57.14        -53.13          0.00"
"             9.60          9.80        -57.14        -53.13          0.00"
"             9.80         10.00        -57.14        -53.13          0.00"
"             2.00          2.20        -53.13        -49.46          0.00"
"             2.20          2.40        -53.13        -49.46          0.00"
"             2.40          2.60        -53.13        -49.46          0.00"
"             2.60          2.80        -53.13        -49.46          0.00"
"             2.80          3.00        -53.13        -49.46          0.00"
"             3.00          3.20        -53.13        -49.46          0.00"
"             3.20          3.40        -53.13        -49.46          0.00"
"             3.40          3.60        -53.13        -49.46          0.00"
"             3.60          3.80        -53.13        -49.46          0.00"
"             3.80          4.00        -53.13        -49.46          0.00"
"             4.00          4.20        -53.13        -49.46          0.00"
"             4.20          4.40        -53.13        -49.46          0.00"
"             4.40          4.60        -53.13        -49.46          0.00"
"             4.60          4.80        -53.13        -49.46        357.92"
"             4.80          5.00        -53.13        -49.46       2537.24"
"             5.00          5.20        -53.13        -49.46      16194.02"
"             5.20          5.40        -53.13        -49.46      48208.30"
"             5.40          5.60        -53.13        -49.46     147904.37"
"             5.60          5.80        -53.13        -49.46     315945.17"
"             5.80          6.00        -53.13        -49.46     640032.98"
"             6.00          6.20        -53.13        -49.46    1040059.30"
"             6.20          6.40        -53.13        -49.46    1598434.17"
"             6.40          6.60        -53.13        -49.46    2374399.42"
"             6.60          6.80        -53.13        -49.46    3324605.09"
"             6.80          7.00        -53.13        -49.46    4452587.70"
"             7.00          7.20        -53.13        -49.46    5853016.80"
"             7.20          7.40        -53.13        -49.46    7453345.27"
"             7.40          7.60        -53.13        -49.46    9601481.87"
"             7.60          7.80        -53.13        -49.46   12836186.88"
"             7.80          8.00        -53.13        -49.46   15991139.59"
"             8.00          8.20        -53.13        -49.46   19827053.53"
"             8.20          8.40        -53.13        -49.46   25974533.96"
"             8.40          8.60        -53.13        -49.46   33311793.26"
"             8.60          8.80        -53.13        -49.46   16148257.07"
"             8.80          9.00        -53.13        -49.46          0.00"
"             9.00          9.20        -53.13        -49.46          0.00"
"             9.20          9.40        -53.13        -49.46          0.00"
"             9.40          9.60        -53.13        -49.46          0.00"
"             9.60          9.80        -53.13        -49.46          0.00"
"             9.80         10.00        -53.13        -49.46          0.00"
"             2.00          2.20        -49.46        -46.05          0.00"
"             2.20          2.40        -49.46        -46.05          0.00"
"             2.40          2.60        -49.46        -46.05          0.00"
"             2.60          2.80        -49.46        -46.05          0.00"
"             2.80          3.00        -49.46        -46.05          0.00"
"             3.00          3.20        -49.46        -46.05          0.00"
"             3.20          3.40        -49.46        -46.05          0.00"
"             3.40          3.60        -49.46        -46.05          0.00"
"             3.60          3.80        -49.46        -46.05          0.00"
"             3.80          4.00        -49.46        -46.05          0.00"
"             4.00          4.20        -49.46        -46.05          0.00"
"             4.20          4.40        -49.46        -46.05          0.00"
"             4.40          4.60        -49.46        -46.05          0.00"
"             4.60          4.80        -49.46        -46.05        353.56"
"             4.80          5.00        -49.46        -46.05       1248.36"
"             5.00          5.20        -49.46        -46.05      16315.46"
"             5.20          5.40        -49.46        -46.05      49954.34"
"             5.40          5.60        -49.46        -46.05     151523.55"
"             5.60          5.80        -49.46        -46.05     291638.93"
"             5.80          6.00        -49.46        -46.05     634161.94"
"             6.00          6.20        -49.46        -46.05    1083285.71"
"             6.20          6.40        -49.46        -46.05    1762018.89"
"             6.40          6.60        -49.46        -46.05    2512195.22"
"             6.60          6.80        -49.46        -46.05    3450773.72"
"             6.80          7.00        -49.46        -46.05    4231896.29"
"             7.00          7.20        -49.46        -46.05    6397488.35"
"             7.20          7.40        -49.46        -46.05    7253127.03"
"             7.40          7.60        -49.46        -46.05   10343627.91"
"             7.60          7.80        -49.46        -46.05   12731929.91"
"             7.80          8.00        -49.46        -46.05   16657877.35"
"             8.00          8.20        -49.46        -46.05   20205872.01"
"             8.20          8.40        -49.46        -46.05   28812653.95"
"             8.40          8.60        -49.46        -46.05   32191197.03"
"             8.60          8.80        -49.46        -46.05   15707024.14"
"             8.80          9.00        -49.46        -46.05          0.00"
"             9.00          9.20        -49.46        -46.05          0.00"
"             9.20          9.40        -49.46        -46.05          0.00"
"             9.40          9.60        -49.46        -46.05          0.00"
"             9.60          9.80        -49.46        -46.05          0.00"
"             9.80         10.00        -49.46        -46.05          0.00"
"             2.00          2.20        -46.05        -42.84          0.00"
"             2.20          2.40        -46.05        -42.84          0.00"
"             2.40          2.60        -46.05        -42.84          0.00"
"             2.60          2.80        -46.05        -42.84          0.00"
"             2.80          3.00        -46.05        -42.84          0.00"
"             3.00          3.20        -46.05        -42.84          0.00"
"             3.20          3.40        -46.05        -42.84          0.00"
"             3.40          3.60        -46.05        -42.84          0.00"
"             3.60          3.80        -46.05        -42.84          0.00"
"             3.80          4.00        -46.05        -42.84          0.00"
"             4.00          4.20        -46.05        -42.84          0.00"
"             4.20          4.40        -46.05        -42.84          0.00"
"             4.40          4.60        -46.05        -42.84          0.00"
"             4.60          4.80        -46.05        -42.84        588.05"
"             4.80          5.00        -46.05        -42.84       3026.18"
"             5.00          5.20        -46.05        -42.84      13938.22"
"             5.20          5.40        -46.05        -42.84      54873.33"
"             5.40          5.60        -46.05        -42.84     168633.99"
"             5.60          5.80        -46.05        -42.84     398314.76"
"             5.80          6.00        -46.05        -42.84     672484.49"
"             6.00          6.20        -46.05        -42.84    1125156.30"
"             6.20          6.40        -46.05        -42.84    1827426.73"
"             6.40          6.60        -46.05        -42.84    2674254.96"
"             6.60          6.80        -46.05        -42.84    3356928.14"
"             6.80          7.00        -46.05        -42.84    4936247.91"
"             7.00          7.20        -46.05        -42.84    5912683.98"
"             7.20          7.40        -46.05        -42.84    7799824.06"
"             7.40          7.60        -46.05        -42.84   10303541.07"
"             7.60          7.80        -46.05        -42.84   14444879.51"
"             7.80          8.00        -46.05        -42.84   17658823.64"
"             8.00          8.20        -46.05        -42.84   22963282.59"
"             8.20          8.40        -46.05        -42.84   28889159.47"
"             8.40          8.60        -46.05        -42.84   32701656.00"
"             8.60          8.80        -46.05        -42.84   18230834.84"
"             8.80          9.00        -46.05        -42.84          0.00"
"             9.00          9.20        -46.05        -42.84          0.00"
"             9.20          9.40        -46.05        -42.84          0.00"
"             9.40          9.60        -46.05        -42.84          0.00"
"             9.60          9.80        -46.05        -42.84          0.00"
"             9.80         10.00        -46.05        -42.84          0.00"
"             2.00          2.20        -42.84        -39.79          0.00"
"             2.20          2.40        -42.84        -39.79          0.00"
"             2.40          2.60        -42.84        -39.79          0.00"
"             2.60          2.80        -42.84        -39.79          0.00"
"             2.80          3.00        -42.84        -39.79          0.00"
"             3.00          3.20        -42.84        -39.79          0.00"
"             3.20          3.40        -42.84        -39.79          0.00"
"             3.40          3.60        -42.84        -39.79          0.00"
"             3.60          3.80        -42.84        -39.79          0.00"
"             3.80          4.00        -42.84        -39.79          0.00"
"             4.00          4.20        -42.84        -39.79          0.00"
"             4.20          4.40        -42.84        -39.79          0.00"
"             4.40          4.60        -42.84        -39.79        226.09"
"             4.60          4.80        -42.84        -39.79        313.62"
"             4.80          5.00        -42.84        -39.79       2483.45"
"             5.00          5.20        -42.84        -39.79      20009.41"
"             5.20          5.40        -42.84        -39.79      56944.17"
