shard,sample,row_start,row_end,rows,bytes,sha256
mc_qqps_060.csv,mc_qqps,149385,151918,2534,899741,b9d968b905465e2dcd9c6d9df05c0fd54f89f2ec76a0f3ffaea071753a3dfce4
mc_qqps_061.csv,mc_qqps,151919,153000,1082,385764,55771e11b7ec8e9dfb1489bec5ccdd0275dfdaee64f68dc8aa9a7c433e209475
mc_kk2f_001.csv,mc_kk2f,1,2521,2521,899898,28331a88ed8ecb2afe8f3e11388a9f77b613fee64a454db1cffdd3f1090c7b4d
mc_kk2f_002.csv,mc_kk2f,2522,5042,2521,899707,9fe7fa7961a3407ca6bf3978bdda0854ce7a60d4d2a863d294a4f1b707bdb75a
mc_kk2f_003.csv,mc_kk2f,5043,7566,2524,899919,e623aaf55bd9f6714af5bb2c9c6a64979ae7efefa6351ba24db3ed47cc544c88
mc_kk2f_004.csv,mc_kk2f,7567,10088,2522,899788,d947eae21e28bdc13709db82e648c7906d6f7c467888fe7bf678f79652d33ffb
mc_kk2f_005.csv,mc_kk2f,10089,12608,2520,899687,2c87398646082ad7784f547f264641965954c4047f6b7b10ebd818dd9603e881
mc_kk2f_006.csv,mc_kk2f,12609,15132,2524,899696,d6291bbb62ca9473557ab1e4fb2a1ea72a6961dd791611592da131fa42b10efa
mc_kk2f_007.csv,mc_kk2f,15133,17655,2523,899955,d07397894b4b4e28ee55b82748d0785228b469b92c497b190d1f6ac81a1737a3
mc_kk2f_008.csv,mc_kk2f,17656,20178,2523,899915,cabfac54638ea2e58365ebecd196e13d4a5b3214b06abac99a29f7e139642d1f
mc_kk2f_009.csv,mc_kk2f,20179,22698,2520,899738,791f8a4fb4a2547ed487d5d1108512c030ad7b63815f21d61495509c0eb104cc
mc_kk2f_010.csv,mc_kk2f,22699,25220,2522,899874,8cd22a578fba7a4aab56d1a6f6dadefc5ce055088f045044c981abab34caa682
mc_kk2f_011.csv,mc_kk2f,25221,27743,2523,899967,4fe2263d9fe30246d376d1bd4333d7b3ae7182d10261b8e28d42495336fa2ec1
mc_kk2f_012.csv,mc_kk2f,27744,30264,2521,899808,c7fbc07178b4ac16544b98f4c5d8798e01cd2dcee40a9428f71bf1ee90e693ef
