MJD,MJD_minus_50000,mag_A,err_A,mag_B,err_B,mag_C,err_C,observatory,detector
56518.148,6518.148,21.471,0.014,21.808,0.014,22.302,0.018,NOT,ALFOSC
56518.156,6518.156,21.459,0.013,21.789,0.014,22.281,0.017,NOT,ALFOSC
56533.039,6533.039,21.475,0.015,21.812,0.014,22.213,0.017,NOT,ALFOSC
56533.050,6533.050,21.502,0.015,21.824,0.015,22.262,0.019,NOT,ALFOSC
56533.058,6533.058,21.507,0.015,21.820,0.015,22.235,0.019,NOT,ALFOSC
56533.065,6533.065,21.466,0.014,21.837,0.015,22.285,0.022,NOT,ALFOSC
56543.103,6543.103,21.497,0.014,21.799,0.015,22.212,0.020,NOT,ALFOSC
56543.110,6543.110,21.496,0.014,21.830,0.015,22.208,0.019,NOT,ALFOSC
56543.118,6543.118,21.501,0.014,21.788,0.015,22.187,0.019,NOT,ALFOSC
56549.047,6549.047,21.528,0.015,21.836,0.020,22.138,0.026,NOT,ALFOSC
56549.054,6549.054,21.461,0.014,21.815,0.017,22.220,0.023,NOT,ALFOSC
56557.850,6557.850,21.555,0.014,21.811,0.017,22.197,0.023,NOT,ALFOSC
56557.854,6557.854,21.552,0.014,21.853,0.017,22.137,0.022,NOT,ALFOSC
56557.858,6557.858,21.523,0.015,21.826,0.018,22.172,0.024,NOT,ALFOSC
