Title: The Magnificent Five Images of Supernova Refsdal: Time Delay and 
       Magnification Measurements 
Authors: Kelly P.L., Rodney S., Treu T., Birrer S., Bonvin V., Dessart L., 
    Foley R.J., Filippenko A.V., Gilman D., Jha S., Hjorth J., Mandel K., 
    Millon M., Pierel J., Thorp S., Zitrin A., Broadhurst T., Chen W., 
    Diego J.M., Dressler A., Graur O., Jauzac M., Malkan M.A., McCully C., 
    Oguri M., Postman M., Schmidt K.B., Sharon K., Tucker B.E., 
    von der Linden A., Wambsganss J.
Table: Photometry of SN Refsdal
================================================================================
Byte-by-byte Description of file: apjac4ccbt3_mrt.txt
--------------------------------------------------------------------------------
   Bytes Format Units Label  Explanations
--------------------------------------------------------------------------------
   1-  2 A2     ---    Obj       Image of SN Refsdal (see Table 2)
   4-  8 A5     ---    Filt      WFC3-IR Filter                  
  10- 27 F18.12 d      MJD       [56598.13/57756.91] Modified Julian date (1)
  29- 51 F23.20 uJy    Flux      [-0.06/0.8] Flux in Filt
  53- 73 F21.19 uJy  e_Flux      [0.0/0.67] Uncertainty in Flux
--------------------------------------------------------------------------------
Note (1): Modified Julian Date (JD-2,400,000.5) at the beginning of the 
    observation.
--------------------------------------------------------------------------------
S1 F160W 57589.204005513995  0.08542721982409506865 0.0262019811007638929 
S1 F160W 57691.213225764681  0.09150459250956759216 0.0298834388458641860 
S1 F160W 57727.065369777214  0.09689396074008098381 0.0240158757189449165 
S2 F105W 56711.664889447857 -0.02155264354034025498 0.0183462467319158405 
S2 F105W 56713.631688455142 -0.01247565741596852983 0.0226506836938310877 
S2 F105W 56964.142716417104  0.16066305436600916701 0.0277856055541801580 
S2 F105W 56968.874822156344  0.05969352438101989400 0.0347446879666555922 
S2 F105W 56972.059010233213  0.15958238218384560025 0.0427741813861370959 
S2 F105W 56982.316284040920  0.11497070914168748546 0.0073424576306499977 
S2 F105W 57002.861541928316  0.22061552765466141413 0.0056865787396208414 
S2 F105W 57006.980435116333  0.23457834073957165022 0.0059450983656650323 
S2 F105W 57015.119916875607  0.24045475419485587421 0.0050428774681623590 
S2 F105W 57015.874965226612  0.28186281446915889548 0.0094312044390714792 
S2 F105W 57017.798788377913  0.25654685369110924453 0.0059864324177780343 
S2 F105W 57020.581617201911  0.27608163225406706642 0.0062284586964165920 
S2 F105W 57023.756025521368  0.26412265778438659414 0.0058356632857548335 
S2 F105W 57025.919625674243  0.27909269611980214165 0.0052398957114096149 
S2 F105W 57026.550090688565  0.27825558484752382915 0.0081756997684915948 
S2 F105W 57027.815355565923  0.28086423263345527968 0.0056517351553066926 
S2 F105W 57132.096150662233  0.45231799630144592372 0.0230858463843454445 
S2 F105W 57149.065486653300  0.46918107429320743407 0.0241932601653166747 
S2 F105W 57168.279866196557  0.41987202584881144762 0.0174871098288207558 
S2 F105W 57208.055597378574  0.26450587998917496346 0.0265894187035762702 
S2 F105W 57216.279745551772  0.32997303125306781668 0.0121346664279536193 
S2 F105W 57430.580044828072  0.05699756187941174002 0.0072795843759335373 
S2 F105W 57432.743028085999  0.07282178618594414843 0.0075780500541734307 
S2 F105W 57524.472047668351  0.02488320626453634221 0.0144394803833604798 
S2 F125W 56981.053183853139  0.19951269961323594981 0.0109615487412633682 
S2 F125W 56982.459395354243  0.22061228787977757437 0.0093327890871696476 
S2 F125W 56983.266869704545  0.21758344521280936767 0.0103361679697143317 
S2 F125W 56990.896159722593  0.26918380106547706854 0.0198575272005413056 
S2 F125W 56992.951447485153  0.24226542095892938944 0.0206556655328040649 
S2 F125W 56994.013054621595  0.24701572333067309262 0.0199127577385599767 
S2 F125W 56996.732094250037  0.23593168446327106302 0.0194993032871919915 
S2 F125W 56999.800694910860  0.26693084766751540293 0.0139832597987723378 
S2 F125W 57005.860816633322  0.29926904941985393860 0.0131348915977265706 
S2 F125W 57020.461131273478  0.36010252040355622549 0.0280555360930814027 
S2 F125W 57021.797756877873  0.35943954612860762321 0.0447417589173063138 
S2 F125W 57024.713264775841  0.36418984850035140965 0.0402771487881134829 
S2 F125W 57025.839112816640  0.33591244862025260165 0.0286908053432233107 
S2 F125W 57026.915720729288  0.35310580963294935231 0.0459795792000498721 
S2 F125W 57029.543726336880  0.34360520488946189044 0.0127061798804064627 
S2 F125W 57033.945281242370  0.46077933005914029074 0.0221193958478815185 
S2 F125W 57036.599724452572  0.48611427604177331885 0.0216395148729893287 
S2 F125W 57044.688619997753  0.49719831490917515415 0.0232431744046088344 
S2 F125W 57049.197454487534  0.48294740779394412789 0.0205241136748108670 
S2 F125W 57062.355424637353  0.54470133862661229696 0.0210717270784392049 
S2 F125W 57076.390985589125  0.49244801253743153424 0.0220429203953028154 
S2 F125W 57090.386988599828  0.54786820687444159894 0.0227602735307168014 
S2 F125W 57104.264854905035  0.58428719172447673991 0.0227730398659181307 
S2 F125W 57118.146213982960  0.50353205140483370261 0.0202483955402995748 
S2 F125W 57132.085507777418  0.62387304482234084979 0.0299223977878913180 
S2 F125W 57149.054787106579  0.54311790450269781250 0.0293863535232208282 
S2 F125W 57188.169779940312  0.46236276418305477520 0.0203359733839994609 
S2 F125W 57216.203686080284  0.43861125232433612053 0.0260035618173141310 
S2 F125W 57223.958234087164  0.40694256984604476601 0.0240065910773160085 
S2 F125W 57325.824133612594  0.08202188761877478307 0.0261321149285098885 
S2 F125W 57340.936764441547  0.09405598696052550056 0.0210329279132242045 
S2 F125W 57367.043628135849  0.11606572128293804469 0.0201114722542847027 
S2 F125W 57402.111408571414  0.10783186383858228696 0.0186974714270832960 
S2 F125W 57426.214295029378  0.12414123531490235675 0.0196041001366519634 
S2 F125W 57430.585951813322  0.11559069104576367992 0.0160086441528462416 
S2 F125W 57444.575098493428  0.08693053340290993192 0.0174787778167058289 
S2 F125W 57459.027150647707  0.07521312088594211964 0.0189062652676226135 
S2 F125W 57472.528008011002  0.08154685738160041830 0.0182045446959247167 
S2 F125W 57493.261713953128  0.08978071482595618991 0.0178592364583011788 
S2 F125W 57507.527937764527  0.04465284229439090563 0.0190915558670288546 
S2 F125W 57521.275408919399  0.04560290276873964210 0.0181266685648689696 
S2 F125W 57524.560193302306  0.04384180707849857916 0.0110436719227483236 
S2 F125W 57527.183043278659  0.04148597404656176324 0.0181090847093027425 
S2 F125W 57532.016850630622  0.09769788544552902854 0.0242818500217950456 
S2 F125W 57534.267513238330  0.04750302371743713586 0.0249854065255118649 
S2 F125W 57536.433498622107  0.05659252190550942418 0.0183106712849828851 
S2 F125W 57537.056063999997  0.05383676021309541371 0.0370865803661620946 
S2 F125W 57538.310585851410  0.06824601074071802442 0.0210651029630200305 
S2 F125W 57541.092709829660  0.05969546647157933372 0.0193347100846572272 
S2 F125W 57545.066931246176  0.03024359176676831226 0.0216012253345846499 
S2 F125W 57547.053996696814  0.02042630019849796946 0.0198115117216331703 
S2 F125W 57548.991103982844  0.06507914249288887509 0.0192685322277533835 
S2 F125W 57550.039104425996  0.08170520079399186397 0.0191930762168758436 
S2 F125W 57551.659161243319  0.07172956581333006509 0.0201542256548493046 
S2 F125W 57553.724027125987  0.05352007338831249461 0.0194919425930230039 
S2 F125W 57555.903061300451  0.05922043623440496202 0.0209852670936981900 
S2 F125W 57557.492080923519  0.06792932391593510533 0.0202859774045092006 
S2 F125W 57566.203931541975  0.05969546647157932678 0.0226949512579956610 
S2 F125W 57569.251476159778  0.07378803017441901146 0.0237355485631340936 
S2 F125W 57573.225326553627  0.02058464361088942207 0.0219808282230393622 
S2 F125W 57577.721700031609  0.03261874295264016038 0.0235289352328451710 
S2 F125W 57580.178784283358  0.02992690494198538623 0.0200082724578085416 
S2 F125W 57583.094543083513  0.04734468030504567632 0.0196807881851921301 
S2 F125W 57586.013236453240  0.05209498267678938643 0.0225352091945164451 
S2 F125W 57589.187455813364  0.07489643406115921442 0.0200729433792190305 
S2 F125W 57592.035315730725  0.05177829585200647428 0.0253133167344443306 
S2 F125W 57691.198269353838  0.01428257579770942677 0.0231178658803806031 
S2 F125W 57720.810960067138  0.01268330733255571170 0.0135404768419433823 
S2 F125W 57727.036738210576  0.04053591357221301983 0.0204000926171205889 
