sample,galaxy,R_kpc,R_over_Rd,V_obs_kms,V_bar_kms,g_obs,g_bar,e_gobs,g_pred_gate,g_pred_mond,dlnB_ring
sparc,DDO161,11.46,9.39344262295082,66.8,32.89164711594724,1.2618791428036844e-11,3.059398726377802e-12,3.589177202585329e-13,2.0032936572114478e-11,2.0034405565415463e-11,-0.0021004882660222
sparc,DDO161,11.94,9.786885245901638,66.6,31.980938854261296,1.2039087927209251e-11,2.776051675049069e-12,3.4707280510873517e-13,1.9010198462106015e-11,1.9011282515418296e-11,-0.002082125327268
sparc,DDO161,12.41,10.172131147540984,66.8,31.077149161401532,1.1652808200266094e-11,2.522086734350557e-12,3.4539760833124045e-13,1.8054854226689272e-11,1.805566154890148e-11,-0.0018021860087726
sparc,DDO161,12.9,10.57377049180328,66.3,30.317748926989943,1.1042993112261782e-11,2.3091579940182098e-12,2.465102534863867e-13,1.7221467162614613e-11,1.72220660494679e-11,-0.0019879253817336
sparc,DDO161,13.37,10.959016393442624,66.1,29.4234625766581,1.0590609782522972e-11,2.0984837308604768e-12,4.1977908669001795e-13,1.6363393270219514e-11,1.636384198422047e-11,-0.0017926744156455
sparc,DDO168,0.41,0.4019607843137254,14.999999999999998,11.943504510820937,1.7784764393292247e-11,1.1275327208174568e-11,9.722337868333092e-12,3.048849884810981e-11,4.137956470407622e-11,0.5406189761393503
sparc,DDO168,0.82,0.8039215686274509,23.399999999999995,20.17484076764919,2.1640501313758005e-11,1.6086287776373914e-11,2.4045001459731117e-12,4.3955324297748526e-11,5.0886318665872056e-11,1.0860462331850085
sparc,DDO168,1.24,1.2156862745098038,29.199999999999996,22.754431436535604,2.2284016559289057e-11,1.3531930114006171e-11,2.2894537560913413e-12,4.2112988632911704e-11,4.5986774507422024e-11,0.5763293574442185
sparc,DDO168,1.64,1.6078431372549018,36.2,23.149083135191336,2.5895407390606547e-11,1.0589444924795188e-11,1.5737540403131053e-12,3.7650010776024215e-11,3.9914908513508584e-11,0.2443044252790797
sparc,DDO168,2.06,2.019607843137255,44.0,25.03269961470396,3.0457032545457724e-11,9.8581996740739e-12,1.5228516272728862e-12,3.6870780091640247e-11,3.83145003899744e-11,0.0862207961833236
sparc,DDO168,2.47,2.4215686274509807,52.1,25.634495313931964,3.561458992332259e-11,8.621881402459346e-12,1.6405953131664913e-12,3.4574595495117175e-11,3.5504222181566146e-11,-0.002733661006443
sparc,DDO168,2.89,2.8333333333333335,52.89999999999999,25.904295975764327,3.1380723776380636e-11,7.524804119664498e-12,2.0169085224894928e-12,3.2274968540025865e-11,3.2879914195622e-11,0.0090101506650446
sparc,DDO168,3.3,3.2352941176470584,54.79999999999999,25.784794938102568,2.949148435567577e-11,6.529243699969913e-12,2.3679294008206828e-12,2.9964911471027935e-11,3.0367603970376466e-11,0.0048404064836968
sparc,DDO168,3.71,3.637254901960784,55.0,25.774801648121368,2.6424143802073327e-11,5.8031822357444335e-12,2.4021948910975748e-12,2.8164874536815417e-11,2.843944568731666e-11,0.0083036354342558
