sample,galaxy,n_rings,dlnB_locked_minus_MOND,dlnB_alt_ML_convention,dlnL_sum_at_joint_sigma,lnZ_gate,lnZ_mond,sigma_int_gate_dex,sigma_int_mond_dex,morph_type_T,class_dwarf_or_spiral,class_HSB_LSB,distance_Mpc,e_distance_Mpc,distance_method_code,inclination_deg,e_inclination_deg,Vflat_kms,e_Vflat_kms,Mbar_Msun,Mstar_Msun,Mgas_Msun,gas_fraction,central_SB_disk_Lsun_pc2,SB_eff_Lsun_pc2,mean_Sigma_bar_Msun_pc2,Rdisk_kpc,Reff_kpc,RHI_kpc,R_min_kpc,R_max_kpc,R_min_over_Rd,R_max_over_Rd,gbar_median,gobs_median,quality_flag,abs_Vmag,abs_Bmag,metallicity_12logOH,y_star_fit
sparc,NGC4013,36,0.012854413489023386,,0.056681493055194876,50.66749136734002,50.654636953850996,0.047342324802862414,0.04737016840212881,3.0,spiral_T<8,HSB,18.0,2.5,4,89.0,1.0,172.9,7.1,43493110000.0,39547000000.0,3946110000.0000005,0.0907295431391317,10205.4,746.16,14.396836020668752,3.53,4.11,31.35,5.49,31.01,1.5552407932011334,8.784702549575071,2.0503043748618545e-11,4.9004851264189934e-11,2,,,,
sparc,NGC4051,7,0.042656871567929855,,0.03662791161098833,2.817530831684173,2.7748739601162433,0.12045651756445191,0.12114028650622945,4.0,spiral_T<8,HSB,18.0,2.5,4,49.0,3.0,157.0,5.5,51221010000.0,47634000000.0,3587010000.0000005,0.07003005212119012,1320.78,319.76,109.72127709488205,4.65,6.87,15.13,1.74,12.19,0.37419354838709673,2.6215053763440856,7.426423557226329e-11,1.1885952694810277e-10,2,,,,
sparc,NGC4068,6,1.121985217553549,,2.4530273270338494,-3.7525616466456597,-4.874546864199209,0.2895636428328171,0.3480009723017713,10.0,dwarf_irregular_T>=8,HSB,4.37,0.22,2,44.0,6.0,0.0,0.0,322820000.0,118000000.0,204820000.0,0.634471222353014,261.11,30.26,18.92773811598138,0.59,1.11,3.18,0.21,2.33,0.3559322033898305,3.9491525423728815,8.95021109844663e-12,1.7857127696446545e-11,2,,,,
sparc,NGC4085,7,0.3781376432605643,,0.486174038655098,-0.7905942524812104,-1.1687318957417747,0.18117762651750083,0.1939238864648314,5.0,spiral_T<8,HSB,18.0,2.5,4,82.0,2.0,131.5,4.8,12656170000.0,10862000000.0,1794170000.0,0.1417624763257763,5021.46,856.7,104.80187388716718,1.65,2.0,10.16,0.87,6.2,0.5272727272727273,3.757575757575758,1.0330188389563007e-10,1.1890326087129728e-10,2,,,,
sparc,NGC4088,12,0.05966584893926408,,0.07551829171928548,0.8656991373493352,0.8060332884100712,0.18726896220370237,0.1880728459546969,4.0,spiral_T<8,HSB,18.0,2.5,4,69.0,2.0,171.7,6.9,64583580000.0,53643000000.0,10940580000.000002,0.16940188202636028,3988.69,457.96,44.555742813768425,2.58,6.1,22.25,1.74,21.48,0.6744186046511628,8.325581395348838,8.043319891012877e-11,8.983347138354192e-11,1,,,,
sparc,NGC4100,24,-0.1868255413661224,,-0.011233854171446733,29.83530160806936,30.022127149435484,0.054641893547696115,0.05416799443720163,4.0,spiral_T<8,HSB,18.0,2.5,4,73.0,2.0,158.2,5.0,33822660000.0,29697000000.0,4125660000.0,0.12197917017762648,8970.78,388.0,20.783245694804677,2.15,4.93,18.06,2.61,22.76,1.213953488372093,10.586046511627908,3.295699098845295e-11,8.975282424606373e-11,1,,,,
sparc,NGC4138,7,-0.017145615280218074,,0.009436731810950727,7.426394283568222,7.4435398988484405,0.033412202869699745,0.03306098377900457,0.0,spiral_T<8,HSB,18.0,2.5,4,53.0,3.0,147.3,5.9,24027890000.0,22055500000.0,1972390000.0000002,0.08208752412300874,3952.12,1909.11,22.15513205959115,1.51,1.91,18.58,2.61,18.58,1.728476821192053,12.304635761589402,3.285229574739564e-11,7.986010485650507e-11,2,,,,
sparc,NGC4157,17,0.11573942715497054,,0.08555811093877597,13.797121051746679,13.681381624591708,0.08312529414902244,0.08352917943018592,3.0,spiral_T<8,HSB,18.0,2.5,4,82.0,3.0,184.7,7.2,63750580000.0,52810000000.0,10940580000.000002,0.17161537981301506,23813.87,848.85,23.145014267944887,2.32,4.44,24.09,1.74,29.61,0.75,12.76293103448276,3.885589772305591e-11,6.997437731085996e-11,1,,,,
sparc,NGC4183,23,-0.5723489941768314,,-0.24133286646790086,23.071783057138216,23.644132051315047,0.061658310708898545,0.06025915275452155,6.0,spiral_T<8,HSB,18.0,2.5,4,82.0,2.0,110.6,5.4,10081980000.0,5419000000.0,4662980000.0,0.46250637275614515,1098.58,86.46,7.263242352458612,2.79,4.47,16.07,0.87,21.02,0.3118279569892473,7.534050179211469,1.3072648069040244e-11,3.813719352936392e-11,1,,,,
sparc,NGC4214,14,-1.4974108755252304,,-3.1730817177735497,-3.0049281902799425,-1.507517314754712,0.24462798755432205,0.21697874805727793,10.0,dwarf_irregular_T>=8,HSB,2.87,0.14,2,15.0,10.0,80.1,5.8,1216880000.0,570500000.0,646380000.0000001,0.531178094799816,1308.67,363.77,12.220278143898339,0.51,0.7,5.84,0.21,5.63,0.4117647058823529,11.03921568627451,1.3084327226602011e-11,7.147290239257611e-11,2,,,,
