survey,CID,IDSURVEY,zCMB,zCMBERR,zHEL,zHELERR,c,cERR,x1,x1ERR,mB,mBERR,x0,x0ERR,COV_x1_c,COV_x1_x0,COV_c_x0,RA,DEC,HOST_RA,HOST_DEC,HOST_ANGSEP,VPEC,VPECERR,MWEBV,HOST_LOGMASS,HOST_LOGMASS_ERR,PKMJD,PKMJDERR,NDOF,FITCHI2,FITPROB
PS1MD,440643,15,0.18955,0.01,0.19,0.01,-0.092961,0.029896,0.73235,0.18689,20.1933,0.0356232,0.000150198,4.92802e-06,0.000242245,-1.9413e-07,-1.21469e-07,53.6036,-26.7739,-999,-999,22.0885,6.0704,250,0.00893194,8.731,0.349,56237.0,0.2275,12,26.8963,0.00799711
SDSS,6304,1,0.18979,3e-05,0.19094,3e-05,0.069976,0.029466,-0.477836,0.39137,20.6957,0.0353504,9.45632e-05,3.07888e-06,0.000651798,-2.88174e-07,-1.59529e-08,26.4976,1.196,-9,-9,4.809,-40.1299,250,0.0188342,10.656,0.055,53673.1,0.2759,54,46.9704,0.73998
SDSS,762,1,0.19009,2e-05,0.19138,2e-05,-0.038428,0.030942,1.13375,0.27274,20.3789,0.0389777,0.0001266,4.54491e-06,0.000690784,-4.49981e-07,-8.82759e-08,15.5353,-0.879,-9,-9,3.591,-38.7816,250,0.0283721,11.236,0.075,53625.2,0.2889,56,47.884,0.77144
SDSS,20687,1,0.19026,2e-05,0.19154,2e-05,0.14919,0.046655,-0.621992,0.76676,20.8577,0.0497729,8.14544e-05,3.73408e-06,0.0116549,-6.95345e-07,-1.04185e-07,16.7181,1.1541,-9,-9,1.124,-41.2508,250,0.0194889,10.976,0.064,54421.0,0.7918,27,36.0302,0.11464
SDSS,2440,1,0.1903,1e-05,0.19114,1e-05,-0.082895,0.029903,0.42606,0.29467,20.4018,0.0429178,0.000123964,4.90015e-06,0.000808738,-5.2371e-07,-9.38784e-08,42.6337,0.8078,-9,-9,1.774,-35.059,250,0.0452695,10.325,0.071,53635.0,0.334,66,39.5545,0.99597
SDSS,16276,1,0.19397,0.005,0.1952,0.005,-0.029701,0.032591,0.003506,0.57707,20.4877,0.0390767,0.000114531,4.12209e-06,0.00646163,-1.10499e-06,-9.38724e-08,20.5787,1.0106,-9,-9,1.397,-40.0866,250,0.0272554,9.288,0.2,54057.4,0.3752,30,14.2943,0.99316
SDSS,2246,1,0.19422,0.0005,0.1949,0.0005,0.075626,0.037047,0.32908,0.36574,20.7467,0.0529653,9.02213e-05,4.40125e-06,0.00204663,-6.77216e-07,-1.09896e-07,50.0904,-0.8856,-9,-9,2.842,-29.3993,250,0.0535648,10.798,0.099,53634.2,0.3273,71,53.8399,0.93557
SDSS,20821,1,0.19534,0.0005,0.1959,0.0005,0.21928,0.071136,-1.42751,1.18912,21.5372,0.10253,4.35618e-05,4.11379e-06,0.0302578,-2.15438e-06,-2.01197e-07,55.5726,1.0631,-9,-9,3.245,-29.1563,250,0.12165,10.572,0.085,54411.4,0.7639,27,18.7346,0.87947
SDSS,14984,1,0.19549,0.0005,0.1967,0.0005,0.049454,0.034528,0.97928,0.33681,20.637,0.0575348,9.98144e-05,5.28931e-06,0.00182529,-5.4793e-07,-1.26146e-07,313.834,-0.0928,-9,-9,2.47,-21.1401,250,0.0796737,10.395,0.065,54025.0,0.3259,58,40.7899,0.95792
SDSS,15674,1,0.19555,0.0005,0.197,0.0005,0.003206,0.03942,-0.328952,0.31076,20.7804,0.0558084,8.74622e-05,4.49569e-06,0.00380296,-6.70766e-07,-1.22088e-07,340.829,0.2629,-9,-9,-9.0,-34.1816,250,0.0576232,7.0,-9.0,54040.3,0.2382,43,29.9456,0.93427
PS1MD,000236,15,0.19602,0.001,0.1953,0.001,-0.084432,0.025902,-0.201493,0.14232,20.2976,0.033471,0.000136447,4.20638e-06,0.000494008,-1.63288e-07,-8.96742e-08,131.58,44.0731,-999,-999,18.1543,-34.4292,250,0.0259846,10.902,0.009,55211.1,0.1433,30,26.8654,0.63033
SDSS,15129,1,0.19611,5e-05,0.19739,5e-05,-0.06814,0.033016,-0.68294,0.23328,20.4459,0.0442964,0.000119028,4.85616e-06,0.000424856,-2.95716e-07,-9.83065e-08,318.902,-0.3214,-9,-9,1.532,-23.6296,250,0.0508246,10.971,0.066,54023.9,0.2553,71,74.0099,0.38023
SDSS,13070,1,0.19719,2e-05,0.19863,2e-05,-0.147151,0.02814,0.96631,0.27438,20.0895,0.0423722,0.000165274,6.45004e-06,0.0025584,-1.14467e-06,-1.29879e-07,357.785,-0.7463,-9,-9,1.031,-36.8766,250,0.0224902,10.267,0.053,53986.6,0.2474,60,44.4092,0.9341
SDSS,18804,1,0.19726,6e-05,0.19843,6e-05,-0.058195,0.024773,0.92166,0.19946,20.1689,0.0320827,0.000153619,4.53935e-06,0.000499365,-2.94503e-07,-7.63353e-08,25.2656,-0.4484,-9,-9,1.547,-37.0548,250,0.024714,10.3,0.074,54392.8,0.1725,60,74.6235,0.0968946
SDSS,15222,1,0.19801,5e-05,0.19943,5e-05,0.012668,0.034736,-1.31897,0.28823,20.697,0.0404047,9.4449e-05,3.51484e-06,0.0010059,-3.54546e-07,-7.66022e-08,2.8534,0.7027,-9,-9,4.37,-39.1848,250,0.0234458,11.5,0.11,54031.1,0.2582,49,28.1987,0.99254
SDSS,13370,1,0.19846,0.0005,0.1996,0.0005,-0.068335,0.048155,0.98859,0.75263,20.7934,0.0768038,8.64237e-05,6.11352e-06,-0.0135306,3.06599e-06,-2.68279e-07,27.1515,0.3282,-9,-9,2.08,-37.5011,250,0.0348777,9.95,0.173,53988.8,1.8886,32,20.9143,0.93352
PS1MD,360145,15,0.1986,0.001,0.198,0.001,0.008214,0.02746,0.35012,0.18316,20.6792,0.0325154,9.60119e-05,2.87534e-06,-0.000263494,-1.18265e-07,-6.40678e-08,163.669,59.019,-999,-999,20.25,-41.7366,250,0.00703405,9.911,0.157,55978.7,0.1864,25,19.7207,0.76132
SDSS,19658,1,0.19863,0.0005,0.2,0.0005,-0.083706,0.035742,0.00802,0.26469,20.4511,0.0422868,0.000118451,4.61337e-06,0.0026432,-6.70827e-07,-1.21298e-07,8.9032,-0.2327,-9,-9,0.517,-38.333,250,0.015431,8.996,0.182,54401.8,0.1889,29,14.5203,0.98841
SDSS,18768,1,0.19892,0.005,0.2002,0.005,-0.03385,0.040058,-0.395911,0.3013,20.744,0.0500306,9.04508e-05,4.16796e-06,0.00277131,-6.58041e-07,-1.14511e-07,17.2167,1.1979,-9,-9,1.014,-39.7628,250,0.0204704,9.778,0.22,54379.0,0.3931,37,38.8402,0.38677
PS1MD,110460,15,0.19956,0.001,0.2,0.001,0.018744,0.037422,-0.122892,0.25992,20.74,0.0423559,9.07857e-05,3.54166e-06,-0.00339123,-8.73458e-08,-9.41851e-08,53.8448,-27.8403,-999,-999,21.7607,7.3033,250,0.00926361,9.5517,0.1,55560.8,0.3288,9,4.92339,0.84093
PS1MD,500504,15,0.19948,0.001,0.199,0.001,0.10611,0.037731,-0.800981,0.26925,20.8407,0.0455958,8.27435e-05,3.47484e-06,0.00180285,-3.77274e-07,-9.95465e-08,212.459,53.4778,-999,-999,-9.0,-34.1516,250,0.00745692,11.075,0.0845,56415.4,0.3434,26,35.0661,0.11023
PS1MD,560150,15,0.19957,0.001,0.201,0.001,-0.048274,0.031794,-1.49121,0.45465,20.7435,0.0393727,9.04904e-05,3.28151e-06,0.000739882,-1.86416e-07,-7.90144e-08,333.961,1.2276,-999,-999,-9.0,-32.2034,250,0.0366617,11.458,0.0555,56590.8,0.3945,13,16.1301,0.24218
SDSS,19101,1,0.20062,0.0005,0.202,0.0005,0.006447,0.032857,-0.229311,0.21397,20.5028,0.0395303,0.000112949,4.11234e-06,0.00160033,-4.06312e-07,-1.05642e-07,7.9727,0.1383,-9,-9,-9.0,-38.4237,250,0.019391,7.0,-9.0,54395.2,0.178,32,32.6797,0.43342
PS1MD,470232,15,0.20068,0.01,0.2,0.01,-0.009623,0.027515,0.83322,0.15414,20.6443,0.0369242,9.91441e-05,3.37174e-06,0.000793249,-2.22699e-07,-7.65456e-08,129.546,45.2023,-999,-999,20.4232,-35.8354,250,0.0225027,9.737,0.228,56315.8,0.1401,28,29.7328,0.3761
PS1MD,370308,15,0.20074,0.01,0.2,0.01,-0.138295,0.030596,0.72474,0.93122,20.0774,0.0379051,0.000167128,5.83476e-06,-0.00246512,-2.35959e-06,-1.09813e-07,131.317,43.3857,-999,-999,17.7907,-33.121,250,0.0223301,11.239,0.037,56006.6,0.5934,2,2.1663,0.33853
PS1MD,590002,15,0.20139,0.01,0.2,0.01,-0.111863,0.031901,-0.964653,0.27826,20.4767,0.0404601,0.000115691,4.31123e-06,0.00254992,-4.91937e-07,-1.11614e-07,149.545,0.8783,-999,-999,17.8268,27.5615,250,0.0234717,11.269,0.049,56665.5,0.2039,9,13.7681,0.13082
SDSS,13152,1,0.20216,1e-05,0.20355,1e-05,0.016007,0.02952,0.28737,0.25244,20.4067,0.0351525,0.000123403,3.99539e-06,0.000913611,-3.66293e-07,-9.21921e-08,7.0521,0.118,-9,-9,0.093,-38.1187,250,0.0176969,9.387,0.096,54001.2,0.199,47,49.3929,0.37779
SDSS,19913,1,0.20237,0.0005,0.2038,0.0005,-0.047441,0.036079,0.11554,0.34885,20.5944,0.0526552,0.000103808,5.03441e-06,0.00232237,-4.81425e-07,-1.28871e-07,333.763,-0.3413,-9,-9,1.881,-29.856,250,0.0690237,10.051,0.087,54406.1,0.3577,27,21.9591,0.73945
SDSS,6780,1,0.20268,3e-05,0.20406,3e-05,-0.027936,0.045821,-1.74956,0.38835,20.7416,0.0721656,9.06458e-05,6.02496e-06,0.00462795,-8.56805e-07,-1.97173e-07,328.069,0.2671,-9,-9,10.541,-28.1561,250,0.0899026,11.272,0.08,53665.5,0.4114,35,12.2199,0.99988
SDSS,14212,1,0.20308,5e-05,0.20449,5e-05,-0.026315,0.032948,-0.315612,0.1792,20.6722,0.0437269,9.66334e-05,3.89181e-06,0.000804452,-1.99703e-07,-9.37448e-08,330.47,1.045,-9,-9,2.788,-30.0683,250,0.0473579,10.497,0.105,54013.0,0.186,110,105.079,0.61474
SDSS,15203,1,0.20314,7e-05,0.20444,7e-05,0.003346,0.032426,1.12434,0.2761,20.4804,0.0400064,0.000115308,4.24877e-06,0.00085745,-4.10861e-07,-9.9777e-08,15.7347,0.1831,-9,-9,0.329,-37.9901,250,0.0304501,10.219,0.069,54027.1,0.2774,47,45.684,0.52712
SDSS,16032,1,0.20318,0.0005,0.204,0.0005,-0.103496,0.034717,-0.740612,0.23563,20.5278,0.0476505,0.000110378,4.84426e-06,0.0016901,-3.98825e-07,-1.22406e-07,44.0692,-0.4108,-9,-9,-9.0,-31.2577,250,0.056301,7.0,-9.0,54046.4,0.1779,42,25.8042,0.97667
SDSS,7243,1,0.20323,1e-05,0.20462,1e-05,-0.016092,0.041619,0.74462,0.39134,20.5691,0.0652561,0.000106257,6.38634e-06,0.00320372,-8.80241e-07,-1.70454e-07,328.079,0.4719,-9,-9,0.724,-28.341,250,0.0863138,9.225,0.111,53686.3,0.3317,24,8.02935,0.99906
SDSS,15901,1,0.20368,0.00018,0.20474,0.00018,-0.055445,0.034148,0.059763,0.26159,20.5196,0.041606,0.000111216,4.26184e-06,0.00201766,-4.91325e-07,-1.08613e-07,31.9763,-0.5354,-9,-9,0.155,-34.6708,250,0.0274739,9.969,0.085,54045.5,0.2087,29,31.6571,0.33512
SDSS,18965,1,0.20454,3e-05,0.20587,3e-05,-0.107766,0.035405,-0.612498,0.22995,20.463,0.0396034,0.000117169,4.27385e-06,0.000922056,-4.00564e-07,-1.02462e-07,13.5091,1.069,-9,-9,0.448,-38.883,250,0.0207677,10.63,0.11,54395.4,0.1884,44,51.6782,0.19895
PS1MD,110033,15,0.20471,0.001,0.2057,0.001,-0.03324,0.053402,1.3148,0.39394,20.333,0.0896787,0.000132072,1.09088e-05,0.00504428,-2.73086e-06,-5.01722e-07,34.9031,-3.5292,-999,-999,19.3869,-30.1981,250,0.0181881,10.063,0.237,55543.8,0.358,13,8.67734,0.79685
SDSS,17801,1,0.20515,0.0005,0.2064,0.0005,-0.013866,0.056419,-0.656693,0.50591,20.9491,0.0824741,7.48785e-05,5.68788e-06,0.0111586,-1.96839e-06,-2.25028e-07,316.093,-0.898,-9,-9,2.668,-20.5789,250,0.0563188,11.4,0.086,54365.7,0.3445,44,42.0976,0.55346
SDSS,15872,1,0.20549,2e-05,0.20646,2e-05,-0.070773,0.036237,0.76107,0.30875,20.3019,0.0456764,0.00013591,5.71767e-06,0.0036418,-1.01414e-06,-1.58229e-07,36.7225,-0.3278,-9,-9,0.412,-33.3921,250,0.0272668,9.66,0.089,54047.8,0.2082,26,19.0556,0.83408
SDSS,15201,1,0.20736,4e-05,0.20881,4e-05,0.15242,0.056178,-1.87784,0.79719,21.6221,0.0698576,4.02864e-05,2.59208e-06,0.00454865,-6.77033e-07,-9.39195e-08,337.519,0.0036,-9,-9,2.553,-31.1136,250,0.0615482,11.312,0.09,54028.4,0.6125,37,30.2887,0.77464
SDSS,20376,1,0.20831,0.00081,0.20961,0.00081,0.16064,0.039481,-1.19101,0.62939,20.9688,0.0513904,7.35363e-05,3.48064e-06,0.00570106,-6.88038e-07,-1.05153e-07,319.396,-0.5239,-9,-9,0.071,-22.4733,250,0.0510248,10.717,0.12,54415.2,0.5351,23,46.5523,0.00255196
SDSS,15467,1,0.20847,3e-05,0.20978,3e-05,-0.063565,0.034333,0.82038,0.26734,20.3503,0.0473706,0.00012998,5.671e-06,0.00242037,-7.24207e-07,-1.4498e-07,320.02,-0.1774,-9,-9,0.702,-23.1925,250,0.0485495,10.43,0.044,54038.9,0.1988,32,27.5629,0.6908
PS1MD,200132,15,0.20856,0.01,0.21,0.01,-0.034298,0.032516,0.39874,0.20429,20.7462,0.0531945,9.0269e-05,4.42264e-06,0.00146984,-3.09378e-07,-1.07603e-07,334.494,-0.6969,-999,-999,-9.0,-29.0471,250,0.0748088,9.056,0.742,55841.2,0.1484,20,15.2348,0.76282
SDSS,15259,1,0.20857,0.00011,0.21003,0.00011,-0.004374,0.034117,0.48151,0.27825,20.5606,0.0469005,0.000107096,4.62622e-06,0.000464302,-3.43142e-07,-1.10004e-07,337.544,-0.4078,-9,-9,0.097,-30.4528,250,0.0577534,9.789,0.256,54026.3,0.2838,50,56.5449,0.24385
PS1MD,140152,15,0.20864,0.001,0.208,0.001,-0.097862,0.026351,1.42408,0.16457,20.207,0.0319931,0.000148326,4.37067e-06,0.000281034,-2.90687e-07,-9.15236e-08,162.393,57.6157,-999,-999,21.8087,-38.6812,250,0.0077385,9.694,0.744,55639.3,0.1635,25,20.7492,0.70651
SDSS,16482,1,0.20937,4e-05,0.21077,4e-05,-0.022826,0.047358,-2.22105,1.17739,20.8143,0.0560926,8.47816e-05,4.38009e-06,0.025336,-2.34821e-06,-1.38305e-07,328.71,0.9337,-9,-9,12.441,-28.4436,250,0.0599906,11.5,0.103,54058.5,0.6304,19,14.8229,0.73378
PS1MD,550154,15,0.21003,0.001,0.211,0.001,-0.099573,0.030943,0.087898,0.29478,20.6368,0.0376398,9.98382e-05,3.46114e-06,0.000654154,-2.92171e-07,-8.72307e-08,36.3556,-3.5962,-999,-999,19.3506,-29.1086,250,0.0222529,10.582,0.013,56571.3,0.3504,18,10.6928,0.90693
SDSS,19149,1,0.21023,1e-05,0.21131,1e-05,0.009912,0.030544,1.04946,0.19839,20.1342,0.0373926,0.000158603,5.46228e-06,0.00132622,-4.78276e-07,-1.31789e-07,31.46,-0.3319,-9,-9,2.966,-34.0992,250,0.0207488,9.612,0.088,54398.9,0.1698,39,62.5587,0.00971449
PS1MD,460105,15,0.21071,0.01,0.21,0.01,-0.099308,0.036328,-1.68923,0.19099,20.7213,0.0454114,9.23583e-05,3.86292e-06,0.000726004,-2.92575e-07,-1.0818e-07,129.37,44.0453,-999,-999,17.1534,-33.2442,250,0.0257603,11.5,0.037,56289.3,0.2334,26,19.3062,0.82324
SDSS,14157,1,0.21083,0.0005,0.2115,0.0005,-0.050221,0.035514,1.16426,0.27455,20.2769,0.0642975,0.000139078,8.23621e-06,0.000956526,-5.23695e-07,-2.02186e-07,51.1367,1.0224,-9,-9,1.398,-29.2394,250,0.10115,11.127,0.062,54013.9,0.2579,62,75.2071,0.12103
SDSS,18940,1,0.21099,4e-05,0.21236,4e-05,-0.031446,0.037554,-0.841378,0.26141,20.7236,0.0428541,9.21614e-05,3.63762e-06,0.0020371,-4.68233e-07,-9.63063e-08,10.349,0.412,-9,-9,1.128,-37.2132,250,0.0158971,10.226,0.077,54396.7,0.2122,37,35.0231,0.56202
SDSS,7847,1,0.2116,8e-05,0.21266,8e-05,0.12339,0.035858,0.15361,0.39907,20.9537,0.0420665,7.45643e-05,2.88897e-06,0.00340139,-4.39141e-07,-7.5668e-08,32.4599,-0.0618,-9,-9,0.955,-34.0422,250,0.0227684,10.696,0.124,53682.0,0.3776,36,33.2748,0.59889
SDSS,17811,1,0.21186,0.0005,0.2132,0.0005,-0.130649,0.032976,1.08099,0.30058,20.2386,0.0424726,0.000144066,5.63566e-06,-2.27791e-05,-7.01687e-07,-1.22861e-07,12.8787,-0.9474,-9,-9,-9.0,-35.4819,250,0.0381921,7.0,-9.0,54355.4,0.2847,38,29.9375,0.82167
SDSS,18927,1,0.21214,0.0005,0.2129,0.0005,0.11949,0.041521,-0.578624,0.38977,21.0129,0.0570616,7.06034e-05,3.71061e-06,0.00185226,-4.94527e-07,-1.01938e-07,46.6825,-0.754,-9,-9,0.465,-28.8368,250,0.0613161,11.5,0.005,54386.8,0.4066,42,39.6805,0.57328
SDSS,13305,1,0.21339,1e-05,0.21481,1e-05,-0.007886,0.033918,1.02285,0.30517,20.6031,0.0449017,0.000102982,4.25891e-06,0.00132473,-5.12985e-07,-1.01871e-07,331.1,0.6912,-9,-9,1.933,-28.7085,250,0.0452112,10.055,0.073,54003.9,0.2679,49,40.1211,0.81304
SDSS,8495,1,0.21353,2e-05,0.21498,2e-05,-0.020313,0.042751,0.76464,0.47104,20.5844,0.0637953,0.00010477,6.15604e-06,0.00673051,-1.64126e-06,-1.79018e-07,335.261,-0.7482,-9,-9,0.872,-28.6867,250,0.0612895,11.034,0.063,53689.9,0.3514,23,39.9235,0.0156752
SDSS,6933,1,0.21383,0.005,0.2152,0.005,-0.022316,0.032651,0.084513,0.23882,20.5739,0.0362115,0.000105786,3.52817e-06,0.00102712,-2.47341e-07,-8.24149e-08,11.3517,1.0756,-9,-9,-9.0,-37.5118,250,0.0202861,7.0,-9.0,53679.9,0.2384,32,34.3579,0.35541
PS1MD,110567,15,0.21442,0.001,0.2149,0.001,0.14984,0.050754,-1.01331,0.47263,21.3161,0.060316,5.34002e-05,2.96655e-06,0.00152349,-3.79165e-07,-1.18233e-07,52.7131,-26.46,-999,-999,17.2199,4.7606,250,0.00865755,11.403,0.006,55550.5,0.5328,10,12.0574,0.28124
SDSS,14019,1,0.21513,0.0005,0.2164,0.0005,-0.015316,0.048363,-0.305757,0.41656,21.2112,0.0669858,5.88175e-05,3.62881e-06,0.00459028,-6.39851e-07,-1.16814e-07,316.642,-0.648,-9,-9,2.448,-20.3581,250,0.0761703,9.931,0.093,54012.2,0.4167,59,43.7182,0.93161
SDSS,1316,1,0.21566,2e-05,0.21711,2e-05,-0.098723,0.046197,0.68739,0.68654,20.6589,0.0750052,9.78195e-05,6.7576e-06,0.00337289,-9.04417e-07,-1.49498e-07,334.864,0.4945,-9,-9,1.038,-29.7144,250,0.0565963,9.835,0.104,53619.6,1.5611,32,46.8819,0.043452
PS1MD,100206,15,0.21653,0.001,0.217,0.001,-0.075171,0.029839,0.25057,0.28167,20.3453,0.0351703,0.000130584,4.23001e-06,0.00192713,-4.19577e-07,-9.97155e-08,52.5182,-28.2567,-999,-999,18.2684,6.832,250,0.00697846,11.5,0.013,55517.9,0.2615,18,20.714,0.29409
SDSS,17435,1,0.21674,0.0005,0.218,0.0005,-0.107985,0.035136,0.91406,0.25984,20.4548,0.0404613,0.000118057,4.39952e-06,3.73683e-05,-4.3063e-07,-9.89319e-08,20.3446,-0.0148,-9,-9,0.106,-35.4351,250,0.0270065,8.818,0.182,54359.4,0.3042,46,35.5802,0.86656
SDSS,7473,1,0.21677,0.005,0.2182,0.005,-0.099965,0.033394,-0.148294,0.28692,20.6305,0.0368881,0.000100415,3.41163e-06,0.00257405,-4.01791e-07,-1.56088e-07,4.3264,-0.2573,-9,-9,0.04,-35.4047,250,0.0212511,8.954,0.275,53679.6,0.2514,29,24.5609,0.70082
SDSS,20364,1,0.21729,2e-05,0.21846,2e-05,0.029676,0.04191,0.54349,0.88866,20.8556,0.0466338,8.16152e-05,3.50548e-06,0.00191133,-3.89503e-07,-8.19704e-08,25.7566,-0.9455,-9,-9,1.03,-33.6053,250,0.0218223,10.389,0.079,54420.0,0.9101,24,18.3162,0.7874
SDSS,13641,1,0.21781,0.0005,0.2193,0.0005,-0.045648,0.032961,1.023,0.28669,20.5195,0.0419258,0.00011122,4.29476e-06,0.000817148,-3.93747e-07,-1.00685e-07,345.219,-0.9811,-9,-9,-9.0,-31.1376,250,0.0427939,7.0,-9.0,54004.9,0.2982,47,37.4452,0.83927
SDSS,9467,1,0.21885,3e-05,0.22027,3e-05,-0.137949,0.057419,-1.38838,0.38099,20.8326,0.0670095,8.33571e-05,5.14463e-06,0.00589448,-1.06443e-06,-1.63022e-07,328.951,1.1808,-9,-9,2.342,-27.8066,250,0.0490428,10.93,0.072,53688.8,0.3441,22,13.5961,0.91519
SDSS,5533,1,0.21887,2e-05,0.22028,2e-05,0.006675,0.041967,-0.502697,0.40223,20.9563,0.0581663,7.43847e-05,3.98502e-06,0.00401537,-6.09317e-07,-1.14618e-07,328.67,0.4134,-9,-9,2.31,-26.8368,250,0.0630463,9.959,0.08,53667.5,0.5109,38,29.4554,0.83817
SDSS,15433,1,0.21935,3e-05,0.22068,3e-05,-0.063961,0.035214,-0.028294,0.2707,20.6886,0.039375,9.51869e-05,3.45202e-06,0.00123959,-3.49263e-07,-8.17699e-08,14.8796,-0.2565,-9,-9,1.143,-35.2083,250,0.0225599,10.806,0.088,54037.4,0.2571,41,38.0484,0.60255
PS1MD,000220,15,0.21982,0.001,0.2184,0.001,-0.129253,0.027336,-0.700887,0.14475,20.606,0.0340948,0.000102709,3.2253e-06,0.000968676,-2.02471e-07,-7.24484e-08,150.537,2.7186,-999,-999,17.5774,23.9857,250,0.0174035,11.335,0.122,55227.5,0.1137,32,35.1928,0.31942
SDSS,18466,1,0.21967,0.0005,0.2204,0.0005,0.024035,0.035756,-0.104958,0.25146,20.8748,0.0561481,8.01795e-05,4.14643e-06,0.000542208,-2.17344e-07,-1.03311e-07,48.4185,0.63,-9,-9,3.177,-28.8799,250,0.0790577,10.917,0.062,54381.5,0.3533,88,68.9871,0.93325
SDSS,14331,1,0.21976,2e-05,0.22116,2e-05,0.005681,0.039739,0.18256,0.30591,20.9916,0.0437417,7.2002e-05,2.90078e-06,0.00116772,-4.01902e-07,-7.2078e-08,7.8887,-0.1358,-9,-9,1.588,-35.3067,250,0.0190387,9.696,0.095,54013.6,0.3101,52,45.6492,0.72038
SDSS,19230,1,0.22005,0.0005,0.2215,0.0005,0.083174,0.046733,-1.64141,0.42746,21.0395,0.0543585,6.88969e-05,3.44939e-06,0.00382931,-7.2763e-07,-1.01602e-07,332.891,0.7648,-9,-9,0.159,-28.7501,250,0.0424109,10.516,0.102,54390.4,0.4186,39,29.1927,0.87345
SDSS,7512,1,0.22055,0.005,0.2212,0.005,-0.001003,0.039741,0.5115,0.37729,20.8819,0.0619624,7.96632e-05,4.54633e-06,0.00226012,-5.05218e-07,-1.21203e-07,52.0903,-0.3261,-9,-9,-9.0,-26.2724,250,0.0883678,7.0,-9.0,53682.5,0.364,40,37.1684,0.59844
SDSS,15354,1,0.22069,0.0005,0.2221,0.0005,0.091001,0.049103,-2.15343,0.50723,21.2664,0.0523245,5.59024e-05,2.69408e-06,0.00058214,-2.69729e-07,-7.91856e-08,6.7737,-0.126,-9,-9,2.101,-35.1349,250,0.0173687,10.783,0.081,54024.5,0.5067,48,47.5288,0.49205
PS1MD,370098,15,0.22141,0.001,0.22,0.001,-0.034129,0.028014,0.53447,0.15184,20.6203,0.0332532,0.000101365,3.10454e-06,-0.000244714,-9.9678e-08,-6.73495e-08,150.006,2.4311,-999,-999,19.5946,23.9549,250,0.0149707,10.491,0.134,56000.3,0.2072,23,22.1035,0.51401
PS1MD,480464,15,0.22141,0.01,0.22,0.01,-0.121671,0.028215,0.2738,0.15994,20.4736,0.0352407,0.000116032,3.76615e-06,0.000383449,-2.34846e-07,-8.1441e-08,149.8,3.2216,-999,-999,18.6952,22.9813,250,0.0195412,10.917,0.028,56342.1,0.1302,31,48.1836,0.0252694
SDSS,13025,1,0.22287,1e-05,0.22436,1e-05,0.046274,0.051654,0.8684,0.84064,21.0498,0.0875481,6.82466e-05,5.50305e-06,-0.00380526,4.81721e-07,-1.93239e-07,341.567,0.4159,-9,-9,1.974,-31.0353,250,0.0673538,10.836,0.052,53989.3,2.2847,32,20.3471,0.94497
SDSS,14846,1,0.22335,2e-05,0.22476,2e-05,-0.043993,0.036492,0.65798,0.29488,20.6841,0.0414969,9.55748e-05,3.65288e-06,0.00136203,-5.16845e-07,-8.96066e-08,7.6632,0.1416,-9,-9,2.746,-35.1216,250,0.0208309,11.075,0.059,54025.0,0.2835,40,19.5767,0.99726
PS1MD,330083,15,0.22373,0.001,0.223,0.001,-0.086927,0.028566,0.001523,0.34225,20.5723,0.0345735,0.000105943,3.3736e-06,0.000139266,-1.302e-07,-7.89286e-08,129.496,43.2977,-999,-999,22.8212,-30.8366,250,0.0192752,8.78,0.241,55888.2,0.3312,12,24.5381,0.0171699
PS1MD,550096,15,0.22451,0.001,0.225,0.001,0.016198,0.066008,1.20528,0.52473,20.5725,0.0998636,0.000105922,9.74246e-06,0.0173205,-3.53691e-06,-5.08135e-07,52.7766,-26.3979,-999,-999,20.1292,4.5348,250,0.00890965,10.175,0.278,56575.0,0.485,10,11.9822,0.28625
PS1MD,030066,15,0.22552,0.001,0.2241,0.001,-0.133984,0.03404,1.38181,0.37115,20.4108,0.042548,0.00012294,4.81777e-06,0.00251996,-4.9739e-07,-1.36343e-07,150.183,3.404,-999,-999,23.4514,22.5747,250,0.0209211,9.134,0.243,55300.4,0.5583,6,3.58191,0.73304
SDSS,13727,1,0.22534,2e-05,0.22664,2e-05,-0.041908,0.037628,1.32135,0.34788,20.6407,0.0589594,9.94758e-05,5.40189e-06,0.00212672,-6.12386e-07,-1.39277e-07,317.588,0.9326,-9,-9,2.654,-21.7516,250,0.0860034,9.953,0.084,54004.9,0.3405,46,46.7753,0.44044
SDSS,15229,1,0.22536,0.0005,0.2268,0.0005,-0.034412,0.037763,0.71495,0.29292,20.7712,0.04017,8.82102e-05,3.2636e-06,0.00101789,-3.64791e-07,-7.63278e-08,4.832,1.0907,-9,-9,0.298,-35.735,250,0.0235401,9.165,0.109,54033.2,0.3068,36,33.0363,0.61031
PS1MD,020096,15,0.22563,0.001,0.225,0.001,-0.076474,0.033151,-0.69326,0.21577,20.6652,0.0393925,9.72541e-05,3.52856e-06,0.000766081,-2.70613e-07,-8.99147e-08,161.314,58.1927,-999,-999,22.0265,-37.0486,250,0.00900839,9.059,0.642,55281.4,0.2591,19,21.0752,0.33266
SDSS,19992,1,0.22632,0.0005,0.2278,0.0005,-0.081993,0.04731,0.26487,0.55787,20.8941,0.0614057,7.87666e-05,4.45478e-06,0.0104504,-1.59254e-06,-1.43223e-07,357.104,-1.185,-9,-9,0.832,-32.3218,250,0.0291938,10.628,54.33,54404.6,0.4831,19,13.8771,0.79081
