survey,CID,IDSURVEY,zCMB,zCMBERR,zHEL,zHELERR,c,cERR,x1,x1ERR,mB,mBERR,x0,x0ERR,COV_x1_c,COV_x1_x0,COV_c_x0,RA,DEC,HOST_RA,HOST_DEC,HOST_ANGSEP,VPEC,VPECERR,MWEBV,HOST_LOGMASS,HOST_LOGMASS_ERR,PKMJD,PKMJDERR,NDOF,FITCHI2,FITPROB
SNLS,05D2mp,4,0.35527,0.0004,0.3537,0.0004,0.005725,0.024637,1.30429,0.18887,22.1208,0.032665,2.54492e-05,7.65653e-07,0.00110671,-7.99753e-08,-1.45894e-08,149.786,2.204,-999,-999,-9.0,16.245,250,0.0171457,8.657,0.1825,53711.7,0.1382,32,25.9199,0.76714
SDSS,1688,1,0.35767,1e-05,0.35916,1e-05,-0.014913,0.070004,0.38041,1.33535,21.9161,0.0939356,3.07284e-05,2.65855e-06,0.0287123,-2.62765e-06,-8.11906e-08,321.358,0.3245,-9,-9,1.221,-15.5707,250,0.044167,10.379,0.125,53630.4,1.2241,55,37.2666,0.96794
SNLS,04D3fk,4,0.35833,0.0007,0.3578,0.0007,0.070978,0.022992,-0.394488,0.081185,22.2446,0.0257409,2.27078e-05,5.38362e-07,-2.09148e-05,-7.33769e-09,-1.00454e-08,214.609,52.5285,-999,-999,-9.0,-20.4581,250,0.00686667,10.189,0.0765,53126.9,0.0847,39,48.5664,0.14016
SNLS,04D2fs,4,0.35858,0.001,0.357,0.001,0.051992,0.025585,0.10146,0.10203,22.1572,0.0269833,2.46116e-05,6.11662e-07,-0.00032459,-7.77901e-09,-1.21173e-08,150.092,1.7654,-999,-999,-9.0,16.5283,250,0.0145443,8.386,0.294,53107.7,0.1293,17,23.8371,0.12393
PS1MD,160070,15,0.35897,0.001,0.3589,0.001,-0.066643,0.032138,1.1236,0.3543,21.8695,0.0353194,3.20766e-05,1.04346e-06,-0.000806839,-1.35079e-07,-2.13744e-08,243.192,54.8737,-999,-999,19.3617,-26.2898,250,0.00942062,11.119,0.008,55712.5,0.6205,50,50.0465,0.47155
PS1MD,050293,15,0.36005,0.001,0.36,0.001,-0.023063,0.032841,0.43068,0.40913,21.8188,0.0360418,3.36098e-05,1.1157e-06,0.00216786,-2.38241e-07,-2.32885e-08,244.449,55.3023,-999,-999,23.9995,-26.7242,250,0.00913189,8.555,8.052,55355.7,0.3783,37,42.5393,0.24478
PS1MD,160126,15,0.36023,0.001,0.3595,0.001,-0.000515,0.048383,-0.615294,0.77045,21.8693,0.0526934,3.20825e-05,1.55704e-06,0.0139466,-6.40174e-07,-5.18741e-08,163.283,57.2013,-999,-999,20.091,-24.1796,250,0.00717227,10.914,0.088,55710.7,0.7765,13,10.0317,0.69134
PS1MD,470244,15,0.36081,0.01,0.36,0.01,-0.128528,0.038717,-0.22339,0.34336,21.9001,0.0474782,3.11862e-05,1.36374e-06,0.00427039,-3.10505e-07,-4.07978e-08,130.408,43.7715,-999,-999,22.8496,-20.7789,250,0.0216653,9.115,0.901,56318.9,0.2839,29,23.941,0.73184
PS1MD,420417,15,0.36138,0.001,0.363,0.001,-0.037313,0.058878,-0.184653,0.67709,21.7626,0.0783604,3.53966e-05,2.55466e-06,0.00619574,-8.62864e-07,-7.66514e-08,333.495,-0.1916,-999,-999,20.1565,-18.4619,250,0.0689222,10.934,0.067,56171.5,0.7766,39,54.0758,0.0548311
PS1MD,560121,15,0.36491,0.001,0.366,0.001,0.040013,0.041737,0.16653,0.61495,22.2935,0.0580144,2.17076e-05,1.15991e-06,0.000858657,-2.27223e-07,-4.68691e-09,36.3388,-4.3953,-999,-999,23.5637,-17.7473,250,0.0213799,8.461,0.1,56595.0,0.935,41,39.3112,0.54584
