spectrum,kind,lens_map,galaxy_bin,band,ell_eff,ell_lo,ell_hi,Cl,sigma_Cl
DR6_LRGz2,kappa_g,DR6,LRGz2,6,358.5,317,401,1.0013897836e-07,1.2986817661e-08
DR6_LRGz2,kappa_g,DR6,LRGz2,7,447.5,401,495,5.6197933777e-08,9.8500810085e-09
DR6_LRGz2,kappa_g,DR6,LRGz2,8,547.0000000000001,495,600,5.6176697643e-08,7.9464453938e-09
DR6_LRGz2,kappa_g,DR6,LRGz2,9,656.0000000000005,600,713,4.0470475197e-08,6.8489733739e-09
DR6_LRGz2,kappa_g,DR6,LRGz2,10,774.5000000000001,713,837,3.2364752657e-08,5.7757942721e-09
DR6_LRGz2,kappa_g,DR6,LRGz2,11,903.4999999999999,837,971,3.6904701835e-08,5.0612004210e-09
DR6_LRGz3,kappa_g,DR6,LRGz3,0,31.5,20,44,1.2556780358e-06,2.0335426829e-07
DR6_LRGz3,kappa_g,DR6,LRGz3,1,61.00000000000001,44,79,7.9735856309e-07,1.0465473335e-07
DR6_LRGz3,kappa_g,DR6,LRGz3,2,101.0,79,124,3.8650405300e-07,5.4410408073e-08
DR6_LRGz3,kappa_g,DR6,LRGz3,3,150.49999999999997,124,178,3.5567260577e-07,3.3261952138e-08
DR6_LRGz3,kappa_g,DR6,LRGz3,4,210.00000000000003,178,243,2.3442087965e-07,2.1636209706e-08
DR6_LRGz3,kappa_g,DR6,LRGz3,5,279.5,243,317,1.3775258796e-07,1.6683690377e-08
DR6_LRGz3,kappa_g,DR6,LRGz3,6,358.5,317,401,9.5045503146e-08,1.2700835669e-08
DR6_LRGz3,kappa_g,DR6,LRGz3,7,447.5,401,495,6.5622423377e-08,9.6036359430e-09
DR6_LRGz3,kappa_g,DR6,LRGz3,8,547.0000000000001,495,600,5.3549904151e-08,7.7239700135e-09
DR6_LRGz3,kappa_g,DR6,LRGz3,9,656.0000000000005,600,713,4.2716057491e-08,6.6278517719e-09
DR6_LRGz3,kappa_g,DR6,LRGz3,10,774.5000000000001,713,837,3.7748592086e-08,5.5770187981e-09
DR6_LRGz3,kappa_g,DR6,LRGz3,11,903.4999999999999,837,971,2.6928078341e-08,4.8727022226e-09
DR6_LRGz4,kappa_g,DR6,LRGz4,0,31.5,20,44,9.2366563370e-07,1.6787963385e-07
DR6_LRGz4,kappa_g,DR6,LRGz4,1,61.00000000000001,44,79,7.9983594183e-07,9.0224607801e-08
DR6_LRGz4,kappa_g,DR6,LRGz4,2,101.0,79,124,4.4303176006e-07,4.7677452067e-08
DR6_LRGz4,kappa_g,DR6,LRGz4,3,150.49999999999997,124,178,3.6271461335e-07,2.9716273796e-08
DR6_LRGz4,kappa_g,DR6,LRGz4,4,210.00000000000003,178,243,2.0242616687e-07,1.9854634027e-08
DR6_LRGz4,kappa_g,DR6,LRGz4,5,279.5,243,317,1.2848969881e-07,1.5458902712e-08
