element	sp_num	obs_wl_air(nm)	unc_obs_wl	ritz_wl_air(nm)	unc_ritz_wl	intens	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	conf_i	term_i	J_i	conf_k	term_k	J_k	g_i	g_k	Type	tp_ref	line_ref	
Fe	2	"240.99857"	"0.00005"	"240.998525"	"0.000011"	"1200"	"1.7e+07"	D+	"7.8041909"	"12.9472309"	"3d6.(3F2).4p"	"x 4D*"	"7/2"	"3d6.(5D).5d"	"6F"	"5/2"	8	6		"T6892c83"	"L18349c139"	
Fe	1	"241.009723"	"0.000009"	""	""	"407"	""		""	""	""	""	""	""	""	""				""	"L11631"	
Fe	2	"241.02118"	"0.00003"	"241.021230"	"0.000010"	"10000"	"3.5e+07"	D+	"5.24885175"	"10.3914073"	"3d6.(5D).4p"	"z 6F*"	"5/2"	"3d6.(5D).4d"	"6D"	"5/2"	6	6		"T6892c83"	"L18349c139"	
Fe	2	"241.026963"	"0.000018"	"241.026938"	"0.000011"	"23000"	"7.65e+07"	C+	"5.23672772"	"10.3791615"	"3d6.(5D).4p"	"z 6F*"	"7/2"	"3d6.(5D).4d"	"6D"	"7/2"	8	8		"T7186"	"L18349c139"	
Fe	2	"241.03007"	"0.00007"	"241.029945"	"0.000010"	"4000"	"1.6e+06"	D	"2.82812245"	"7.9704921"	"3d6.(3F2).4s"	"b 4F"	"7/2"	"3d6.(3F2).4p"	"z 2F*"	"7/2"	8	8		"T6892c83"	"L18349c139"	
Fe	2	"241.04119"	"0.00012"	"241.041091"	"0.000012"	"2900"	"3.2e+06"	D	"3.81430861"	"8.9564405"	"3d6.(3G).4s"	"b 2G"	"7/2"	"3d6.(3D).4p"	"w 4F*"	"5/2"	8	6		"T6892c83"	"L18349c139"	
Fe	2	"241.051891"	"0.000012"	"241.051889"	"0.000010"	"800000"	"1.55e+08"	B+	"0.10695023"	"5.24885175"	"3d6.(5D).4s"	"a 6D"	"3/2"	"3d6.(5D).4p"	"z 6F*"	"5/2"	4	6		"T7958,T6610,T7589"	"L18349c139"	
Fe	2	"241.05425"	"0.00002"	"241.054375"	"0.000011"	"5000"	"7.1e+07"	D+	"7.7025932"	"12.8444417"	"3d6.(3P2).4p"	"z 2D*"	"3/2"	"3d6.(3P2).4d"	"2F"	"5/2"	4	6		"T6892c83"	"L18349c139"	
Fe	2	"241.08671"	"0.00009"	"241.086495"	"0.000013"	"600"	""		"9.0528530"	"14.1940165"	"3d6.(1G2).4p"	"x 2F*"	"7/2"	"3d6.(5D).6d"	"4G"	"9/2"	8	10		""	"L18349c139"	
Fe	2	"241.09833"	"0.00003"	"241.098328"	"0.000011"	"4000"	"8.7e+07"	C+	"7.8063198"	"12.9472309"	"3d6.(3P2).4p"	"y 4D*"	"3/2"	"3d6.(5D).5d"	"6F"	"5/2"	4	6		"T6892c83"	"L18349c139"	
Fe	2	"241.106689"	"0.000012"	"241.106724"	"0.000010"	"400000"	"2.37e+08"	B+	"0.12113874"	"5.26187092"	"3d6.(5D).4s"	"a 6D"	"1/2"	"3d6.(5D).4p"	"z 6F*"	"1/2"	2	2		"T7958,T6610,T7589"	"L18349c139"	
Fe	2	"241.11759"	"0.00007"	"241.117574"	"0.000011"	"4000"	"5.2e+06"	D+	"2.70434897"	"7.8448498"	"3d6.(3P2).4s"	"b 4P"	"3/2"	"3d6.(3F2).4p"	"x 4D*"	"5/2"	4	6		"T6892c83"	"L18349c139"	
Fe	2	"241.12506"	"0.00004"	"241.125098"	"0.000014"	"900"	""		"9.0528530"	"14.1931935"	"3d6.(1G2).4p"	"x 2F*"	"7/2"	"3d6.(5D).6d"	"114475"	"5/2"	8	6		""	"L18349c139"	
Fe	2	"241.13155"	"0.00004"	"241.131770"	"0.000011"	"2700"	"5.3e+06"	D+	"7.7233696"	"12.8635679"	"3d6.(3H).4p"	"z 2I*"	"13/2"	"3d6.(3H).4d"	"4H"	"11/2"	14	12		"T6892c83"	"L18349c145"	
Fe	1	"241.1557"	"0.0003"	"241.155969"	"0.000009"	"(1)"	""		"0.85899575"	"5.99867825"	"3d7.(4F).4s"	"a 5F"	"5"	"3d7.(2G).4p"	"z 1H*"	"5"	11	11		""	"L11631c81"	
Fe	2	"241.16795"	"0.00009"	"241.16775"	"0.00003"	"5000"	"5.7e+07"	C+	"6.8072583"	"11.9466897"	"3d6.(3F1).4s"	"d 2F"	"7/2"	"3d5.(4G).4s.4p.(3P*)"	"t 2F*"	"7/2"	8	8		"T6892c83"	"L18349c139"	
Fe	2	"241.180771"	"0.000012"	"241.180768"	"0.000011"	"29000"	"4.3e+08"	B+	"7.9286411"	"13.0677952"	"3d6.(3F2).4p"	"y 4G*"	"9/2"	"3d6.(3F2).4d"	"4H"	"11/2"	10	12		"T6892c83"	"L18349c139"	
