element	sp_num	obs_wl_air(nm)	ritz_wl_air(nm)	intens	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	conf_i	term_i	J_i	conf_k	term_k	J_k	g_i	g_k	Type	tp_ref	line_ref	
Al	2	"280.5518"	"280.5522"	"150"	""		"13.841265"	"18.259255"	"3p2"	"1S"	"0"	"3s.11p"	"1P*"	"1"	1	3		""	"L4575"	
Al	2	"281.6185"	"281.6185"	"4000"	"3.57e+08"	A	"7.420705"	"11.821968"	"3s.3p"	"1P*"	"1"	"3s.4s"	"1S"	"0"	3	1		"c47,u24"	"L4575"	
Al	2	"282.0646"	"282.0641"	"125"	""		"13.256460"	"17.650770"	"3s.4p"	"1P*"	"1"	"3s.8s"	"1S"	"0"	3	1		""	"L4575"	
Al	3	""	"283.1706"	""	"7.15e+05"	B+	"22.122926"	"26.500065"	"2p6.5p"	"2P*"	"1/2"	"2p6.8d"	"2D"	"3/2"	2	4		"c32"	""	
Al	3	""	"283.4669"	"*"	"1.35e+05"	B	"22.127500"	"26.500065"	"2p6.5p"	"2P*"	"3/2"	"2p6.8d"	"2D"	"3/2"	4	4		"c32"	""	
Al	3	""	"283.4669"	"*"	"8.13e+05"	B+	"22.127500"	"26.500065"	"2p6.5p"	"2P*"	"3/2"	"2p6.8d"	"2D"	"5/2"	4	6		"c32"	""	
Al	1	"283.7856"	"283.78563"	"2"	""		"4.0214836"	"8.3891377"	"3s2.3d"	"2D"	"3/2"	"3s.3p.(3P*).3d"	"2D*"	"5/2"	4	6		""	"L4737"	
Al	1	"283.7963"	"283.79645"	"7"	""		"4.0216502"	"8.3891377"	"3s2.3d"	"2D"	"5/2"	"3s.3p.(3P*).3d"	"2D*"	"5/2"	6	6		""	"L4737"	
Al	1	"284.0099"	"284.01002"	"7"	""		"4.0214836"	"8.3856871"	"3s2.3d"	"2D"	"3/2"	"3s.3p.(3P*).3d"	"2D*"	"3/2"	4	4		""	"L4737"	
Al	1	"284.0205"	"284.02086"	"2"	""		"4.0216502"	"8.3856871"	"3s2.3d"	"2D"	"5/2"	"3s.3p.(3P*).3d"	"2D*"	"3/2"	6	4		""	"L4737"	
Al	2	"286.8494"	"286.8494"	"1000"	""		"13.649399"	"17.970406"	"3s.3d"	"1D"	"2"	"3s.9p"	"1P*"	"1"	5	3		""	"L4575"	
Al	1	"286.892"	"286.8902"	"1"	""		"5.6221371"	"9.94253"	"3s2.6d"	"2D"	"5/2"	"3s.3p.(3P*).5d"	"2D*"	"5/2"	6	6		""	"L3514"	
Al	1	"287.157"	"287.1578"	"2"	""		"5.6219600"	"9.93833"	"3s2.6d"	"2D"	"3/2"	"3s.3p.(3P*).5d"	"2D*"	"3/2"	4	4		""	"L3514"	
Al	3	""	"287.6819"	""	"9.61e+05"	B+	"21.156335"	"25.464838"	"2p6.5s"	"2S"	"1/2"	"2p6.7p"	"2P*"	"3/2"	2	4		"c32"	""	
Al	3	""	"287.7815"	""	"1.03e+06"	B+	"21.156335"	"25.463347"	"2p6.5s"	"2S"	"1/2"	"2p6.7p"	"2P*"	"1/2"	2	2		"c32"	""	
Al	2	"288.1450"	"288.1446"	"500"	""		"13.649399"	"17.950984"	"3s.3d"	"1D"	"2"	"3s.8f"	"1F*"	"3"	5	7		""	"L4575"	
Al	2	"288.4106"	"288.4109"	"10"	""		"13.841265"	"18.138878"	"3p2"	"1S"	"0"	"3s.10p"	"1P*"	"1"	1	3		""	"L4575"	
Al	1	"289.4228"	"289.4227"	"3"	""		"5.4762391"	"9.758828"	"3s2.5d"	"2D"	"5/2"	"3s.3p.(3P*).4d"	"2F*"	"7/2"	6	8		""	"L4737"	
Al	2	"290.2141"	"290.2143"	""	""		"11.316596"	"15.5875046"	"3s.4s"	"3S"	"1"	"3s.5p"	"3P*"	"2"	3	5		""	"L3515"	
Al	1	"290.2258"	"290.2258"	"2"	""		"5.4759355"	"9.746674"	"3s2.5d"	"2D"	"3/2"	"3s.3p.(3P*).4d"	"2F*"	"5/2"	4	6		""	"L4737"	
Al	2	"290.3225"	"290.3228"	""	""		"11.316596"	"15.5859083"	"3s.4s"	"3S"	"1"	"3s.5p"	"3P*"	"1"	3	3		""	"L3515"	
Al	2	"290.3718"	"290.3708"	""	""		"11.316596"	"15.585203"	"3s.4s"	"3S"	"1"	"3s.5p"	"3P*"	"0"	3	1		""	"L3515"	
Al	3	"290.705"	"290.6900"	"10*"	""		"20.781332"	"25.045252"	"2p6.4f"	"2F*"	"5/2"	"2p6.6g"	"2G"	"7/2"	6	8		""	"L3473"	
Al	3	"290.705"	"290.6953"	"10*"	""		"20.781409"	"25.045252"	"2p6.4f"	"2F*"	"7/2"	"2p6.6g"	"2G"	"9/2"	8	10		""	"L3473"	
Al	3	"290.705"	"290.6953"	"10*"	""		"20.781409"	"25.045252"	"2p6.4f"	"2F*"	"7/2"	"2p6.6g"	"2G"	"7/2"	8	8		""	"L3473"	
