element	sp_num	obs_wl_air(nm)	unc_obs_wl	ritz_wl_air(nm)	unc_ritz_wl	intens	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	conf_i	term_i	J_i	conf_k	term_k	J_k	g_i	g_k	Type	tp_ref	line_ref	
Na	1	""	""	"247.554619"	"0.000012"	""	"1.94e+04"	C+'	"0.000000000"	"5.00684459"	"2p6.3s"	"2S"	"1/2"	"2p6.11p"	"2P*"	"1/2"	2	2		"T76n,T817"	""	
Na	1	""	""	"249.071261"	"0.000013"	""	"1.89e+04"	D+	"0.000000000"	"4.97635910"	"2p6.3s"	"2S"	"1/2"	"2p6.10p"	"2P*"	"3/2"	2	4		"T76n"	""	
Na	1	""	""	"249.072707"	"0.000013"	""	"1.89e+04"	D+	"0.000000000"	"4.97633022"	"2p6.3s"	"2S"	"1/2"	"2p6.10p"	"2P*"	"1/2"	2	2		"T76n"	""	
Na	2	"249.3149"	"0.0003"	"249.3148"	"0.0009"	"1000"	"4.15e+08"	A	"33.322360"	"38.293859"	"2s2.2p5.3s"	"1P*"	"1"	"2s2.2p5.3p"	"1S"	"0"	3	1		"c49,T6036"	"L914"	
Na	2	"249.4661"	"0.0003"	""	""	"130"	""		""	""	""	""	""	""	""	""				""	"L914"	
Na	3	"249.7022"	"0.0005"	"249.7015"	"0.0018"	"25"	"1.99e+08"	A	"45.397361"	"50.361160"	"2s2.2p4.(3P).3s"	"4P"	"5/2"	"2s2.2p4.(3P).3p"	"4P*"	"5/2"	6	6		"c51,T7317"	"L1882"	
Na	2	"249.784"	"0.010"	""	""	"130"	""		""	""	""	""	""	""	""	""				""	"L914"	
Na	2	"249.8124"	"0.0003"	""	""	"70"	""		""	""	""	""	""	""	""	""				""	"L914"	
Na	2	"250.2839"	"0.0003"	"250.2838"	"0.0009"	"300"	"1.2e+07"	E	"36.354688"	"41.306940"	"2s2.2p5.3p"	"3S"	"1"	"2s2.2p5.(2P*<1/2>).3d"	"2[3/2]*"	"1"	3	3		"T6036c80"	"L914"	
Na	2	"250.4285"	"0.0003"	""	""	"25"	""		""	""	""	""	""	""	""	""				""	"L914"	
Na	2	"250.4791"	"0.0003"	"250.4773"	"0.0009"	"25"	""		"40.993732"	"45.942159?"	"2s2.2p5.(2P*<3/2>).3d"	"2[1/2]*"	"1"	"2s2.2p5.(2P*<1/2>).6f"	"2[5/2]"	"2"	3	5		""	"L914"	
Na	2	"250.6301"	"0.0003"	"250.6302"	"0.0009"	"450"	"2.7e+07"	C+	"36.354688"	"41.300096"	"2s2.2p5.3p"	"3S"	"1"	"2s2.2p5.(2P*<1/2>).4s"	"2[1/2]*"	"1"	3	3		"T7663"	"L914"	
