element	sp_num	obs_wl_air(nm)	ritz_wl_air(nm)	intens	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	conf_i	term_i	J_i	conf_k	term_k	J_k	g_i	g_k	Type	tp_ref	line_ref	
Si	2	""	"264.5538"	""	"8.48e+06"	D	"10.390118"	"15.075262"	"3s.3p2"	"2P"	"1/2"	"3s.3p.(3P*).4s"	"2P*"	"3/2"	2	4		"T6527c4,LS"	""	
Si	3	"265.551"	"265.5520"	"14"	"1.35e+08"	B	"25.395443"	"30.062978"	"3s.4f"	"1F*"	"3"	"3s.6g"	"1G"	"4"	7	9		"T6298c4"	"L4833"	
Si	2	""	"265.5805"	""	"3.36e+07"	D+	"10.390118"	"15.057152"	"3s.3p2"	"2P"	"1/2"	"3s.3p.(3P*).4s"	"2P*"	"1/2"	2	2		"T6527c4,LS"	""	
Si	2	""	"265.9779"	""	"4.17e+07"	D+	"10.415201"	"15.075262"	"3s.3p2"	"2P"	"3/2"	"3s.3p.(3P*).4s"	"2P*"	"3/2"	4	4		"T6527c4,LS"	""	
Si	2	""	"267.0156"	""	"1.65e+07"	D	"10.415201"	"15.057152"	"3s.3p2"	"2P"	"3/2"	"3s.3p.(3P*).4s"	"2P*"	"1/2"	4	2		"T6527c4,LS"	""	
Si	2	""	"267.7906"	""	"1.77e+07"	C	"10.066443"	"14.694962"	"3s2.4p"	"2P*"	"1/2"	"3s2.6d"	"2D"	"3/2"	2	4		"T7166"	""	
Si	2	"268.221"	"268.2216"	"10w"	"3.49e+06"	D+	"10.073880"	"14.694962"	"3s2.4p"	"2P*"	"3/2"	"3s2.6d"	"2D"	"3/2"	4	4		"T7166"	"L3541"	
Si	3	""	"271.2525"	""	"2.99e+02"	B+	"15.152669"	"19.722118"	"3p2"	"1D"	"2"	"3s.4s"	"1S"	"0"	5	1	E2	"c44"	""	
Si	2	""	"272.2249"	""	"1.56e+07"	E	"10.066443"	"14.619572"	"3s2.4p"	"2P*"	"1/2"	"3s2.7s"	"2S"	"1/2"	2	2		"T7166"	""	
Si	2	""	"272.6702"	""	"3.17e+07"	D	"10.073880"	"14.619572"	"3s2.4p"	"2P*"	"3/2"	"3s2.7s"	"2S"	"1/2"	4	2		"T7166"	""	
Si	2	""	"273.6611"	""	"1.30e+00"	D+	"5.309535"	"9.838769"	"3s.3p2"	"4P"	"1/2"	"3s2.3d"	"2D"	"5/2"	2	6	E2	"c22"	""	
Si	2	""	"273.7850"	""	"1.28e+00"	D+	"5.309535"	"9.836720"	"3s.3p2"	"4P"	"1/2"	"3s2.3d"	"2D"	"3/2"	2	4	E2	"c22"	""	
Si	3	""	"276.8929"	""	"6.16e+06"	D	"26.598599"	"31.074972"	"3s.5p"	"1P*"	"1"	"3s.7d"	"1D"	"2"	3	5		"T6298c4"	""	
Si	3	""	"277.2603"	""	"6.25e-03"	C	"16.081798"	"20.552241"	"3p2"	"3P"	"0"	"3s.3d"	"1D"	"2"	1	5	E2	"c44"	""	
Si	3	""	"278.2908"	""	"4.56e-03"	D+	"16.098353"	"20.552241"	"3p2"	"3P"	"1"	"3s.3d"	"1D"	"2"	3	5	M1	"c44"	""	
Si	3	""	"278.2908"	""	"1.06e-04"	D+	"16.098353"	"20.552241"	"3p2"	"3P"	"1"	"3s.3d"	"1D"	"2"	3	5	E2	"c44"	""	
Si	3	""	"278.9786"	""	"1.01e-05"	D	"20.552241"	"24.995150"	"3s.3d"	"1D"	"2"	"3s.4d"	"3D"	"3"	5	7	E2	"c44"	""	
Si	3	""	"278.9786"	""	"2.90e-05"	E	"20.552241"	"24.995150"	"3s.3d"	"1D"	"2"	"3s.4d"	"3D"	"3"	5	7	M1	"c44"	""	
Si	3	""	"278.9879"	""	"7.37e-06"	E	"20.552241"	"24.995001"	"3s.3d"	"1D"	"2"	"3s.4d"	"3D"	"2"	5	5	M1	"c44"	""	
Si	3	""	"278.9879"	""	"3.38e-04"	D+	"20.552241"	"24.995001"	"3s.3d"	"1D"	"2"	"3s.4d"	"3D"	"2"	5	5	E2	"c44"	""	
Si	3	""	"278.9922"	""	"6.62e-05"	E	"20.552241"	"24.994933"	"3s.3d"	"1D"	"2"	"3s.4d"	"3D"	"1"	5	3	M1	"c44"	""	
Si	3	""	"278.9922"	""	"1.43e-05"	D	"20.552241"	"24.994933"	"3s.3d"	"1D"	"2"	"3s.4d"	"3D"	"1"	5	3	E2	"c44"	""	
Si	3	""	"279.8593"	""	"8.21e+05"	D	"25.395443"	"29.824370"	"3s.4f"	"1F*"	"3"	"3s.6d"	"1D"	"2"	7	5		"T6298c4"	""	
Si	3	""	"280.3084"	""	"8.85e-03"	C	"16.130409"	"20.552241"	"3p2"	"3P"	"2"	"3s.3d"	"1D"	"2"	5	5	E2	"c44"	""	
Si	3	""	"280.3084"	""	"1.34e-02"	D+	"16.130409"	"20.552241"	"3p2"	"3P"	"2"	"3s.3d"	"1D"	"2"	5	5	M1	"c44"	""	
Si	3	""	"281.1702"	""	"5.47e+04"	E	"25.978583"	"30.386863"	"3s.4f"	"3F*"	"2"	"3p.4p"	"3D"	"3"	5	7		"T6298c4,LS"	""	
Si	3	""	"281.3912"	""	"1.94e+06"	D+	"25.982046"	"30.386863"	"3s.4f"	"3F*"	"3"	"3p.4p"	"3D"	"3"	7	7		"T6298c4,LS"	""	
Si	3	""	"281.4433"	""	"1.20e+06"	D+	"25.420367"	"29.824370"	"3p.3d"	"1D*"	"2"	"3s.6d"	"1D"	"2"	5	5		"T6298c4"	""	
