element	sp_num	obs_wl_air(nm)	unc_obs_wl	ritz_wl_air(nm)	unc_ritz_wl	intens	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	conf_i	term_i	J_i	conf_k	term_k	J_k	g_i	g_k	Type	tp_ref	line_ref	
Ca	3	"440.6291"	"0.0018"	"440.6286"	"0.0010"	"700"	"2.19e+08"	B	"40.678098"	"43.491111"	"3s2.3p5.(2P*<1/2>).4d"	"2[5/2]*"	"2"	"3s2.3p5.(2P*<1/2>).4f"	"2[7/2]"	"3"	5	7		"u33"	"L1405"	
Ca	3	"441.3736"	"0.0018"	"441.3732"	"0.0008"	"80"	""		"40.678098"	"43.486365"	"3s2.3p5.(2P*<1/2>).4d"	"2[5/2]*"	"2"	"3s2.3p5.(2P*<1/2>).4f"	"2[5/2]"	"3"	5	7		""	"L1405"	
Ca	3	"442.4326"	"0.0018"	"442.4322"	"0.0014"	"13"	""		"42.055203"	"44.856749"	"3s2.3p5.(2P*<3/2>).5p"	"2[1/2]"	"1"	"3s2.3p5.(2P*<3/2>).5d"	"2[3/2]*"	"1"	3	3		""	"L1405"	
Ca	1	"442.544"	""	"442.5437"	""	"25"	"4.98e+07"	C	"1.8793402"	"4.6801799"	"3p6.4s.4p"	"3P*"	"0"	"3p6.4s.4d"	"3D"	"1"	1	3		"T8043"	"L6097"	
Ca	3	"443.1298"	"0.0018"	"443.1290"	"0.0010"	"600"	"1.90e+08"	B	"40.352848"	"43.149989"	"3s2.3p5.(2P*<3/2>).4d"	"2[5/2]*"	"2"	"3s2.3p5.(2P*<3/2>).4f"	"2[7/2]"	"3"	5	7		"u33"	"L1405"	
Ca	1	"443.496"	""	"443.4957"	""	"26"	"6.7e+07"	C	"1.8858075"	"4.6806350"	"3p6.4s.4p"	"3P*"	"1"	"3p6.4s.4d"	"3D"	"2"	3	5		"T8043"	"L6097"	
Ca	1	"443.569"	""	"443.5679"	""	"25"	"3.42e+07"	C	"1.8858075"	"4.6801799"	"3p6.4s.4p"	"3P*"	"1"	"3p6.4s.4d"	"3D"	"1"	3	3		"T8043"	"L6097"	
Ca	1	"445.478"	""	"445.4779"	""	"30"	"8.7e+07"	C	"1.8989349"	"4.6813270"	"3p6.4s.4p"	"3P*"	"2"	"3p6.4s.4d"	"3D"	"3"	5	7		"T8043"	"L6097"	
Ca	1	"445.589"	""	"445.5887"	""	"28"	"2.0e+07"	C	"1.8989349"	"4.6806350"	"3p6.4s.4p"	"3P*"	"2"	"3p6.4s.4d"	"3D"	"2"	5	5		"T8043"	"L6097"	
Ca	1	"445.661"	""	"445.6616"	""	"20"	"2.45e+06"	C+	"1.8989349"	"4.6801799"	"3p6.4s.4p"	"3P*"	"2"	"3p6.4s.4d"	"3D"	"1"	5	3		"T539n,T654n,LS"	"L6097"	
Ca	2	"447.204"	""	""	""	"20"	""		""	""	""	""	""	""	""	""				""	"L7323"	
Ca	2	"447.923"	""	""	""	"10"	""		""	""	""	""	""	""	""	""				""	"L7323"	
Ca	3	"448.4396"	"0.0018"	"448.4402"	"0.0010"	"70"	"2.13e+07"	B	"40.742048"	"43.506060"	"3s2.3p5.(2P*<1/2>).4d"	"2[3/2]*"	"2"	"3s2.3p5.(2P*<1/2>).4f"	"2[5/2]"	"2"	5	5		"u33"	"L1405"	
Ca	3	"448.4950"	"0.0018"	"448.4948"	"0.0008"	"150"	"3.7e+07"	B	"40.352848"	"43.116524"	"3s2.3p5.(2P*<3/2>).4d"	"2[5/2]*"	"2"	"3s2.3p5.(2P*<3/2>).4f"	"2[5/2]"	"2"	5	5		"u33"	"L1405"	
Ca	2	"448.918"	""	""	""	"20"	""		""	""	""	""	""	""	""	""				""	"L7323"	
Ca	3	"449.5963"	"0.0018"	"449.5993"	"0.0024"	"19"	"2.3e+06"	C	"40.252768"	"43.009655"	"3s2.3p5.(2P*<3/2>).4d"	"2[7/2]*"	"3"	"3s2.3p5.(2P*<3/2>).4f"	"2[3/2]"	"2"	7	5		"u33"	"L1405"	
Ca	3	"449.9884"	"0.0018"	"449.9885"	"0.0010"	"1000"	"2.27e+08"	B	"40.739814"	"43.494316"	"3s2.3p5.(2P*<1/2>).4d"	"2[5/2]*"	"3"	"3s2.3p5.(2P*<1/2>).4f"	"2[7/2]"	"4"	7	9		"u33"	"L1405"	
Ca	3	"450.5131"	"0.0018"	"450.5127"	"0.0014"	"31"	"1.09e+07"	B	"40.739814"	"43.491111"	"3s2.3p5.(2P*<1/2>).4d"	"2[5/2]*"	"3"	"3s2.3p5.(2P*<1/2>).4f"	"2[7/2]"	"3"	7	7		"u33"	"L1405"	
Ca	3	"450.8787"	"0.0018"	"450.8788"	"0.0014"	"80"	""		"40.742048"	"43.491111"	"3s2.3p5.(2P*<1/2>).4d"	"2[3/2]*"	"2"	"3s2.3p5.(2P*<1/2>).4f"	"2[7/2]"	"3"	5	7		""	"L1405"	
Ca	3	"451.2911"	"0.0018"	"451.2912"	"0.0010"	"60"	"1.0e+07"	B	"40.739814"	"43.486365"	"3s2.3p5.(2P*<1/2>).4d"	"2[5/2]*"	"3"	"3s2.3p5.(2P*<1/2>).4f"	"2[5/2]"	"3"	7	7		"u33"	"L1405"	
Ca	3	"451.6585"	"0.0018"	"451.6586"	"0.0010"	"700"	"2.01e+08"	B	"40.742048"	"43.486365"	"3s2.3p5.(2P*<1/2>).4d"	"2[3/2]*"	"2"	"3s2.3p5.(2P*<1/2>).4f"	"2[5/2]"	"3"	5	7		"u33"	"L1405"	
Ca	1	"452.694"	""	"452.6928"	""	"23"	"4.1e+07"	D	"2.7090094"	"5.4470569"	"3p6.3d.4s"	"1D"	"2"	"3p6.4s.np"	"w 1P*"	"1"	5	3		"T539n"	"L6097"	
Ca	3	"455.3295"	"0.0018"	"455.3291"	"0.0010"	"70"	"4.9e+07"	B	"42.055203"	"44.777398"	"3s2.3p5.(2P*<3/2>).5p"	"2[1/2]"	"1"	"3s2.3p5.(2P*<3/2>).6s"	"2[3/2]*"	"2"	3	5		"u33"	"L1405"	
Ca	3	"455.4652"	"0.0018"	"455.4661"	"0.0008"	"35"	""		"40.352848"	"43.074224"	"3s2.3p5.(2P*<3/2>).4d"	"2[5/2]*"	"2"	"3s2.3p5.(2P*<3/2>).4f"	"2[5/2]"	"3"	5	7		""	"L1405"	
Ca	3	"457.2124"	"0.0018"	"457.2125"	"0.0010"	"700"	"1.80e+08"	B	"40.441949"	"43.152931"	"3s2.3p5.(2P*<3/2>).4d"	"2[5/2]*"	"3"	"3s2.3p5.(2P*<3/2>).4f"	"2[7/2]"	"4"	7	9		"u33"	"L1405"	
Ca	1	"457.855"	""	"457.8551"	""	"22"	"1.76e+07"	C	"2.5212633"	"5.2284402"	"3p6.3d.4s"	"3D"	"1"	"3p6.4s.4f"	"3F*"	"2"	3	5		"T539n,LS"	"L6097"	
Ca	1	"458.140"	""	"458.1395"	""	"23"	"2.09e+07"	C	"2.5229867"	"5.2284828"	"3p6.3d.4s"	"3D"	"2"	"3p6.4s.4f"	"3F*"	"3"	5	7		"T539n,LS"	"L6097"	
Ca	1	"458.147"	""	"458.1467"	""	"23"	"3.5e+06"	D	"2.5229867"	"5.2284402"	"3p6.3d.4s"	"3D"	"2"	"3p6.4s.4f"	"3F*"	"2"	5	5		"T539n,T866,LS"	"L6097"	
Ca	1	"458.587"	""	"458.5865"	""	"24"	"2.29e+07"	C	"2.5256821"	"5.2285409"	"3p6.3d.4s"	"3D"	"3"	"3p6.4s.4f"	"3F*"	"4"	7	9		"T539n,LS"	"L6097"	
Ca	1	"458.596"	""	"458.5964"	""	"24"	"2.5e+06"	D	"2.5256821"	"5.2284828"	"3p6.3d.4s"	"3D"	"3"	"3p6.4s.4f"	"3F*"	"3"	7	7		"T539n,T866,LS"	"L6097"	
Ca	1	""	""	"458.6036"	""	""	"9.8e+04"	E	"2.5256821"	"5.2284402"	"3p6.3d.4s"	"3D"	"3"	"3p6.4s.4f"	"3F*"	"2"	7	5		"T654"	""	
Ca	3	"462.9485"	"0.0018"	"462.9482"	"0.0009"	"50"	"3.7e+06"	C	"40.005148"	"42.682542"	"3s2.3p5.(2P*<3/2>).4d"	"2[1/2]*"	"0"	"3s2.3p5.(2P*<1/2>).5p"	"2[1/2]"	"1"	1	3		"u33"	"L1405"	
Ca	3	"463.2869"	"0.0018"	"463.2855"	"0.0011"	"80"	"6.0e+07"	B	"42.623903"	"45.299348"	"3s2.3p5.(2P*<1/2>).5p"	"2[3/2]"	"1"	"3s2.3p5.(2P*<1/2>).5d"	"2[3/2]*"	"1"	3	3		"u33"	"L1405"	
Ca	3	"466.7254"	"0.0018"	"466.7269"	"0.0009"	"50"	""		"42.353183"	"45.008901"	"3s2.3p5.(2P*<3/2>).5p"	"2[3/2]"	"2"	"3s2.3p5.(2P*<1/2>).5d"	"2[3/2]*"	"2"	5	5		""	"L1405"	
Ca	1	"468.527"	""	"468.5268"	""	"20"	"8.0e+06"	D	"2.9325120"	"5.5780280"	"3p6.4s.4p"	"1P*"	"1"	"3p6.4s.6d"	"1D"	"2"	3	5		"T866"	"L6097"	
Ca	3	"470.3604"	"0.0018"	"470.3601"	"0.0007"	"22"	""		"40.047337"	"42.682542"	"3s2.3p5.(2P*<3/2>).4d"	"2[1/2]*"	"1"	"3s2.3p5.(2P*<1/2>).5p"	"2[1/2]"	"1"	3	3		""	"L1405"	
Ca	3	"470.8829"	"0.0018"	"470.8836"	"0.0009"	"150"	"3.5e+07"	B	"40.441949"	"43.074224"	"3s2.3p5.(2P*<3/2>).4d"	"2[5/2]*"	"3"	"3s2.3p5.(2P*<3/2>).4f"	"2[5/2]"	"3"	7	7		"u33"	"L1405"	
Ca	3	"471.6269"	"0.0018"	"471.6287"	"0.0011"	"130"	"2.8e+07"	B	"40.441949"	"43.070066"	"3s2.3p5.(2P*<3/2>).4d"	"2[5/2]*"	"3"	"3s2.3p5.(2P*<3/2>).4f"	"2[9/2]"	"4"	7	9		"u33"	"L1405"	
Ca	2	"471.674"	""	""	""	"30"	""		""	""	""	""	""	""	""	""				""	"L7323"	
Ca	2	"472.103"	""	""	""	"40"	""		""	""	""	""	""	""	""	""				""	"L7323"	
Ca	3	"472.7634"	"0.0018"	"472.7648"	"0.0009"	"48"	"2.6e+06"	C	"40.047337"	"42.669138"	"3s2.3p5.(2P*<3/2>).4d"	"2[1/2]*"	"1"	"3s2.3p5.(2P*<1/2>).5p"	"2[3/2]"	"2"	3	5		"u33"	"L1405"	
Ca	3	"473.6681"	"0.0018"	"473.6673"	"0.0011"	"60"	"5.8e+07"	B	"42.682542"	"45.299348"	"3s2.3p5.(2P*<1/2>).5p"	"2[1/2]"	"1"	"3s2.3p5.(2P*<1/2>).5d"	"2[3/2]*"	"1"	3	3		"u33"	"L1405"	
Ca	2	"479.997"	""	""	""	"40"	""		""	""	""	""	""	""	""	""				""	"L7323"	
Ca	3	"482.7263"	"0.0018"	"482.7250"	"0.0023"	"36"	"4.1e+06"	B	"40.441949"	"43.009655"	"3s2.3p5.(2P*<3/2>).4d"	"2[5/2]*"	"3"	"3s2.3p5.(2P*<3/2>).4f"	"2[3/2]"	"2"	7	5		"u33"	"L1405"	
Ca	3	"485.1929"	"0.0018"	"485.1932"	"0.0012"	"70"	"9.7e+07"	B	"42.247457"	"44.802100"	"3s2.3p5.(2P*<3/2>).5p"	"2[5/2]"	"2"	"3s2.3p5.(2P*<3/2>).6s"	"2[3/2]*"	"1"	5	3		"u33"	"L1405"	
Ca	3	"485.2330"	"0.0018"	"485.2340"	"0.0007"	"36"	""		"40.128113"	"42.682542"	"3s2.3p5.(2P*<3/2>).4d"	"2[3/2]*"	"2"	"3s2.3p5.(2P*<1/2>).5p"	"2[1/2]"	"1"	5	3		""	"L1405"	
Ca	3	"485.9167"	"0.0018"	"485.9165"	"0.0009"	"90"	"1.09e+08"	B	"42.226557"	"44.777398"	"3s2.3p5.(2P*<3/2>).5p"	"2[5/2]"	"3"	"3s2.3p5.(2P*<3/2>).6s"	"2[3/2]*"	"2"	7	5		"u33"	"L1405"	
Ca	1	"487.813"	""	"487.8126"	""	"25"	"1.88e+07"	C	"2.7090094"	"5.2499357"	"3p6.3d.4s"	"1D"	"2"	"3p6.4s.4f"	"1F*"	"3"	5	7		"T1338"	"L6097"	
Ca	3	"488.9826"	"0.0018"	"488.9823"	"0.0014"	"70"	"1.15e+08"	B	"42.623903"	"45.158751"	"3s2.3p5.(2P*<1/2>).5p"	"2[3/2]"	"1"	"3s2.3p5.(2P*<1/2>).6s"	"2[1/2]*"	"0"	3	1		"u33"	"L1405"	
Ca	3	"489.9306"	"0.0018"	"489.9308"	"0.0010"	"43"	"2.07e+07"	B	"42.247457"	"44.777398"	"3s2.3p5.(2P*<3/2>).5p"	"2[5/2]"	"2"	"3s2.3p5.(2P*<3/2>).6s"	"2[3/2]*"	"2"	5	5		"u33"	"L1405"	
Ca	3	"491.9266"	"0.0018"	"491.9279"	"0.0012"	"70"	"8.2e+07"	B	"42.055203"	"44.574873"	"3s2.3p5.(2P*<3/2>).5p"	"2[1/2]"	"1"	"3s2.3p5.(2P*<3/2>).5d"	"2[3/2]*"	"2"	3	5		"u33"	"L1405"	
Ca	3	"495.0527"	"0.0018"	"495.057"	"0.003"	"70"	"1.22e+08"	B	"42.669138"	"45.172880"	"3s2.3p5.(2P*<1/2>).5p"	"2[3/2]"	"2"	"3s2.3p5.(2P*<1/2>).6s"	"2[1/2]*"	"1"	5	3		"u33"	"L1405"	
Ca	2	"500.148"	""	"500.1479"	""	"70"	"2.0e+07"	D	"7.505138"	"9.983397"	"3p6.5p"	"2P*"	"1/2"	"3p6.6d"	"2D"	"3/2"	2	4		"T1619CA,LS"	"L7323"	
Ca	3	"500.8945"	"0.0016"	"500.8939"	"0.0010"	"90"	"1.38e+08"	B	"42.055203"	"44.529772"	"3s2.3p5.(2P*<3/2>).5p"	"2[1/2]"	"1"	"3s2.3p5.(2P*<3/2>).5d"	"2[1/2]*"	"1"	3	3		"u33"	"L1405"	
Ca	3	"501.4352"	"0.0016"	"501.4366"	"0.0010"	"50"	""		"40.678098"	"43.149989"	"3s2.3p5.(2P*<1/2>).4d"	"2[5/2]*"	"2"	"3s2.3p5.(2P*<3/2>).4f"	"2[7/2]"	"3"	5	7		""	"L1405"	
Ca	2	"501.997"	""	"501.9971"	""	"80"	"2.3e+07"	D	"7.514841"	"9.983971"	"3p6.5p"	"2P*"	"3/2"	"3p6.6d"	"2D"	"5/2"	4	6		"T1619CA,LS"	"L7323"	
Ca	2	"502.114"	""	"502.1138"	""	"40"	"3.9e+06"	D	"7.514841"	"9.983397"	"3p6.5p"	"2P*"	"3/2"	"3p6.6d"	"2D"	"3/2"	4	4		"T1619CA,LS"	"L7323"	
Ca	1	"504.162"	""	"504.1618"	""	"23"	"3.3e+07"	D	"2.7090094"	"5.1675384"	"3p6.3d.4s"	"1D"	"2"	"3p6.4s.6p"	"1P*"	"1"	5	3		"T866"	"L6097"	
Ca	3	"504.6917"	"0.0016"	"504.6923"	"0.0010"	"60"	"4.1e+07"	B	"42.226557"	"44.682502"	"3s2.3p5.(2P*<3/2>).5p"	"2[5/2]"	"3"	"3s2.3p5.(2P*<3/2>).5d"	"2[5/2]*"	"3"	7	7		"u33"	"L1405"	
Ca	3	"505.0071"	"0.0016"	"505.0089"	"0.0010"	"80"	"4.9e+07"	B	"40.662119"	"43.116524"	"3s2.3p5.(2P*<3/2>).4d"	"2[3/2]*"	"1"	"3s2.3p5.(2P*<3/2>).4f"	"2[5/2]"	"2"	3	5		"u33"	"L1405"	
Ca	3	"506.3722"	"0.0016"	"506.3721"	"0.0013"	"60"	"1.68e+08"	B	"42.055203"	"44.503001"	"3s2.3p5.(2P*<3/2>).5p"	"2[1/2]"	"1"	"3s2.3p5.(2P*<3/2>).5d"	"2[1/2]*"	"0"	3	1		"u33"	"L1405"	
Ca	3	"508.3177"	"0.0016"	"508.3183"	"0.0010"	"38"	"8.7e+06"	B	"40.678098"	"43.116524"	"3s2.3p5.(2P*<1/2>).4d"	"2[5/2]*"	"2"	"3s2.3p5.(2P*<3/2>).4f"	"2[5/2]"	"2"	5	5		"u33"	"L1405"	
Ca	3	"511.2980"	"0.0016"	"511.2982"	"0.0010"	"38"	"3.2e+07"	B	"42.353183"	"44.777398"	"3s2.3p5.(2P*<3/2>).5p"	"2[3/2]"	"2"	"3s2.3p5.(2P*<3/2>).6s"	"2[3/2]*"	"2"	5	5		"u33"	"L1405"	
Ca	3	"513.7730"	"0.0016"	"513.7727"	"0.0011"	"60"	"7.1e+07"	B	"42.247457"	"44.659996"	"3s2.3p5.(2P*<3/2>).5p"	"2[5/2]"	"2"	"3s2.3p5.(2P*<3/2>).5d"	"2[5/2]*"	"2"	5	5		"u33"	"L1405"	
Ca	1	"518.885"	""	"518.8844"	""	"25"	"4.0e+07"	D	"2.9325120"	"5.3212844"	"3p6.4s.4p"	"1P*"	"1"	"3p6.4s.5d"	"1D"	"2"	3	5		"T866"	"L6097"	
