element	sp_num	obs_wl_air(nm)	ritz_wl_air(nm)	intens	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	conf_i	term_i	J_i	conf_k	term_k	J_k	g_i	g_k	Type	tp_ref	line_ref	
Mg	3	"343.076"	"343.0761"	"bl"	""		"69.42955"	"73.04241"	"2s2.2p5.(2P*<3/2>).4p"	"2[1/2]"	"1"	"2s2.2p5.(2P*<3/2>).5s"	"2[3/2]*"	"1"	3	3		""	"L1434"	
Mg	3	"343.4236"	"343.4238"	"1"	""		"66.35381"	"69.96302"	"2s2.2p5.3d"	"3D*"	"2"	"2s2.2p5.(2P*<1/2>).4p"	"2[3/2]"	"1"	5	3		""	"L1434"	
Mg	3	"343.8623"	"343.8632"	"1"	""		"66.04957"	"69.65416"	"2s2.2p5.3d"	"3F*"	"2"	"2s2.2p5.(2P*<3/2>).4p"	"2[5/2]"	"3"	5	7		""	"L1434"	
Mg	3	"344.4409"	"344.4414"	"8"	""		"65.83101"	"69.42955"	"2s2.2p5.3d"	"3P*"	"2"	"2s2.2p5.(2P*<3/2>).4p"	"2[1/2]"	"1"	5	3		""	"L6095"	
Mg	3	"346.7912"	"346.7917"	"8"	""		"66.08001"	"69.65416"	"2s2.2p5.3d"	"1F*"	"3"	"2s2.2p5.(2P*<3/2>).4p"	"2[5/2]"	"3"	7	7		""	"L1434"	
Mg	3	"347.3424"	"347.3423"	"3"	""		"69.42955"	"72.99804"	"2s2.2p5.(2P*<3/2>).4p"	"2[1/2]"	"1"	"2s2.2p5.(2P*<3/2>).5s"	"2[3/2]*"	"2"	3	5		""	"L1434"	
Mg	3	"349.7994"	"349.7998"	"7"	""		"66.47438"	"70.01779"	"2s2.2p5.3d"	"1P*"	"1"	"2s2.2p5.(2P*<1/2>).4p"	"2[1/2]"	"1"	3	3		""	"L1434"	
Mg	3	"351.5602"	"351.5602"	"8"	""		"66.23207"	"69.75775"	"2s2.2p5.3d"	"3D*"	"1"	"2s2.2p5.(2P*<3/2>).4p"	"2[3/2]"	"1"	3	3		""	"L6095"	
Mg	3	"353.491"	"353.4908"	"bl"	""		"69.79560"	"73.30202"	"2s2.2p5.(2P*<3/2>).4p"	"2[3/2]"	"2"	"2s2.2p5.(2P*<1/2>).5s"	"2[1/2]*"	"1"	5	3		""	"L1434"	
Mg	2	"353.4972"	"353.4970"	"7"	"5.80e+06"	B+	"9.995544"	"13.501904"	"2p6.4p"	"2P*"	"1/2"	"2p6.6d"	"2D"	"3/2"	2	4		"c31"	"L7414"	
Mg	2	""	"353.8789"	""	"1.15e+06"	B+	"9.999328"	"13.501904"	"2p6.4p"	"2P*"	"3/2"	"2p6.6d"	"2D"	"3/2"	4	4		"c31"	""	
Mg	2	"353.8813"	"353.8812"	"8"	"6.90e+06"	A	"9.999328"	"13.501882"	"2p6.4p"	"2P*"	"3/2"	"2p6.6d"	"2D"	"5/2"	4	6		"c31"	"L7414"	
Mg	2	"354.9516"	"354.9513"	"7"	"5.64e+06"	B	"9.995544"	"13.487538"	"2p6.4p"	"2P*"	"1/2"	"2p6.7s"	"2S"	"1/2"	2	2		"c31"	"L7414"	
Mg	3	"355.1638"	"355.1636"	"4"	""		"66.47438"	"69.96428"	"2s2.2p5.3d"	"1P*"	"1"	"2s2.2p5.(2P*<3/2>).4p"	"2[1/2]"	"0"	3	1		""	"L1434"	
Mg	3	"355.2933"	"355.2923"	"4"	""		"66.47438"	"69.96302"	"2s2.2p5.3d"	"1P*"	"1"	"2s2.2p5.(2P*<1/2>).4p"	"2[3/2]"	"1"	3	3		""	"L1434"	
Mg	2	"355.3366"	"355.3364"	"8"	"1.12e+07"	B	"9.999328"	"13.487538"	"2p6.4p"	"2P*"	"3/2"	"2p6.7s"	"2S"	"1/2"	4	2		"c31"	"L7414"	
Mg	3	"356.8385"	"356.8383"	"4"	""		"66.32207"	"69.79560"	"2s2.2p5.3d"	"3D*"	"3"	"2s2.2p5.(2P*<3/2>).4p"	"2[3/2]"	"2"	7	5		""	"L1434"	
Mg	3	"357.8273"	"357.8282"	"1"	""		"66.23207"	"69.69599"	"2s2.2p5.3d"	"3D*"	"1"	"2s2.2p5.(2P*<3/2>).4p"	"2[5/2]"	"2"	3	5		""	"L1434"	
Mg	3	"358.8694"	"358.8699"	"1"	""		"66.30389"	"69.75775"	"2s2.2p5.3d"	"1D*"	"2"	"2s2.2p5.(2P*<3/2>).4p"	"2[3/2]"	"1"	5	3		""	"L1434"	
Mg	3	"360.1288"	"360.1291"	"4"	""		"66.35381"	"69.79560"	"2s2.2p5.3d"	"3D*"	"2"	"2s2.2p5.(2P*<3/2>).4p"	"2[3/2]"	"2"	5	5		""	"L1434"	
