element	sp_num	obs_wl_air(nm)	unc_obs_wl	ritz_wl_air(nm)	unc_ritz_wl	intens	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	conf_i	term_i	J_i	conf_k	term_k	J_k	g_i	g_k	Type	tp_ref	line_ref	
K	2	"411.499"	"0.003"	"411.4946"	"0.0024"	"6"	"2.34e+08"		"20.238213"	"23.250385"	"3p5.4s"	"3P*"	"1"	"3p5.4p"	"3D"	"1"	3	3		"T8304"	"L3490"	
K	2	"413.472"	"0.003"	"413.4705"	"0.0024"	"7"	"2.31e+08"		"20.147767"	"23.145544"	"3p5.4s"	"3P*"	"2"	"3p5.4p"	"3D"	"2"	5	5		"T8304"	"L3490"	
K	2	"414.919"	"0.003"	"414.9086"	"0.0024"	"7bl*"	"1.68e+08"		"20.262998"	"23.250385"	"3p5.3d"	"3P*"	"0"	"3p5.4p"	"3D"	"1"	1	3		"T8304"	"L12188"	
K	2	"414.919"	"0.003"	"414.922"	"0.004"	"7bl*"	"4.41e+07"		"20.475420"	"23.462708"	"3p5.4s"	"3P*"	"0"	"3p5.4p"	"1P"	"1"	1	3		"T8304"	"L12188"	
K	2	"418.624"	"0.003"	"418.6232"	"0.0025"	"8"	"1.03e+09"		"20.147767"	"23.108646"	"3p5.4s"	"3P*"	"2"	"3p5.4p"	"3D"	"3"	5	7		"T8304"	"L3490"	
K	2	"420.949"	"0.003"	"420.950"	"0.003"	"4"	"4.37e+07"		"23.462708"	"26.407221"	"3p5.4p"	"1P"	"1"	"3p5.(2P*<3/2>).5s"	"2[3/2]*"	"1"	3	3		"T8304"	"L3490"	
K	2	"422.297"	"0.003"	"422.296"	"0.003"	"7"	"2.30e+08"		"20.638075"	"23.573202"	"3p5.4s"	"1P*"	"1"	"3p5.4p"	"3P"	"1"	3	3		"T8304"	"L3490"	
K	2	"422.567"	"0.003"	"422.566"	"0.003"	"7"	"9.42e+07"		"20.394409"	"23.327664"	"3p5.3d"	"3P*"	"1"	"3p5.4p"	"1D"	"2"	3	5		"T8304"	"L3490"	
K	2	"426.340"	"0.003"	"426.334"	"0.003"	"7"	"3.91e+08"		"20.238213"	"23.145544"	"3p5.4s"	"3P*"	"1"	"3p5.4p"	"3D"	"2"	3	5		"T8304"	"L3490"	
K	2	"428.489"	"0.003"	"428.481"	"0.003"	"3bl*"	"9.52e+06"		"23.462708"	"26.355470"	"3p5.4p"	"1P"	"1"	"3p5.(2P*<3/2>).5s"	"2[3/2]*"	"2"	3	5		"T8304"	"L12188"	
K	2	"428.489"	"0.003"	"428.490"	"0.003"	"3bl*"	"6.97e+06"		"23.514521"	"26.407221"	"3p5.4p"	"3P"	"2"	"3p5.(2P*<3/2>).5s"	"2[3/2]*"	"1"	5	3		"T8304"	"L12188"	
K	2	"428.870"	"0.003"	"428.867"	"0.003"	"4"	"1.16e+07"		"20.638075"	"23.528233"	"3p5.4s"	"1P*"	"1"	"3p5.4p"	"3P"	"0"	3	1		"T8304"	"L3490"	
K	2	"430.500"	"0.003"	"430.498"	"0.003"	"7"	"8.66e+07"		"20.448453"	"23.327664"	"3p5.3d"	"3P*"	"2"	"3p5.4p"	"1D"	"2"	5	5		"T8304"	"L3490"	
K	2	"430.527"	"0.003"	"430.531"	"0.003"	"0"	"4.52e+07"		"23.528233"	"26.407221"	"3p5.4p"	"3P"	"0"	"3p5.(2P*<3/2>).5s"	"2[3/2]*"	"1"	1	3		"T8304"	"L12188"	
K	2	"430.910"	"0.003"	"430.911"	"0.003"	"7"	"4.19e+08"		"20.638075"	"23.514521"	"3p5.4s"	"1P*"	"1"	"3p5.4p"	"3P"	"2"	3	5		"T8304"	"L3490"	
K	2	"434.003"	"0.003"	"434.000"	"0.003"	"5"	"6.52e+07"		"20.394409"	"23.250385"	"3p5.3d"	"3P*"	"1"	"3p5.4p"	"3D"	"1"	3	3		"T8304"	"L3490"	
K	2	"436.296"	"0.003"	"436.296"	"0.003"	"3"	"5.88e+07"		"23.514521"	"26.355470"	"3p5.4p"	"3P"	"2"	"3p5.(2P*<3/2>).5s"	"2[3/2]*"	"2"	5	5		"T8304"	"L3490"	
K	2	"438.816"	"0.003"	"438.816"	"0.003"	"7"	"1.80e+08"		"20.638075"	"23.462708"	"3p5.4s"	"1P*"	"1"	"3p5.4p"	"1P"	"1"	3	3		"T8304"	"L3490"	
K	2	"442.373"	"0.003"	"442.371"	"0.003"	"3"	"7.76e+06"		"20.448453"	"23.250385"	"3p5.3d"	"3P*"	"2"	"3p5.4p"	"3D"	"1"	5	3		"T8304"	"L3490"	
K	2	"445.500"	"0.003"	"445.498"	"0.003"	"2"	"2.93e+07"		"23.573202"	"26.355470"	"3p5.4p"	"3P"	"1"	"3p5.(2P*<3/2>).5s"	"2[3/2]*"	"2"	3	5		"T8304"	"L3490"	
K	2	"446.665"	"0.003"	"446.670"	"0.004"	"5"	"5.20e+07"		"20.475420"	"23.250385"	"3p5.4s"	"3P*"	"0"	"3p5.4p"	"3D"	"1"	1	3		"T8304"	"L3490"	
K	2	"450.533"	"0.003"	"450.525"	"0.006"	"6bl*"	"8.27e+04"		"26.658413"	"29.40963"	"3p5.(2P*<1/2>).5s"	"2[1/2]*"	"1"	"3p5.(2P*<3/2>).5f"	"2[3/2]"	"1"	3	3		"T8304"	"L12188"	
K	2	"450.533"	"0.003"	"450.539"	"0.003"	"6bl*"	"6.16e+07"		"20.394409"	"23.145544"	"3p5.3d"	"3P*"	"1"	"3p5.4p"	"3D"	"2"	3	5		"T8304"	"L12188"	
K	2	"459.565"	"0.003"	"459.567"	"0.003"	"5"	"1.24e+07"		"20.448453"	"23.145544"	"3p5.3d"	"3P*"	"2"	"3p5.4p"	"3D"	"2"	5	5		"T8304"	"L3490"	
K	2	"460.845"	"0.003"	"460.849"	"0.003"	"8"	"2.10e+08"		"20.638075"	"23.327664"	"3p5.4s"	"1P*"	"1"	"3p5.4p"	"1D"	"2"	3	5		"T8304"	"L3490"	
K	1	"464.1876"	""	"464.18750"	"0.00011"	"10"	"1.54e+02"	AAA	"0.00000000"	"2.6702462"	"3p6.4s"	"2S"	"1/2"	"3p6.3d"	"2D"	"3/2"	2	4	E2	"T5364"	"L6096"	
K	1	"464.2373"	""	"464.23725"	"0.00011"	"11"	"1.54e+02"	AAA	"0.00000000"	"2.6699600"	"3p6.4s"	"2S"	"1/2"	"3p6.3d"	"2D"	"5/2"	2	6	E2	"T5364"	"L6096"	
K	2	"465.938"	"0.003"	"465.942"	"0.003"	"5"	"1.49e+07"		"20.448453"	"23.108646"	"3p5.3d"	"3P*"	"2"	"3p5.4p"	"3D"	"3"	5	7		"T8304"	"L3490"	
K	1	"474.0914"	""	"474.092019"	"0.000016"	"4"	"8.0e+04"	E	"1.60995784350"	"4.22441928"	"3p6.4p"	"2P*"	"1/2"	"3p6.13s"	"2S"	"1/2"	2	2		"T1619extrap,LS"	"L6096"	
K	1	"474.4345"	""	"474.434024"	"0.000016"	"6"	"9.8e+04"	C	"1.60995784350"	"4.22253462"	"3p6.4p"	"2P*"	"1/2"	"3p6.11d"	"2D"	"3/2"	2	4		"T817LS"	"L6096"	
K	2	"474.492"	"0.003"	"474.482"	"0.003"	"4"	"4.28e+05"		"20.638075"	"23.250385"	"3p5.4s"	"1P*"	"1"	"3p5.4p"	"3D"	"1"	3	3		"T8304"	"L3490"	
