wavenumber_cm_inv,intensity
9188.803670,0.20044700
9188.813140,0.46150700
9188.822620,0.18764500
9188.832100,-0.15249300
9188.841580,0.52411000
9188.851050,0.82983200
9188.860530,0.66349500
9188.870010,0.87363400
9188.879480,0.47832700
9188.888960,0.01571070
9188.898440,0.27272300
9188.907920,-0.11124600
9188.917390,-0.33473200
9188.926870,0.57023600
9188.936350,0.66593400
9188.945820,0.42551300
9188.955300,1.18581000
9188.964780,1.05826000
9188.974260,0.12952100
9188.983730,0.11057600
9188.993210,-0.07355770
9189.002690,-0.41022300
9189.012160,0.48432600
9189.021640,1.30333000
9189.031120,1.05386000
9189.040590,0.90773400
9189.050070,0.92946200
9189.059550,0.40570700
9189.069030,-0.08512520
9189.078500,0.08735500
9189.087980,0.17975200
9189.097460,-0.30419100
9189.106930,-0.38829300
9189.116410,0.07346240
9189.125890,0.08086790
9189.135370,0.07317540
9189.144840,0.49953900
9189.154320,0.26913500
9189.163800,-0.40746700
9189.173270,-0.27144100
9189.182750,-0.01428460
9189.192230,-0.64387000
9189.201710,-1.08849000
9189.211180,-0.46257800
9189.220660,0.13684000
9189.230140,0.26253300
9189.239610,0.88709600
9189.249090,1.49627000
9189.258570,1.26426000
9189.268040,1.33992000
9189.277520,1.86500000
9189.287000,1.82169000
9189.296480,1.89666000
9189.305950,2.08705000
9189.315430,1.19761000
9189.324910,0.29006000
9189.334380,0.53128600
9189.343860,0.74834300
9189.353340,0.48162800
9189.362820,0.63849400
9189.372290,0.99005600
9189.381770,0.59678700
9189.391250,-0.03340130
9189.400720,0.06399020
9189.410200,-0.04999200
9189.419680,-0.88079000
9189.429160,-0.72125500
9189.438630,0.16023400
9189.448110,0.06376060
9189.457590,0.15440700
9189.467060,0.95799400
9189.476540,0.84596400
9189.486020,0.56814100
9189.495490,1.01620000
9189.504970,0.97742600
9189.514450,1.03592000
9189.523930,1.79689000
9189.533400,1.41820000
9189.542880,0.04082640
9189.552360,-0.43637200
9189.561830,-0.25071700
9189.571310,-0.07243820
9189.580790,0.03870230
9189.590270,-0.35321700
9189.599740,-0.53143800
9189.609220,0.14034200
9189.618700,0.44609300
9189.628170,0.40071300
9189.637650,0.71257800
9189.647130,0.21442600
9189.656610,-0.53290200
9189.666080,0.15943000
9189.675560,0.69406400
9189.685040,0.35392600
9189.694510,0.73887000
9189.703990,0.85061400
9189.713470,0.02125050
9189.722950,-0.24075600
9189.732420,-0.42305300
9189.741900,-0.78136100
9189.751380,-0.43602700
9189.760850,-0.42173300
9189.770330,-0.51596700
9189.779810,0.46469300
9189.789280,1.12459000
9189.798760,1.20065000
9189.808240,1.46533000
9189.817720,0.76849200
9189.827190,-0.19483100
9189.836670,0.19347200
9189.846150,0.70775600
9189.855620,0.63054300
9189.865100,0.59116100
9189.874580,0.37011500
9189.884060,0.06324390
9189.893530,-0.12094700
9189.903010,-0.28085500
9189.912490,-0.14066700
9189.921960,-0.00475503
9189.931440,-0.02872260
9189.940920,0.10093200
9189.950400,-0.31647700
9189.959870,-1.16909000
9189.969350,-1.26783000
9189.978830,-1.06768000
9189.988300,-1.09750000
9189.997780,-0.67449700
9190.007260,0.11869900
9190.016730,0.88887600
9190.026210,1.38642000
9190.035690,1.02826000
9190.045170,0.37301400
9190.054640,0.40519000
9190.064120,0.64268400
9190.073600,0.63341300
9190.083070,0.70712400
9190.092550,0.81901100
9190.102030,0.94556500
9190.111510,1.18383000
9190.120980,1.15990000
9190.130460,1.04632000
9190.139940,1.67335000
9190.149410,2.51775000
9190.158890,2.29113000
9190.168370,1.68813000
9190.177850,1.65724000
9190.187320,0.86376000
9190.196800,-0.74123300
9190.206280,-1.00304000
9190.215750,-0.38751800
9190.225230,-0.39968800
9190.234710,-0.13796900
9190.244180,0.14496300
9190.253660,-0.58344900
9190.263140,-0.75960400
9190.272620,0.01829400
9190.282090,0.12590400
9190.291570,-0.07978640
9190.301050,-0.04198370
9190.310520,-0.34960100
9190.320000,-0.57790900
9190.329480,-0.50566200
9190.338960,-0.53339000
9190.348430,-0.60925400
9190.357910,-1.00525000
9190.367390,-1.20988000
9190.376860,-0.57670400
9190.386340,-0.48502400
9190.395820,-0.84781000
9190.405300,-0.11411600
9190.414770,0.25848600
9190.424250,-0.43858200
9190.433730,-0.32155700
9190.443200,-0.20763200
9190.452680,-1.02135000
9190.462160,-0.99589200
9190.471630,-0.73150300
9190.481110,-1.45716000
9190.490590,-1.47120000
9190.500070,-0.81368100
9190.509540,-1.04251000
9190.519020,-1.20560000
9190.528500,-0.88736300
9190.537970,-1.09727000
9190.547450,-0.95722800
9190.556930,0.19648600
9190.566410,0.86579800
9190.575880,0.62204600
9190.585360,0.79886100
9190.594840,1.62019000
9190.604310,1.81365000
9190.613790,1.14072000
9190.623270,1.09448000
9190.632750,1.91090000
9190.642220,1.95194000
9190.651700,1.39432000
9190.661180,1.67831000
9190.670650,2.03935000
9190.680130,1.74502000
9190.689610,1.69042000
9190.699080,1.41105000
9190.708560,0.46038800
9190.718040,0.45944000
9190.727520,1.46401000
9190.736990,1.77088000
9190.746470,1.58718000
9190.755950,1.84422000
9190.765420,2.14739000
9190.774900,2.04225000
9190.784380,1.47942000
9190.793860,0.46914200
9190.803330,-0.41421300
9190.812810,-0.58502800
9190.822290,-0.60738800
9190.831760,-1.00344000
9190.841240,-0.90378200
9190.850720,-0.20240800
9190.860200,-0.17026000
9190.869670,-0.46493200
9190.879150,-0.08816780
9190.888630,0.10713200
9190.898100,-0.38852300
9190.907580,-0.86586400
9190.917060,-1.26338000
9190.926540,-1.70659000
9190.936010,-1.74092000
9190.945490,-1.03522000
9190.954970,-0.20771900
9190.964440,-0.08153730
9190.973920,0.00974031
9190.983400,0.24295700
9190.992870,-0.53074900
9191.002350,-1.14590000
9191.011830,-0.62817000
