ritz_wavenumber_cm_inv,ritz_unc_cm_inv,measured_wavenumber_cm_inv,measured_unc_cm_inv,relative_intensity,species,lower_level_energy,lower_J,upper_level_energy,upper_J,reference
7513.29922,0.00021,7513.2988,0.0005,75,Th II,20080,7/2_odd,27593,5/2,EHW03
7514.00318,0.00020,7514.0032,0.0004,100,Th II,19248,5/2_odd,26762,3/2,EHW03
7514.81976,0.00013,7514.8201,0.0006,31,Th I,24259,4_odd,31774,3,EHW03
-,-,7515.4344,0.0003,2818,Ar I,107290,2,114805,2_odd,95WHA
7518.6940,0.0014,7518.6934,0.0023,6,Ne I,163038,2,170557,1_odd,SBS
7518.98712,0.00013,7518.9871,0.0005,43,Th I,24274,5_odd,31793,4,EHW03
7521.06705,0.00008,7521.0670,0.0006,21,Th I,22163,4_odd,29684,5,EHW03
7521.93198,0.00007,7521.9322,0.0005,55,Th I,15493,4,23015,5_odd,EHW03
7522.54064,0.00016,7522.549,0.003,0,Th I,22637,3,30160,4_odd,GBCZ74
7523.31242,0.00021,7523.3125,0.0005,45,Th II,17722,9/2_odd,25246,9/2,EHW03
7524.36813,0.00018,7524.367,0.003,220,Th I,25575,4_odd,33099,3,Z76
7526.23679,0.00023,7526.2368,0.0006,31,Th II,21297,5/2_odd,28823,5/2,EHW03
7527.24120,0.00007,7527.24110,0.00020,290,Th I,19516,2_odd,27044,3,KNS08
7528.25790,0.00013,7528.2578,0.0006,19,Th I,21890,3_odd,29418,2,EHW03
7528.9594,0.0004,7528.9601,0.0006,19,Th I,30255,3_odd,37784,2,EHW03
7530.69988,0.00007,7530.70004,0.00012,1100,Th I,16554,6,24084,6_odd,PE83
-,-,7532.2385,0.0003,151356,Ar I,107290,2,114822,3_odd,95WHA
7532.9815,0.0003,7532.9816,0.0009,5,Th I,24381,2_odd,31914,1,EHW03
7533.92388,0.00011,7533.9236,0.0006,21,Th I,24259,4_odd,31793,4,EHW03
7534.6665,0.0004,7534.6666,0.0007,13,Th I,34013,5_odd,41548,6,EHW03
7534.93903,0.00010,7534.9386,0.0005,57,Th I,17166,5,24701,5_odd,EHW03
7537.35322,0.00010,7537.3531,0.0004,97,Th I,23015,5_odd,30552,4,EHW03
7537.61258,0.00017,7537.6146,0.0008,9,Th I,23113,4_odd,30651,3,EHW03
7538.18004,0.00023,7538.1808,0.0005,59,Th II,10189,11/2_odd,17727,11/2,EHW03
7538.65875,0.00017,7538.6579,0.0007,11,Th I,18574,1,26113,2_odd,EHW03
7540.0487,0.0004,7540.0487,0.0007,43,Ar II,155043,5/2_odd,147503,3/2,95WHA
7541.07814,0.00006,7541.0782,0.0003,270,Th I,19503,3_odd,27044,3,PE83
7541.88351,0.00013,7541.8815,0.0007,17,Th I,24084,6_odd,31626,5,EHW03
7542.90835,0.00004,7542.90835,0.00011,1300,Th I,15490,5_odd,23032,4,PE83
7543.8901,0.0003,7543.8893,0.0009,3,Th I,28884,3_odd,36428,2,EHW03
7544.1198,0.0004,7544.1276,0.0011,36,Th II,17837,1/2_odd,25381,3/2,PE83
7544.13607,0.00019,7544.1276,0.0011,36,Th II,7001,3/2,14545,5/2_odd,PE83
7544.4237,0.0014,7544.4239,0.0011,8,Ne I,163013,1,170557,1_odd,SBS
7544.87784,0.00004,7544.8791,0.0009,3,Th I,2869,3,10414,4_odd,EHW03
7545.75798,0.00008,7545.7578,0.0005,51,Th I,10414,4_odd,17959,4,EHW03
7546.39990,0.00004,7546.3992,0.0003,170,Th I,8800,4,16346,4_odd,KNS08
7547.19393,0.00006,7547.1927,0.0006,23,Th I,19948,4_odd,27495,4,EHW03
