wavenumber_cm_inv,intensity
8876.859390,1.33179000
8876.862970,0.55867200
8876.866540,0.64493300
8876.870120,1.12409000
8876.873690,1.87608000
8876.877270,0.98742800
8876.880850,-0.85062100
8876.884420,-0.89960200
8876.888000,-0.52210100
8876.891580,-0.96621400
8876.895150,-0.96346800
8876.898730,-0.66437900
8876.902300,-0.30113300
8876.905880,0.02792700
8876.909460,-0.46836100
8876.913030,-0.87248200
8876.916610,-0.35348700
8876.920190,-0.13578100
8876.923760,-0.72615000
8876.927340,-0.84042800
8876.930920,-0.01142460
8876.934490,0.16890600
8876.938070,-0.29149800
8876.941640,-0.46303200
8876.945220,-2.34689000
8876.948800,-3.86140000
8876.952370,-0.62625300
8876.955950,1.77918000
8876.959530,0.00457713
8876.963100,0.25148800
8876.966680,0.61804100
8876.970250,-1.62973000
8876.973830,-0.05199840
8876.977410,2.93480000
8876.980980,1.89575000
8876.984560,1.34204000
8876.988140,0.95381400
8876.991710,-1.21884000
8876.995290,-0.68229500
8876.998860,0.19599200
8877.002440,-1.37023000
8877.006020,-0.70139700
8877.009590,1.05296000
8877.013170,1.08044000
8877.016750,1.47865000
8877.020320,0.92165000
8877.023900,-0.85378600
8877.027470,-0.67676900
8877.031050,0.08329400
8877.034630,-0.57186500
8877.038200,-1.26659000
8877.041780,-0.61485200
8877.045360,0.83833900
8877.048930,0.69157700
8877.052510,-0.17085500
8877.056080,0.40431500
8877.059660,-0.20078900
8877.063240,-0.86853800
8877.066810,1.28643000
8877.070390,1.03164000
8877.073970,-1.44289000
8877.077540,-0.00418028
8877.081120,0.88746400
8877.084700,-1.30730000
8877.088270,-0.45075100
8877.091850,1.40988000
8877.095420,0.56464000
8877.099000,0.38816800
8877.102580,0.27493000
8877.106150,-0.89573900
8877.109730,-0.01807860
8877.113310,1.24603000
8877.116880,0.59272600
8877.120460,0.39234800
8877.124030,0.48450300
8877.127610,-0.29013800
8877.131190,-0.26194000
8877.134760,0.21969700
8877.138340,-0.16005400
8877.141920,-0.46409500
8877.145490,-0.69955300
8877.149070,-1.31096000
8877.152640,-1.00140000
8877.156220,0.05145640
8877.159800,-0.00374490
8877.163370,-1.08213000
8877.166950,-1.55365000
8877.170530,-0.46987100
8877.174100,1.03940000
8877.177680,0.45628500
8877.181250,-1.65315000
8877.184830,-1.87726000
8877.188410,-0.04622080
8877.191980,1.21342000
8877.195560,0.85481200
8877.199140,-0.32935000
8877.202710,-0.54839100
8877.206290,0.55852100
8877.209860,0.87743900
8877.213440,0.14356700
8877.217020,-0.14734800
8877.220590,-0.52924700
8877.224170,-1.17918000
8877.227750,-0.57073200
8877.231320,0.79933600
8877.234900,0.96924100
8877.238480,0.72914300
8877.242050,1.74366000
8877.245630,1.49829000
8877.249200,-1.43759000
8877.252780,-2.05523000
8877.256360,0.47326600
8877.259930,0.71490500
8877.263510,-0.14145300
8877.267090,0.75176900
8877.270660,0.11555500
8877.274240,-1.22827000
8877.277810,-0.08507610
8877.281390,0.73085100
8877.284970,-0.15138900
8877.288540,-0.75649600
8877.292120,-0.88010300
8877.295700,-0.58971200
8877.299270,-0.42598300
8877.302850,-0.42998600
8877.306420,0.42846500
8877.310000,0.72530900
8877.313580,0.40022400
8877.317150,0.82610400
8877.320730,0.21045000
8877.324310,-0.05388440
8877.327880,1.84453000
8877.331460,1.75554000
8877.335030,0.76624600
8877.338610,1.98555000
8877.342190,0.47066200
8877.345760,-2.80739000
8877.349340,-1.59309000
8877.352920,0.67920600
8877.356490,0.38440900
8877.360070,-0.24080200
8877.363650,-0.84530400
8877.367220,-0.90869500
8877.370800,-0.21263700
8877.374370,-0.05685410
8877.377950,0.71670400
8877.381530,1.05179000
8877.385100,-0.68010100
8877.388680,-0.49398600
8877.392260,1.54009000
8877.395830,0.47747100
8877.399410,-1.80389000
8877.402980,-1.49846000
8877.406560,-0.13511900
8877.410140,0.39256800
8877.413710,0.01634150
8877.417290,-0.67114000
8877.420870,-0.69319400
8877.424440,0.03940210
8877.428020,0.50386800
8877.431590,-0.25453800
8877.435170,-1.05035000
8877.438750,0.03205630
8877.442320,1.39674000
8877.445900,1.12654000
8877.449480,0.73349400
8877.453050,0.80098900
8877.456630,0.46955300
8877.460200,0.56776200
8877.463780,1.24334000
8877.467360,1.25223000
8877.470930,0.62721200
8877.474510,-0.16919600
8877.478090,-0.94677600
8877.481660,-0.45503900
8877.485240,1.02783000
8877.488810,0.63327300
8877.492390,-0.72173500
8877.495970,0.28423700
8877.499540,1.06065000
8877.503120,-0.31122100
8877.506700,-0.10939200
8877.510270,0.62207600
8877.513850,-0.52001700
8877.517430,-0.31757600
8877.521000,0.29146500
8877.524580,-0.71493000
8877.528150,0.07003760
8877.531730,0.94404500
8877.535310,-0.46210800
8877.538880,-0.16995500
8877.542460,0.45683700
8877.546040,-1.02824000
8877.549610,-0.96240300
8877.553190,-0.34980900
8877.556760,-1.16718000
8877.560340,-0.85388000
8877.563920,-0.47861000
8877.567490,-0.30875300
8877.571070,1.33841000
8877.574650,1.04806000
8877.578220,-0.77769800
8877.581800,0.31200700
8877.585370,1.63983000
8877.588950,0.30863000
8877.592530,-1.01688000
8877.596100,-0.73337700
8877.599680,-0.14361100
8877.603260,-1.31171000
8877.606830,-2.60139000
8877.610410,-0.49662900
8877.613980,1.52860000
8877.617560,-0.24208300
8877.621140,-1.63780000
8877.624710,-0.51650600
8877.628290,0.33773500
8877.631870,0.17606000
8877.635440,0.12512100
8877.639020,0.92217300
8877.642590,1.30556000
8877.646170,0.23498100
8877.649750,0.03003710
8877.653320,0.41760600
8877.656900,-0.61902100
8877.660480,-0.02658050
8877.664050,2.29777000
8877.667630,1.71289000
8877.671210,-0.00879791
8877.674780,0.57572400
8877.678360,1.18554000
8877.681930,0.81153000
8877.685510,0.80634800
8877.689090,0.65787700
8877.692660,0.47254700
8877.696240,0.85909700
8877.699820,0.36849800
8877.703390,-1.05661000
8877.706970,-1.07233000
8877.710540,-0.27167600
8877.714120,-0.53620900
8877.717700,-0.01438380
8877.721270,1.44464000
8877.724850,0.85180500
8877.728430,-0.17874400
8877.732000,0.59683500
8877.735580,0.51059500
8877.739150,-0.94010400
8877.742730,-1.29888000
8877.746310,-0.45365800
8877.749880,0.26560600
8877.753460,-0.37701100
8877.757040,-1.35110000
8877.760610,-0.33145600
8877.764190,0.88357400
8877.767760,0.17898300
8877.771340,-0.52770900
8877.774920,-0.34400300
8877.778490,-0.44609800
8877.782070,-1.33962000
8877.785650,-1.75787000
8877.789220,-0.13916200
8877.792800,0.97268200
8877.796380,0.29783800
8877.799950,1.64466000
8877.803530,3.25439000
8877.807100,1.59187000
8877.810680,0.61203800
8877.814260,0.95099300
8877.817830,0.00189528
8877.821410,0.20248700
8877.824990,0.95331900
8877.828560,-0.01742380
8877.832140,-0.34404300
8877.835710,0.04822530
8877.839290,-0.08080480
8877.842870,0.11269300
8877.846440,0.67633400
8877.850020,1.64741000
8877.853600,1.12284000
8877.857170,-0.73789600
8877.860750,0.68540700
8877.864320,1.44701000
8877.867900,-2.19803000
8877.871480,-1.88727000
8877.875050,1.37113000
8877.878630,0.24952900
8877.882210,-0.24506500
8877.885780,0.49584500
8877.889360,-0.86108600
8877.892930,0.67223200
8877.896510,2.12566000
8877.900090,-0.52900200
8877.903660,-0.54285200
8877.907240,0.37236300
8877.910820,-1.48008000
8877.914390,-0.61606200
8877.917970,0.82901300
8877.921540,-0.28214200
8877.925120,0.42467800
8877.928700,1.06756000
