GALAXY,PGC,DIST,INCL,PA,HAS_BAR,OM_P_ALMA,OM_P_ALMA_ERR_UP,OM_P_ALMA_ERR_DOWN,OM_P_ALMA_QUAL,OM_P_MUSE_MASS,OM_P_MUSE_MASS_ERR_UP,OM_P_MUSE_MASS_ERR_DOWN,OM_P_MUSE_MASS_QUAL,OM_P_MUSE_HA,OM_P_MUSE_HA_ERR_UP,OM_P_MUSE_HA_ERR_DOWN,OM_P_MUSE_HA_QUAL,R_CR_ALMA_1,R_CR_ALMA_1_ERR,R_CR_ALMA_2,R_CR_ALMA_2_ERR,R_CR_ALMA_3,R_CR_ALMA_3_ERR,R_CR_ALMA_4,R_CR_ALMA_4_ERR,R_ILR_ALMA_1,R_ILR_ALMA_1_ERR,R_ILR_ALMA_2,R_ILR_ALMA_2_ERR,R_ILR_ALMA_3,R_ILR_ALMA_3_ERR,R_ILR_ALMA_4,R_ILR_ALMA_4_ERR,R_ILR_ALMA_5,R_ILR_ALMA_5_ERR,R_ILR_ALMA_6,R_ILR_ALMA_6_ERR,R_ILR_ALMA_7,R_ILR_ALMA_7_ERR,R_OLR_ALMA_1,R_OLR_ALMA_1_ERR,R_OLR_ALMA_2,R_OLR_ALMA_2_ERR,R_OLR_ALMA_3,R_OLR_ALMA_3_ERR,R_CR_MUSE_MASS_1,R_CR_MUSE_MASS_1_ERR,R_CR_MUSE_MASS_2,R_CR_MUSE_MASS_2_ERR,R_ILR_MUSE_MASS_1,R_ILR_MUSE_MASS_1_ERR,R_ILR_MUSE_MASS_2,R_ILR_MUSE_MASS_2_ERR,R_ILR_MUSE_MASS_3,R_ILR_MUSE_MASS_3_ERR,R_ILR_MUSE_MASS_4,R_ILR_MUSE_MASS_4_ERR,R_ILR_MUSE_MASS_5,R_ILR_MUSE_MASS_5_ERR,R_ILR_MUSE_MASS_6,R_ILR_MUSE_MASS_6_ERR,R_ILR_MUSE_MASS_7,R_ILR_MUSE_MASS_7_ERR,R_ILR_MUSE_MASS_8,R_ILR_MUSE_MASS_8_ERR,R_ILR_MUSE_MASS_9,R_ILR_MUSE_MASS_9_ERR,R_OLR_MUSE_MASS_1,R_OLR_MUSE_MASS_1_ERR,R_OLR_MUSE_MASS_2,R_OLR_MUSE_MASS_2_ERR,R_OLR_MUSE_MASS_3,R_OLR_MUSE_MASS_3_ERR,R_CR_MUSE_HA_1,R_CR_MUSE_HA_1_ERR,R_CR_MUSE_HA_2,R_CR_MUSE_HA_2_ERR,R_ILR_MUSE_HA_1,R_ILR_MUSE_HA_1_ERR,R_ILR_MUSE_HA_2,R_ILR_MUSE_HA_2_ERR,R_ILR_MUSE_HA_3,R_ILR_MUSE_HA_3_ERR,R_ILR_MUSE_HA_4,R_ILR_MUSE_HA_4_ERR,R_ILR_MUSE_HA_5,R_ILR_MUSE_HA_5_ERR,R_ILR_MUSE_HA_6,R_ILR_MUSE_HA_6_ERR,R_ILR_MUSE_HA_7,R_ILR_MUSE_HA_7_ERR,R_OLR_MUSE_HA_1,R_OLR_MUSE_HA_1_ERR,R_OLR_MUSE_HA_2,R_OLR_MUSE_HA_2_ERR,R_OLR_MUSE_HA_3,R_OLR_MUSE_HA_3_ERR,LITERATURE_OM_P,LITERATURE_OM_P_ERR,LITERATURE_OM_P_REF
NGC1637,15821,11.699999809265137,31.100000381469727,20.610000610351562,1,90.52965372177,10.24754263017672,29.48603491986978,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGC1672,15941,19.399999618530273,42.599998474121094,134.3000030517578,1,32.47053697079449,1.9722836267442025,1.2978017012244192,2.0,22.733289969060042,0.6098333069729083,0.608426301499509,1.0,28.0712956135823,0.07530486970783398,0.07914721947464691,1.0,3.260504245758056,0.9781512737274167,,,,,,,1.1930092608956269,0.012161154545317299,,,,,,,,,,,,,4.122631390862564,0.006080577272658871,4.48503379631302,0.04256404090861121,,,6.072689157724381,1.5894958198070528,,,1.2380055327133008,0.006080577272658427,4.116550813589906,0.004864461818127275,4.431524716313623,0.003648346363595678,,,,,,,,,,,,,,,,,,,3.9941177010536197,0.48907563686370814,,,,,,,,,,,,,,,,,4.433956947222687,0.0012161154545315966,,,,,22.174554051442364,,1999ApJ...512..623D
NGC1792,16709,16.200000762939453,65.0999984741211,318.8999938964844,0,57.69330397179798,2.8043413096571177,4.210112092300743,1.0,,,,,,,,,1.8667968750000001,0.4746093750000002,,,,,,,0.38779963594808486,0.09742283537232377,,,,,,,,,,,,,4.812498896838672,0.568457515133657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGC1809,16599,19.950000762939453,57.599998474121094,138.1999969482422,0,47.426366040067506,3.5415795952327684,6.058297734057479,4.0,,,,,,,,,1.3632500439882278,1.0972500354051589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGC2090,17819,11.75,64.5,192.4600067138672,0,58.06154343420582,4.013131732945795,4.631374862999422,1.0,,,,,,,,,0.09957627058029175,0.09957627058029175,2.8877118468284606,0.4480932176113126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGC2283,19562,13.680000305175781,43.70000076293945,-4.099999904632568,1,41.03179008772773,1.9386392198855082,3.140789840115455,1.0,,,,,,,,,0.13153847455978396,0.13153847455978396,2.532115635275841,0.29596156775951377,,,,,2.1412145145414074,0.009790647071520109,2.3644412677720617,0.0019581294143042882,,,,,,,,,,,2.3654203324792134,0.0029371941214559882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGC2566,23303,23.440000534057617,48.5,312.0,1,34.58071640641122,1.977876365629992,4.823479006892101,1.0,,,,,,,,,3.7583122014999386,2.225316435098647,,,,,,,0.4542890926272365,0.029547258057056103,0.5650913103411966,0.03447180106656533,0.9799840588923584,0.07263700939026274,1.3911834001863883,0.013542493276150758,1.8245431850232101,0.12926925399962008,4.405003722006104,0.050476565847469956,4.853137135871454,0.02339157929516933,4.839594642595303,0.009849086019018571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGC2775,25861,23.149999618530273,41.20000076293945,156.5,0,54.87313751825695,0.07171149635171296,0.05034292891752548,1.0,,,,,,,,,5.583235144615173,0.20426470041275024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGC2835,26259,12.380000114440918,41.29999923706055,1.0,1,41.267545901239295,0.25935668558612945,0.7608306976773158,1.0,34.62025951670967,4.297022813148015,3.1028937064356343,1.0,37.63327050616549,0.44799119112261004,0.40083607680517824,1.0,2.8192079305648803,0.5515841603279115,,,,,,,0.24773619590846882,0.011840332892684186,0.45084344475989735,0.01092953805478536,,,,,,,,,,,,,,,,,2.8192079305648803,0.5515841603279115,,,0.21859076109570774,0.06284484381501598,0.4808996744105571,0.059201664463420844,,,,,,,,,,,,,,,,,,,,,3.186930704116821,0.18386138677597064,,,0.21585837658201143,0.007286358703190249,0.47816728989686075,0.0072863587031902766,,,,,,,,,,,,,,,,,,,
NGC2903,27077,10.0,66.80000305175781,203.6999969482422,1,25.005475196451716,1.8451083906922592,0.5228044844317843,1.0,,,,,,,,,,,,,,,,,0.6135897595203701,0.007934350338625551,1.8901385695570023,0.050250885477961305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.785783612420378,,2009PASJ...61..441H
