#This catalogue provides the latest version of the cluster member catalogue with spectroscopic redshifts and references, used for the 2026arXiv260122245R lens model
#last update: 6.2.2026.
#The updated version includes additional photometric cluster member id=250
#We note that the cluster member id=40 is a confirmed foreground object, despite being
#photometrically selected as a cluster member in the submitted version of the paper.

#======================================================================
#Redshifts from Barrena+2002 (2002A&A...386..816B), Foex+2017 (2017A&A...606A.122F), 
#Guzzo+2009 (2009A&A...499..357G) were compiled using NED database (https://ned.ipac.caltech.edu/).
#Some redshifts were obtained by several studies, in which case we quote the earliest publication as specz_ref.
#Richard+2021 MUSE redshifts were obtained from 2021A&A...646A..83R MUSE catalogues.
#Chung+2010 redshifts were obtained by 2010ApJ...725.1536C, and were provided for this work by the authors of the study (Anthony H. Gonzales).
#Where new NIRSpec redshifts are available, we quote Rihtarsic+2026 specz regardless of whether previous redshifts were available.
#for the individual redshift uncertainties refer directly to the references above.

#id ra dec mag_F277W specz specz_ref
105   104.6376920 -55.9533036 19.62     0.2931    Richard+2021
106   104.6805315 -55.9413470 19.64     0.2931    Chung+2010
107   104.6612419 -55.9630567 19.65     0.3094    Rihtarsic+2026
108   104.6706910 -55.9585128 19.66     0.2918    Barrena+2002
109   104.5384584 -55.9311814 19.66     -1        None
110   104.5465507 -55.9175112 19.67     0.2988    Chung+2010
111   104.5640447 -55.9414177 19.69     0.3462    Chung+2010
112   104.6826700 -55.9479083 19.70     0.2896    Chung+2010
113   104.6528376 -55.9388510 19.71     0.3020    Rihtarsic+2026
114   104.6483487 -55.9389899 19.74     0.2939    Richard+2021
115   104.6952476 -55.9514706 19.74     0.3498    Chung+2010
116   104.5635178 -55.9380543 19.75     -1        None
117   104.6349938 -55.9296862 19.77     0.3005    Foex+2017
118   104.5779967 -55.9371776 19.80     -1        None
119   104.6513699 -55.9341188 19.83     -1        None
120   104.6297957 -55.9402415 19.84     0.3029    Richard+2021
121   104.6418165 -55.9657394 19.88     -1        None
122   104.5865600 -55.9365447 19.88     -1        None
123   104.6466106 -55.9529256 19.89     0.2840    Richard+2021
124   104.6618476 -55.9650495 19.90     0.2923    Rihtarsic+2026
125   104.6478125 -55.9480684 19.93     0.2944    Foex+2017
126   104.6488028 -55.9436987 19.94     0.2967    Foex+2017
127   104.6230431 -55.9544889 19.97     -1        None
128   104.6519830 -55.9573298 20.00     -1        None
129   104.6401671 -55.9531403 20.01     0.2933    Richard+2021
130   104.5457962 -55.9416573 20.02     -1        None
131   104.6475097 -55.9683491 20.02     -1        None
132   104.6523103 -55.9521865 20.03     0.2946    Richard+2021
133   104.6568952 -55.9619878 20.04     -1        None
134   104.6319008 -55.9491022 20.12     0.2982    Richard+2021
135   104.5986668 -55.9549631 20.12     0.2930    Foex+2017
136   104.6226210 -55.9636699 20.15     -1        None
137   104.6751770 -55.9368604 20.15     0.2945    Chung+2010
138   104.6518473 -55.9681434 20.17     -1        None
139   104.6250812 -55.9632337 20.24     -1        None
