season,MJD,image,frequency_GHz,flux_mJy,flux_error_mJy,array_configuration,phase_calibrator,amplitude_calibrator,quality_flag,original_table_or_epoch_id
1,50405,C,8.5,17.107,0.153,A,1642+689,3C286_or_3C48,,Fassnacht1999_ApJ527_498_Table3_MJDm50000=405
1,50405,D,8.5,5.910,0.062,A,1642+689,3C286_or_3C48,,Fassnacht1999_ApJ527_498_Table3_MJDm50000=405
1,50410,A,8.5,34.527,0.310,A,1642+689,3C286_or_3C48,Wind >= 10 m/s,Fassnacht1999_ApJ527_498_Table3_MJDm50000=410
1,50410,B,8.5,16.966,0.156,A,1642+689,3C286_or_3C48,Wind >= 10 m/s,Fassnacht1999_ApJ527_498_Table3_MJDm50000=410
1,50410,C,8.5,17.294,0.159,A,1642+689,3C286_or_3C48,Wind >= 10 m/s,Fassnacht1999_ApJ527_498_Table3_MJDm50000=410
1,50410,D,8.5,5.813,0.064,A,1642+689,3C286_or_3C48,Wind >= 10 m/s,Fassnacht1999_ApJ527_498_Table3_MJDm50000=410
1,50414,A,8.5,33.878,0.308,A,1642+689,3C286_or_3C48,,Fassnacht1999_ApJ527_498_Table3_MJDm50000=414
1,50414,B,8.5,17.096,0.160,A,1642+689,3C286_or_3C48,,Fassnacht1999_ApJ527_498_Table3_MJDm50000=414
1,50414,C,8.5,17.447,0.163,A,1642+689,3C286_or_3C48,,Fassnacht1999_ApJ527_498_Table3_MJDm50000=414
1,50414,D,8.5,5.813,0.067,A,1642+689,3C286_or_3C48,,Fassnacht1999_ApJ527_498_Table3_MJDm50000=414
1,50418,A,8.5,34.996,0.315,A,1642+689,3C286_or_3C48,,Fassnacht1999_ApJ527_498_Table3_MJDm50000=418
1,50418,B,8.5,17.054,0.159,A,1642+689,3C286_or_3C48,,Fassnacht1999_ApJ527_498_Table3_MJDm50000=418
1,50418,C,8.5,17.632,0.164,A,1642+689,3C286_or_3C48,,Fassnacht1999_ApJ527_498_Table3_MJDm50000=418
1,50418,D,8.5,5.807,0.071,A,1642+689,3C286_or_3C48,,Fassnacht1999_ApJ527_498_Table3_MJDm50000=418
1,50422,A,8.5,35.218,0.315,A,1642+689,3C286_or_3C48,,Fassnacht1999_ApJ527_498_Table3_MJDm50000=422
1,50422,B,8.5,16.645,0.157,A,1642+689,3C286_or_3C48,,Fassnacht1999_ApJ527_498_Table3_MJDm50000=422
1,50422,C,8.5,17.431,0.164,A,1642+689,3C286_or_3C48,,Fassnacht1999_ApJ527_498_Table3_MJDm50000=422
1,50422,D,8.5,5.765,0.077,A,1642+689,3C286_or_3C48,,Fassnacht1999_ApJ527_498_Table3_MJDm50000=422
1,50424,A,8.5,35.464,0.323,A,1642+689,3C286_or_3C48,,Fassnacht1999_ApJ527_498_Table3_MJDm50000=424
1,50424,B,8.5,16.168,0.158,A,1642+689,3C286_or_3C48,,Fassnacht1999_ApJ527_498_Table3_MJDm50000=424
1,50424,C,8.5,17.324,0.168,A,1642+689,3C286_or_3C48,,Fassnacht1999_ApJ527_498_Table3_MJDm50000=424
1,50424,D,8.5,5.850,0.084,A,1642+689,3C286_or_3C48,,Fassnacht1999_ApJ527_498_Table3_MJDm50000=424
1,50427,A,8.5,35.909,0.302,A,1642+689,3C286_or_3C48,Wind >= 10 m/s,Fassnacht1999_ApJ527_498_Table3_MJDm50000=427
1,50427,B,8.5,16.613,0.144,A,1642+689,3C286_or_3C48,Wind >= 10 m/s,Fassnacht1999_ApJ527_498_Table3_MJDm50000=427
1,50427,C,8.5,17.505,0.151,A,1642+689,3C286_or_3C48,Wind >= 10 m/s,Fassnacht1999_ApJ527_498_Table3_MJDm50000=427
1,50427,D,8.5,5.574,0.061,A,1642+689,3C286_or_3C48,Wind >= 10 m/s,Fassnacht1999_ApJ527_498_Table3_MJDm50000=427
1,50432,A,8.5,34.811,0.317,A,1642+689,3C286_or_3C48,,Fassnacht1999_ApJ527_498_Table3_MJDm50000=432
1,50432,B,8.5,16.423,0.152,A,1642+689,3C286_or_3C48,,Fassnacht1999_ApJ527_498_Table3_MJDm50000=432
1,50432,C,8.5,17.280,0.160,A,1642+689,3C286_or_3C48,,Fassnacht1999_ApJ527_498_Table3_MJDm50000=432
1,50432,D,8.5,5.663,0.059,A,1642+689,3C286_or_3C48,,Fassnacht1999_ApJ527_498_Table3_MJDm50000=432
1,50437,A,8.5,34.475,0.308,A,1642+689,3C286_or_3C48,,Fassnacht1999_ApJ527_498_Table3_MJDm50000=437
1,50437,B,8.5,16.234,0.158,A,1642+689,3C286_or_3C48,,Fassnacht1999_ApJ527_498_Table3_MJDm50000=437
1,50437,C,8.5,17.368,0.167,A,1642+689,3C286_or_3C48,,Fassnacht1999_ApJ527_498_Table3_MJDm50000=437
1,50437,D,8.5,5.791,0.088,A,1642+689,3C286_or_3C48,,Fassnacht1999_ApJ527_498_Table3_MJDm50000=437
1,50440,A,8.5,34.875,0.310,A,1642+689,3C286_or_3C48,,Fassnacht1999_ApJ527_498_Table3_MJDm50000=440
1,50440,B,8.5,16.236,0.147,A,1642+689,3C286_or_3C48,,Fassnacht1999_ApJ527_498_Table3_MJDm50000=440
1,50440,C,8.5,17.532,0.158,A,1642+689,3C286_or_3C48,,Fassnacht1999_ApJ527_498_Table3_MJDm50000=440
1,50440,D,8.5,5.483,0.057,A,1642+689,3C286_or_3C48,,Fassnacht1999_ApJ527_498_Table3_MJDm50000=440
1,50441,A,8.5,34.831,0.315,A,1642+689,3C286_or_3C48,,Fassnacht1999_ApJ527_498_Table3_MJDm50000=441
1,50441,B,8.5,16.286,0.155,A,1642+689,3C286_or_3C48,,Fassnacht1999_ApJ527_498_Table3_MJDm50000=441
1,50441,C,8.5,17.203,0.163,A,1642+689,3C286_or_3C48,,Fassnacht1999_ApJ527_498_Table3_MJDm50000=441
1,50441,D,8.5,5.525,0.074,A,1642+689,3C286_or_3C48,,Fassnacht1999_ApJ527_498_Table3_MJDm50000=441
1,50446,A,8.5,33.832,0.304,A,1642+689,3C286_or_3C48,,Fassnacht1999_ApJ527_498_Table3_MJDm50000=446
1,50446,B,8.5,16.358,0.151,A,1642+689,3C286_or_3C48,,Fassnacht1999_ApJ527_498_Table3_MJDm50000=446
1,50446,C,8.5,17.405,0.160,A,1642+689,3C286_or_3C48,,Fassnacht1999_ApJ527_498_Table3_MJDm50000=446
1,50446,D,8.5,5.868,0.064,A,1642+689,3C286_or_3C48,,Fassnacht1999_ApJ527_498_Table3_MJDm50000=446
1,50451,A,8.5,34.444,0.298,A,1642+689,3C286_or_3C48,Wind >= 10 m/s,Fassnacht1999_ApJ527_498_Table3_MJDm50000=451
1,50451,B,8.5,16.320,0.146,A,1642+689,3C286_or_3C48,Wind >= 10 m/s,Fassnacht1999_ApJ527_498_Table3_MJDm50000=451
1,50451,C,8.5,17.802,0.158,A,1642+689,3C286_or_3C48,Wind >= 10 m/s,Fassnacht1999_ApJ527_498_Table3_MJDm50000=451
1,50451,D,8.5,5.765,0.066,A,1642+689,3C286_or_3C48,Wind >= 10 m/s,Fassnacht1999_ApJ527_498_Table3_MJDm50000=451
1,50455,A,8.5,33.230,0.301,A,1642+689,3C286_or_3C48,,Fassnacht1999_ApJ527_498_Table3_MJDm50000=455
1,50455,B,8.5,16.271,0.150,A,1642+689,3C286_or_3C48,,Fassnacht1999_ApJ527_498_Table3_MJDm50000=455
1,50455,C,8.5,17.042,0.157,A,1642+689,3C286_or_3C48,,Fassnacht1999_ApJ527_498_Table3_MJDm50000=455
1,50455,D,8.5,5.825,0.062,A,1642+689,3C286_or_3C48,,Fassnacht1999_ApJ527_498_Table3_MJDm50000=455
1,50459,A,8.5,33.463,0.298,A,1642+689,3C286_or_3C48,,Fassnacht1999_ApJ527_498_Table3_MJDm50000=459
1,50459,B,8.5,16.667,0.152,A,1642+689,3C286_or_3C48,,Fassnacht1999_ApJ527_498_Table3_MJDm50000=459
1,50459,C,8.5,16.946,0.154,A,1642+689,3C286_or_3C48,,Fassnacht1999_ApJ527_498_Table3_MJDm50000=459
1,50459,D,8.5,5.964,0.064,A,1642+689,3C286_or_3C48,,Fassnacht1999_ApJ527_498_Table3_MJDm50000=459
1,50464,A,8.5,34.451,0.310,A->BnA,1642+689,3C286_or_3C48,,Fassnacht1999_ApJ527_498_Table3_MJDm50000=464
1,50464,B,8.5,16.851,0.156,A->BnA,1642+689,3C286_or_3C48,,Fassnacht1999_ApJ527_498_Table3_MJDm50000=464
1,50464,C,8.5,17.364,0.160,A->BnA,1642+689,3C286_or_3C48,,Fassnacht1999_ApJ527_498_Table3_MJDm50000=464
1,50464,D,8.5,5.979,0.068,A->BnA,1642+689,3C286_or_3C48,,Fassnacht1999_ApJ527_498_Table3_MJDm50000=464
1,50465,A,8.5,34.010,0.309,A->BnA,1642+689,3C286_or_3C48,Elev. <= 30deg. Flurries,Fassnacht1999_ApJ527_498_Table3_MJDm50000=465
1,50465,B,8.5,16.720,0.164,A->BnA,1642+689,3C286_or_3C48,Elev. <= 30deg. Flurries,Fassnacht1999_ApJ527_498_Table3_MJDm50000=465
1,50465,C,8.5,17.825,0.173,A->BnA,1642+689,3C286_or_3C48,Elev. <= 30deg. Flurries,Fassnacht1999_ApJ527_498_Table3_MJDm50000=465
1,50465,D,8.5,6.049,0.090,A->BnA,1642+689,3C286_or_3C48,Elev. <= 30deg. Flurries,Fassnacht1999_ApJ527_498_Table3_MJDm50000=465
1,50468,A,8.5,33.989,0.305,A->BnA,1642+689,3C286_or_3C48,,Fassnacht1999_ApJ527_498_Table3_MJDm50000=468
1,50468,B,8.5,16.624,0.152,A->BnA,1642+689,3C286_or_3C48,,Fassnacht1999_ApJ527_498_Table3_MJDm50000=468
1,50468,C,8.5,16.867,0.154,A->BnA,1642+689,3C286_or_3C48,,Fassnacht1999_ApJ527_498_Table3_MJDm50000=468
1,50468,D,8.5,5.970,0.063,A->BnA,1642+689,3C286_or_3C48,,Fassnacht1999_ApJ527_498_Table3_MJDm50000=468
1,50474,A,8.5,33.015,0.322,BnA,1642+689,3C286_or_3C48,Rain,Fassnacht1999_ApJ527_498_Table3_MJDm50000=474
1,50474,B,8.5,16.290,0.172,BnA,1642+689,3C286_or_3C48,Rain,Fassnacht1999_ApJ527_498_Table3_MJDm50000=474
1,50474,C,8.5,16.755,0.176,BnA,1642+689,3C286_or_3C48,Rain,Fassnacht1999_ApJ527_498_Table3_MJDm50000=474
1,50474,D,8.5,5.974,0.095,BnA,1642+689,3C286_or_3C48,Rain,Fassnacht1999_ApJ527_498_Table3_MJDm50000=474
1,50478,A,8.5,32.845,0.295,BnA,1642+689,3C286_or_3C48,,Fassnacht1999_ApJ527_498_Table3_MJDm50000=478
1,50478,B,8.5,16.223,0.149,BnA,1642+689,3C286_or_3C48,,Fassnacht1999_ApJ527_498_Table3_MJDm50000=478
1,50478,C,8.5,16.945,0.156,BnA,1642+689,3C286_or_3C48,,Fassnacht1999_ApJ527_498_Table3_MJDm50000=478
1,50478,D,8.5,5.845,0.064,BnA,1642+689,3C286_or_3C48,,Fassnacht1999_ApJ527_498_Table3_MJDm50000=478
1,50481,A,8.5,33.523,0.306,BnA,1642+689,3C286_or_3C48,,Fassnacht1999_ApJ527_498_Table3_MJDm50000=481
1,50481,B,8.5,16.735,0.155,BnA,1642+689,3C286_or_3C48,,Fassnacht1999_ApJ527_498_Table3_MJDm50000=481
1,50481,C,8.5,16.709,0.155,BnA,1642+689,3C286_or_3C48,,Fassnacht1999_ApJ527_498_Table3_MJDm50000=481
1,50481,D,8.5,6.015,0.063,BnA,1642+689,3C286_or_3C48,,Fassnacht1999_ApJ527_498_Table3_MJDm50000=481
1,50487,A,8.5,33.643,0.306,BnA,1642+689,3C286_or_3C48,,Fassnacht1999_ApJ527_498_Table3_MJDm50000=487
1,50487,B,8.5,16.325,0.151,BnA,1642+689,3C286_or_3C48,,Fassnacht1999_ApJ527_498_Table3_MJDm50000=487
1,50487,C,8.5,17.410,0.161,BnA,1642+689,3C286_or_3C48,,Fassnacht1999_ApJ527_498_Table3_MJDm50000=487
1,50487,D,8.5,5.960,0.062,BnA,1642+689,3C286_or_3C48,,Fassnacht1999_ApJ527_498_Table3_MJDm50000=487
1,50492,A,8.5,34.166,0.308,BnA->B,1642+689,3C286_or_3C48,,Fassnacht1999_ApJ527_498_Table3_MJDm50000=492
1,50492,B,8.5,16.528,0.152,BnA->B,1642+689,3C286_or_3C48,,Fassnacht1999_ApJ527_498_Table3_MJDm50000=492
1,50492,C,8.5,16.923,0.155,BnA->B,1642+689,3C286_or_3C48,,Fassnacht1999_ApJ527_498_Table3_MJDm50000=492
1,50492,D,8.5,5.820,0.062,BnA->B,1642+689,3C286_or_3C48,,Fassnacht1999_ApJ527_498_Table3_MJDm50000=492
1,50497,A,8.5,33.754,0.304,B,1642+689,3C286_or_3C48,,Fassnacht1999_ApJ527_498_Table3_MJDm50000=497
1,50497,B,8.5,17.080,0.156,B,1642+689,3C286_or_3C48,,Fassnacht1999_ApJ527_498_Table3_MJDm50000=497
1,50497,C,8.5,16.961,0.155,B,1642+689,3C286_or_3C48,,Fassnacht1999_ApJ527_498_Table3_MJDm50000=497
1,50497,D,8.5,5.725,0.060,B,1642+689,3C286_or_3C48,,Fassnacht1999_ApJ527_498_Table3_MJDm50000=497
1,50502,A,8.5,34.051,0.307,B,1642+689,3C286_or_3C48,,Fassnacht1999_ApJ527_498_Table3_MJDm50000=502
1,50502,B,8.5,16.427,0.150,B,1642+689,3C286_or_3C48,,Fassnacht1999_ApJ527_498_Table3_MJDm50000=502
1,50502,C,8.5,17.323,0.158,B,1642+689,3C286_or_3C48,,Fassnacht1999_ApJ527_498_Table3_MJDm50000=502
1,50502,D,8.5,5.879,0.060,B,1642+689,3C286_or_3C48,,Fassnacht1999_ApJ527_498_Table3_MJDm50000=502
1,50507,A,8.5,34.040,0.308,B,1642+689,3C286_or_3C48,Snow storms.,Fassnacht1999_ApJ527_498_Table3_MJDm50000=507
1,50507,B,8.5,16.761,0.156,B,1642+689,3C286_or_3C48,Snow storms.,Fassnacht1999_ApJ527_498_Table3_MJDm50000=507
1,50507,C,8.5,17.495,0.162,B,1642+689,3C286_or_3C48,Snow storms.,Fassnacht1999_ApJ527_498_Table3_MJDm50000=507
1,50507,D,8.5,5.808,0.067,B,1642+689,3C286_or_3C48,Snow storms.,Fassnacht1999_ApJ527_498_Table3_MJDm50000=507
1,50510,A,8.5,33.924,0.307,B,1642+689,3C286_or_3C48,,Fassnacht1999_ApJ527_498_Table3_MJDm50000=510
1,50510,B,8.5,16.779,0.154,B,1642+689,3C286_or_3C48,,Fassnacht1999_ApJ527_498_Table3_MJDm50000=510
1,50510,C,8.5,17.754,0.163,B,1642+689,3C286_or_3C48,,Fassnacht1999_ApJ527_498_Table3_MJDm50000=510
1,50510,D,8.5,5.779,0.061,B,1642+689,3C286_or_3C48,,Fassnacht1999_ApJ527_498_Table3_MJDm50000=510
1,50515,A,8.5,32.624,0.292,B,1642+689,3C286_or_3C48,,Fassnacht1999_ApJ527_498_Table3_MJDm50000=515
1,50515,B,8.5,17.156,0.156,B,1642+689,3C286_or_3C48,,Fassnacht1999_ApJ527_498_Table3_MJDm50000=515
1,50515,C,8.5,17.050,0.155,B,1642+689,3C286_or_3C48,,Fassnacht1999_ApJ527_498_Table3_MJDm50000=515
1,50515,D,8.5,5.804,0.060,B,1642+689,3C286_or_3C48,,Fassnacht1999_ApJ527_498_Table3_MJDm50000=515
1,50521,A,8.5,33.901,0.307,B,1642+689,3C286_or_3C48,,Fassnacht1999_ApJ527_498_Table3_MJDm50000=521
1,50521,B,8.5,16.774,0.154,B,1642+689,3C286_or_3C48,,Fassnacht1999_ApJ527_498_Table3_MJDm50000=521
1,50521,C,8.5,17.356,0.159,B,1642+689,3C286_or_3C48,,Fassnacht1999_ApJ527_498_Table3_MJDm50000=521
1,50521,D,8.5,5.743,0.060,B,1642+689,3C286_or_3C48,,Fassnacht1999_ApJ527_498_Table3_MJDm50000=521
1,50523,A,8.5,34.102,0.310,B,1642+689,3C286_or_3C48,,Fassnacht1999_ApJ527_498_Table3_MJDm50000=523
1,50523,B,8.5,16.648,0.157,B,1642+689,3C286_or_3C48,,Fassnacht1999_ApJ527_498_Table3_MJDm50000=523
1,50523,C,8.5,17.337,0.162,B,1642+689,3C286_or_3C48,,Fassnacht1999_ApJ527_498_Table3_MJDm50000=523
1,50523,D,8.5,5.792,0.069,B,1642+689,3C286_or_3C48,,Fassnacht1999_ApJ527_498_Table3_MJDm50000=523
1,50528,A,8.5,34.548,0.314,B,1642+689,3C286_or_3C48,,Fassnacht1999_ApJ527_498_Table3_MJDm50000=528
1,50528,B,8.5,16.691,0.155,B,1642+689,3C286_or_3C48,,Fassnacht1999_ApJ527_498_Table3_MJDm50000=528
1,50528,C,8.5,17.386,0.161,B,1642+689,3C286_or_3C48,,Fassnacht1999_ApJ527_498_Table3_MJDm50000=528
1,50528,D,8.5,5.582,0.061,B,1642+689,3C286_or_3C48,,Fassnacht1999_ApJ527_498_Table3_MJDm50000=528
1,50532,A,8.5,34.210,0.295,B,1642+689,3C286_or_3C48,Wind >= 10 m/s. Snowing.,Fassnacht1999_ApJ527_498_Table3_MJDm50000=532
1,50532,B,8.5,16.394,0.145,B,1642+689,3C286_or_3C48,Wind >= 10 m/s. Snowing.,Fassnacht1999_ApJ527_498_Table3_MJDm50000=532
1,50532,C,8.5,17.069,0.150,B,1642+689,3C286_or_3C48,Wind >= 10 m/s. Snowing.,Fassnacht1999_ApJ527_498_Table3_MJDm50000=532
1,50532,D,8.5,5.777,0.061,B,1642+689,3C286_or_3C48,Wind >= 10 m/s. Snowing.,Fassnacht1999_ApJ527_498_Table3_MJDm50000=532
1,50537,A,8.5,33.749,0.307,B,1642+689,3C286_or_3C48,,Fassnacht1999_ApJ527_498_Table3_MJDm50000=537
1,50537,B,8.5,16.636,0.153,B,1642+689,3C286_or_3C48,,Fassnacht1999_ApJ527_498_Table3_MJDm50000=537
1,50537,C,8.5,17.181,0.158,B,1642+689,3C286_or_3C48,,Fassnacht1999_ApJ527_498_Table3_MJDm50000=537
1,50537,D,8.5,5.792,0.058,B,1642+689,3C286_or_3C48,,Fassnacht1999_ApJ527_498_Table3_MJDm50000=537
1,50539,A,8.5,34.388,0.309,B,1642+689,3C286_or_3C48,,Fassnacht1999_ApJ527_498_Table3_MJDm50000=539
1,50539,B,8.5,16.958,0.155,B,1642+689,3C286_or_3C48,,Fassnacht1999_ApJ527_498_Table3_MJDm50000=539
1,50539,C,8.5,16.927,0.155,B,1642+689,3C286_or_3C48,,Fassnacht1999_ApJ527_498_Table3_MJDm50000=539
1,50539,D,8.5,5.826,0.061,B,1642+689,3C286_or_3C48,,Fassnacht1999_ApJ527_498_Table3_MJDm50000=539
1,50543,A,8.5,34.049,0.306,B,1642+689,3C286_or_3C48,,Fassnacht1999_ApJ527_498_Table3_MJDm50000=543
1,50543,B,8.5,16.921,0.155,B,1642+689,3C286_or_3C48,,Fassnacht1999_ApJ527_498_Table3_MJDm50000=543
1,50543,C,8.5,17.185,0.157,B,1642+689,3C286_or_3C48,,Fassnacht1999_ApJ527_498_Table3_MJDm50000=543
1,50543,D,8.5,5.830,0.062,B,1642+689,3C286_or_3C48,,Fassnacht1999_ApJ527_498_Table3_MJDm50000=543
