#id ra dec a b theta mag ?
#1 104.65872211191241 -55.95715728753242 0.01 0.01 0.0 15.77 0.1
141 104.58501930074523 -55.953205886181124 0.01 0.01 0.0 20.26 0.1
142 104.6501766106261 -55.95654818737625 0.01 0.01 0.0 20.31 0.1
143 104.63118250811898 -55.94917818702866 0.01 0.01 0.0 20.31 0.1
144 104.68217841568845 -55.9546173879604 0.01 0.01 0.0 20.32 0.1
145 104.55747009632276 -55.955973185673486 0.01 0.01 0.0 20.33 0.1
146 104.57846420145839 -55.92378968606046 0.01 0.01 0.0 20.34 0.1
147 104.66784941297246 -55.96319688769908 0.01 0.01 0.0 20.34 0.1
148 104.67697571415665 -55.96711108786556 0.01 0.01 0.0 20.38 0.1
149 104.53182259373033 -55.93269408519964 0.01 0.01 0.0 20.39 0.1
150 104.67459041508576 -55.94480238782206 0.01 0.01 0.0 20.39 0.1
151 104.63715550887602 -55.952030087138034 0.01 0.01 0.0 20.40 0.1
152 104.55955619717633 -55.94694988571197 0.01 0.01 0.0 20.40 0.1
153 104.6516091112668 -55.94936178740244 0.01 0.01 0.0 20.42 0.1
154 104.5506949960795 -55.94231578554842 0.01 0.01 0.0 20.43 0.1
155 104.65820451173337 -55.95885478752296 0.01 0.01 0.0 20.45 0.1
156 104.5847112002883 -55.96017668617545 0.01 0.01 0.0 20.48 0.1
157 104.65387171159281 -55.949770787443796 0.01 0.01 0.0 20.48 0.1
158 104.60539780445642 -55.943643686555724 0.01 0.01 0.0 20.51 0.1
159 104.61471300489787 -55.96070278672673 0.01 0.01 0.0 20.52 0.1
160 104.56999779885578 -55.94583658590449 0.01 0.01 0.0 20.52 0.1
161 104.53736969457823 -55.93284688530222 0.01 0.01 0.0 20.54 0.1
162 104.61128440395701 -55.967709986663806 0.01 0.01 0.0 20.55 0.1
163 104.64114250968453 -55.948741587210996 0.01 0.01 0.0 20.57 0.1
164 104.58723720083822 -55.957464086221925 0.01 0.01 0.0 20.57 0.1
165 104.64274370956443 -55.95504108724031 0.01 0.01 0.0 20.61 0.1
166 104.64843550989995 -55.96437648734442 0.01 0.01 0.0 20.62 0.1
167 104.68483171520604 -55.96997058800874 0.01 0.01 0.0 20.62 0.1
168 104.62401860636498 -55.96022958689739 0.01 0.01 0.0 20.63 0.1
169 104.57008259931746 -55.93820288590606 0.01 0.01 0.0 20.65 0.1
170 104.65643301240854 -55.94256848749061 0.01 0.01 0.0 20.65 0.1
171 104.69853771860852 -55.94790498825829 0.01 0.01 0.0 20.65 0.1
172 104.547285795393 -55.945025985485465 0.01 0.01 0.0 20.66 0.1
173 104.67574331317026 -55.98077308784308 0.01 0.01 0.0 20.66 0.1
174 104.65452521173256 -55.94910668745573 0.01 0.01 0.0 20.67 0.1
175 104.59482250322667 -55.936734686361426 0.01 0.01 0.0 20.69 0.1
176 104.54348399646578 -55.91682658541523 0.01 0.01 0.0 20.69 0.1
177 104.64637451011366 -55.955252187306726 0.01 0.01 0.0 20.72 0.1
178 104.6408639103582 -55.936457687205895 0.01 0.01 0.0 20.72 0.1
179 104.6578532116959 -55.958565487516545 0.01 0.01 0.0 20.75 0.1
180 104.56495279721922 -55.96040188581149 0.01 0.01 0.0 20.77 0.1
181 104.63848140916213 -55.9506417871623 0.01 0.01 0.0 20.77 0.1
182 104.5630890987974 -55.92866378577713 0.01 0.01 0.0 20.80 0.1
183 104.6649665126707 -55.96072078764645 0.01 0.01 0.0 20.83 0.1
184 104.62866430865685 -55.933305086982514 0.01 0.01 0.0 20.84 0.1
185 104.62406730773255 -55.93696738689828 0.01 0.01 0.0 20.84 0.1
186 104.64428461082322 -55.937549587268485 0.01 0.01 0.0 20.85 0.1
187 104.6414836098396 -55.94698818721725 0.01 0.01 0.0 20.85 0.1
188 104.59643770229167 -55.956942686391116 0.01 0.01 0.0 20.86 0.1
189 104.60817080438667 -55.95215478660666 0.01 0.01 0.0 20.86 0.1
190 104.56253349766654 -55.94644018576689 0.01 0.01 0.0 20.87 0.1
191 104.62658720805082 -55.93818558694446 0.01 0.01 0.0 20.90 0.1
192 104.55527689609467 -55.954087285633 0.01 0.01 0.0 20.91 0.1
193 104.65537201096457 -55.9645240874712 0.01 0.01 0.0 20.91 0.1
194 104.67357831296992 -55.9784590878036 0.01 0.01 0.0 20.94 0.1
195 104.66615571207976 -55.97401778766815 0.01 0.01 0.0 20.97 0.1
196 104.6762151133871 -55.97830488785168 0.01 0.01 0.0 20.99 0.1
197 104.65799751146099 -55.96297728751919 0.01 0.01 0.0 21.00 0.1
198 104.64505711022456 -55.94986018728262 0.01 0.01 0.0 21.01 0.1
199 104.65979391255398 -55.94899188755199 0.01 0.01 0.0 21.01 0.1
200 104.66725631271784 -55.965992287688245 0.01 0.01 0.0 21.02 0.1
201 104.5434329940575 -55.95758098541428 0.01 0.01 0.0 21.02 0.1
202 104.66541371292942 -55.95746718765461 0.01 0.01 0.0 21.03 0.1
203 104.64625021092219 -55.94106248730445 0.01 0.01 0.0 21.05 0.1
204 104.56244459801371 -55.94030288576524 0.01 0.01 0.0 21.06 0.1
205 104.63545970886507 -55.94772738710699 0.01 0.01 0.0 21.14 0.1
206 104.63852340909672 -55.95187288716307 0.01 0.01 0.0 21.14 0.1
207 104.654181410464 -55.96994608744945 0.01 0.01 0.0 21.16 0.1
208 104.68522071482857 -55.97749278801584 0.01 0.01 0.0 21.18 0.1
209 104.61329070516561 -55.952372686700635 0.01 0.01 0.0 21.18 0.1
210 104.61841440697934 -55.934907286794626 0.01 0.01 0.0 21.18 0.1
211 104.5557200979688 -55.923396785641174 0.01 0.01 0.0 21.20 0.1
212 104.62490900617496 -55.9658318869137 0.01 0.01 0.0 21.21 0.1
213 104.54256559469069 -55.94456388539826 0.01 0.01 0.0 21.23 0.1
214 104.59592150354766 -55.93415478638163 0.01 0.01 0.0 21.24 0.1
215 104.61808780583827 -55.95355408678863 0.01 0.01 0.0 21.24 0.1
216 104.68025681428153 -55.97368918792537 0.01 0.01 0.0 21.25 0.1
217 104.64543591041134 -55.94766258728955 0.01 0.01 0.0 21.26 0.1
218 104.6657202118326 -55.97710048766021 0.01 0.01 0.0 21.27 0.1
219 104.64292840884005 -55.96793538724369 0.01 0.01 0.0 21.27 0.1
