#REFERENCE 3 104.6587124 -55.9571457
   #ID       X         Y         R       EPS       TAU       AMP       E_AMP      DMAG  TIME[days]  DTIME    PARITY
 K9a.2    20.724    34.507    40.252     0.000     0.000    45.929     3.649      4.16  -388367.5    3633.0    +-
 K9a.1    43.775     7.575    44.425     0.963     3.596     5.247     0.104      1.80  -391975.9      24.6    ++
 K9a.1    20.948    34.662    40.500     0.352     0.376    32.685     2.297      3.79  -388428.9    3571.7    +-
 K9a.1    18.575    35.303    39.891     0.000     0.000    51.104     2.395      4.27  -388434.5    3566.0    ++
 N3b.3   183.922    70.573   196.997     0.478     0.543     3.233     0.167      1.27  -511232.0       0.0    ++
 N3b.2   183.649    71.122   196.940     0.000     0.000     3.157     0.159      1.25  -511319.1     -87.1    ++
 N3b.1   184.000    70.388   197.004     0.604     0.758     3.261     0.169      1.28  -511188.1      43.9    ++
 N3b.1   188.081    38.479   191.977     0.000     0.000     6.795     0.499      2.08  -508825.3    2406.7    ++
 N3a.3   183.876    70.360   196.878     0.444     0.496     3.270     0.170      1.29  -511017.1       0.0    ++
 N3a.3   187.894    38.366   191.771     0.200     0.204     6.650     0.486      2.06  -508683.1    2334.0    ++
 N3a.2   183.661    70.899   196.870     0.000     0.000     3.191     0.162      1.26  -511162.0    -144.9    ++
 N3a.1   183.977    70.207   196.917     0.576     0.704     3.293     0.172      1.29  -511025.4      -8.3    ++
 N3a.1   187.972    38.180   191.810     0.000     0.000     6.428     0.468      2.02  -508789.2    2227.9    ++
 N12.2    35.344    -9.985    36.728     0.272     0.283     4.944     0.096      1.74  -394788.0       0.0    ++
 N12.2     4.933    12.076    13.045     0.085     0.085     7.877     0.147      2.24  -389542.3    5245.7    +-
 N12.2    -2.647    16.163    16.378     0.000     0.000     9.033     0.134      2.39  -389689.2    5098.8    ++
 N12.1    35.700   -10.079    37.095     0.347     0.371     4.915     0.095      1.73  -394837.9     -49.9    ++
 N12.1    -2.073    15.981    16.115     0.071     0.071    10.184     0.163      2.52  -389477.5    5310.5    ++
 N12.1     4.528    12.459    13.256     0.000     0.000     9.010     0.176      2.39  -389380.2    5407.8    +-
  N4.3   195.863    62.891   205.713     0.951     3.092     6.005     0.403      1.95  -520031.0       0.0    ++
  N4.3   198.303    51.695   204.930     0.718     1.033     4.461     0.306      1.62  -519783.4     247.6    +-
  N4.3   197.836    36.806   201.230     0.000     0.000     5.683     0.391      1.89  -520361.3    -330.3    ++
  N4.2   195.556    63.369   205.566     0.787     1.276     5.484     0.356      1.85  -519963.7      67.3    ++
  N4.2   197.805    37.175   201.268     0.751     1.138     5.981     0.418      1.94  -520167.3    -136.3    ++
  N4.2   198.247    51.298   204.777     0.000     0.000     4.343     0.300      1.59  -519657.1     373.9    +-
  N4.1   196.950    35.997   200.213     0.918     2.318     4.563     0.284      1.65  -519387.1     643.9    ++
  N4.1   197.626    52.015   204.356     0.811     1.388     4.532     0.306      1.64  -518706.8    1324.2    +-
  N4.1   194.980    63.018   204.910     0.000     0.000     5.882     0.393      1.92  -518930.0    1101.0    ++
 K11.3   189.598    68.461   201.579     0.000     0.000     4.198     0.259      1.56  -516674.6       0.0    ++
 K11.2   190.209    68.349   202.116     0.862     1.699     4.949     0.333      1.74  -517412.1    -737.5    ++
 K11.1   190.358    67.678   202.031     0.943     2.831     5.537     0.395      1.86  -517086.5    -411.9    ++
  K5.3    12.866    26.186    29.176     0.766     1.191    11.458     0.249      2.65  -387879.0       0.0    +-
  K5.3    42.170     2.349    42.236     0.754     1.147     4.999     0.083      1.75  -392502.6   -4623.6    ++
  K5.3     6.518    30.376    31.067     0.000     0.000    13.612     0.349      2.83  -387945.8     -66.7    ++
  K5.2     6.064    30.994    31.582     0.665     0.890    11.884     0.281      2.69  -388216.2    -337.2    ++
  K5.2    41.937     2.993    42.044     0.217     0.222     5.091     0.087      1.77  -392350.6   -4471.6    ++
  K5.2    13.736    25.821    29.247     0.000     0.000     7.914     0.177      2.25  -388069.7    -190.6    +-
  K5.1     6.255    31.193    31.814     0.784     1.263    12.386     0.309      2.73  -388233.4    -354.3    ++
  K5.1    13.953    25.927    29.443     0.193     0.196     7.546     0.173      2.19  -388079.3    -200.2    +-
  K5.1    41.996     3.200    42.117     0.000     0.000     5.103     0.087      1.77  -392322.1   -4443.0    ++
 K2c.3    13.148     2.448    13.374     0.810     1.382    12.348     0.381      2.73  -392861.3       0.0    +-
 K2c.3    23.973    -4.480    24.388     0.669     0.900     8.803     0.142      2.36  -393176.2    -314.9    ++
 K2c.3   -12.558    21.041    24.503     0.000     0.000     4.044     0.033      1.52  -397102.3   -4241.1    ++
 K2c.2   -12.528    20.768    24.254     0.646     0.846     4.063     0.033      1.52  -397009.9   -4148.6    ++
 K2c.2    12.681     2.486    12.922     0.325     0.344    12.508     0.413      2.74  -392882.9     -21.6    +-
 K2c.2    24.146    -4.838    24.626     0.000     0.000     8.520     0.138      2.33  -393238.8    -377.5    ++
 K2c.1   -11.941    21.900    24.944     0.739     1.096     4.065     0.034      1.52  -396725.5   -3864.3    ++
 K2c.1    24.782    -3.758    25.065     0.204     0.209     8.531     0.140      2.33  -392956.3     -95.0    ++
 K2c.1    13.240     3.656    13.736     0.000     0.000     9.796     0.267      2.48  -392581.2     280.1    +-
 K2b.3    14.987     0.767    15.007     0.819     1.425     9.168     0.172      2.41  -393077.4       0.0    +-
 K2b.3    22.025    -3.745    22.341     0.811     1.384    11.678     0.189      2.67  -393185.1    -107.6    ++
 K2b.3   -13.449    21.087    25.011     0.000     0.000     3.945     0.031      1.49  -397971.4   -4893.9    ++
 K2b.2   -13.584    20.875    24.906     0.812     1.390     3.942     0.031      1.49  -398053.2   -4975.8    ++
 K2b.2    14.921     0.541    14.931     0.204     0.208     8.978     0.171      2.38  -393139.3     -61.9    +-
 K2b.2    21.853    -3.927    22.203     0.000     0.000    11.833     0.191      2.68  -393243.1    -165.7    ++
 K2b.1   -12.912    21.453    25.039     0.840     1.546     3.981     0.032      1.50  -397543.6   -4466.2    ++
 K2b.1    23.035    -3.705    23.331     0.291     0.305    10.154     0.163      2.52  -393081.9      -4.5    ++
 K2b.1    14.540     1.752    14.645     0.000     0.000    11.419     0.251      2.64  -392897.9     179.5    +-
 K2a.3    13.786     2.237    13.966     0.831     1.497    12.257     0.340      2.72  -392859.2       0.0    +-
 K2a.3    23.626    -4.081    23.976     0.704     0.991     9.295     0.149      2.42  -393114.2    -255.0    ++
 K2a.3   -12.673    21.300    24.785     0.000     0.000     4.015     0.033      1.51  -397274.1   -4414.9    ++
 K2a.2   -12.699    21.015    24.553     0.684     0.938     4.029     0.033      1.51  -397222.5   -4363.3    ++
 K2a.2    13.410     2.174    13.585     0.370     0.398    12.507     0.367      2.74  -392903.1     -43.9    +-
 K2a.2    23.715    -4.431    24.125     0.000     0.000     9.035     0.145      2.39  -393185.1    -325.9    ++
 K2a.1   -12.095    22.052    25.151     0.787     1.276     4.038     0.033      1.52  -396908.5   -4049.3    ++
 K2a.1    24.418    -3.481    24.665     0.266     0.276     8.917     0.146      2.38  -392920.8     -61.6    ++
 K2a.1    13.712     3.390    14.124     0.000     0.000    11.056     0.314      2.61  -392607.9     251.3    +-
 K4d.3     9.400    18.146    20.436     0.266     0.276    10.533     0.312      2.56  -388693.5       0.0    +-
 K4d.3    -0.567    24.108    24.114     0.231     0.238     7.733     0.099      2.22  -388969.1    -275.7    ++
 K4d.3    38.636    -3.048    38.756     0.000     0.000     5.421     0.099      1.84  -393223.6   -4530.1    ++
 K4d.2    -1.054    24.386    24.409     0.309     0.325     7.179     0.090      2.14  -389252.8    -559.3    ++
 K4d.2    38.168    -2.820    38.272     0.160     0.162     5.421     0.099      1.84  -393114.6   -4421.1    ++
 K4d.2    10.006    17.700    20.333     0.000     0.000     8.304     0.198      2.30  -388879.8    -186.3    +-
 K4d.1    10.133    17.710    20.404     0.295     0.309     8.143     0.189      2.28  -388897.0    -203.6    +-
 K4d.1    38.141    -2.724    38.238     0.195     0.199     5.410     0.098      1.83  -393086.4   -4393.0    ++
 K4d.1    -1.079    24.508    24.532     0.000     0.000     7.116     0.089      2.13  -389285.9    -592.4    ++
 K4c.3     8.157    18.860    20.549     0.515     0.601    16.494     0.758      3.04  -388409.8       0.0    +-
 K4c.3     0.149    23.615    23.616     0.252     0.261     8.899     0.119      2.37  -388565.3    -155.5    ++
 K4c.3    39.299    -3.423    39.448     0.000     0.000     5.438     0.099      1.84  -393383.4   -4973.6    ++
 K4c.2    -0.106    23.959    23.960     0.563     0.681     8.327     0.109      2.30  -388725.1    -315.3    ++
 K4c.2    39.066    -3.173    39.195     0.398     0.434     5.401     0.098      1.83  -393296.7   -4886.8    ++
 K4c.2     8.819    18.647    20.627     0.000     0.000    13.645     0.534      2.84  -388513.6    -103.7    +-
 K4c.1     9.012    18.564    20.635     0.530     0.626    12.830     0.469      2.77  -388549.8    -140.0    +-
 K4c.1    38.981    -3.101    39.104     0.238     0.245     5.394     0.097      1.83  -393269.9   -4860.0    ++
 K4c.1    -0.196    24.054    24.055     0.000     0.000     8.163     0.106      2.28  -388781.0    -371.2    ++
 K4b.3     4.848    20.117    20.693     0.813     1.398    18.367     0.822      3.16  -387953.4       0.0    +-
 K4b.3     1.468    22.552    22.599     0.372     0.401    14.216     0.326      2.88  -387966.6     -13.2    ++
 K4b.3    40.306    -4.075    40.512     0.000     0.000     5.421     0.099      1.84  -393633.1   -5679.7    ++
 K4b.2     1.809    22.589    22.661     0.843     1.566    16.509     0.519      3.04  -387848.4     105.0    ++
 K4b.2    40.541    -4.014    40.739     0.810     1.383     5.311     0.095      1.81  -393653.3   -5699.9    ++
 K4b.2     4.313    20.566    21.013     0.000     0.000    17.094     0.991      3.08  -387845.5     107.9    +-
 K4b.1     4.507    20.534    21.022     0.839     1.542    16.240     0.886      3.03  -387870.8      82.6    +-
 K4b.1    40.499    -3.929    40.689     0.391     0.424     5.303     0.094      1.81  -393615.5   -5662.1    ++
 K4b.1     1.714    22.769    22.834     0.000     0.000    15.112     0.398      2.95  -387876.8      76.6    ++
 K4a.3     6.894    19.374    20.564     0.728     1.063    22.683     0.918      3.39  -388232.8       0.0    +-
 K4a.3     0.641    23.187    23.196     0.243     0.251    10.180     0.147      2.52  -388308.9     -76.2    ++
 K4a.3    39.720    -3.718    39.894     0.000     0.000     5.461     0.100      1.84  -393495.7   -5262.9    ++
 K4a.2     0.567    23.317    23.324     0.799     1.329     9.887     0.140      2.49  -388350.6    -117.8    ++
 K4a.2    39.661    -3.632    39.827     0.705     0.994     5.442     0.099      1.84  -393468.8   -5236.1    ++
 K4a.2     7.148    19.335    20.614     0.000     0.000    22.329     1.041      3.37  -388263.8     -31.0    +-
 K4a.1     7.304    19.475    20.800     0.809     1.376    23.680     1.283      3.44  -388265.7     -33.0    +-
 K4a.1    39.683    -3.482    39.836     0.234     0.241     5.386     0.097      1.83  -393432.2   -5199.4    ++
 K4a.1     0.592    23.547    23.554     0.000     0.000     9.715     0.136      2.47  -388359.8    -127.1    ++
K10b.3   193.188    63.364   203.314     0.845     1.580     5.720     0.396      1.89  -516056.0       0.0    ++
K10b.3   196.346    52.994   203.372     0.732     1.074     4.927     0.299      1.73  -515858.7     197.3    +-
K10b.3   195.189    33.936   198.117     0.000     0.000     3.693     0.215      1.42  -516967.4    -911.4    ++
K10b.2   193.207    63.337   203.324     0.774     1.224     5.740     0.397      1.90  -516059.4      -3.3    ++
K10b.2   195.194    33.922   198.120     0.734     1.081     3.688     0.215      1.42  -516979.9    -923.9    ++
K10b.2   196.349    53.022   203.382     0.000     0.000     4.953     0.300      1.74  -515865.6     190.4    +-
K10b.1   194.779    33.214   197.590     0.842     1.562     3.502     0.199      1.36  -516740.4    -684.4    ++
K10b.1   195.935    54.097   203.266     0.795     1.312     6.345     0.364      2.01  -515366.7     689.3    +-
K10b.1   193.122    62.595   203.013     0.000     0.000     6.432     0.464      2.02  -515465.0     591.0    ++
K10a.3   193.053    63.921   203.360     0.844     1.571     5.332     0.360      1.82  -516286.1       0.0    ++
K10a.3   196.485    52.318   203.331     0.687     0.944     4.431     0.274      1.62  -516004.0     282.2    +-
K10a.3   195.325    34.411   198.333     0.000     0.000     3.854     0.230      1.46  -516949.1    -663.0    ++
K10a.2   193.107    63.969   203.427     0.756     1.155     5.297     0.356      1.81  -516384.0     -97.9    ++
K10a.2   195.402    34.497   198.424     0.682     0.933     3.883     0.232      1.47  -517013.0    -726.9    ++
K10a.2   196.549    52.237   203.372     0.000     0.000     4.384     0.272      1.60  -516090.1     196.0    +-
K10a.1   194.872    33.757   197.774     0.837     1.528     3.652     0.212      1.41  -516641.5    -355.4    ++
K10a.1   196.095    53.097   203.156     0.766     1.190     5.037     0.301      1.76  -515472.5     813.6    +-
K10a.1   192.853    63.381   203.001     0.000     0.000     5.725     0.398      1.89  -515677.2     609.0    ++
 K1e.3    56.436    50.679    75.851     0.999    26.166   102.813     8.659      5.03  -399292.5       0.0    ++
