day_key,schema_variant,utc_iso,time,tab_name,start,stop,image0_time,image1_time,image2_time,image3_time,image0_name,image1_name,image2_name,image3_name,image0_human_time,image1_human_time,image2_human_time,image3_human_time,new_path,found
2022_153,C16,2022-06-02T20:27:03.133000Z,2022-153T20:27:03.133000,Tables/220602_V40_3737037480_DiffMZI_30sep_T10p0ms/V40-00007-02773-Phase_210p000000T01-RDiffMZI_30sep_T10p0ms.cet,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,220602_V40_3737037480_DiffMZI_30sep_T10p0ms/Phase/210p000000T0,N/A
2022_153,C16,2022-06-02T20:28:13.774000Z,2022-153T20:28:13.774000,C:/CALSupportFiles/TimeSequences/Run_WFC_LongAWG_45s_w_Rb-only_HZW_telem.cts,,,3737046492.082320,3737046492.889937,N/A,N/A,img0_image%d0_3737046492.082320.png,img0_image%d1_3737046492.889937.png,N/A,N/A,2022-153T20:28:12.082000,2022-153T20:28:12.889000,N/A,N/A,220602_V40_3737037480_DiffMZI_30sep_T10p0ms/Phase/210p000000T1,Found 2022/153 2022/153
2022_153,C16,2022-06-02T20:29:20.707000Z,2022-153T20:29:20.707000,C:/CALSupportFiles/TimeSequences/Run_WFC_LongAWG_45s_w_Rb-only_HZW_telem.cts,,,3737046558.905562,3737046559.868453,N/A,N/A,img0_image%d0_3737046558.905562.png,img0_image%d1_3737046559.868453.png,N/A,N/A,2022-153T20:29:18.905000,2022-153T20:29:19.868000,N/A,N/A,220602_V40_3737037480_DiffMZI_30sep_T10p0ms/Phase/210p000000T2,Found 2022/153 2022/153
2022_153,C16,2022-06-02T20:30:19.756000Z,2022-153T20:30:19.756000,C:/CALSupportFiles/TimeSequences/Run_WFC_LongAWG_45s_w_Rb-only_HZW_telem.cts,,,3737046617.737594,3737046618.627242,N/A,N/A,img0_image%d0_3737046617.737594.png,img0_image%d1_3737046618.627242.png,N/A,N/A,2022-153T20:30:17.737000,2022-153T20:30:18.627000,N/A,N/A,220602_V40_3737037480_DiffMZI_30sep_T10p0ms/Phase/210p000000T3,Found 2022/153 2022/153
2022_153,C16,2022-06-02T20:32:36.970000Z,2022-153T20:32:36.970000,C:/CALSupportFiles/TimeSequences/Run_WFC_LongAWG_45s_w_Rb-only_HZW_telem.cts,,,3737046754.727828,3737046755.929000,N/A,N/A,img0_image%d0_3737046754.727828.png,img0_image%d1_3737046755.929000.png,N/A,N/A,2022-153T20:32:34.727000,2022-153T20:32:35.928000,N/A,N/A,220602_V40_3737037480_DiffMZI_30sep_T10p0ms/Phase/210p000000T4,Found 2022/153 2022/153
2022_153,C16,2022-06-02T20:35:07.033000Z,2022-153T20:35:07.033000,C:/CALSupportFiles/TimeSequences/Run_WFC_LongAWG_45s_w_Rb-only_HZW_telem.cts,,,3737046905.242476,3737046906.376266,N/A,N/A,img0_image%d0_3737046905.242476.png,img0_image%d1_3737046906.376266.png,N/A,N/A,2022-153T20:35:05.242000,2022-153T20:35:06.376000,N/A,N/A,220602_V40_3737037480_DiffMZI_30sep_T10p0ms/Phase/210p000000T5,Found 2022/153 2022/153
2022_153,C16,2022-06-02T20:35:40.633000Z,2022-153T20:35:40.633000,Tables/220602_V40_3737037480_DiffMZI_30sep_T10p0ms/V40-00008-02774-Phase_240p000000T01-RDiffMZI_30sep_T10p0ms.cet,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,220602_V40_3737037480_DiffMZI_30sep_T10p0ms/Phase/240p000000T0,N/A
2022_153,C16,2022-06-02T20:36:44.155000Z,2022-153T20:36:44.155000,C:/CALSupportFiles/TimeSequences/Run_WFC_LongAWG_45s_w_Rb-only_HZW_telem.cts,,,3737047001.921187,3737047003.135055,N/A,N/A,img0_image%d0_3737047001.921187.png,img0_image%d1_3737047003.135055.png,N/A,N/A,2022-153T20:36:41.921000,2022-153T20:36:43.135000,N/A,N/A,220602_V40_3737037480_DiffMZI_30sep_T10p0ms/Phase/240p000000T1,Found 2022/153 2022/153
2022_153,C16,2022-06-02T20:37:45.327000Z,2022-153T20:37:45.327000,C:/CALSupportFiles/TimeSequences/Run_WFC_LongAWG_45s_w_Rb-only_HZW_telem.cts,,,3737047062.746383,3737047064.112594,N/A,N/A,img0_image%d0_3737047062.746383.png,img0_image%d1_3737047064.112594.png,N/A,N/A,2022-153T20:37:42.746000,2022-153T20:37:44.112000,N/A,N/A,220602_V40_3737037480_DiffMZI_30sep_T10p0ms/Phase/240p000000T2,Found 2022/153 2022/153
2022_153,C16,2022-06-02T20:38:42.765000Z,2022-153T20:38:42.765000,C:/CALSupportFiles/TimeSequences/Run_WFC_LongAWG_45s_w_Rb-only_HZW_telem.cts,,,3737047120.956344,3737047121.941695,N/A,N/A,img0_image%d0_3737047120.956344.png,img0_image%d1_3737047121.941695.png,N/A,N/A,2022-153T20:38:40.956000,2022-153T20:38:41.941000,N/A,N/A,220602_V40_3737037480_DiffMZI_30sep_T10p0ms/Phase/240p000000T3,Found 2022/153 2022/153
