run_key,n_shots,utc_first,utc_last
20365-W3--RBraggAI_ARP30_20msT_Phase_v1,82,2020-12-30T22:49:07.937000Z,2020-12-30T23:54:18.436000Z
21004-Z2--RZH_Fesh_releaseV3,9,2021-01-04T23:54:22.360000Z,2021-01-04T23:59:57.609000Z
21005-V32--R_kickF48_WFC_ARP30_TOF_v1,52,2021-01-07T00:01:31.571000Z,2021-01-07T00:43:56.339000Z
21005-V32--R_kickF48_WFC_ARP30_TOF_v2,84,2021-01-08T20:52:58.732000Z,2021-01-08T22:12:35.937000Z
21007-V33--R_kickA_1stPulse_5ms_v1,18,2021-01-11T22:55:09.007000Z,2021-01-11T23:05:22.232000Z
21007-V33--R_kickA_2ndPulse_5ms_v1,20,2021-01-11T23:12:15.390000Z,2021-01-11T23:26:54.336000Z
21007-V33--R_kickA_3PulseAI_5ms_v1,40,2021-01-11T21:18:30.149000Z,2021-01-11T22:48:28.556000Z
21007-V33--R_kickA_3rdPulse_5ms_v1,19,2021-01-11T23:47:11.790000Z,2021-01-11T23:59:50.954000Z
21007-V33--R_kickA_Pulse1and2_5ms_v1,20,2021-01-12T00:09:19.485000Z,2021-01-12T00:22:57.257000Z
21007-X1--R_2_pulse_AI_Cass_v29,32,2021-01-07T22:56:16.793000Z,2021-01-07T23:45:59.429000Z
210105_V32_3692652240_kickF48_WFC_ARP30_TOF_v1,4,2021-01-08T21:19:09.582000Z,2021-01-08T21:27:09.427000Z
210106_Y05_3692813188_420ZHB3wfc_tRFoff1,8,2021-01-07T01:24:28.079000Z,2021-01-07T21:01:42.635000Z
210106_Y05_3692813540_460ZHB3wfc_tRFoff2,7,2021-01-07T21:04:33.149000Z,2021-01-07T21:12:07.118000Z
210106_Y07_3692806174_700msZHB3bragg_tSlosh0,12,2021-01-07T21:14:26.291000Z,2021-01-07T21:32:21.465000Z
210107_Y07_3692904860_becZHB3bragg_tSlosh1,31,2021-01-11T19:59:28.345000Z,2021-01-12T02:00:27.648000Z
210107_Y07_3692905919_becZHB3bragg_tSlosh2,4,2021-01-11T19:51:58.566000Z,2021-01-11T19:58:04.350000Z
21011-X1--R_2_pulse_AI_Cass_v29B,78,2021-01-13T19:57:27.432000Z,2021-01-13T20:49:07.930000Z
21011-X1--R_2_pulse_AI_Cass_v30,102,2021-01-12T00:30:41.322000Z,2021-01-12T01:28:55.236000Z
210111_X01_3693244463_2_pulse_AI_Cass_v30,38,2021-02-17T19:34:08.837000Z,2021-02-17T20:14:05.112000Z
210112_Y05_3693315904_460ZHB3wfc_dRF1,4,2021-01-13T21:25:24.892000Z,2021-01-13T21:34:58.177000Z
210112_Y20_3693323608_200ZHB3wfcSG_dRF0,9,2021-01-13T20:54:09.759000Z,2021-01-13T21:14:01.350000Z
210113_V33_3693411087_kickA_3PAI_4p3ms_v1,22,2021-01-20T23:40:00.738000Z,2021-01-22T23:52:31.259000Z
210114_Y05_3693488423_390ZHB3wfc_dRF3,13,2021-01-26T20:18:21.400000Z,2021-01-26T20:37:54.883000Z
210114_Y05_3693509017_RF6p2ZHB3wfc_rfmax5,12,2021-01-19T19:04:25.872000Z,2021-01-19T19:53:10.237000Z
21012-Y5-01-R_460ZHB3wfc_dRF1,52,2021-01-13T21:43:25.047000Z,2021-01-13T22:22:07.839000Z
210120_A06_3694025904_Calib_Lifetime,28,2021-01-20T22:53:13.229000Z,2021-01-20T23:29:54.755000Z
210120_Y04_3694018774_400ZHB3bragg_TOF1,6,2021-01-20T22:22:39.438000Z,2021-01-22T23:25:55.123000Z
210120_Y04_3694020098_therm400ZHB3bragg_TOF2,11,2021-01-20T22:10:04.366000Z,2021-01-22T23:21:36.887000Z
210120_Y05_3693947295_420ZHB3wfc_tHold1,17,2021-01-20T01:40:03.376000Z,2021-01-22T21:26:38.649000Z
210120_Y07_3694016789_becZHB3bragg_tSlosh3,4,2021-01-20T22:27:15.180000Z,2021-01-20T22:33:24.052000Z
210120_Y20_3693946289_390ZHB3wfcSG_dRF4,5,2021-01-20T01:32:58.902000Z,2021-01-20T01:39:03.125000Z
210121_Y05_3694113622_390ZHB3hrc_dRF1,3,2021-01-22T21:30:01.875000Z,2021-01-22T21:34:17.100000Z
210121_Y05_3694114603_390ZHB3wfc_tHold3,24,2021-01-23T01:39:12.631000Z,2021-01-26T23:23:45.710000Z
210125_V33_3694458913_kickA_3PAI_PrepPulse_v2,43,2021-01-27T22:39:15.429000Z,2021-01-27T23:29:56.508000Z
210125_Y05_3694460766_380ZHB3bragg_TOF0,26,2021-01-26T00:22:04.793000Z,2021-01-27T21:57:54.218000Z
210125_Y05_3694461852_380ZHB3bragg_TOF2,6,2021-01-26T00:50:22.180000Z,2021-01-26T00:53:05.709000Z
210125_Y05_3694461975_380ZHB3bragg_TOF1,25,2021-01-26T00:53:39.115000Z,2021-01-27T21:27:20.311000Z
210126_Y04_3694544870_380becZHB3bragg_TOF0,10,2021-01-27T22:02:14.721000Z,2021-01-27T22:28:48.255000Z
210126_Y04_3694545375_400conZHB3bragg_TOF0,4,2021-01-27T21:29:57.019000Z,2021-01-27T21:40:15.171000Z
210129_Y04_3694790088_380ZHB3bragg_TOF5,16,2021-02-01T20:45:07.716000Z,2021-02-01T21:11:29.827000Z
210129_Y05_3694786867_390ZHB3wfcS_tSlosh1,9,2021-01-30T00:17:42.696000Z,2021-01-30T00:30:44.768000Z
