galaxy,--------------------------- disk (2*Re) ---------------------------,,,------------------------- 2nd disk (2*Re) -------------------------,,,---------------------------- bulge (2*Re) --------------------------,,,---------------------------------- bar ---------------------------------,,,,,--------------- nuclear bar ----------------,,,------------------------------------------------------------------------ lenses ------------------------------------------------------------------------,,,,,,------------------------------------------------------------------------------------------------------------------- rings -------------------------------------------------------------------------------------------------------------------,,,,,,,,------------------ center (edge) ------------------,,
,axis_ratio,PA,"Re[""]",axis_ratio,PA,"Re[""]",axis_ratio,PA,"Re[""]",axis_ratio,PA,"R[""]",Ref.,QFlag,axis_ratio,PA,"R[""]",axis_rat,PA,"R[""]",axis_rat,PA,"R[""]",axis_rat,PA,"R[""]","halfwidth[""]",axis_rat,PA,"R[""]","halfwidth[""]",axis_rat,PA,"R[""]"
NGC3627,1.712,166.2,90.6,-999,-999,-999,1.712,170.9,4.7,4.167,160,66.4,1,1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
NGC4207,9.709,121.2,19.5,-999,-999,-999,2.353,120.8,20.7,-999.000,-999,-999,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
NGC4254,1.23,85.1,23.2,1.267,53.8,65.8,1.704,43.2,6.4,-999.000,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
NGC4293,2.137,64,84.1,-999,-999,-999,1.57,73.5,6.2,4.000,75,78.1,1,1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,0,3.0
NGC4298,1.736,131.1,44.0,-999,-999,-999,1.575,61.6,2.5,-999.000,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
NGC4303,1.122,143.6,62.8,-999,-999,-999,1.099,2.6,2.8,3.226,178,36.1,1,1,-999,-999,-999,1.031,6,4.4,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
NGC4321,1.215,158.2,102.5,-999,-999,-999,1.258,127.7,7.2,2.439,108,59.2,1,1,2.5,115,7.9,-999,-999,-999,-999,-999,-999,1.429,109,8.4,1.75,-999,-999,-999,-999,-999,-999,-999
NGC4424,1.805,85.2,46.3,-999,-999,-999,-999,-999,-999,-999.000,-999,-999,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
NGC4457,1.076,66.4,76.2,-999,-999,-999,1.232,67.3,6,1.587,65,32.6,1,1,-999,-999,-999,1.25,79,50.3,-999,-999,-999,1.031,158,70.5,14,-999,-999,-999,-999,-999,-999,-999
NGC4496A,1.144,62.4,52.2,-999,-999,-999,-999,-999,-999,2.632,49,23.4,1,2,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
NGC4535,1.109,22.8,95.6,-999,-999,-999,1.311,22.2,1.5,3.125,42,37.6,1,1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
NGC4536,2.299,125.5,85.1,-999,-999,-999,2.217,124.9,4.4,2.000,77,33.5,1,1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
NGC4540,1.052,56,25.7,-999,-999,-999,-999,-999,-999,2.222,62,18.1,1,2,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1.140,12.8,3.0
