#--------------------------------------------------------------------------------
# Table of adopted parameters for spiral arms in PHANGS environmental masks v5
#
# This table lists only galaxies where at least one spiral arm segment was retained after Quality Assurance (see README)
#
# Col.1: Galaxy name
# Col.2: Number of spiral arm segment (same label as in the mask FITS file)
# Col.3: Width of the segment in pc (negative values = width set to average arm width for that galaxy if low CO coverage, or modified by hand)
# Col.4: Minimum radius (px) of the fitted segment on the deprojected Spitzer/IRAC 3.6um map
# Col.5: Maximum radius (px) of the fitted segment on the deprojected Spitzer/IRAC 3.6um map
# Col.6: Intercept of ln(R) vs theta linear fit in polar coordinates (R=px in the deprojected image)
# Col.7: Slope of ln(R) vs theta linear fit in polar coordinates (R=px in the deprojected image)
# Col.8: Adopted X centre (px)
# Col.9: Adopted Y centre (px) 
# Col.10: Adopted disc position angle for deprojection (deg)
# Col.11: Adopted disc inclination for deprojection (deg)
# Col.12: Adopted distance (Mpc); it only affects the effective width of segments (transformation from pc to arcsec)
# Col.13: Indicator of whether galaxy is in S4G survey or not ("S4G" or "non-S4G")
# Col.14: Azimuthal extension of the segment along the arm inwards from the minimum radius of the fitted segment (deg)
# Col.15: Azimuthal extension of the segment along the arm outwards from the maximum radius of the fitted segment (deg)
#
#--------------------------------------------------------------------------------
# Galaxy,spN,widthPC,rmin_fit,rmax_fit,aa,bb,XC[px],YC[px],PA,INC,dMpc,matchS4G,azimuthMIN azimuthMAX
#--------------------------------------------------------------------------------
NGC2997,sp3,-1500,71.13,203.24,2.85448,0.43385,867.97,1122.74,89.42,46.67,11.3,non-S4G,30,0
NGC2997,sp4,-1500,163.14,222.85,2.81854,0.37130,867.97,1122.74,89.42,46.67,11.3,non-S4G,10,0
NGC2997,sp5,-1500,271.75,381.36,0.24785,0.72100,867.97,1122.74,89.42,46.67,11.3,non-S4G,0,0
NGC2997,sp6,-1500,204.12,242.90,3.34917,0.28056,867.97,1122.74,89.42,46.67,11.3,non-S4G,10,20
NGC2997,sp7,-1500,225.09,346.87,1.73372,0.67574,867.97,1122.74,89.42,46.67,11.3,non-S4G,20,0
NGC2997,sp8,-1500,193.75,168.66,6.27674,-0.18741,867.97,1122.74,89.42,46.67,11.3,non-S4G,10,-10
NGC3507,sp1,1500,40.32,47.89,2.68345,0.26779,513.10,283.91,80.12,29.74,20.9,S4G,20,20
NGC3507,sp2,1500,45.82,96.96,1.98187,0.35982,513.10,283.91,80.12,29.74,20.9,S4G,30,0
NGC3507,sp3,1500,30.72,56.73,0.95859,0.37584,513.10,283.91,80.12,29.74,20.9,S4G,10,10
NGC3507,sp4,-1500,59.24,87.50,3.77109,0.15825,513.10,283.91,80.12,29.74,20.9,S4G,10,0
NGC3627,sp1,1000,87.75,104.43,5.82635,-0.19274,698.82,1207.04,-13.77,54.30,8.3,S4G,30,0
