k,t_mid_days_since_20240827_RECONSTRUCTED,t_start_days_RECONSTRUCTED,t_end_days_RECONSTRUCTED,date_mid_RECONSTRUCTED,pha1,pha1err,pha2,pha2err,pha3,pha3err,pha4,pha4err,phaave,phaaveerr
34,216.227273,213.000000,219.454545,2025-03-31,-0.3842,0.08374,-0.53276,0.06061,0.30199,0.17932,0.32148,0.11121,-0.07337,0.04187
35,222.681818,219.454545,225.909091,2025-04-06,-0.49771,0.07491,-0.47087,0.07661,0.60966,0.20926,0.21823,0.11555,-0.03517,0.03745
36,229.136364,225.909091,232.363636,2025-04-13,-0.62404,0.07643,-0.40805,0.09158,0.47039,0.11794,0.21143,0.07491,-0.08756,0.03821
37,235.590909,232.363636,238.818182,2025-04-19,-0.58458,0.09535,-0.51022,0.07512,0.36396,0.12569,0.00685,0.13725,-0.181,0.04768
38,242.045455,238.818182,245.272727,2025-04-26,-0.49028,0.08954,-0.40925,0.05815,0.05023,0.13239,0.23556,0.09422,-0.15344,0.04477
39,248.500000,245.272727,251.727273,2025-05-02,-0.69179,0.07586,-0.61344,0.06655,0.15248,0.1336,0.09655,0.07404,-0.26405,0.03793
40,254.954545,251.727273,258.181818,2025-05-08,-0.65541,0.10202,-0.39668,0.05612,0.17851,0.11501,0.52358,0.11897,-0.0875,0.05101
41,261.409091,258.181818,264.636364,2025-05-15,-0.43758,0.09805,-0.57035,0.06977,0.39255,0.13844,0.28907,0.09968,-0.08158,0.04902
42,267.863636,264.636364,271.090909,2025-05-21,-0.52022,0.07357,-0.4616,0.06722,0.30156,0.11741,0.41133,0.08675,-0.06723,0.03679
43,274.318182,271.090909,277.545455,2025-05-28,-0.61894,0.07612,-0.44377,0.05614,0.12341,0.18883,0.20547,0.08517,-0.18346,0.03806
44,280.772727,277.545455,284.000000,2025-06-03,-0.5923,0.07786,-0.49938,0.06776,0.06431,0.17349,0.46985,0.08985,-0.13938,0.03893
