sector,ring_index,r_inner_kpc,r_center_kpc,r_outer_kpc,co_pixel_count,hi_pixel_count,mean_i_co21_k_kms,co_sigma_mean_k_kms,co_annular_snr,mean_i_hi_k_kms,sigma_mol_he_faceon_msun_pc2,sigma_hi_he_faceon_msun_pc2,q_mol_to_hi,f_sigma,eligible
phi_090_135,14,3.065573868391818,3.183480555637657,3.301387242883496,283,1110,0.6752879703975906,0.026059746817781074,25.91306719591107,785.8100875404632,2.051689701073451,7.0815365840191795,0.28972380171041906,0.22464019143183228,True
phi_090_135,15,3.301387242883496,3.419293930129335,3.5372006173751744,297,1196,0.9001880720699937,0.02595661406239462,34.68048913876509,853.7096828569906,2.734991111137023,7.693431844589154,0.3554968922042979,0.2622631554884584,True
phi_090_135,16,3.5372006173751744,3.655107304621014,3.773013991866853,319,1277,0.8536660970308007,0.02505816825650389,34.067378281300755,891.4667557944992,2.593645994319214,8.033689748568632,0.3228461734885052,0.24405420672391623,True
phi_090_135,17,3.773013991866853,3.890920679112692,4.008827366358531,336,1359,0.5519516305074157,0.023759993583484545,23.23029375273378,848.4257713020673,1.6769637924040295,7.6458144703963296,0.21933095537395406,0.17987811627950337,True
phi_090_135,18,4.008827366358531,4.12673405360437,4.244640740850209,362,1442,0.28023792057819485,0.02236843742516469,12.528274338149554,740.3584504705475,0.8514312126158579,6.671937069050371,0.12761379548459134,0.11317154507652098,True
phi_090_135,19,4.244640740850209,4.362547428096049,4.480454115341888,386,1519,0.15057686612832877,0.021298488773771995,7.069838040047072,661.1455646022614,0.45748927716499144,5.958089081990624,0.07678456479407693,0.07130912468898654,True
phi_090_135,20,4.480454115341888,4.598360802587727,4.716267489833566,394,1613,0.07707254400232902,0.020960200262685753,3.677090058129686,627.7300131612923,0.234165203138458,5.656955953571458,0.04139420654152704,0.03974883505353589,True
phi_090_135,21,4.716267489833566,4.834174177079405,4.952080864325245,391,1687,0.10586824135472932,0.021045886719049493,5.030353093125016,594.9159410931867,0.3216535611175927,5.361243216479666,0.05999607705333669,0.05660028216341957,True
phi_090_135,22,4.952080864325245,5.069987551571083,5.187894238816923,388,1770,0.1453801483296463,0.02125403447526705,6.840120095731597,598.7476613886048,0.44170037990288796,5.395773782938365,0.08186043330792718,0.07566635287476814,True
phi_090_135,23,5.187894238816923,5.305800926062762,5.423707613308601,391,1859,-0.05636606980289513,0.021276649481487064,-2.649198589840923,641.6663451955247,-0.1712538797877567,5.78254691595825,-0.029615648999775993,-0.03051950391538121,False
