window_id,map,tracer,ell_index,band_00,band_01,band_02,band_03,band_04,band_05,band_06,band_07,band_08,band_09,band_10,band_11
wl_PR4_LRGz2,PR4,LRGz2,3176,-5.012396131021821e-11,4.6747348102574746e-11,-1.3829142203582663e-11,2.0090250446749386e-11,-8.410632494191855e-13,-2.5308245818963778e-11,8.263867070022599e-12,1.65006345996773e-11,-8.568997593851795e-13,-1.998267967981387e-11,1.886580261000481e-12,3.709944922178319e-11
wl_PR4_LRGz2,PR4,LRGz2,3177,-5.143364201920136e-11,4.795338671740478e-11,-1.4257423443447232e-11,2.0601816476705237e-11,-9.40862917724029e-13,-2.582808603485238e-11,7.890410268328559e-12,1.7017906510042266e-11,-5.21376322930272e-13,-2.0472272369803644e-11,9.407016929609083e-13,3.7836605420342136e-11
wl_PR4_LRGz2,PR4,LRGz2,3178,-5.110029903322859e-11,4.088462587293904e-11,-1.272733715721168e-11,1.9701879577500102e-11,8.782410142597842e-13,-2.6704543147696217e-11,8.579627133937003e-12,1.67128123752166e-11,-2.80710832991853e-13,-2.003733018473301e-11,-1.6471020270825004e-13,3.786652605767161e-11
wl_PR4_LRGz2,PR4,LRGz2,3179,-5.0260415412139396e-11,4.2031867031633456e-11,-1.3720868131984191e-11,1.8687381534454176e-11,7.285338257210045e-13,-2.6125238080040544e-11,7.784050215712467e-12,1.6935279126383013e-11,5.397477121750282e-13,-2.03196728640935e-11,-1.7001538991898075e-12,3.8387669549820175e-11
wl_PR4_LRGz2,PR4,LRGz2,3180,-4.5185745607939274e-11,3.452048867142784e-11,-1.418894904404335e-11,1.9051370867659973e-11,1.0733383575353775e-12,-2.588762191857333e-11,8.07562672582114e-12,1.7250059966862693e-11,-4.5321771629072376e-14,-1.9199402006966505e-11,-3.1764920145425483e-12,3.791445091439125e-11
wl_PR4_LRGz2,PR4,LRGz2,3181,-3.353344509298838e-11,3.6339079610202135e-11,-1.635642081975538e-11,1.93074022099289e-11,1.7485850024228977e-13,-2.5328159427300326e-11,7.518602745359562e-12,1.7225736877273445e-11,6.502579302041975e-13,-1.909946189053641e-11,-5.56026502900195e-12,3.929658388693418e-11
wl_PR4_LRGz2,PR4,LRGz2,3182,-3.396319569432476e-11,2.4755155691506205e-11,-1.5305933594972517e-11,1.9989315215749037e-11,8.428276059175195e-13,-2.6447279361703796e-11,8.45623093003007e-12,1.6984662144451606e-11,1.87683421306813e-13,-1.7927996165981173e-11,-6.4781679217309e-12,3.833213015348234e-11
wl_PR4_LRGz2,PR4,LRGz2,3183,-3.0392909609804414e-11,2.2146228295056943e-11,-1.2823721295960952e-11,1.6862902033624878e-11,1.734871817861871e-12,-2.5012963522206618e-11,6.020007869601329e-12,1.8068798110605386e-11,3.845083965961318e-13,-1.7224886146271394e-11,-8.605859813140612e-12,3.8822880819010165e-11
wl_PR4_LRGz2,PR4,LRGz2,3184,-2.5701019953260806e-11,1.2414777212535958e-11,-1.5330113463482255e-11,1.6910294263805622e-11,3.62408181317263e-12,-2.518509563176368e-11,6.338229612822527e-12,1.7747882596034835e-11,4.669610050991472e-14,-1.630089084044667e-11,-8.99394237406576e-12,3.721793005044812e-11
wl_PR4_LRGz2,PR4,LRGz2,3185,-1.838664877136026e-11,1.0897997419159002e-11,-1.4251297401671614e-11,1.4408936035966824e-11,2.4625971010168473e-12,-2.3393082564345425e-11,5.824703256906297e-12,1.695714179264819e-11,8.125755622674812e-13,-1.5985577380146774e-11,-9.904339417810383e-12,3.6435070640372266e-11
wl_PR4_LRGz2,PR4,LRGz2,3186,-8.22189858654785e-12,3.9201989049747866e-12,-1.623388237748677e-11,1.3077708359922985e-11,3.7642562664518685e-12,-2.276224945744567e-11,5.756284845480266e-12,1.612600239282173e-11,9.43513687112803e-13,-1.484912291172642e-11,-1.0984334598781116e-11,3.529113658626102e-11
wl_PR4_LRGz2,PR4,LRGz2,3187,-8.796996734541144e-12,3.8093706616115554e-12,-1.3378701428415667e-11,1.1222877779978521e-11,3.082960702692028e-12,-2.2564636513254718e-11,6.231015158941215e-12,1.518184259202399e-11,2.0178446513667593e-12,-1.4804805146410912e-11,-1.158164948449053e-11,3.453275592916684e-11
wl_PR4_LRGz2,PR4,LRGz2,3188,-1.8255900282740206e-12,1.8503933775253732e-12,-1.7572728307952933e-11,1.2279065612806218e-11,4.2695332512905736e-12,-2.1813851871210147e-11,5.305987619802797e-12,1.5772699809492662e-11,1.7173880681542748e-12,-1.4320309479179166e-11,-1.2271203656701418e-11,3.305742739737217e-11
wl_PR4_LRGz2,PR4,LRGz2,3189,-5.504869018324859e-12,5.4216425111870044e-12,-1.698767155017781e-11,1.1233840664795508e-11,3.0724806523744363e-12,-2.1762005754414444e-11,6.828989536128521e-12,1.426613549640058e-11,2.3803527920128636e-12,-1.3804398271632777e-11,-1.2703572217002238e-11,3.243167120240225e-11
wl_PR4_LRGz2,PR4,LRGz2,3190,7.817379886774192e-13,4.856593041411076e-12,-1.967312744519532e-11,9.02358335132086e-12,5.9376462836300215e-12,-2.1065000479704672e-11,7.0253839146528275e-12,1.397493899005428e-11,1.9852763964257115e-12,-1.3515297007589303e-11,-1.3450226084573121e-11,3.1689129199844164e-11
wl_PR4_LRGz2,PR4,LRGz2,3191,1.3112193332311184e-11,3.685751789726041e-12,-1.9442354955082237e-11,8.865539386920526e-12,4.390150131614402e-12,-2.1290440628733547e-11,8.877913576742405e-12,1.3045209223286049e-11,2.5306856161163006e-12,-1.3206897734404333e-11,-1.3734069121371961e-11,3.168005922971383e-11
wl_PR4_LRGz2,PR4,LRGz2,3192,1.4480443824742372e-11,2.211296220008675e-12,-1.8874317795296664e-11,6.613018774242108e-12,6.8541986782483985e-12,-2.1404621014160638e-11,9.046195376870057e-12,1.2670917998552534e-11,1.745677089836375e-12,-1.2164411510025565e-11,-1.5159534332533594e-11,3.1545749871781466e-11
wl_PR4_LRGz2,PR4,LRGz2,3193,1.705624338829227e-11,3.0585582389345013e-13,-2.1978555490141543e-11,8.419154737453203e-12,7.218826394326889e-12,-2.1962965403416696e-11,1.0288019200812535e-11,1.225037804600346e-11,1.8343161329397775e-12,-1.1015655907162367e-11,-1.5942080803999048e-11,3.0979030915589e-11
wl_PR4_LRGz2,PR4,LRGz2,3194,1.6498670491785876e-11,-2.0368355554381183e-12,-1.8470022502239907e-11,7.1512817456432405e-12,7.883891689542762e-12,-2.1641178902963385e-11,1.0180574989186822e-11,1.152692739588059e-11,1.4270752276313767e-12,-1.0009891557297413e-11,-1.650527052409194e-11,2.9959450696251594e-11
wl_PR4_LRGz2,PR4,LRGz2,3195,1.2957730316244421e-11,4.577384941044971e-13,-2.29344295195023e-11,9.566914158583456e-12,7.62948052858858e-12,-2.226480927038833e-11,1.1313176968987224e-11,1.0934323531483044e-11,1.0472776314958142e-12,-8.880475234345608e-12,-1.6714634302375258e-11,2.954728306358997e-11
wl_PR4_LRGz2,PR4,LRGz2,3196,1.4766289268267117e-11,-4.260040985013346e-12,-2.000580145412664e-11,9.325884095742696e-12,8.693444710923596e-12,-2.3963485948177538e-11,1.239217792636018e-11,1.0399026852572893e-11,8.484080738538596e-13,-8.70191507969737e-12,-1.643812364782025e-11,2.8153134133409464e-11
wl_PR4_LRGz2,PR4,LRGz2,3197,1.7089243579448855e-11,-8.610037050008172e-12,-1.9918144487451647e-11,1.1938365216880468e-11,6.8432884430957455e-12,-2.204279595765363e-11,1.2062368956664104e-11,1.0201094734479138e-11,8.628781452537764e-13,-8.382225848237154e-12,-1.6568090001231068e-11,2.7548386704155843e-11
wl_PR4_LRGz2,PR4,LRGz2,3198,1.4539038649632336e-11,-1.5419834014625947e-11,-1.611149594247393e-11,1.153259655547348e-11,8.449840672077666e-12,-2.323777294750586e-11,1.270654002301665e-11,9.877945623032287e-12,5.589719180059683e-13,-8.499215813062616e-12,-1.6426518895855394e-11,2.622478813091481e-11
wl_PR4_LRGz2,PR4,LRGz2,3199,8.327677358392838e-12,-1.7291250252441594e-11,-1.46888023281805e-11,1.2212434015044099e-11,6.798589977312073e-12,-2.117770043628749e-11,1.2646087956512188e-11,9.756559470687541e-12,1.1740834846137313e-12,-8.978516661409668e-12,-1.644310225009699e-11,2.6063118711833493e-11
wl_PR4_LRGz2,PR4,LRGz2,3200,-5.333580198108377e-12,-2.216893976036271e-11,-1.0351855509752027e-11,1.1830744607314058e-11,6.771519283378316e-12,-2.154455412148016e-11,1.4161277561916941e-11,8.61919526644072e-12,4.3130079820677063e-13,-8.530354095202142e-12,-1.6499324738863303e-11,2.5709759234648522e-11
wl_PR4_LRGz2,PR4,LRGz2,3201,-1.4265269535151404e-11,-2.0906256925807592e-11,-9.172043689388216e-12,1.2190758204513577e-11,6.161667283070262e-12,-2.095188917534277e-11,1.4175891171899992e-11,8.418805312878836e-12,3.7955399731142306e-13,-8.273184815554051e-12,-1.6656355568590757e-11,2.5367247548114113e-11
wl_PR4_LRGz2,PR4,LRGz2,3202,-1.744793551379063e-11,-3.013455345507819e-11,-3.049347340063013e-12,9.379003867098605e-12,7.196289574762881e-12,-2.168910175417393e-11,1.6046272009350313e-11,7.913293641989264e-12,-2.989169946775031e-13,-7.78399111365447e-12,-1.6815376964178546e-11,2.4688651531785447e-11
wl_PR4_LRGz2,PR4,LRGz2,3203,-1.561795392388505e-11,-3.3448928840516896e-11,-1.0176498753262272e-12,8.44536321953419e-12,6.107149951885866e-12,-1.945542265068534e-11,1.598004643701546e-11,7.468970365400755e-12,-3.007641386730321e-13,-7.002321911531199e-12,-1.7509513930561826e-11,2.404724063437693e-11
wl_PR4_LRGz2,PR4,LRGz2,3204,-1.4974141774056053e-11,-3.796085378360491e-11,9.553743444167953e-13,7.733741158083582e-12,6.5778394393805655e-12,-1.99158158214691e-11,1.7357945407805407e-11,6.7445396531677625e-12,-6.664410854324264e-13,-5.772883339070616e-12,-1.8514330662335402e-11,2.333995473846082e-11
wl_PR4_LRGz2,PR4,LRGz2,3205,-2.088444367026885e-11,-3.956340210209588e-11,6.039802596504175e-13,8.578689987682821e-12,5.112818147095717e-12,-1.9142682890523437e-11,1.8254112107335955e-11,6.809170688402229e-12,-1.0128154423415997e-12,-5.093308171260362e-12,-1.9085968519003287e-11,2.2775777862470854e-11
wl_PR4_LRGz2,PR4,LRGz2,3206,-2.1212701381525185e-11,-4.333191469624372e-11,2.013416666697375e-12,7.242314354711047e-12,5.598852829905117e-12,-1.955849897080682e-11,1.941890500285319e-11,5.6651747826564844e-12,-1.399088616273818e-12,-3.71717162055833e-12,-1.991046167504968e-11,2.259105323378266e-11
wl_PR4_LRGz2,PR4,LRGz2,3207,-3.049117736014971e-11,-4.479499841342566e-11,2.0796777981519935e-12,8.361213581377323e-12,4.0664986326558515e-12,-1.9112192307832988e-11,2.059635189560207e-11,5.5994692272529735e-12,-2.086825555343838e-12,-2.5461135559236395e-12,-2.0571793319669332e-11,2.1574211197956942e-11
wl_PR4_LRGz2,PR4,LRGz2,3208,-3.293722420599893e-11,-4.681884262731334e-11,3.35125178576497e-12,6.213946460293415e-12,4.722993031239516e-12,-1.883894942488766e-11,2.074415634789539e-11,5.514141249359368e-12,-2.659357059745333e-12,-1.3413302923829207e-12,-2.1827152008730573e-11,2.1173795241859782e-11
wl_PR4_LRGz2,PR4,LRGz2,3209,-4.285150212579615e-11,-4.639024458099196e-11,1.6163043241437372e-12,7.872889737084016e-12,3.989009558718649e-12,-1.832329550187421e-11,2.1432472345151886e-11,5.578603427327937e-12,-4.0753123449045106e-12,3.017855359852151e-13,-2.218314370683067e-11,2.040964704438264e-11
wl_PR4_LRGz2,PR4,LRGz2,3210,-4.4173269893981426e-11,-4.5569862497746824e-11,3.4628249339478857e-13,5.619792539819863e-12,5.415272944034026e-12,-1.76916905707003e-11,2.1067479317152217e-11,5.200533824510619e-12,-3.947183865582387e-12,1.2925864267372148e-12,-2.3341030519851896e-11,2.077280606776293e-11
wl_PR4_LRGz2,PR4,LRGz2,3211,-4.659079580859879e-11,-4.38993930575976e-11,6.599396073203173e-13,5.6626456132038675e-12,3.4465335826692086e-12,-1.642955299826704e-11,2.0954481139698254e-11,5.367972436798024e-12,-4.5260792947900235e-12,2.6088392268509547e-12,-2.3632274339277564e-11,1.9656058799957732e-11
wl_PR4_LRGz2,PR4,LRGz2,3212,-4.293118243458009e-11,-4.898626300507825e-11,1.4769908822713213e-12,5.529924601122174e-12,2.8375074334007342e-12,-1.5039130737853616e-11,2.0366904893309624e-11,4.9558981109136114e-12,-4.551639084341134e-12,3.4310945770609317e-12,-2.4412884187619637e-11,2.0010652620987174e-11
wl_PR4_LRGz2,PR4,LRGz2,3213,-4.581289368106104e-11,-4.798489487754913e-11,6.586999033526179e-13,6.981018091712039e-12,1.2485658796188568e-12,-1.3883300737751947e-11,1.995747371500103e-11,4.653907790051783e-12,-4.7364039341752535e-12,3.963672134384835e-12,-2.400669240083919e-11,1.9053901987939476e-11
wl_PR4_LRGz2,PR4,LRGz2,3214,-4.101870772264733e-11,-5.0959899510021204e-11,1.6429581929075808e-12,5.613745253372753e-12,1.4852711596108783e-12,-1.1607589896487052e-11,1.8737681058032566e-11,3.9215124206264094e-12,-4.347201154761124e-12,5.2682801542356905e-12,-2.479998252581676e-11,1.8687450518438377e-11
wl_PR4_LRGz2,PR4,LRGz2,3215,-4.6237412792196e-11,-4.795277725901172e-11,2.6661197928619562e-12,5.131779692336132e-12,-2.606347497548257e-13,-1.095169221681283e-11,1.9099813333550035e-11,3.81979819888545e-12,-3.900763124738984e-12,4.985053533109632e-12,-2.4098946661075002e-11,1.764068182644832e-11
wl_PR4_LRGz2,PR4,LRGz2,3216,-4.283913460409707e-11,-5.400535322611528e-11,3.839978424911517e-12,5.107752997834013e-12,-4.05908193276734e-14,-1.0663272342781029e-11,1.9547388184222213e-11,3.422076347955725e-12,-3.681743058379931e-12,5.756815557616647e-12,-2.4646464212165653e-11,1.7313335411049933e-11
wl_PR4_LRGz2,PR4,LRGz2,3217,-5.255488161224398e-11,-5.124566918007257e-11,3.710729887828238e-12,2.344772384844239e-12,1.3066685677520255e-13,-8.646270789946521e-12,1.9624164871235553e-11,2.510738789545087e-12,-2.9476657252792175e-12,5.648920306094219e-12,-2.4584087297098837e-11,1.6658895170403063e-11
wl_PR4_LRGz2,PR4,LRGz2,3218,-5.628924255787939e-11,-5.331376238004661e-11,2.8208298665516632e-12,2.274928255172394e-12,1.0616961158943203e-12,-8.114864597640017e-12,1.8959689100584826e-11,7.662305160290505e-13,-1.828845683899082e-12,7.0751277194655985e-12,-2.5057220553079514e-11,1.5385794955207514e-11
wl_PR4_LRGz2,PR4,LRGz2,3219,-6.722913841345085e-11,-4.961557945333719e-11,2.3697910354464853e-12,-6.38144650114034e-13,1.4275652167366816e-12,-7.335781433027204e-12,1.8409795017419327e-11,7.052832552395739e-13,-9.956026894901451e-13,6.669868168303224e-12,-2.4252749565292882e-11,1.4574824917560273e-11
wl_PR4_LRGz2,PR4,LRGz2,3220,-7.340308539066086e-11,-4.811303716399061e-11,2.373465983060593e-12,5.965520062744506e-13,6.861575458663753e-13,-6.4365016850932514e-12,1.8396951080763194e-11,-4.307679205400256e-13,-3.255519509810043e-13,7.990150741422322e-12,-2.4725250467745478e-11,1.3708745650481295e-11
wl_PR4_LRGz2,PR4,LRGz2,3221,-7.415784261367235e-11,-4.776689719820657e-11,-1.5484232215232959e-12,2.241305346622108e-12,7.701909827706225e-13,-6.620481179428146e-12,1.82066195528568e-11,-3.8616121904541964e-13,-1.7176637129651217e-14,8.101145123892424e-12,-2.4723590007008663e-11,1.2913426009257627e-11
wl_PR4_LRGz2,PR4,LRGz2,3222,-6.66636875950386e-11,-5.28124300840858e-11,3.735529134347769e-13,1.5656342951698472e-12,4.634203210629652e-13,-4.634768137230595e-12,1.7650205684990657e-11,-1.3502207759174155e-12,1.4265067042866684e-13,9.107384416694583e-12,-2.4458971292557597e-11,1.201835968851293e-11
wl_PR4_LRGz2,PR4,LRGz2,3223,-6.085469891115954e-11,-5.7008604072954016e-11,-1.9910595963640618e-12,1.426397212969565e-12,1.29033000574531e-12,-3.4553763998392977e-12,1.6599993828462518e-11,-1.0327267658864521e-12,-1.5570787684846784e-13,9.225266869182226e-12,-2.4362439000856222e-11,1.110931559370914e-11
wl_PR4_LRGz2,PR4,LRGz2,3224,-4.568837967056311e-11,-6.459356268134096e-11,3.986072718529765e-13,-2.2656329539613486e-13,1.3240222236211038e-12,-2.6873062013654086e-12,1.7076546995209898e-11,-2.5241191731471076e-12,4.0600167034140214e-13,1.053808154793979e-11,-2.5229135233870763e-11,1.0497731965098079e-11
wl_PR4_LRGz2,PR4,LRGz2,3225,-3.9967463391616526e-11,-6.756369136814163e-11,-9.223684767323228e-13,-7.107891252247388e-13,2.643816507761658e-12,-2.183348208160169e-12,1.5658748298540574e-11,-2.0022509094693993e-12,1.1175710489837596e-12,1.0255475814905078e-11,-2.5567803353192347e-11,9.407653834011971e-12
wl_PR4_LRGz2,PR4,LRGz2,3226,-3.648585267607696e-11,-6.944804893404918e-11,-1.3299340357928265e-12,-3.844202817083694e-12,4.937548776451796e-12,-1.660135782846295e-12,1.4808626974981684e-11,-2.7605739148675574e-12,1.7610963836730228e-12,1.057009309339139e-11,-2.576126103902037e-11,8.746540762303096e-12
wl_PR4_LRGz2,PR4,LRGz2,3227,-4.198065221667731e-11,-7.252796434002543e-11,-2.386069841476817e-12,-3.954508676218732e-12,6.420422562752135e-12,-1.7769130029363046e-12,1.4368123920163953e-11,-2.4335559222112632e-12,1.838317994805402e-12,1.1233126343938871e-11,-2.6731466427189906e-11,7.966364317175279e-12
wl_PR4_LRGz2,PR4,LRGz2,3228,-4.285107223065992e-11,-6.970842650141394e-11,-4.9277946548143634e-12,-5.570059891628796e-12,9.123973881527651e-12,-1.25409770917582e-12,1.3633188434752411e-11,-3.7119698598362695e-12,1.7245014504103012e-12,1.173330340491851e-11,-2.584994216687445e-11,6.8659347501306545e-12
wl_PR4_LRGz2,PR4,LRGz2,3229,-4.361117460458303e-11,-7.694392174046833e-11,-2.7703469938180016e-12,-6.1760104893280986e-12,9.03718208134241e-12,3.8275143981373906e-13,1.2220858975679839e-11,-3.822616298607864e-12,2.5290095356061567e-12,1.1538498227189986e-11,-2.5726117797982784e-11,6.344686955068827e-12
